CAS	InChIKey	Pubchem_CID	CanonicalSMILES
136-23-2	BOXSVZNGTQTENJ-UHFFFAOYSA-L	8684	CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Zn+2]
136-32-3	KWFOMJTYKROHLX-UHFFFAOYSA-M	23662264	C1=C(C(=CC(=C1Cl)Cl)Cl)[O-].[Na+]
13654-09-6	AQPHBYQUCKHJLT-UHFFFAOYSA-N	26164	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)C2=C(C(=C(C(=C2Br)Br)Br)Br)Br
136-60-7	XSIFPSYPOVKYCO-UHFFFAOYSA-N	8698	CCCCOC(=O)C1=CC=CC=C1
13674-84-5	KVMPUXDNESXNOH-UHFFFAOYSA-N	26176	CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
13674-87-8	ASLWPAWFJZFCKF-UHFFFAOYSA-N	26177	C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl
136-77-6	OKKJLVBELUTLKV-UHFFFAOYSA-N	887	CO
136-78-7	HJEINPVZRDJRBY-UHFFFAOYSA-N	8701	C1=CC(=C(C=C1Cl)Cl)OCCOS(=O)(=O)O
13684-63-4	IDOWTHOLJBTAFI-UHFFFAOYSA-N	24744	CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
137-05-3	MWCLLHOVUTZFKS-UHFFFAOYSA-N	8711	COC(=O)C(=C)C#N
137-06-4	LXUNZSDDXMPKLP-UHFFFAOYSA-N	8712	CC1=CC=CC=C1S
137-17-7	BMIPMKQAAJKBKP-UHFFFAOYSA-N	8717	CC1=CC(=C(C=C1C)N)C
137-26-8	KUAZQDVKQLNFPE-UHFFFAOYSA-N	5455	CN(C)C(=S)SSC(=S)N(C)C
137-30-4	DUBNHZYBDBBJHD-UHFFFAOYSA-L	8722	CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
137-32-6	QPRQEDXDYOZYLA-UHFFFAOYSA-N	8723	CCC(C)CO
137-40-6	XBDQKXXYIPTUBI-UHFFFAOYSA-N	1032	CCC(=O)O
137-42-8	AFCCDDWKHLHPDF-UHFFFAOYSA-M	5366415	CNC(=S)[S-].[Na+]
13746-89-9	OERNJTNJEZOPIA-UHFFFAOYSA-N	26251	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zr+4]
137-58-6	NNJVILVZKWQKPM-UHFFFAOYSA-N	3676	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
13765-19-0	RFAFBXGYHBOUMV-UHFFFAOYSA-N	26264	[O-][Cr](=O)(=O)[O-].[Ca+2]
137-66-6	DLPACQFCRQUOOZ-FXAWDEMLSA-N	9953598	CCCCCCCCCCCCCCCC(=O)OC1=C(C(=O)OC1C(CO)O)O
137862-53-4	ACWBQPMHZXGDFX-UHFFFAOYSA-N	5650	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
13814-96-5	UQGXAENNKXXYNF-UHFFFAOYSA-N	12598180	[B-](F)(F)(F)F.[B-](F)(F)(F)F.[Pb+2]
138-22-7	MRABAEUHTLLEML-UHFFFAOYSA-N	8738	CCCCOC(=O)C(C)O
13823-29-5	VGBPIHVLVSGJGR-UHFFFAOYSA-N	26293	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Th+4]
138261-41-3	YWTYJOPNNQFBPC-UHFFFAOYSA-N	86418	C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl
13838-16-9	JPGQOUSTVILISH-UHFFFAOYSA-N	3226	C(C(OC(F)F)(F)F)(F)Cl
138-59-0	JXOHGGNKMLTUBP-UHFFFAOYSA-N	1094	C1C(C(C(C=C1C(=O)O)O)O)O
138-86-3	XMGQYMWWDOXHJM-UHFFFAOYSA-N	22311	CC1=CCC(CC1)C(=C)C
13889-92-4	FYOPSYJKEHWOBR-UHFFFAOYSA-N	26323	CCCSC(=O)Cl
138-93-2	AZDIXEXNLJMBJO-UHFFFAOYSA-L	61088	C(#N)N=C([S-])[S-].[Na+].[Na+]
139-08-2	OCBHHZMJRVXXQK-UHFFFAOYSA-M	8755	CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
13909-09-6	FVLVBPDQNARYJU-UHFFFAOYSA-N	5198	CC1CCC(CC1)NC(=O)N(CCCl)N=O
139-13-9	MGFYIUFZLHCRTH-UHFFFAOYSA-N	8758	C(C(=O)O)N(CC(=O)O)CC(=O)O
139-33-3	KCXVZYZYPLLWCC-UHFFFAOYSA-N	6049	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
1393-63-1	RAFGELQLHMBRHD-IFNPSABLSA-N	6376436	CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)OC)C=CC=C(C)C=CC(=O)O
139-40-2	WJNRPILHGGKWCK-UHFFFAOYSA-N	4937	CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C
139481-59-7	OKKJLVBELUTLKV-UHFFFAOYSA-N	887	CO
13952-84-6	BHRZNVHARXXAHW-UHFFFAOYSA-N	24874	CCC(C)N
139-65-1	ICNFHJVPAJKPHW-UHFFFAOYSA-N	8765	C1=CC(=CC=C1N)SC2=CC=C(C=C2)N
1397-89-3	APKFDSVGJQXUKY-UHFFFAOYSA-N	1972	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
1397-94-0	UIFFUZWRFRDZJC-UHFFFAOYSA-N	12550	CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
139-87-7	AKNUHUCEWALCOI-UHFFFAOYSA-N	8769	CCN(CCO)CCO
139-89-9	WHNXAQZPEBNFBC-UHFFFAOYSA-K	8772	C(CN(CC(=O)[O-])CC(=O)[O-])N(CCO)CC(=O)[O-].[Na+].[Na+].[Na+]
139-94-6	FQSUTLQHSDLLAN-UHFFFAOYSA-N	8776	CCNC(=O)NC1=NC=C(S1)[N+](=O)[O-]
140-01-2	LQPLDXQVILYOOL-UHFFFAOYSA-I	8779	C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+]
1400-61-9	VQOXZBDYSJBXMA-UHFFFAOYSA-N	4568	CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
140-08-9	LUVCTYHBTXSAMX-UHFFFAOYSA-N	8783	C(CCl)OP(OCCCl)OCCCl
140-11-4	QUKGYYKBILRGFE-UHFFFAOYSA-N	8785	CC(=O)OCC1=CC=CC=C1
1401-69-0	WBPYTXDJUQJLPQ-UHFFFAOYSA-N	5062352	CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)C)COC4C(C(C(C(O4)C)O)OC)OC
1402-68-2	OQIQSTLJSLGHID-UHFFFAOYSA-N	14403	COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1
140-29-4	SUSQOBVLVYHIEX-UHFFFAOYSA-N	8794	C1=CC=C(C=C1)CC#N
140-31-8	IMUDHTPIFIBORV-UHFFFAOYSA-N	8795	C1CN(CCN1)CCN
1403-66-3	CEAZRRDELHUEMR-UHFFFAOYSA-N	3467	CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
14038-43-8	DCYOBGZUOMKFPA-UHFFFAOYSA-N	61711	[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2].[Fe+2].[Fe+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3]
1404-04-2	PGBHMTALBVVCIT-UHFFFAOYSA-N	4454	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
14047-09-7	SOBGIMQKWDUEPY-UHFFFAOYSA-N	26423	C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)Cl)Cl)Cl)Cl
1404-90-6	MYPYJXKWCTUITO-LYRMYLQWSA-N	14969	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
140-56-7	IWDQPCIQCXRBQP-UHFFFAOYSA-M	23668198	CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+]
140-57-8	YKFRAOGHWKADFJ-UHFFFAOYSA-N	8809	CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl
140-76-1	VJOWMORERYNYON-UHFFFAOYSA-N	8817	CC1=NC=C(C=C1)C=C
140-88-5	JIGUQPWFLRLWPJ-UHFFFAOYSA-N	8821	CCOC(=O)C=C
141-03-7	YUXIBTJKHLUKBD-UHFFFAOYSA-N	8830	CCCCOC(=O)CCC(=O)OCCCC
141112-29-0	OYIKARCXOQLFHF-UHFFFAOYSA-N	84098	CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
141-28-6	DNNSSWSSYDEUBZ-UHFFFAOYSA-N	5416	[Kr]
141-32-2	CQEYYJKEWSMYFG-UHFFFAOYSA-N	8846	CCCCOC(=O)C=C
141-43-5	HZAXFHJVJLSVMW-UHFFFAOYSA-N	700	C(CO)N
141517-21-7	ONCZDRURRATYFI-UHFFFAOYSA-N	213016	CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F
141-57-1	DOEHJNBEOVLHGL-UHFFFAOYSA-N	8850	CCC[Si](Cl)(Cl)Cl
141-59-3	QZLAEIZEPJAELS-UHFFFAOYSA-N	8851	CC(C)(C)CC(C)(C)S
141-66-2	VEENJGZXVHKXNB-UHFFFAOYSA-N	8854	CC(=CC(=O)N(C)C)OP(=O)(OC)OC
141776-32-1	RBSXHDIPCIWOMG-UHFFFAOYSA-N	86426	CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
141-78-6	XEKOWRVHYACXOJ-UHFFFAOYSA-N	8857	CCOC(=O)C
141-79-7	SHOJXDKTYKFBRD-UHFFFAOYSA-N	8858	CC(=CC(=O)C)C
141-94-6	DTOUUUZOYKYHEP-UHFFFAOYSA-N	3607	CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
1420-04-8	XYCDHXSQODHSLG-UHFFFAOYSA-N	14992	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N
1420-06-0	ZJMLMBICUVVJDX-UHFFFAOYSA-N	14993	C1COCCN1C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
1420-07-1	IIPZYDQGBIWLBU-UHFFFAOYSA-N	14994	CC(C)(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]
14239-68-0	QQOALHQRKUYNIC-UHFFFAOYSA-L	26588	CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Cd+2]
142459-58-3	IANUJLZYFUDJIH-UHFFFAOYSA-N	86429	CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F
142-47-2	PXEDJBXQKAGXNJ-QTNFYWBSSA-L	167560	C(CC(=O)[O-])C(C(=O)[O-])N.[Na+].[Na+]
14255-88-0	ISVQSVPUDBVFFU-UHFFFAOYSA-N	26597	C1=CC=C(C=C1)OC(=O)N2C3=CC(=C(C=C3N=C2C(F)(F)F)Cl)Cl
142-59-6	AWYFNIZYMPNGAI-UHFFFAOYSA-N	3000605	C(CNC(=S)S)NC(=S)S
142-62-1	FUZZWVXGSFPDMH-UHFFFAOYSA-N	8892	CCCCCC(=O)O
142-64-3	GLUUGHFHXGJENI-UHFFFAOYSA-N	4837	C1CNCCN1
142-68-7	DHXVGJBLRPWPCS-UHFFFAOYSA-N	8894	C1CCOCC1
142-71-2	OPQARKPSCNTWTJ-UHFFFAOYSA-L	8895	CC(=O)[O-].CC(=O)[O-].[Cu+2]
142-82-5	IMNFDUFMRHMDMM-UHFFFAOYSA-N	8900	CCCCCCC
142-83-6	BATOPAZDIZEVQF-UHFFFAOYSA-N	8901	CC=CC=CC=O
142-84-7	WEHWNAOGRSTTBQ-UHFFFAOYSA-N	8902	CCCNCCC
142-90-5	GMSCBRSQMRDRCD-UHFFFAOYSA-N	8906	CCCCCCCCCCCCOC(=O)C(=C)C
142-91-6	XUGNVMKQXJXZCD-UHFFFAOYSA-N	8907	CCCCCCCCCCCCCCCC(=O)OC(C)C
142-92-7	AOGQPLXWSUTHQB-UHFFFAOYSA-N	8908	CCCCCCOC(=O)C
142-96-1	DURPTKYDGMDSBL-UHFFFAOYSA-N	8909	CCCCOCCCC
143-07-7	POULHZVOKOAJMA-UHFFFAOYSA-N	3893	CCCCCCCCCCCC(=O)O
143-08-8	ZWRUINPWMLAQRD-UHFFFAOYSA-N	8914	CCCCCCCCCO
143-22-6	COBPKKZHLDDMTB-UHFFFAOYSA-N	8923	CCCCOCCOCCOCCO
14324-55-1	RKQOSDAEEGPRER-UHFFFAOYSA-L	26633	CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Zn+2]
143-33-9	MNWBNISUBARLIT-UHFFFAOYSA-N	8929	[C-]#N.[Na+]
143390-89-0	ZOTBXTZVPHCKPN-UHFFFAOYSA-N	86438	CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC
143-50-0	LHHGDZSESBACKH-UHFFFAOYSA-N	299	C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
143545-90-8	KDNLTVRXCBZFNF-YUQKHPEDSA-N	10341781	CC1C(CC2CC(NC3=[N+]2C1CN3)C(C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)[O-]
144-21-8	SDIXRDNYIMOKSG-UHFFFAOYSA-L	8947	C[As](=O)([O-])[O-].[Na+].[Na+]
144-49-0	QEWYKACRFQMRMB-UHFFFAOYSA-N	5237	C(C(=O)O)F
144-55-8	BVKZGUZCCUSVTD-UHFFFAOYSA-N	767	C(=O)(O)O
1445-75-6	WOAFDHWYKSOANX-UHFFFAOYSA-N	3073	CC(C)OP(=O)(C)OC(C)C
144-62-7	OKKJLVBELUTLKV-UHFFFAOYSA-N	887	CO
144-82-1	VACCAVUAMIDAGB-UHFFFAOYSA-N	5328	CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N
14484-64-1	WHDGWKAJBYRJJL-UHFFFAOYSA-K	26710	CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3]
14521-96-1	CAHCBJPUTCKATP-HBDRVVKHSA-N	26721	CCCC(C)(C1CC23C=CC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)C)OC)O
145701-23-1	QZXATCCPQKOEIH-UHFFFAOYSA-N	11700495	COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F
145-73-3	GXEKYRXVRROBEV-UHFFFAOYSA-N	3225	C1CC2C(C(C1O2)C(=O)O)C(=O)O
1459-93-4	VNGOYPQMJFJDLV-UHFFFAOYSA-N	15088	COC(=O)C1=CC(=CC=C1)C(=O)OC
14611-52-0	IYETZZCWLLUHIJ-UTONKHPSSA-N	26758	CC(CC1=CC=CC=C1)N(C)CC#C.Cl
1461-22-9	GCTFWCDSFPMHHS-UHFFFAOYSA-M	15096	CCCC[Sn](CCCC)(CCCC)Cl
1461-25-2	AFCAKJKUYFLYFK-UHFFFAOYSA-N	15098	CCCC[Sn](CCCC)(CCCC)CCCC
1464-42-2	RJFAYQIBOAGBLC-UHFFFAOYSA-N	15103	C[Se]CCC(C(=O)O)N
14644-61-2	ZXAUZSQITFJWPS-UHFFFAOYSA-J	26793	[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Zr+4]
1464-53-5	AMGDESQTWHNCTP-UHFFFAOYSA-N	11253	CC([N+](=O)[O-])Br
147-14-8	VVOLVFOSOPJKED-UHFFFAOYSA-N	8978	C1=CC=C2C(=C1)C3=NC4=NC(=NC5=NC(=NC6=NC(=NC2=N3)C7=CC=CC=C76)C8=CC=CC=C85)C9=CC=CC=C94.[Cu]
147150-35-4	BIKACRYIQSLICJ-UHFFFAOYSA-N	86453	CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)C(=O)OC)F
1478-61-1	ZFVMWEVVKGLCIJ-UHFFFAOYSA-N	73864	C1=CC(=CC=C1C(C2=CC=C(C=C2)O)(C(F)(F)F)C(F)(F)F)O
147-94-4	UHDGCWIWMRVCDJ-UHFFFAOYSA-N	596	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
148-01-6	ZEFNOZRLAWVAQF-UHFFFAOYSA-N	3092	CC1=C(C=C(C=C1C(=O)N)[N+](=O)[O-])[N+](=O)[O-]
148-18-5	LMBWSYZSUOEYSN-UHFFFAOYSA-N	8987	CCN(CC)C(=S)S
148-24-3	MCJGNVYPOGVAJF-UHFFFAOYSA-N	1923	C1=CC2=C(C(=C1)O)N=CC=C2
14838-15-4	DLNKOYKMWOXYQA-UHFFFAOYSA-N	4786	CC(C(C1=CC=CC=C1)O)N
148477-71-8	DTDSAWVUFPGDMX-UHFFFAOYSA-N	177863	CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl
148-65-2	XAEXSWVTEJHRMH-UHFFFAOYSA-N	8993	CN(C)CCN(CC1=CC=C(S1)Cl)C2=CC=CC=N2
148-79-8	WJCNZQLZVWNLKY-UHFFFAOYSA-N	5430	C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
148-82-3	SGDBTWWWUNNDEQ-UHFFFAOYSA-N	4053	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
1490-04-6	NOOLISFMXDJSKH-UHFFFAOYSA-N	1254	CC1CCC(C(C1)O)C(C)C
14901-07-6	PSQYTAPXSHCGMF-UHFFFAOYSA-N	26955	CC1=C(C(CCC1)(C)C)C=CC(=O)C
14901-08-7	YHLRMABUJXBLCK-LBCXAKKBSA-N	5459896	C[N+](=NCOC1C(C(C(C(O1)CO)O)O)O)[O-]
14913-33-8	DQLATGHUWYMOKM-UHFFFAOYSA-L	2767	[NH2-].[NH2-].Cl[Pt+2]Cl
1491-59-4	WYWIFABBXFUGLM-UHFFFAOYSA-N	4636	CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
149-29-1	ZRWPUFFVAOMMNM-UHFFFAOYSA-N	4696	C1C=C2C(=CC(=O)O2)C(O1)O
149-30-4	KXAHDPKQOFASEB-UHFFFAOYSA-N	640981	C1=CC=C2C(=C1)C(=CN=C2Br)Br
149-32-6	UNXHWFMMPAWVPI-UHFFFAOYSA-N	8998	C(C(C(CO)O)O)O
149-44-0	HGJMXJABQKRULV-UHFFFAOYSA-K	14048785	CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-]P(=O)([O-])[O-]
149-57-5	WWZKQHOCKIZLMA-UHFFFAOYSA-N	379	CCCCCCCC(=O)O
14976-57-9	HTNFLUQQANUSLR-UHFFFAOYSA-N	3093	CCCCCCCC(=O)OCCOC(=O)CCCCCCC
14977-61-8	HOCPFYCTFLRIAK-UHFFFAOYSA-L	101943071	O.O.[Cl-].[Cl-].[Cr+2]
149877-41-8	VHLKTXFWDRXILV-UHFFFAOYSA-N	176879	CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC
149-91-7	LNTHITQWFMADLM-UHFFFAOYSA-N	370	C1=C(C=C(C(=C1O)O)O)C(=O)O
150114-71-9	NIXXQNOQHKNPEJ-UHFFFAOYSA-N	213012	C1=C(C(=C(N=C1Cl)C(=O)O)Cl)N
150-13-0	ALYNCZNDIQEVRV-UHFFFAOYSA-N	978	C1=CC(=CC=C1C(=O)O)N
150-50-5	KLAPGAOQRZTCBI-UHFFFAOYSA-N	9011	CCCCSP(SCCCC)SCCCC
150-68-5	BMLIZLVNXIYGCK-UHFFFAOYSA-N	8800	CN(C)C(=O)NC1=CC=C(C=C1)Cl
150-69-6	GGLIEWRLXDLBBF-UHFFFAOYSA-N	9013	CCOC1=CC=C(C=C1)NC(=O)N
150-76-5	NWVVVBRKAWDGAB-UHFFFAOYSA-N	9015	COC1=CC=C(C=C1)O
15096-52-3	REHXRBDMVPYGJX-UHFFFAOYSA-H	16693908	F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+]
151-18-8	AGSPXMVUFBBBMO-UHFFFAOYSA-N	1647	C(CN)C#N
151-21-3	MOTZDAYCYVMXPC-UHFFFAOYSA-N	8778	CCCCCCCCCCCCOS(=O)(=O)O
151-38-2	FIJGJLOKUSIPMZ-UHFFFAOYSA-N	145872	C1CC[Hg]CC1
151-41-7	MOTZDAYCYVMXPC-UHFFFAOYSA-N	8778	CCCCCCCCCCCCOS(=O)(=O)O
151-50-8	NNFCIKHAZHQZJG-UHFFFAOYSA-N	9032	[C-]#N.[K+]
151-56-4	NOWKCMXCCJGMRR-UHFFFAOYSA-N	9033	C1CN1
151-67-7	BCQZXOMGPXTTIC-UHFFFAOYSA-N	3562	C(C(F)(F)F)(Cl)Br
152-11-4	SGTNSNPWRIOYBX-UHFFFAOYSA-N	2520	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
152-16-9	SZKKRCSOSQAJDE-UHFFFAOYSA-N	9037	CN(C)P(=O)(N(C)C)OP(=O)(N(C)C)N(C)C
15271-41-7	QCQPGRMMDFIQMB-UHFFFAOYSA-N	206594	CNC(=O)ON=C1C2CC(C1Cl)CC2C#N
152-72-7	IBOBEXDBNVGMKY-UHFFFAOYSA-N	278497	CC(C)(C)C1=CC(=C(C=C1)CN(C)C)C2=C(C=CC(=C2)C(C)(C)C)CN(C)C
15299-99-7	WXZVAROIGSFCFJ-UHFFFAOYSA-N	27189	CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21
15307-86-5	DCOPUUMXTXDBNB-UHFFFAOYSA-N	3033	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
153233-91-1	IXSZQYVWNJNRAL-UHFFFAOYSA-N	153974	CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F
153-61-7	XIURVHNZVLADCM-UHFFFAOYSA-N	2612	CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O
153719-23-4	NWWZPOKUUAIXIW-UHFFFAOYSA-N	107646	CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl
154-21-2	OJMMVQQUTAEWLP-UHFFFAOYSA-N	3928	CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O
154-42-7	WYWHKKSPHMUBEB-UHFFFAOYSA-N	2723601	C1=NC2=C(N1)C(=S)N=C(N2)N
154-93-8	DLGOEMSEDOSKAD-UHFFFAOYSA-N	2578	C(CCl)NC(=O)N(CCCl)N=O
15500-66-0	NPIJXCQZLFKBMV-YTGGZNJNSA-L	27350	CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]
15503-86-3	IDIMIWQPUHURPV-UHFFFAOYSA-N	4103928	CC=C1CC(C(C(=O)OCC2=CC[N+]3(C2C(CC3)OC1=O)[O-])(CO)O)C
15545-48-9	FPYUJUBAXZAQNL-UHFFFAOYSA-N	6996	C1=CC=C(C(=C1)C=O)Cl
15588-95-1	HXJKWPGVENNMCC-UHFFFAOYSA-N	27402	CCC1=CC(=C(C=C1OC)CC(C)N)OC
156052-68-5	SOUGWDPPRBKJEX-UHFFFAOYSA-N	122087	CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl
15625-89-5	DAKWPKUUDNSNPN-UHFFFAOYSA-N	27423	CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
15630-89-4	MSLRPWGRFCKNIZ-UHFFFAOYSA-J	159762	C(=O)([O-])[O-].C(=O)([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+]
1563-66-2	DUEPRVBVGDRKAG-UHFFFAOYSA-N	2566	CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C
156-56-9	OOJZCXFXPZGUBJ-UHFFFAOYSA-N	9081	C=C1CC1CC(C(=O)O)N
156-60-5	KFUSEUYYWQURPO-UHFFFAOYSA-N	10900	C(=CCl)Cl
15663-27-1	DQLATGHUWYMOKM-UHFFFAOYSA-L	2767	[NH2-].[NH2-].Cl[Pt+2]Cl
15686-71-2	ZAIPMKNFIOOWCQ-UHFFFAOYSA-N	2666	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
15687-27-1	HEFNNWSXXWATRW-UHFFFAOYSA-N	3672	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
1569-01-3	FENFUOGYJVOCRY-UHFFFAOYSA-N	15286	CCCOCC(C)O
1570-64-5	RHPUJHQBPORFGV-UHFFFAOYSA-N	14855	CC1=C(C=CC(=C1)Cl)O
157810-81-6	NUBQKPWHXMGDLP-MWKASFQPSA-N	60958	CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5.OS(=O)(=O)O
158062-67-0	RLQJEEJISHYWON-UHFFFAOYSA-N	9834513	C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
1582-09-8	ZSDSQXJSNMTJDA-UHFFFAOYSA-N	5569	CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
1589-47-5	YTTFFPATQICAQN-UHFFFAOYSA-N	14846	CC(CO)OC
1596-84-5	NOQGZXFMHARMLW-UHFFFAOYSA-N	15331	CN(C)NC(=O)CCC(=O)O
15972-60-8	XCSGPAVHZFQHGE-UHFFFAOYSA-N	2078	CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
1600-27-7	BRMYZIKAHFEUFJ-UHFFFAOYSA-L	15337	CC(=O)[O-].CC(=O)[O-].[Hg+2]
