CAS	InChIKey	Pubchem_CID	CanonicalSMILES
1031-47-6	BABJTMNVJXLAEX-UHFFFAOYSA-N	13943	CN(C)P(=O)(N1C(=NC(=N1)C2=CC=CC=C2)N)N(C)C
103-16-2	VYQNWZOUAUKGHI-UHFFFAOYSA-N	7638	C1=CC=C(C=C1)COC2=CC=C(C=C2)O
103-17-3	ZHLKXBJTJHRTTE-UHFFFAOYSA-N	7639	C1=CC(=CC=C1CSC2=CC=C(C=C2)Cl)Cl
103-23-1	SAOKZLXYCUGLFA-UHFFFAOYSA-N	7641	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
10325-94-7	IZIPRBSCGMISKX-UHFFFAOYSA-N	24800	[N+](=O)(O)[O-].[N+](=O)(O)[O-].[Cd+2]
103-30-0	ZMYIIHDQURVDRB-UHFFFAOYSA-N	10740	C=C(C1=CC=CC=C1)C2=CC=CC=C2
103361-09-7	FOUWCSDKDDHKQP-UHFFFAOYSA-N	92425	C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F
103-41-3	NGHOLYJTSCBCGC-UHFFFAOYSA-N	7652	C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2
10361-03-2	AQMNWCRSESPIJM-UHFFFAOYSA-M	16129671	[O-]P(=O)=O.[Na+]
10361-37-2	WDIHJSXYQDMJHN-UHFFFAOYSA-L	25204	[Cl-].[Cl-].[Ba+2]
103-64-0	YMOONIIMQBGTDU-UHFFFAOYSA-N	7667	C1=CC=C(C=C1)C=CBr
103-65-1	ODLMAHJVESYWTB-UHFFFAOYSA-N	7668	CCCC1=CC=CC=C1
103-69-5	OJGMBLNIHDZDGS-UHFFFAOYSA-N	7670	CCNC1=CC=CC=C1
103-71-9	DGTNSSLYPYDJGL-UHFFFAOYSA-N	7672	C1=CC=C(C=C1)N=C=O
103-73-1	DLRJIFUOBPOJNS-UHFFFAOYSA-N	7674	CCOC1=CC=CC=C1
103-82-2	OKKJLVBELUTLKV-UHFFFAOYSA-N	887	CO
103-85-5	OWPLFJSQLPTCHS-UHFFFAOYSA-N	67582	C1=CC2=C(C=C1C(F)(F)F)NC=CC2=O
