ChemIndex	InChIKey	CASRN	CanonicalSMILES
24	OWWJYYXAAQYRRT-UHFFFAOYSA-N	None	Cc1cccc(C)c1N=C(O)CN=C(O)C2=CC(C)(C)N([O])C2(C)C
25	KAHHHNFAHOXGRZ-UHFFFAOYSA-N	None	CN(C)C(=O)CCC(=O)c1cccc(c1)C(F)(F)F
26	YVYPPSOPLMFERV-LZDQBJKOSA-L	None	[Na+].[Na+].CC[C@]1(C)C[C@@H](OC(=O)NC(=O)c2ccc(OP(=O)([O-])[O-])cc2)[C@]3(C)[C@H](C)CC[C@]4(CCC(=O)[C@H]34)[C@@H](C)[C@@H]1O
27	HFBHVAHHJGXCMR-JPIRQXTESA-N	None	CC(=O)OC[C@H]1O[C@@H](OC(=O)C)[C@H](NC(=O)CBr)[C@@H](OC(=O)C)[C@@H]1OC(=O)C
28	MBHYXGIPAYUKIJ-UHFFFAOYSA-N	None	CCC(C)\N=C(/Nc1cc(C)nc2ccccc12)\Nc3nccs3
29	QWJQFIFUXVVHOA-UHFFFAOYSA-N	None	CNCCN(C)C1c2ccccc2CCc3ccccc13
30	MWFMGBPGAXYFAR-UHFFFAOYSA-N	75-86-5	CC(C)(C#N)O
31	RVZRBWKZFJCCIB-UHFFFAOYSA-N	311-89-7	C(C(C(F)(F)F)(F)F)(C(N(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
32	GCKMFJBGXUYNAG-UHFFFAOYSA-N	58-18-4	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
33	HCBIBCJNVBAKAB-UHFFFAOYSA-N	None	Cl.CCN(CC)CCOC(=O)c1ccc(N)cc1
34	UMJJGDUYVQCBMC-UHFFFAOYSA-N	None	CCNCCCNCCCNCCCNCC
35	MIDJYCDZEYLUAF-CLFYSBASSA-N	None	CCNC(=O)\N=C\1/SCCN1C
36	OQPREWHWFAHSRK-UHFFFAOYSA-N	None	O=C(CN1CCCCC1)Nc2ccc(cc2)C3NC(=O)Cc4ccccc34
37	MTLHVPXUZDRENA-UHFFFAOYSA-N	None	[Cl-].CCN(CCCn1cc[n+](C)c1\C=N\O)S(=O)(=O)c2ccccc2
38	FVEDLRVIWHFCBB-UHFFFAOYSA-N	None	Fc1ccc(cc1C#N)C#N
39	OEKRRNONKYUCFF-UHFFFAOYSA-N	None	COc1ccc(cc1)c2cc3nc(N4CCCC4)c5ccccc5c3nn2
