ChemIndex	InChIKey	CASRN	CanonicalSMILES
1265	FVQITOLOYMWVFU-UHFFFAOYSA-N	56073-07-5	C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6
1266	DULOCGCCMRABHS-UHFFFAOYSA-N	None	CCCNC1CC(=O)OC1C(O)C(=O)NC(CC(C)C)C2Cc3cccc(O)c3C(=O)O2
1267	HMUFKKYFZKBPQR-UHFFFAOYSA-N	None	[Cl-].C[n+]1ccn(COCC[Si](C)(C)C)c1\C=N\O
1268	WOSGOBKGQFRKCM-UHFFFAOYSA-N	None	OCC1OC(O)C(NC(=O)CBr)C(O)C1O
1269	HWUIMHNMMNELCP-UHFFFAOYSA-N	None	CN1N=C(N(C)C1=O)c2cccs2
1270	BARGXFHVTDYCNS-UHFFFAOYSA-N	None	CC(C)(C)\N=C(/Nc1cccc2ncccc12)\Nc3nccs3
1271	CYRMSUTZVYGINF-UHFFFAOYSA-N	75-69-4	C(F)(Cl)(Cl)Cl
1272	KVGLBTYUCJYMND-UHFFFAOYSA-N	944-22-9	CCOP(=S)(CC)SC1=CC=CC=C1
1273	UEHJPVCNGHZHGZ-UKRRQHHQSA-N	None	CCCN1CCC[C@H]2[C@H]1CCc3ncccc23
1274	ZKUCSQMMDJDRPK-XBLVEGMJSA-N	None	CCCCCC\C=C\C=C\C#CC#CCCCO
1275	AWFLVMILNQNDCC-WOJBJXKFSA-N	None	CNp1(NC)n[p@](NC)(n[p@@](NC)(n1)N2CC2)N3CC3
1276	ZWLKJPIQVOUHBB-UHFFFAOYSA-N	None	OC(=O)C(=O)O.C(Cc1ccccc1)N2CCCC3CC2c4ccccc34
1277	DROIRVKNZDBEFR-UHFFFAOYSA-N	None	CC(C)NCC(O)COc1c(Cl)ccc(Cl)c1C(=C)n2ccnc2
1278	UKINOWWQEQRAEZ-UHFFFAOYSA-N	None	ClCCCC(=O)NNc1nncc(n1)c2ccc(Cl)cc2
1279	UIFFUZWRFRDZJC-UHFFFAOYSA-N	1397-94-0	CCCCCCC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
1280	WGPCGCOKHWGKJJ-UHFFFAOYSA-N	1314-98-3	S=[Zn]
1281	BYIXXDHBVCBZEY-UHFFFAOYSA-L	None	[Br-].[Br-].CC(=O)CCC[N+](C)(C)CC(=O)c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+](C)(C)CCCC(=O)C
1282	NUBQKPWHXMGDLP-MWKASFQPSA-N	157810-81-6	CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5.OS(=O)(=O)O
1283	JPJALAQPGMAKDF-UHFFFAOYSA-N	7446-08-4	O=[Se]=O
1284	BQWUWOIKJSJSML-PPWWOTBJSA-N	None	CCCCCCCCCCCC(O)CC(=O)N[C@@H](CC(=O)OC1OC(CO)C(O)C(OC(=O)CC(O)CCCCCCCCCCC)C1NC(=O)CC(O)CCCCCCCCCCC)C(=O)O
1285	BTAGRXWGMYTPBY-UHFFFAOYSA-N	11096-82-5	C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl
1286	REDJPDICXYAJBQ-UHFFFAOYSA-N	None	[I-].COCCN\C(=C\c1ccc2ccccc2[n+]1C)\SC
1287	BCGWQEUPMDMJNV-UHFFFAOYSA-N	50-49-7	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
1288	VQLLQAHFCUODFW-UHFFFAOYSA-N	None	CC1(CCC1)\N=C(/NC#N)\Nc2cccnc2
1289	LNEPOXFFQSENCJ-UHFFFAOYSA-N	52-86-8	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
1290	IPBIPEHNUKRTBD-UHFFFAOYSA-N	None	CCCCc1cccc(C(C)CC)c1O
1291	IBALRBWGSVJPAP-HEHNFIMWSA-N	None	NC(=O)CCC\N=C(/c1ccc(Cl)cc1)\c2cc(F)ccc2O
1292	PWKSKIMOESPYIA-UHFFFAOYSA-N	616-91-1	CC(=O)NC(CS)C(=O)O
1293	DUHSQKBLGVKTSC-UHFFFAOYSA-N	None	COc1ccc(cc1)N2CCN3C(=O)C(=NN=C23)c4ccccc4
1294	DVBZYBSNXKAJHX-UHFFFAOYSA-N	None	CCC(C)(CC)\N=C(/NC#N)\Nc1cccnc1
1295	IEPRKVQEAMIZSS-UHFFFAOYSA-N	623-91-6	CCOC(=O)C=CC(=O)OCC
1296	HMBBJSKXDBUNNT-UHFFFAOYSA-N	67774-32-7	C1=C(C(=CC(=C1Br)Br)Br)C2=CC(=C(C=C2Br)Br)Br
1297	WATQTSCZQIYZRX-UXBLZVDNSA-N	None	CS(=O)(=O)CCOCn1ccnc1\C=N\O
1298	WIBMHODPGXACRA-UHFFFAOYSA-N	None	CC(=O)Nc1ccc(cc1)c2nnc3c4ccccc4c(nn23)N5CCCC5
1299	AJFOUDGOOPKHSP-UHFFFAOYSA-N	None	NCC(=O)NCC(=O)NCCSSCCNC(=O)CNC(=O)CN
1300	VZYHYIZIZBMDBU-UHFFFAOYSA-N	None	C1CCN(C1)c2nn3c(nnc3c4ccccc24)c5ccc(cc5)c6ccccc6
1301	HNYKCINDWQEAAS-AATRIKPKSA-N	None	OC(=O)C(=O)\C=C\C(=O)Nc1sc2CCCCc2c1C#N
1302	PAOXYFXYDDJJBB-UHFFFAOYSA-N	None	CC(C)Cc1ccc(cc1)C(C)C(=O)OCCOCCOCCOCCO
1303	YKBZOVFACRVRJN-UHFFFAOYSA-N	165252-70-0	CN=C(NCC1CCOC1)N[N+](=O)[O-]
1304	FNBQIDOUCINBIA-VVPCINPTSA-N	None	NC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@H](O)[C@@H]1O
1305	KAGKKRMCWJPJMM-UHFFFAOYSA-N	None	Cl.CC(C)(C)C1(O)CCN(CC2c3ccccc3Sc4ccccc24)CC1
1306	FGIUAXJPYTZDNR-UHFFFAOYSA-N	7757-79-1	[N+](=O)([O-])[O-].[K+]
1307	XJWHEWKEXDFKLI-UHFFFAOYSA-N	None	CCNCCCCCNCCCCNCCCCCNCC
1308	KKCBDNQVZSPIJD-UHFFFAOYSA-N	None	N#Cc1ccccc1c2oc3cccnc3n2
1309	METKIMKYRPQLGS-UHFFFAOYSA-N	29122-68-7	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
1310	LYLDLQDRDBSOGP-UHFFFAOYSA-N	None	CCOP(=O)(Cc1ccc(cc1)c2nc3ccccc3s2)N4CCCCCC4=O
1311	LNJPACRITRAPDO-GNFRJPFZSA-N	None	Cl.CCN(CC)C(=O)[C@@]1(CC1CN)c2ccc(F)cc2
1312	GQGVBPGHEDFZCE-UHFFFAOYSA-N	None	Cl.O=C(Cc1ccccc1)NNc2nncc(n2)c3ccccc3
1313	NHARPDSAXCBDDR-UHFFFAOYSA-N	2210-28-8	CCCOC(=O)C(=C)C
1314	BRLQWZUYTZBJKN-UHFFFAOYSA-N	106-89-8	C1C(O1)CCl
1315	HVMCFGHCUTYEAH-UHFFFAOYSA-N	None	CCOC(=O)c1cnc(\N=C(/Nc2cc(C)nc3ccccc23)\NC(C)(C)C)s1
1316	MCAQWHWWQNEHOE-QWAKEFERSA-N	None	CCCCCCCNC(=O)Oc1ccc2CC3N(C)CC[C@@]3(C)c2c1
1317	KWIXNFOTNVKIGM-UHFFFAOYSA-N	6283-25-6	C1=CC(=C(C=C1[N+](=O)[O-])N)Cl
1318	NAYLKIATFUGFIK-RTQXMSIWSA-M	None	[Na+].CCCC(=O)Nc1ncnc2c1nc(SCc3ccccc3)n2[C@@H]4O[C@@H]5COP(=O)([O-])O[C@H]5[C@H]4O
1319	RBQUOYXDYHHAOF-UHFFFAOYSA-M	None	[Cl-].CCCCCCCCCCCCCCCCCCc1c2c(OC)c(OC)ccc2cc3c4cc5OCOc5cc4CC[n+]13
1320	CSVCLUXIZUMABR-SIGULFFNSA-N	None	CN1[C@H]2CCC1C[C@@H](C2)OC(=O)C(C)(c3ccccc3)c4ccccc4
1321	KQZJSQXVAOYUTK-UHFFFAOYSA-N	None	COc1c(NC(=O)C)c(OCCN2CCCCCCC2)c(OC)c3occc13
1322	UUYHSTSRNIVTOO-UHFFFAOYSA-N	None	CC(C)NS(=O)(=O)N1N=C(CC1c2ccccc2)OS(=O)(=O)C
1323	NEMIXBKYPJEZQI-UHFFFAOYSA-N	None	[Cl-].CC[n+]1ccn(CCCS(=O)(=O)C)c1\C=N\O
1324	KZIRCWGBYLITHB-UHFFFAOYSA-N	None	CC(=O)SCCNC(=O)CNC(=O)CN
1325	BKAQXYNWONVOAX-UHFFFAOYSA-N	126-22-7	CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC
1326	OHRVIKONBLIBJX-UHFFFAOYSA-N	None	Oc1ccccc1OCC2NCCS2
1327	IAZDPXIOMUYVGZ-UHFFFAOYSA-N	67-68-5	CS(=O)C
1328	BMLIZLVNXIYGCK-UHFFFAOYSA-N	150-68-5	CN(C)C(=O)NC1=CC=C(C=C1)Cl
1329	XNRNWAAAVFSMDI-UHFFFAOYSA-N	None	CC(C)(C)\N=C(\Nc1ccnc2ccccc12)/Nc3nccs3
1330	JBUMIENRXVFESF-UHFFFAOYSA-N	None	CN1CC(c2ccccc2)c3cccc(NC(=O)OCCCl)c3C1
1331	CYWRFMLHVGCNHJ-UHFFFAOYSA-N	None	NCCCCCCc1ccc(cc1)N2CCCCC2.OC(=O)CCC(=O)O
1332	LGIRBUBHIWTVCK-UHFFFAOYSA-N	19408-74-3	C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl
1333	ZWIFAAWDVNXFLZ-FKWCIMQXSA-M	None	CCN1\C(=C\c2oc3ccccc3[n+]2CC)\S\C(=C/4\Sc5ccccc5N4C)\C1=O.CC(=O)[O-]
1334	WSMYVTOQOOLQHP-UHFFFAOYSA-N	542-78-9	C(C=O)C=O
1335	QCWXDVFBZVHKLV-UHFFFAOYSA-N	98-51-1	CC1=CC=C(C=C1)C(C)(C)C
1336	TWBZHUOBWUHLMX-UHFFFAOYSA-N	None	Cl.Nc1ccc2nc(sc2c1)c3ccc(cc3)C4=NCCN4
1337	PWTSKRNJCZOJQK-INIZCTEOSA-N	None	Cc1ccc(cc1)S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)CCl
1338	BXTDRTSLHRRMHU-UHFFFAOYSA-N	None	Nc1ccc(NC(=O)CC23CCCN2CCC3)cc1
1339	YAEYBUZMILPYLT-UHFFFAOYSA-N	None	Clc1ccc(C(=O)Cn2ccnc2)c(Cl)c1
1340	OQFSQFPPLPISGP-UHFFFAOYSA-N	None	NC(C(C(=O)O)C(=O)O)C(=O)O
1341	NCCHARWOCKOHIH-UHFFFAOYSA-N	None	CNC(=O)c1ccccc1
1342	WUILTBPSMFETIE-UHFFFAOYSA-N	None	CN(C)CCCN1CCN(c2ccccc2)c3ccccc3C1=O
1343	SENYXLSIFWUSBY-UHFFFAOYSA-N	None	CCOC(=O)NC1=NC(CN1C)c2ccccc2
1344	LHXDLQBQYFFVNW-UHFFFAOYSA-N	None	CC12CCC(C1)C(C)(C)C2=O
1345	YASNUXZKZNVXIS-KBUPBQIOSA-N	None	CC1(C)O[C@@H]2[C@@H](COC(=O)c3ccc(cc3)[N+](=O)[O-])O[C@@H](NC(=O)N(CCCl)N=O)[C@@H]2O1
1346	OOVUWIIHRLRJBQ-XMHGGMMESA-N	None	CCCCCc1cc(O)c2\C(=N\CCO)\CC(C)(C)Oc2c1
1347	STNJBCKSHOAVAJ-UHFFFAOYSA-N	78-85-3	CC(=C)C=O
1348	ZDXMLEQEMNLCQG-UHFFFAOYSA-N	74222-97-2	CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C
1349	YRCZDAVWZLUOGX-WLHGVMLRSA-N	None	COc1ccccc1OCC2SCCN2C(=O)CC(=O)NCc3cccnc3.OC(=O)\C=C\C(=O)O
1350	JZKLLFDBHRKRQC-OGSBWILQSA-N	None	CC(C)[C@@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@]3(O)O[C@@H]4[C@@]1(C)[C@]5(O)C[C@@]3(C)[C@@]6(O)CC[C@H](C)[C@@H](O)[C@]46O5
1351	QVVQIIIFHZDBDL-UHFFFAOYSA-N	None	CCCCC1CC[S+]([O-])C1
1352	VTPIGRYJEMQGAE-UHFFFAOYSA-N	None	Cc1c(sc2N3C(=S)NN=C3N(Cc4ccccc4)C(=O)c12)C(=O)N
1353	URNSECGXFRDEDC-UHFFFAOYSA-N	None	CC(=O)N=C1C=CC(=O)C=C1
1354	QDNWGABRTYKOGL-UHFFFAOYSA-N	None	[Cl-].Cn1cc[n+](COC(C)(C)C#C)c1\C=N\O
1355	VVJKKWFAADXIJK-UHFFFAOYSA-N	107-11-9	C=CCN
1356	XYLMUPLGERFSHI-UHFFFAOYSA-N	25013-15-4	CC(=C)C1=CC=CC=C1
1357	XGPCMKJLYCSLIM-UHFFFAOYSA-N	None	OP(=O)(O)OCCCN1CC1
1358	VVCFAILTAOIUOU-UHFFFAOYSA-N	None	[Cl-].CCS(=O)(=O)CCn1cc[n+](C)c1\C=N\O
1359	KAEVGVKBFDCYOV-UHFFFAOYSA-N	None	CC(C)Nc1c(C#N)c(Cl)c(C#N)c(NC(C)C)c1C#N
1360	ZDXPYRJPNDTMRX-UHFFFAOYSA-N	56-85-9	C(CC(=O)N)C(C(=O)O)N
1361	LQNRXRWZHSDOSV-UHFFFAOYSA-N	None	Cc1cc(NC(=N)NC(C)(C)C)c2ccccc2n1
1362	ZXVUJMFKAOAULH-UHFFFAOYSA-N	None	FC(F)(F)C(=O)NNc1nncc(n1)c2ccccc2
1363	DYFWLNSKORKPJF-UHFFFAOYSA-N	None	Cc1c2C(=O)NN(CCN3CCN(Cc4ccc5OCOc5c4)CC3)C(=O)c2c(C)n1c6ccccc6
1364	LGXVIGDEPROXKC-UHFFFAOYSA-N	75-35-4	C=C(Cl)Cl
1365	WSFSSNUMVMOOMR-UHFFFAOYSA-N	108-62-3	C=O
1366	BSXVUWXMTQVJPZ-UHFFFAOYSA-N	None	CCCCCC(=O)Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N
1367	NPIWTBKLISZNRA-UHFFFAOYSA-N	None	N#Cc1c(Nc2nccs2)nc(SCc3nc4ccccc4[nH]3)nc1c5ccccc5
1368	SZGRPKUOURXHEQ-LZECRQBUSA-N	None	CC(=O)N[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]4(C)CC[C@@H](CC4=CC3=O)OC(=O)Cc5ccc(cc5)N(CCCl)CCCl
1369	SYFJFFXWGOBEDF-UHFFFAOYSA-N	None	CSc1nnc(c2ccc(F)cc2)n1C
1370	XXJWXESWEXIICW-UHFFFAOYSA-N	111-90-0	CCOCCOCCO
1371	AXKQBCNRLIDXKR-MWLCHTKSSA-N	None	Cc1c(F)c(nc2N(C=C(C(=O)O)C(=O)c12)C3CC3)N4C[C@H]5C[C@@H]4CN5
1372	CIFYQIGQBITDRZ-UHFFFAOYSA-N	None	Clc1ccc2C(=O)N(CCCCC[Se]C#N)C(=O)c3cccc1c23
1373	ABXIMARDIPOILJ-UHFFFAOYSA-N	None	CNC(=O)Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N
1374	VZNFGPKQFJPXJZ-UHFFFAOYSA-N	None	Cl.CCOC(=O)CCN1CCN(CCOC(c2ccccc2)c3ccc(cc3)[N+](=O)[O-])CC1
1375	VHGGDZFNPSIJCU-UHFFFAOYSA-N	None	CC1(C)NC(C)(C)C(=C1)C(=O)NC(c2ccccc2)c3ccccc3
1376	BDAGIHXWWSANSR-UHFFFAOYSA-N	106-91-2	C(=O)O
1377	BDAGIHXWWSANSR-UHFFFAOYSA-M	64-18-6	C(=O)[O-]
1378	IDZZJRYGIJSJJH-UHFFFAOYSA-N	None	CCC1=Nc2ccccc2C(=O)N1CCCNC(=O)C3CC(C)(C)NC3(C)C
1379	UWFYSQMTEOIJJG-UHFFFAOYSA-N	427-51-0	CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C
1380	UCTWMZQNUQWSLP-UHFFFAOYSA-N	51-43-4	CNCC(C1=CC(=C(C=C1)O)O)O
1381	ASUTZQLVASHGKV-JDFRZJQESA-N	None	COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24
1382	KNHLHFDFFDCJJR-UHFFFAOYSA-N	None	CC(C)(C)N1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CC4CC3CN4
1383	KVNRLNFWIYMESJ-UHFFFAOYSA-N	109-74-0	CCCC#N
1384	QZSFJRIWRPJUOH-UHFFFAOYSA-N	1928-43-4	CCCCC(CC)COC(=O)COC1=C(C=C(C=C1)Cl)Cl
1385	WBWWGRHZICKQGZ-UHFFFAOYSA-N	81-24-3	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
1386	SSGQLMGQEXJOHM-UHFFFAOYSA-N	None	Cl.CC(C)N(CCOc1ccc(N\C(=N/c2ccc(Cl)cc2)\c3ccccc3)cc1)C(C)C
1387	ONDPHDOFVYQSGI-UHFFFAOYSA-N	7779-88-6	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zn+2]
1388	TWPITBLAKKNIMB-UHFFFAOYSA-N	None	[Cl-].C[n+]1ccn(COCC[N+](=O)[O-])c1\C=N\O
1389	VTXRTWRNDAIGFQ-BQYQJAHWSA-N	None	C\C(=C(\C)/c1cccc(c1)C(F)(F)F)\C(=O)N
1390	WQVJHHACXVLGBL-BPJDFBQWSA-N	None	CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O
1391	QTXHFDHVLBDJIO-UHFFFAOYSA-N	2275-18-5	CCOP(=S)(OCC)SCC(=O)NC(C)C
1392	TWAHIBJERHDNTJ-UHFFFAOYSA-N	None	COc1ccc(cc1)c2nc3c4ccccc4ccc3n2CC(C)C
1393	FLHCWVXDKYDBLD-UHFFFAOYSA-N	None	Cc1ccc(cc1)N2CCN3C(=O)C(=O)NN=C23
1394	CWLKGDAVCFYWJK-UHFFFAOYSA-N	591-27-5	C1=CC(=CC(=C1)O)N
1395	OSCTXCOERRNGLW-VOTSOKGWSA-N	None	OCCNC(=O)\C=C\c1ccccc1
1396	TZBPRYIIJAJUOY-UHFFFAOYSA-N	23505-41-1	CCN(CC)C1=NC(=CC(=N1)OP(=S)(OCC)OCC)C
1397	IBLKWZIFZMJLFL-UHFFFAOYSA-N	770-35-4	CC(COC1=CC=CC=C1)O
1398	LGQLOGILCSXPEA-UHFFFAOYSA-L	7786-81-4	[O-]S(=O)(=O)[O-].[Ni+2]
1399	RZXLPPRPEOUENN-UHFFFAOYSA-N	80-33-1	C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl
1400	PZXOQEXFMJCDPG-UHFFFAOYSA-N	1113-02-6	CNC(=O)CSP(=O)(OC)OC
1401	BOSMZFBHAYFUBJ-UHFFFAOYSA-N	78-32-0	CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C
1402	IJLBTCXBESFTGK-JAYUKNCQSA-N	None	Cl.CN1[C@H]2CC[C@H](OC(=O)C(O)(C3CCCC3)c4cccs4)[C@H]1CC2
1403	HFEQWUAVFWWXOQ-UHFFFAOYSA-N	None	CC1(C)C(=O)NC(c2ccc(N)cc2)c3ccccc13
1404	SWLVFNYSXGMGBS-UHFFFAOYSA-N	12124-97-9	[NH4+].[Br-]
1405	KIMMTDPJKKOLLK-UHFFFAOYSA-N	None	Cl.CC(C)N(CCOc1ccc(N\C(=N/c2cccc(c2)C(F)(F)F)\c3ccccc3)cc1)C(C)C
1406	JTFIVVXISJENJT-JDSSLJPYSA-N	None	Nc1ncnc2c1ncn2C3O[C@@H]([C@@H](O)[C@H]3O)C(=O)N4CCOCC4
1407	MOQOSQYVIZYXMK-UHFFFAOYSA-N	None	CCCN(CCC)c1c(F)c(C#N)c(F)c(F)c1C#N
1408	AQASAEVOTVAACQ-UHFFFAOYSA-N	None	COc1ccccc1N2CCN(CC2)C3CC4CCCCC4CC3O
1409	MWKWMNGWIBKDCM-UHFFFAOYSA-N	None	CCSc1nnc(c2ccccc2)n1C
1410	SEDXBOADINLGFR-ILVFAAONSA-N	None	COC1=C(C)C(=O)C2=C([C@H](CC(=O)ON)[C@@]3(O)[C@@H]4[C@H](CN23)N4C)C1=O
1411	PHPLDUNWIMTPMF-UHFFFAOYSA-N	None	Cl.CCN(CC)Cc1cc(c2ccccc2)c3ccccc3n1
1412	CDRROLMXMLSRJV-UHFFFAOYSA-N	None	CCOC1=NCC(=O)N(C)c2ccc(Cl)cc12
1413	HAPOVYFOVVWLRS-UHFFFAOYSA-N	77-67-8	CCC1(CC(=O)NC1=O)C
1414	KNVPOZMDXCHACQ-QXAKKESOSA-N	None	COc1ccc2[C@H]3NCCC[C@H]3[C@@H](c4ccc(N)cc4)c2c1
1415	MZTZDAHYIBBUFT-UHFFFAOYSA-N	None	ClCC(=O)NNc1nncc(n1)c2ccccc2
1416	NAHATSPWSULUAA-ZQGPYOJVSA-N	None	Cl.O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC=C)c45
1417	OMPBZSLBVKDSJL-UHFFFAOYSA-N	None	OC1CCCc2nc3ccccc3c(NCCCOc4ccccc4)c12
1418	DZAANUYJOGCNLL-UHFFFAOYSA-N	None	Cl.CC(N)Cc1ccc(Cl)cc1
1419	TYQOZHONWJMWPW-WYUCPLBVSA-N	None	Br.C[C@H]1N(C)[C@H]2CCC[C@@]1(C2)c3cccc(O)c3
1420	FFWSICBKRCICMR-UHFFFAOYSA-N	110-12-3	CC(C)CCC(=O)C
1421	LEBVLXFERQHONN-UHFFFAOYSA-N	38396-39-3	CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
1422	IIZZSPOBOIMENB-SJEOTZHBSA-M	None	[Na+].Oc1ccc(F)cc1\C(=N\CCCC(=O)[O-])\c2ccc(Cl)cc2
1423	SORJVWRWCILHCL-CPBGNOMPSA-N	None	CC(C)CCCCC(=O)N[C@@H](CCNC(=O)CN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
1424	RJKGJBPXVHTNJL-UHFFFAOYSA-N	86-57-7	C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-]
1425	PJHOBAOZIVAPRZ-WLHGVMLRSA-N	None	OC1CCCc2nc3ccccc3c(NCc4c(F)c(F)c(F)c(F)c4F)c12.OC(=O)\C=C\C(=O)O
1426	MHQZOYSHPMLLDI-UHFFFAOYSA-N	None	FC(F)(F)c1cccc(c1)C2(NC(=O)NC2=O)c3ccccc3
1427	VUIWJRYTWUGOOF-UHFFFAOYSA-N	764-48-7	C=COCCO
1428	VEZTUMHOFWBYOM-FZUKDBDVSA-N	None	CCCCCCCCCCC[C@@H](O)CC(=O)NC1C(CC(=O)O)OC(CO)C(OC(=O)C[C@H](O)CCCCCCCCCCC)C1OC(=O)C[C@H](O)CCCCCCCCCCC
1429	MWVOGGOTSMCWDD-UHFFFAOYSA-N	None	CCOC(=O)C1=C(Nc2ccc(Sc3ccccc3)cc2)C(=O)N(C1)C(C)C
1430	TZUQLYUYUOKMRR-UHFFFAOYSA-N	None	CCC(CC)C(=O)Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1Cl
1431	UHDGCWIWMRVCDJ-UHFFFAOYSA-N	147-94-4	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
1432	SLQNZGBVDLSNCV-UHFFFAOYSA-N	None	Cl.COc1ccccc1c2cccc3CCN(Cc4ccccc4)Cc23
1433	QLNOTHFOIILJJZ-UHFFFAOYSA-N	None	CC(C)C(N)C(=O)NCC(=O)N(C)c1ccc(Cl)cc1C(=O)c2ccccc2
1434	YUHQZQHOBASSTJ-UHFFFAOYSA-N	None	CCCCC(CC)C\N=C(/Nc1cc(C)nc2ccccc12)\Nc3nccs3
1435	IZIOZNAKZSDOFS-UHFFFAOYSA-N	None	CCc1cc2C(=Nc3cc(F)ccc3Nc2s1)N4CCN(CC4)c5cccc(Cl)c5
1436	XHFXMNZYIKFCPN-UHFFFAOYSA-N	7616-94-6	O=Cl(=O)(=O)F
1437	OAYXUHPQHDHDDZ-UHFFFAOYSA-N	112-34-5	CCCCOCCOCCO
1438	KQYYIBKRCRNGLJ-UHFFFAOYSA-N	None	[Cl-].C[n+]1ccn(CCF)c1\C=N\O
1439	ZJRLAXXWQHSIBZ-UHFFFAOYSA-N	None	Cl.OC(Cn1ccnc1)c2ccc(Oc3ccccc3)cc2
1440	NJUOMYTUHSMITF-HCTXVGCHSA-N	None	[O-][N+](=O)\N=C/1\N(Cc2oc(CN3CCN(Cc4ccc(Cl)nc4)/C/3=N\[N+](=O)[O-])cc2)CCN1Cc5ccc(Cl)nc5
1441	GBXSMTUPTTWBMN-UHFFFAOYSA-N	76095-16-4	CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O
1442	WWYNJERNGUHSAO-UHFFFAOYSA-N	6533-00-2	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
1443	AVLXMXWMJFRHTP-KWKYVRJSSA-N	None	[O-][P@@+]1(NC[C@@H](Cl)CO1)N(CCCl)CCCl
1444	HQZCJRMVMTZZIB-VCVYQWHSSA-N	None	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)CF)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C
1445	XXIINSHWYFXOSI-UHFFFAOYSA-N	None	OC(=O)Cc1ccc(N2CCCCC2)c(Cl)c1
1446	RLBIQVVOMOPOHC-UHFFFAOYSA-N	298-00-0	COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]
1447	OJGNXUCQPNDSNH-UHFFFAOYSA-N	None	COCCN(CCOC)c1nn2c(nnc2c3ccccc13)c4cccc(Cl)c4
1448	USRLRJWCKURKCO-UHFFFAOYSA-N	None	COC(=O)c1cccc2nc(N)nc(N)c12
1449	KFWGKECULQNZER-UHFFFAOYSA-N	None	CCCCCCNC(=O)Oc1ccc2C3CC(CCN3C)c2c1
1450	DUBNHZYBDBBJHD-UHFFFAOYSA-L	137-30-4	CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
