InChIKey	CanonicalSMILES	Organism	Relation	LD50(mg/kg)	Confidence_Score(highest=9)
LRWMVMQATSCLEF-UHFFFAOYSA-N	Cl.COc1ccccc1c2cccc3CCNCc23	Mus musculus	=	81.0	1
NTGDPOAXBVUYEY-UHFFFAOYSA-N	Cl.Cl.COc1cccc(n1)N2CCN(CCC(=O)Nc3ccc(N)cc3)CC2	Mus musculus	=	227.0308	1
NTGDPOAXBVUYEY-UHFFFAOYSA-N	Cl.Cl.COc1cccc(n1)N2CCN(CCC(=O)Nc3ccc(N)cc3)CC2	Mus musculus	=	685.376	1
MELCFFIZPRWPTH-UHFFFAOYSA-N	Cl.Cl.Oc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	2076.412	1
ZQFYDWMPFWNSMT-UHFFFAOYSA-N	Cc1cc(nnc1NCCN2CCOCC2)c3cccc4ccccc34	Mus musculus	=	7.0	1
VIUDAFUCYIXLKN-UHFFFAOYSA-N	Cc1cc(nnc1NCCCN)c2ccccc2	Mus musculus	=	300.0	1
FIYPHPXOBJSCJJ-UHFFFAOYSA-N	CCN(CC)CC(=O)Nc1ccc(Sc2ccccc2)cc1	Mus musculus	=	45.0	1
FIYPHPXOBJSCJJ-UHFFFAOYSA-N	CCN(CC)CC(=O)Nc1ccc(Sc2ccccc2)cc1	Mus musculus	=	275.0	1
ATKDSBQMBDXBRN-UHFFFAOYSA-N	Cl.O=C(CN1CCCCC1)NCc2ccccc2	Mus musculus	=	65.8511	1
MBDJAKLKVMNKMC-UHFFFAOYSA-N	CN(C)CC(=O)N(C)c1ccc(Sc2ccccc2)cc1	Mus musculus	=	50.0	1
ILTAXXSQZASXBD-UHFFFAOYSA-N	Nc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	361.2051	1
ILTAXXSQZASXBD-UHFFFAOYSA-N	Nc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	419.7789	1
MAVOTMZDFYXNAJ-OMOCHNIRSA-N	CCN(CC)C(=O)[C@]1(CC1CNC(=O)C)c2ccccc2	Mus musculus	>	1000.0	1
ZAIARNDRCMAJJA-UHFFFAOYSA-N	CC1C[N+](C)(CC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+]4(C)CCOC(C)C4)CCO1	Mus musculus	=	6.06593	1
OPQCCIJNUPTELH-UHFFFAOYSA-N	Cc1cccc(c1)c2cc(C)c(NCCN3CCOCC3)nn2	Mus musculus	=	23.0	1
MUNWYEVAHTYUEK-UHFFFAOYSA-N	Cc1cc(C)c(NCCN2CCOCC2)nn1	Mus musculus	>	100.0	1
GEXSCHFODZRCDT-UHFFFAOYSA-N	COc1ccc(cc1)c2cc3nc(N(C)C)c4ccccc4c3nn2	Mus musculus	>	600.0	1
OEKRRNONKYUCFF-UHFFFAOYSA-N	COc1ccc(cc1)c2cc3nc(N4CCCC4)c5ccccc5c3nn2	Mus musculus	>	600.0	1
QTPURKADFWXFJG-UHFFFAOYSA-N	Cl.Cl.O=C(CCN1CCN(CC1)c2ccccn2)Nc3ccc(cc3)C#N	Mus musculus	=	159.2448	1
QTPURKADFWXFJG-UHFFFAOYSA-N	Cl.Cl.O=C(CCN1CCN(CC1)c2ccccn2)Nc3ccc(cc3)C#N	Mus musculus	=	253.1584	1
VSDKBDMCFNAYRN-UHFFFAOYSA-N	Cl.Cl.CCOC(=O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	300.5508	1
VSDKBDMCFNAYRN-UHFFFAOYSA-N	Cl.Cl.CCOC(=O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	418.9496	1
OIMMOCJPPYKUDT-UHFFFAOYSA-N	CCOC(=O)C(=O)Nc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	None	>	2999.634	0
WEMIOYJJHZYYTG-UHFFFAOYSA-N	Cl.COC(=O)CCN1CCN(CC1)c2ccccn2	Mus musculus	=	1148.7954	1
ZPVDPSQRZGDIRI-UQKHFXBCSA-N	Cl.CC(C)OC(=O)[C@]1(CC1CN)c2ccc(C)cc2	Mus musculus	=	1000.0	1
FQTIFUAYWZPUQW-UHFFFAOYSA-N	C(CN1CCOCC1)Nc2nnc(cc2Cc3ccc4ccccc4c3)c5ccccc5	Mus musculus	=	275.0	1
DRKKODWXCJXUCM-UHFFFAOYSA-N	Br.Br.Cc1cc(nnc1NCCN2CCOCC2)c3ccc(O)cc3	Mus musculus	>	300.0	1
FODGRHOLEFBWMW-UHFFFAOYSA-N	COc1ccc(cc1)c2cc3nc(N4CCCCC4)c5ccccc5c3nn2	Mus musculus	>	600.0	1
SPZKLGPUSSJDAK-UHFFFAOYSA-N	Cl.Cl.COc1cccc(NC(=O)CCN2CCN(CC2)c3ccccn3)c1	Mus musculus	=	487.7412	1
SPZKLGPUSSJDAK-UHFFFAOYSA-N	Cl.Cl.COc1cccc(NC(=O)CCN2CCN(CC2)c3ccccn3)c1	Mus musculus	=	2934.714	1
PNXCYOFOZHXZQW-UHFFFAOYSA-N	Cl.Cl.CCC(=O)Nc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	477.1095	1
PNXCYOFOZHXZQW-UHFFFAOYSA-N	Cl.Cl.CCC(=O)Nc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	695.2167	1
OVGABYAKJODJRE-ATZSUDHOSA-N	Cl.CCOC(=O)[C@]1(CC1CN(C)CCc2ccccc2)c3ccccc3	Mus musculus	=	1000.0	1
LNJPACRITRAPDO-GNFRJPFZSA-N	Cl.CCN(CC)C(=O)[C@@]1(CC1CN)c2ccc(F)cc2	Mus musculus	=	422.0	1
HCYAFALTSJYZDH-UHFFFAOYSA-N	CNCCCN1c2ccccc2CCc3ccccc13	Mus musculus	=	572.0	1
KQUSNIAIFDOOIX-UHFFFAOYSA-N	CCN(CC)C(=S)SC\C(=N/c1ccc(C)cc1)\Nc2ccc(OC)cc2	Mus musculus	=	970.0	1
IEIRTQHMYQQWSP-UHFFFAOYSA-N	CCOc1ccc(N\C(=N\c2ccc(OC)cc2)\CSC(=S)N(CC)CC)cc1	Mus musculus	=	1270.0	1
AGADJCRPQYMCDF-UHFFFAOYSA-N	CCN(CC)CCNc1nnc(cc1C)c2ccccc2	Mus musculus	=	80.0	1
MSAMMXWFDDEMAO-UHFFFAOYSA-N	CCCN(CCC)CCNc1nnc(cc1C)c2ccccc2	Mus musculus	=	76.0	1
XWPCYYOZOJKYKQ-UHFFFAOYSA-N	ClCCN(N=O)C(=O)NCCSSCCNC(=O)N(CCCl)N=O	Mus musculus	=	28.0	1
FRWXXTPLLNYZIW-UHFFFAOYSA-N	CN(C(=O)CN1CCOCC1)c2ccc(Sc3ccccc3)cc2	Mus musculus	=	75.0	1
HTKFSFGQUWGCRB-UHFFFAOYSA-N	Cl.CCN(CC)CC(=O)NC(c1ccccc1)c2ccccc2	Mus musculus	=	70.56844	1
XRGMNGFNWBAUAG-UHFFFAOYSA-N	Cl.Cl.COc1cccc(n1)N2CCN(CCC(=O)Nc3ccccc3N)CC2	Mus musculus	=	158.4932	1
XRGMNGFNWBAUAG-UHFFFAOYSA-N	Cl.Cl.COc1cccc(n1)N2CCN(CCC(=O)Nc3ccccc3N)CC2	Mus musculus	=	287.0012	1
XHONTWIYHRLHGH-UHFFFAOYSA-N	Cl.Cl.NC(=O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	None	>	2728.576	0
NMVXCDNOGOROMF-UHFFFAOYSA-N	Cl.Cl.C=CCOC(=O)CCN1CCN(CC1)c2ccccn2	Mus musculus	=	358.7181	1
NMVXCDNOGOROMF-UHFFFAOYSA-N	Cl.Cl.C=CCOC(=O)CCN1CCN(CC1)c2ccccn2	None	>	2998.6047	0
BAINIUMDFURPJM-UHFFFAOYSA-N	O=C1Nc2ccccc2N1CCCN3CCN(CC3)C(c4ccccc4)c5ccccc5	None	>	3113.815	0
DSSSJSMELQGRLL-ASSPZCQQSA-N	CCNC(=O)[C@]1(CC1CN)c2ccccc2.OC(=O)C(=O)O	Mus musculus	=	316.0	1
XNCDYJFPRPDERF-PBCQUBLHSA-N	Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2	Mus musculus	=	562.0	1
KPSXDGNFHFHNQT-UHFFFAOYSA-N	C(CN1CCOCC1)Nc2nnc(cc2Cc3ccccc3)c4ccccc4	Mus musculus	=	131.0	1
XPBMAZMAUFVADB-UHFFFAOYSA-N	CC1COCCN1CCNc2nnc(cc2C)c3ccccc3	Mus musculus	=	110.0	1
ZMFQCKGRFZAIRV-UHFFFAOYSA-N	CN(C(=O)C1CN(C)C(=O)C1=O)c2ccc(Sc3ccccc3)cc2	Mus musculus	>	1000.0	1
CSGQIDFEPHSXSR-UHFFFAOYSA-N	Cl.CCCN(CCC)CC(=O)NCc1ccccc1	Mus musculus	=	72.34428	1
KMLDWAQLVQJKAE-UHFFFAOYSA-N	O=C(CN1CCCC1)c2ccc(cc2)c3ccc(cc3)C(=O)CN4CCCC4	Mus musculus	=	279.920315	1
GPACEISPPBYITD-UHFFFAOYSA-N	Cc1cc(nnc1NCCN2CCOCC2)c3ccc(Cl)cc3	Mus musculus	=	62.0	1
QBTWKSLNIAGPIF-UHFFFAOYSA-N	Cc1cc(nnc1NCCN2CCOCC2)C3CCCCC3	Mus musculus	=	43.0	1
QYVOIIMAGRIBJM-UHFFFAOYSA-N	CN(C(=O)CN1CCCCC1)c2ccc(Sc3ccccc3)cc2	Mus musculus	=	25.0	1
NLLYNDSNEKAPAF-UHFFFAOYSA-N	Cl.COc1cccc(c1)c2cccc3CCN(C)Cc23	Mus musculus	=	156.0	1
PKKPTPQOBVSZFC-QQVJCTLCSA-N	Cl.CC(C)OC(=O)[C@]1(CC1CN)c2ccccc2	Mus musculus	=	100.0	1
QBQZQZQYWGDFCT-UHFFFAOYSA-N	C[N+]1(CC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+]4(C)CCCC4)CCCC1	Mus musculus	=	0.3008544	1
HHMTYUFUVZLXEM-UHFFFAOYSA-N	C[N+]1(CC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+]4(C)CCOCC4)CCOCC1	Mus musculus	=	1.666528	1
PPAZUZVROKJZEK-UHFFFAOYSA-N	CC(CN)Nc1nnc(cc1C)c2ccccc2	Mus musculus	>	200.0	1
KRNDIPHOJLIHRI-UHFFFAOYSA-N	N#Cc1cc(nnc1NCCN2CCOCC2)c3ccccc3	Mus musculus	>	250.0	1
RXJWBJGNIOZICN-UHFFFAOYSA-N	CC1(C)OC(C)(C)c2c1nnc(c3cccc(c3)[N+](=O)[O-])[n+]2[O-]	Mus musculus	>	400.0	1
RXJWBJGNIOZICN-UHFFFAOYSA-N	CC1(C)OC(C)(C)c2c1nnc(c3cccc(c3)[N+](=O)[O-])[n+]2[O-]	Mus musculus	>	400.0	1
RXJWBJGNIOZICN-UHFFFAOYSA-N	CC1(C)OC(C)(C)c2c1nnc(c3cccc(c3)[N+](=O)[O-])[n+]2[O-]	Mus musculus	>	400.0	1
RXJWBJGNIOZICN-UHFFFAOYSA-N	CC1(C)OC(C)(C)c2c1nnc(c3cccc(c3)[N+](=O)[O-])[n+]2[O-]	Mus musculus	>	235.0	1
RXJWBJGNIOZICN-UHFFFAOYSA-N	CC1(C)OC(C)(C)c2c1nnc(c3cccc(c3)[N+](=O)[O-])[n+]2[O-]	Rattus norvegicus	>	800.0	1
RXJWBJGNIOZICN-UHFFFAOYSA-N	CC1(C)OC(C)(C)c2c1nnc(c3cccc(c3)[N+](=O)[O-])[n+]2[O-]	Rattus norvegicus	>	800.0	1
QSOAEYXHPLCMNQ-UHFFFAOYSA-N	Cl.Cl.[O-][N+](=O)c1cccc(NC(=O)CCN2CCN(CC2)c3ccccn3)c1	Mus musculus	=	179.8902	1
QSOAEYXHPLCMNQ-UHFFFAOYSA-N	Cl.Cl.[O-][N+](=O)c1cccc(NC(=O)CCN2CCN(CC2)c3ccccn3)c1	Mus musculus	=	886.6017	1
MHKNGDFOVQJCIO-UHFFFAOYSA-N	Cl.Cl.Clc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	259.0112	1
MHKNGDFOVQJCIO-UHFFFAOYSA-N	Cl.Cl.Clc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	401.0496	1
AEKAUXWWOQKGHH-XLBQKXHYSA-N	CN(C)CC1C[C@@]1(C(=O)OCC=C)c2ccccc2.OC(=O)\C=C\C(=O)O	Mus musculus	=	1000.0	1
BLPXCMVMGXLNJR-UHFFFAOYSA-N	CN(C(=O)c1ccc(Cl)cc1)c2ccc(Sc3ccccc3)cc2	Mus musculus	>	1000.0	1
BFDTUOVLIIFRHR-UHFFFAOYSA-N	Cl.CCN(CC)CC(=O)NC1CCc2ccccc12	Mus musculus	=	67.30878	1
KAFKAPIXSPLIFO-UHFFFAOYSA-N	Cl.Cl.COc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	293.4714	1
KAFKAPIXSPLIFO-UHFFFAOYSA-N	Cl.Cl.COc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	479.4744	1
MKERTDKHCXSNQX-UHFFFAOYSA-N	C[N+](C)(CC1OCCCO1)CC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+](C)(C)CC4OCCCO4	Mus musculus	=	3.844618	1
MNJPGYJWXJESNZ-UHFFFAOYSA-N	Cc1cc(nnc1NCCN2CCOCC2)c3ccc(cc3)[N+](=O)[O-]	Mus musculus	=	35.0	1
YGASKTMXOPYREB-UHFFFAOYSA-N	COc1ccccc1c2cc(C)c(NCCN3CCOCC3)nn2	Mus musculus	=	40.0	1
ZIKYSSKPKCZFMB-UHFFFAOYSA-N	Cl.COc1cccc(c1)c2cccc3CCN(Cc4ccccc4)Cc23	Mus musculus	>	320.0	1
PCRNSUWZKHSAPE-UHFFFAOYSA-N	CN(C)c1nc2cc(nnc2c3ccccc13)c4ccccc4	Mus musculus	>	600.0	1
FRXHUKCFBXGFBN-UHFFFAOYSA-N	C1CCN(C1)c2nc3cc(nnc3c4ccccc24)c5ccccc5	Mus musculus	=	300.0	1
YIVDYVALBZBKLH-UHFFFAOYSA-N	Cl.Cl.Cc1cc(C)c(C)c(NC(=O)CCN2CCN(CC2)c3ccccn3)c1C	Mus musculus	=	250.4694	1
XQYZTEXKRYMSQG-UHFFFAOYSA-N	OC(=O)CCN1CCN(CC1)c2ccccn2	Mus musculus	=	1303.4512	1
OYJJYVNQJPKLIY-RVFDVJBWSA-N	Cl.CC(C)OC(=O)[C@]1(CC1CN)c2ccc(Cl)cc2	Mus musculus	=	255.0	1
HCEJJXRJUNFIPA-BXWZNKKMSA-N	Cl.CC(C)OC(=O)[C@]1(CC1CN(C)C)c2ccccc2	Mus musculus	=	422.0	1
ZJAYCQBGISLJTG-PXQHBHPGSA-N	CCOC(=O)[C@]1(CC1CN(C(C)C)C(C)C)c2ccccc2.OC(=O)\C=C/C(=O)O	Mus musculus	=	750.0	1
QMODFZIXFFBZNB-UHFFFAOYSA-N	CCN(CC)C(=S)SC\C(=N/c1ccccc1)\Nc2ccc(C)cc2	Mus musculus	=	720.0	1
GHKABPDNWHXLHG-UHFFFAOYSA-N	Cl.Cc1cc(nnc1NCCN2CCOCC2)c3ccccc3	Mus musculus	=	63.0	1
UAIHSJSHAQNCDS-UHFFFAOYSA-N	Cl.CC1Cc2cccc(c2CN1Cc3ccccc3)c4ccccc4	Mus musculus	=	227.0	1
HTRSFGIHCRMLEE-UHFFFAOYSA-N	CC(O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	1151.9625	1
HTRSFGIHCRMLEE-UHFFFAOYSA-N	CC(O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	2116.0665	1
HEEMERDFOBAECZ-UHFFFAOYSA-N	O=C(CN1CCCCC1)c2ccc(cc2)c3ccc(cc3)C(=O)CN4CCCCC4	Mus musculus	=	160.80465	1
JRPLEARVGIUFIY-UHFFFAOYSA-N	C1CN(CCO1)c2nc3cc(nnc3c4ccccc24)c5ccccc5	Mus musculus	=	200.0	1
ZZCQVBJSBNDULC-UHFFFAOYSA-N	CCN(CC)C(=S)SC\C(=N/c1ccccc1)\Nc2ccc(OC)cc2	Mus musculus	=	780.0	1
RVOLLAQWKVFTGE-UHFFFAOYSA-N	CN(C)C(=O)Oc1ccc[n+](C)c1	Mus musculus	=	1.866463	1
PJWPOXHXLYHRAK-UHFFFAOYSA-N	COc1cccc(c1)c2cc(C)c(NCCN3CCOCC3)nn2	Mus musculus	=	18.0	1
SLQNZGBVDLSNCV-UHFFFAOYSA-N	Cl.COc1ccccc1c2cccc3CCN(Cc4ccccc4)Cc23	Mus musculus	>	160.0	1
WMPZJTJXHIWWGM-XLBQKXHYSA-N	CCOC(=O)[C@]1(CC1CN(C)CCO)c2ccccc2.OC(=O)\C=C\C(=O)O	Mus musculus	>	1000.0	1
QGOODCRKVILNBY-UQKHFXBCSA-N	Cl.CCOC(=O)[C@]1(CC1CN(C)C)c2ccccc2	Mus musculus	>	1000.0	1
NKQJZWPGOHAXIL-NEIGUCDHSA-N	Cl.CCN(CC)C(=O)[C@@]1(CC1CN)c2ccccc2Cl	Mus musculus	=	422.0	1
BJYOUISVJOJDDP-OIBOYYEISA-N	Cl.CCN(CC)C(=O)[C@@]1(CC1CN)c2ccc(C)cc2	Mus musculus	=	750.0	1
WLOPXQZGANMRGN-UHFFFAOYSA-N	C[N+]1(CC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+]4(C)CCCCC4)CCCCC1	Mus musculus	=	0.695376	1
MWVOGGOTSMCWDD-UHFFFAOYSA-N	CCOC(=O)C1=C(Nc2ccc(Sc3ccccc3)cc2)C(=O)N(C1)C(C)C	Mus musculus	>	1000.0	1
XJYKIMSBCSRRAU-UHFFFAOYSA-N	Cl.Cl.CCOc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	294.8853	1
XJYKIMSBCSRRAU-UHFFFAOYSA-N	Cl.Cl.CCOc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	393.1804	1
YALUDWVQPQYYRS-LTXLLRJYSA-N	Cl.CCOC(=O)[C@]1(CC1CN(C)C)c2ccc(F)cc2	Mus musculus	=	562.0	1
BQVGMMZEMYVSEG-GNFRJPFZSA-N	Cl.CCN(CC)C(=O)[C@@]1(CC1CN)c2ccc(Cl)cc2	Mus musculus	=	422.0	1
KSKVOYHVTYRAHL-PZBUXUTESA-N	CCCCN(CCCC)C(=O)[C@]1(CC1CN)c2ccccc2.OC(=O)C(=O)O	Mus musculus	=	562.0	1
POULBPABYBYDQE-UHFFFAOYSA-N	Br.Br.Cc1cc(nnc1NCCN2CCOCC2)c3ccccc3O	Mus musculus	>	200.0	1
XWPCYYOZOJKYKQ-UHFFFAOYSA-N	ClCCN(N=O)C(=O)NCCSSCCNC(=O)N(CCCl)N=O	Mus musculus	=	75.0	1
ZFNSZWRVBKSLIN-UHFFFAOYSA-N	Cc1cccc(C)c1NC(=O)CCN2CCN(CC2)c3ccccn3	Mus musculus	=	274.1445	1
VLARUOGDXDTHEH-UHFFFAOYSA-L	[Na+].[Na+].OC(COc1cccc2OC(=CC(=O)c12)C(=O)[O-])COc3cccc4OC(=CC(=O)c34)C(=O)[O-]	None	>	3284.0353	0
YFKRRFJEZYBYJL-ASSPZCQQSA-N	Cl.CCOC(=O)[C@]1(CC1CN)c2ccccc2	Mus musculus	=	316.0	1
RDCPUFAKGRRBMA-PZFASQSNSA-N	CCCCCCN(CCCCCC)C(=O)[C@]1(CC1CN)c2ccccc2.OC(=O)C(=O)O	Mus musculus	>	1000.0	1
ZVCVGRVTJUPCFG-UHFFFAOYSA-N	Br.Br.Cc1cc(nnc1NCCN2CCOCC2)c3cccc(O)c3	Mus musculus	>	200.0	1
RBKAHBDUBCYBRG-UHFFFAOYSA-N	Cl.CCCN(CCC)CC(=O)NC1CCc2ccccc12	Mus musculus	=	45.0747	1
ZXUKIAAIZXWCNU-UHFFFAOYSA-N	COc1ccc(cc1)c2cc3nc(N4CCOCC4)c5ccccc5c3nn2	Mus musculus	>	600.0	1
GUWLHBGNZVSJCJ-UHFFFAOYSA-N	CSc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	None	>	2994.516	0
HNPIXIDRSZICDU-UHFFFAOYSA-N	Cl.Cl.CNC(=O)Nc1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	None	>	2959.97	0
OJDNEJHPHWQMHK-PKESZJFOSA-N	Cl.CC(C)N(C(C)C)C(=O)[C@]1(CC1CN)c2ccccc2	Mus musculus	=	100.0	1
MYFYXBKMVQWMLB-UHFFFAOYSA-N	CCOc1ccc(N\C(=N\c2ccc(OCC)cc2)\CSC(=S)N(CC)CC)cc1	Mus musculus	=	1240.0	1
IAMNQWPFFLMKPU-UHFFFAOYSA-N	Cc1cc(nnc1NCCN)c2ccccc2	Mus musculus	=	300.0	1
LMRGURFWGRDIIQ-UHFFFAOYSA-N	O=C(CN1CCCC1)NCc2ccccc2	Mus musculus	=	78.80269	1
YPQSYBCPGPLLCN-UHFFFAOYSA-N	Cl.COc1ccccc1c2cccc3CCN(C)Cc23	Mus musculus	=	81.0	1
OKKPPAJEVLEIKD-UHFFFAOYSA-N	CC(O)CN(C)c1nc2cc(nnc2c3ccccc13)c4ccccc4	Mus musculus	=	300.0	1
JVUAPNRAZHVOAU-UHFFFAOYSA-N	Cc1ccccc1NC(=O)CCN2CCN(CC2)c3ccccn3	Mus musculus	=	327.6642	1
JVUAPNRAZHVOAU-UHFFFAOYSA-N	Cc1ccccc1NC(=O)CCN2CCN(CC2)c3ccccn3	Mus musculus	=	512.5836	1
FQHACESPDGFOCW-UHFFFAOYSA-N	Cl.Cl.[O-][N+](=O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	201.3057	1
FQHACESPDGFOCW-UHFFFAOYSA-N	Cl.Cl.[O-][N+](=O)c1ccc(NC(=O)CCN2CCN(CC2)c3ccccn3)cc1	Mus musculus	=	346.9311	1
DXUQZLLVEIKZLQ-UHFFFAOYSA-N	Cl.Cl.CC1CN(CCN1CCC(=O)Nc2ccc(cc2)[N+](=O)[O-])c3ccccn3	Mus musculus	=	185.7828	1
DXUQZLLVEIKZLQ-UHFFFAOYSA-N	Cl.Cl.CC1CN(CCN1CCC(=O)Nc2ccc(cc2)[N+](=O)[O-])c3ccccn3	Mus musculus	=	530.808	1
OKXPSPGUYPUREQ-QQVJCTLCSA-N	Cl.COC(=O)[C@]1(CC1CN(C)C)c2ccccc2	Mus musculus	=	750.0	1
BCEPJLJQGQCNPB-SJECBDQJSA-N	Cl.CCOC(=O)[C@]1(CC1CN(C)C)c2ccc(OC)cc2	Mus musculus	=	562.0	1
YEACAFYPRCZDDJ-QTCNVDEASA-N	CC1CCC(C)N1C(=O)[C@]2(CC2CN)c3ccccc3.OC(=O)\C=C\C(=O)O	Mus musculus	=	100.0	1
WZSAVXOPDAUPER-BXWZNKKMSA-N	CCN(CC)C(=O)[C@]1(CC1CNC)c2ccccc2.OC(=O)C(=O)O	Mus musculus	=	316.0	1
RXJAPOWGYNEAJL-UHFFFAOYSA-N	Clc1ccc(Cc2cc(nnc2NCCN3CCOCC3)c4ccccc4)cc1	Mus musculus	=	180.0	1
NQIUNIFYLMJSOR-UHFFFAOYSA-N	COc1ccc(cc1)c2cc(C)c(NCCN3CCOCC3)nn2	Mus musculus	=	19.0	1
FAXNSIHPVPBXIA-UHFFFAOYSA-N	CNCCNc1nnc(cc1C)c2ccccc2	Mus musculus	>	200.0	1
ZQOYIQARZJMAAT-UHFFFAOYSA-N	CN(C)CCNc1nnc(cc1C)c2ccccc2	Mus musculus	=	118.0	1
YHIJAOKUOVZSMU-UHFFFAOYSA-N	CN(C(=O)C1CC1)c2ccc(Sc3ccccc3)cc2	Mus musculus	>	1000.0	1
VVPPQVNHQGUJOH-UHFFFAOYSA-N	CC(C)N1CC(C(=O)N(C)c2ccc(Sc3ccccc3)cc2)C(=O)C1=O	Mus musculus	>	1000.0	1
MLBWNSOQQHNCCM-WLHGVMLRSA-N	CN1CCc2cccc(c2C1)c3ccccc3.OC(=O)\C=C\C(=O)O	Mus musculus	<	320.0	1
FTGKQVHDQBHHNA-UHFFFAOYSA-N	O=C(CCN1CCN(CC1)c2ccccn2)Nc3ccc(NC(=O)Nc4ccccc4)cc3	None	>	2978.351	0
FVRWSVHBLIMFCQ-QJYMGJSJSA-N	CCOC(=O)[C@]1(CC1CN(CCO)CCO)c2ccccc2.OC(=O)\C=C/C(=O)O	Mus musculus	>	1000.0	1
BCGWQEUPMDMJNV-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc3ccccc13	Mus musculus	=	400.0	1
UUEACXTZIFOPHV-UHFFFAOYSA-N	CCOC(=O)c1cc(nnc1NCCN2CCOCC2)c3ccccc3	Mus musculus	=	180.0	1
LVXHNBYZWWJQOK-UHFFFAOYSA-N	Cc1ccc(cc1)c2cc(C)c(NCCN3CCOCC3)nn2	Mus musculus	=	51.0	1
IHGHYTVLKPZYEV-UHFFFAOYSA-N	Cc1cc(nnc1NCCCCN)c2ccccc2	Mus musculus	=	300.0	1
BHXWTVPXUILQTE-UHFFFAOYSA-N	Cc1cc(nnc1NCCN2CCCC2)c3ccccc3	Mus musculus	=	70.0	1
SOGREIDAKJLDPI-UHFFFAOYSA-N	Br.CC1Cc2cccc(c2CN1C)c3ccccc3	Mus musculus	<	320.0	1
AZCKBKFYTJRIEE-UHFFFAOYSA-N	Cl.COc1cccc(n1)N2CCN(CCC(=O)Nc3ccccc3[N+](=O)[O-])CC2	None	>	2995.348	0
USAOBOPIXZXCQY-MLVYHOMMSA-N	Cl.CCN(CC)C(=O)[C@]1(CC1CN2CCN(C)CC2)c3ccccc3	Mus musculus	>	1000.0	1
GHKBYUPKUSXNKN-UHFFFAOYSA-N	CCN(CC)C(=S)SC\C(=N/c1ccccc1)\Nc2ccccc2	Mus musculus	=	840.0	1
NHIMKJGHMGZYFT-UHFFFAOYSA-N	CC1CC[N+](C)(CC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)C[N+]4(C)CCC(C)C4)C1	Mus musculus	=	0.3650724	1
GXILOPDDHNQRMG-UHFFFAOYSA-N	Cc1cc(Cc2ccccc2)nnc1NCCN3CCOCC3	Mus musculus	=	30.0	1
XDJWSBMMQWWPSU-UHFFFAOYSA-N	CN(C(=O)CN1CCCC1)c2ccc(Sc3ccccc3)cc2	Mus musculus	=	35.0	1
MSDJXHROWFTINH-UHFFFAOYSA-N	CN(C(=O)c1ccccc1OC(=O)C)c2ccc(Sc3ccccc3)cc2	Mus musculus	=	1000.0	1
OSWGLNLDGMVILJ-UHFFFAOYSA-N	Cl.CCN(CC)CC(=O)NCc1ccccc1	Mus musculus	=	96.54552	1
UBWORYSYGGHDHN-UHFFFAOYSA-N	Cl.C1Cc2cccc(c2CN1)c3ccccc3	Mus musculus	=	82.0	1
XCGBHKFYNWGXQJ-UHFFFAOYSA-N	Cc1c(C)c(C(=O)NCCN2CCN(CC2)c3ccccn3)c(C)c(C)c1N	Mus musculus	=	270.8721	1
