InChIKey	CanonicalSMILES	Organism	Relation	LD50(mg/kg)	Confidence_Score(highest=9)
INDBQLZJXZLFIT-UHFFFAOYSA-N	COc1cc(NC(C)CCCN)c2ncccc2c1	Rattus norvegicus	=	244.0	1
ZFXYFBGIUFBOJW-UHFFFAOYSA-N	CN1C(=O)N(C)c2nc[nH]c2C1=O	Mus musculus	=	342.304	1
XBMOUZNETTVYDU-PYMCNQPYSA-N	CCc1cc(ccc1NCc2cnc3nc(N)nc(N)c3n2)C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O	Rattus norvegicus	=	20.0	0
NFJRZYIWFZYFNU-UHFFFAOYSA-N	COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc3cccc(c3)C(F)(F)F	Rattus norvegicus	=	256.0	1
NFJRZYIWFZYFNU-UHFFFAOYSA-N	COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc3cccc(c3)C(F)(F)F	Rattus norvegicus	=	401.0	1
NFJRZYIWFZYFNU-UHFFFAOYSA-N	COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc3cccc(c3)C(F)(F)F	Rattus norvegicus	=	86.0	1
NFJRZYIWFZYFNU-UHFFFAOYSA-N	COc1cc(NC(C)CCCN)c2nccc(C)c2c1Oc3cccc(c3)C(F)(F)F	Rattus norvegicus	=	54.0	1
MPRMDNZMLMGUTH-UHFFFAOYSA-N	Cl.Cl.NCCSc1ccccc1	Mus musculus	=	2262.0	1
NZRQNLMHHCMROC-UHFFFAOYSA-N	Cl.Cl.NCCNCCSC(=N)c1cccnc1	Mus musculus	=	4525.0	1
JHCOGKWTRHXZGV-KFJBMODSSA-N	Nc1nc(N)c2nc(CNc3ccc(cc3F)C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O)cnc2n1	Rattus norvegicus	=	29.0	0
PPVWNYGAZJHXFQ-UHFFFAOYSA-N	Nc1nc(Br)cn2ccnc12	Mus musculus	=	276.939	1
NAUTZGCFIHWZBC-WUJWULDRSA-N	CCCc1cc(ccc1NCc2cnc3nc(N)nc(N)c3n2)C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O	Rattus norvegicus	=	40.5	0
ZDBAUJSXXKECQJ-UHFFFAOYSA-N	Cl.Fc1ccc(cc1)C2=C(CCN3CCN(CC3)c4ccc(Cl)c(Cl)c4)OC(=O)O2	Mus musculus	=	600.0	1
JKOQGQFVAUAYPM-UHFFFAOYSA-N	NCCCNCCSP(=O)(O)O	Mus musculus	=	1049.0	1
OWSAKHPRYKYJEF-KFJBMODSSA-N	Nc1nc(N)c2nc(CNc3ccc(cc3Br)C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O)cnc2n1	Rattus norvegicus	=	20.0	0
VCHUDYFQTQOYHR-UHFFFAOYSA-N	Cl.Fc1ccc(cc1)C2=C(CCN3CCN(CC3)c4ccccc4)OC(=O)O2	Mus musculus	=	936.0	1
SNGFOBNLVZQQQB-UHFFFAOYSA-N	Cl.Clc1ccc(cc1)N2CCN(CCC3=C(OC(=O)O3)c4ccc(Cl)cc4)CC2	Mus musculus	>	1000.0	1
HENOBVZJVROWJY-UHFFFAOYSA-N	Cl.Cl.NCCCCNCCSc1ccccc1	Mus musculus	=	952.0	1
YFCOWEMWBDMSPS-UHFFFAOYSA-N	Cl.COc1ccccc1N2CCN(CCC3=C(OC(=O)O3)c4ccc(F)cc4)CC2	Mus musculus	=	350.0	1
FOTSBZKWKLUDDW-UHFFFAOYSA-N	Cl.Cl.CSCCNCCCN	Mus musculus	=	3200.0	1
BZMWLOOVEMXTOP-UHFFFAOYSA-N	Cl.Cl.CCCSCCNCCCN	Mus musculus	=	2263.0	1
DIARMYURHVVENN-WLHGVMLRSA-N	CC(=O)OC(CCN1CCN(CC1)c2ccccc2)C(=O)c3ccc(F)cc3.OC(=O)\C=C\C(=O)O	Mus musculus	=	575.0	1
ZTJIRKUXNCISJF-UHFFFAOYSA-N	Cl.Cc1ccc(cc1)C2=C(CCN3CCN(CC3)c4ccccc4)OC(=O)O2	Mus musculus	>	1000.0	1
RQPCWEQQILCQMZ-UHFFFAOYSA-N	Cl.Cl.Cc1ccc(SCCNCCN)cc1	Mus musculus	=	1902.0	1
SIWIZAGQWGTJKC-UHFFFAOYSA-N	Cl.Cl.CCCCSCCNCCN	Mus musculus	=	4525.0	1
FHLJEHLVQWICRD-UHFFFAOYSA-N	CCCC(=O)N1CCN(CC1)c2ccc(cc2)c3ccc(F)cc3	Mus musculus	=	95.0	1
KUXYCYLURMIFID-IFMALSPDSA-N	NCCC[C@@H](N)C(=O)N[C@H](CCc1ccccc1)C(=O)Nc2cnc3ccccc3c2	Mus musculus	<	25.0	0
JJNXCYDUJOEIHW-UHFFFAOYSA-N	Cl.Cl.CCSCCNCCCN	Mus musculus	=	4525.0	1
LHXQQCQNDLCMSB-UHFFFAOYSA-N	Cl.CN(C)C(=O)OC(CCN1CCN(CC1)c2ccccc2)C(=O)c3ccc(F)cc3	Mus musculus	=	150.0	1
SSRDZEGALCDRTC-UHFFFAOYSA-N	CC(C)(C)NC(=O)OC(CCN1CCN(CC1)c2ccccc2)C(=O)c3ccc(F)cc3	Mus musculus	>	1000.0	1
OACPPILYFVWSDM-UHFFFAOYSA-N	Cl.Cl.Cc1ccc(SCCNCCCN)cc1	Mus musculus	=	1131.0	1
XBMOUZNETTVYDU-PYMCNQPYSA-N	CCc1cc(ccc1NCc2cnc3nc(N)nc(N)c3n2)C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O	Rattus norvegicus	=	10.9	0
PCSFNHGSOWNXPD-UHFFFAOYSA-N	Cl.Fc1ccc(cc1)C2=C(CCN3CCN(CC3)c4cccc(Cl)c4)OC(=O)O2	Mus musculus	=	500.0	1
SRUIDGMDXDUIRQ-UHFFFAOYSA-N	Cl.Cl.NCCNCCSc1ccncc1	Mus musculus	=	4525.0	1
FBOZXECLQNJBKD-ZDUSSCGKSA-N	CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Rattus norvegicus	=	0.82	0
PTAVEQCWSVWZPI-UHFFFAOYSA-N	Cl.COc1cc(cc(OC)c1OC)C(=O)OC(CCN2CCN(CC2)c3ccccc3)C(=O)c4ccc(F)cc4	Mus musculus	>	1000.0	1
OVHCBJRJFJFDRL-UHFFFAOYSA-N	Cl.Clc1ccc(cc1)C2=C(CCN3CCN(CC3)c4ccccc4)OC(=O)O2	Mus musculus	=	865.0	1
DGYNAGYJCRNBFI-UHFFFAOYSA-N	CNc1nc(Br)cn2ccnc12	Mus musculus	=	499.532	1
RSHCONKYMZIBDZ-UHFFFAOYSA-N	Cl.O=C1OC(=C(O1)c2ccc(cc2)c3ccccc3)CCN4CCN(CC4)c5ccccc5	Mus musculus	>	1000.0	1
BVIJFOPNBABOAV-UHFFFAOYSA-N	CC(C)NCC(O)COc1c(Cl)c(Cl)ccc1C(=C)n2ccnc2	Mus musculus	=	33.9	1
DHJQWBSZKBDBFP-IVZWLZJFSA-N	N[C@H](C[C@H]1CCCC[C@H]1CCP(=O)(O)O)C(=O)O	Mus musculus	>	1000.0	0
SYFJFFXWGOBEDF-UHFFFAOYSA-N	CSc1nnc(c2ccc(F)cc2)n1C	Mus musculus	>	800.0	1
IRPHKCJBSAUIII-UHFFFAOYSA-N	Cc1ccc(CNc2c3C(O)CCCc3nc4ccccc24)cc1	Rattus norvegicus	>	80.0	1
UKKWCLWCSWTKLJ-UHFFFAOYSA-N	CN(C)CC(O)COc1ccccc1C(=C)n2ccnc2	Mus musculus	=	45.4	1
RKRUKHATWVFPND-UHFFFAOYSA-N	CC(C)(C)NCC(O)COc1ccc(Cl)cc1C(=C)n2cccn2	Mus musculus	=	32.5	1
QZFJGKZOYQXOOE-UHFFFAOYSA-N	CN1N=C(N(C)C1=S)c2ccccc2	Mus musculus	=	200.0	1
LYZHFSRFSDDCNY-UHFFFAOYSA-N	CN1N=C(N(C)C1=O)c2ccc(Cl)cc2	Mus musculus	=	800.0	1
ASZXFMFROJTYBD-UHFFFAOYSA-N	Cc1ccccc1CNc2c3C(O)CCCc3nc4ccccc24	Rattus norvegicus	<	80.0	1
YQMPWJBMMZNZRK-UHFFFAOYSA-N	CSc1nnc(c2ccccc2)n1C	Mus musculus	>	800.0	1
WUJXPLXQMNCTSV-UHFFFAOYSA-N	CSc1nc(nn1C)c2ccccc2	Mus musculus	>	800.0	1
VVUPNBPFNVLLEH-UHFFFAOYSA-N	Cn1nc(nc1O)c2ccccc2	Mus musculus	=	800.0	1
KUYSJYIEGDSSOY-UHFFFAOYSA-N	CCn1c(O)nnc1c2ccccc2	Mus musculus	>	800.0	1
IDOLVBDMBNRNPT-UHFFFAOYSA-N	Nc1c2C(O)CCc2nc3ccccc13	Rattus norvegicus	>	80.0	1
RMHKTTNQONQQRB-UHFFFAOYSA-N	CC1CCC(=O)N1CC#CCN2CCC2	Mus musculus	=	39.60576	1
INDBQLZJXZLFIT-UHFFFAOYSA-N	COc1cc(NC(C)CCCN)c2ncccc2c1	Mus musculus	=	16.0	1
WGTLSFCHYHUMFO-UHFFFAOYSA-N	CN1N=C2C(CC1=O)Cc3cc(NC(=O)C)ccc23	Mus musculus	=	1000.0	1
QDGCCZIIWSKWMV-VYIQYICTSA-N	Cc1ccc(NC2=NS\C(=N/C(=N/c3ccc(Cl)cc3)/S)\N2c4ccc(C)cc4)cc1	Rattus norvegicus	=	300.0	0
RCVYAAMLAUSIML-UHFFFAOYSA-N	Cn1c(nnc1S(=O)(=O)C)c2cccc3ccccc23	Mus musculus	>	800.0	1
FOOBWIHZRUMZLC-UHFFFAOYSA-N	Cn1nc(nc1c2ccccc2)S(=O)(=O)C	Mus musculus	>	800.0	1
HIYWYLKCJFGGSX-UHFFFAOYSA-N	CSc1nnc(c2ccccc2Cl)n1C	Mus musculus	=	800.0	1
KTBUBABVOMZUEU-UHFFFAOYSA-N	Cn1c(O)nnc1c2ccncc2	Mus musculus	>	800.0	1
VFHOMXHQQGIGEN-UHFFFAOYSA-N	COc1nnc(c2ccccc2)n1C	Mus musculus	>	800.0	1
BCLCATIAJDFAPY-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCc4cccc(c4)C(F)(F)F)c12	Rattus norvegicus	<	80.0	1
AQOAUXVJSGCGTM-SZKNIZGXSA-N	Cc1ccc(cc1)S(=O)(=O)O.Cn2cccc2\C=N\N=C(/N)\NO	Mus musculus	=	322.19	1
PFALEMKNIWAGKV-MEFGMAGPSA-N	Clc1ccc(NC(=S)\N=C\2/SN=C(Nc3ccccc3Cl)N2c4ccccc4Cl)cc1	Rattus norvegicus	=	175.0	0
DXQFDIPJCAMXTM-UHFFFAOYSA-N	COc1ccc(cc1)c2nnc(O)n2C	Mus musculus	>	800.0	1
VYYKTEDPJVSKLQ-UHFFFAOYSA-N	CCCCOc1cc(ccc1OC)C2=NN(C)C(=O)N2C	Mus musculus	=	800.0	1
HERUZAOANPGYSY-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCc4ccccc4)c12	Rattus norvegicus	<	60.0	1
HERUZAOANPGYSY-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCc4ccccc4)c12	Mus musculus	=	94.0	1
CYEWSOZUGCJHTR-UHFFFAOYSA-N	CCCCOc1cc(ccc1OC)c2nnc(O)n2C	Mus musculus	=	200.0	1
GLXNKHITAMTKMO-UHFFFAOYSA-N	CCN1N=C(N(CC)C1=O)c2ccc(Cl)cc2	Mus musculus	=	400.0	1
DROIRVKNZDBEFR-UHFFFAOYSA-N	CC(C)NCC(O)COc1c(Cl)ccc(Cl)c1C(=C)n2ccnc2	Mus musculus	=	19.8	1
TUASVPSCTYLACT-UHFFFAOYSA-N	C[S+]([O-])c1nc(c2ccccc2)n(C)n1	Mus musculus	>	800.0	1
DPGDRICHXKQXEN-UHFFFAOYSA-N	Cn1c(nnc1S(=O)(=O)C)c2ccccc2	Mus musculus	>	800.0	1
OALAJFHZGANODE-UHFFFAOYSA-N	COc1ccc2c(N)c3C(O)CCCc3nc2c1	Rattus norvegicus	>	80.0	1
BLNORRZQXAGKJT-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCCCC(c4ccccc4)c5ccccc5)c12	Rattus norvegicus	>	80.0	1
JEZSFPSHLDVUFY-UHFFFAOYSA-N	Cc1cc(Cl)c(OCC(O)CNC(C)(C)C)c(C(=C)n2ccnc2)c1C	Mus musculus	=	18.8	1
BESOTRXDCHQLBP-UHFFFAOYSA-N	NC(=O)CNC(=O)N(CCCl)N=O	Mus musculus	=	21.23	1
BESOTRXDCHQLBP-UHFFFAOYSA-N	NC(=O)CNC(=O)N(CCCl)N=O	Mus musculus	=	22.4	1
HHCCROGLAIJKRL-UHFFFAOYSA-N	CN1N=C2C(CC1=O)Cc3cc(N)ccc23	Mus musculus	=	750.0	1
WXHMEWGKWOEEJK-UHFFFAOYSA-N	C[S+]([O-])c1nc(nn1C)c2ccccc2	Mus musculus	=	800.0	1
ABJXTKLEFREOEP-UHFFFAOYSA-N	CCn1c(SC)nnc1c2ccccc2F	Mus musculus	>	800.0	1
DNRLTSGCWKCYLZ-UHFFFAOYSA-N	C[S+]([O-])c1nnc(c2cccs2)n1C	Mus musculus	>	800.0	1
MEIWMIJMSLTVRC-UHFFFAOYSA-N	Cc1ccc(cc1)c2nnc(O)n2C	Mus musculus	>	800.0	1
HVSJFICQHASXNB-UHFFFAOYSA-N	COc1ccc(cc1)C2=NN(C)C(=O)N2C	Mus musculus	=	800.0	1
ADCONTZNUSIGEG-UHFFFAOYSA-N	CCN1N=C(N(C)C1=O)c2ccc(Cl)cc2	Mus musculus	=	800.0	1
HAAUBVPBGJLBEO-UHFFFAOYSA-N	CC(C)(C)NCC(O)COc1ccccc1C(=C)n2cnc3ccccc23	Mus musculus	=	26.5	1
WFWCOSSCUIGFMC-UHFFFAOYSA-N	CN1N=C(N(C)C1=O)c2ccc(C)cc2	Mus musculus	=	800.0	1
QHRHIBUBQWZZEL-UHFFFAOYSA-N	COc1cccc(C(=C)n2cnc3ccccc23)c1OCC(O)CNC(C)(C)C	Mus musculus	=	19.8	1
GKGGLWHLQWXTQX-UHFFFAOYSA-N	CSc1nnc(c2cccs2)n1C	Mus musculus	=	800.0	1
HLVVITIHAZBPKB-UHFFFAOYSA-N	Nc1c2C(O)CCCc2nc3ccccc13	Rattus norvegicus	<	80.0	1
HLVVITIHAZBPKB-UHFFFAOYSA-N	Nc1c2C(O)CCCc2nc3ccccc13	Mus musculus	=	162.0	1
GHPCZOLZFWUXCH-UHFFFAOYSA-N	Nc1c2C(O)CCCc2nc3cc(F)ccc13	Rattus norvegicus	=	40.0	1
XMAVZCCINJYMNG-UHFFFAOYSA-N	CN(C)CCNc1c2C(O)CCCc2nc3ccccc13	Rattus norvegicus	>	80.0	1
XFWKEFHMUGMJLM-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCc4ccccc4Cl)c12	Rattus norvegicus	>	80.0	1
OWMWWMZMOLIDRD-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCc4ccc(cc4)C(F)(F)F)c12	Rattus norvegicus	>	80.0	1
HYHJFNXFVPGMBI-UHFFFAOYSA-N	CN(CC(=O)N)C(=O)N(CCCl)N=O	Mus musculus	=	392.0	1
HYHJFNXFVPGMBI-UHFFFAOYSA-N	CN(CC(=O)N)C(=O)N(CCCl)N=O	Mus musculus	=	426.6	1
OJESHGGRADIJFS-UHFFFAOYSA-N	CSc1nnc(c2ccc(C)cc2)n1C	Mus musculus	=	800.0	1
HXPJLBHKHCQJBB-UHFFFAOYSA-N	CCN1C(=O)N(C)N=C1c2ccc(Cl)cc2	Mus musculus	=	400.0	1
RTOZSTIUEUPGTP-UHFFFAOYSA-N	CC(C)NCC(O)COc1c(C)cc(Cl)cc1C(=C)n2ccnc2	Mus musculus	=	48.8	1
JCNYZDZUXDAOAB-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccccc1C(=C)n2cncn2	Mus musculus	=	36.4	1
VZQRLYZMJFIJOU-UHFFFAOYSA-N	CC(=O)Nc1ccc2C3=NNC(=O)CC3Cc2c1	Mus musculus	=	1000.0	1
HIKKEGKGIDBBOI-UHFFFAOYSA-N	COc1ccc(cc1)c2nnc([S+](C)[O-])n2C	Mus musculus	=	800.0	1
ACCNZTYMXIOJDO-UHFFFAOYSA-N	Cn1c(nnc1S(=O)(=O)C)c2cccc(F)c2	Mus musculus	>	800.0	1
XGIQPISRUKLECF-UHFFFAOYSA-N	CSc1n[nH]c(n1)c2ccc(F)cc2	Mus musculus	>	800.0	1
AQAZETUOZLTEMY-UHFFFAOYSA-N	CCN1C(=O)N(C)N=C1c2ccccc2	Mus musculus	=	800.0	1
RXZLOYRZINIUKZ-UHFFFAOYSA-N	CCN1C(=O)N(C)N=C1c2cccc(c2)C(F)(F)F	Mus musculus	=	800.0	1
OMPBZSLBVKDSJL-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCCCOc4ccccc4)c12	Rattus norvegicus	>	80.0	1
KTXUUEKZSODRCW-UHFFFAOYSA-N	CC(C)CNCC(O)COc1c(Cl)ccc(Cl)c1C(=C)n2ccnc2	Mus musculus	=	15.5	1
CNROQGMFSMASNW-UHFFFAOYSA-N	C[S+]([O-])c1nnc(c2ccccc2F)n1C	Mus musculus	>	800.0	1
MGYCYMZLGNXUGK-UHFFFAOYSA-N	Cn1nc(nc1S(=O)(=O)C)c2ccccc2	Mus musculus	>	800.0	1
FFSXNTGAFSVILG-UHFFFAOYSA-N	Oc1n[nH]c(n1)c2ccccc2	Mus musculus	>	800.0	1
CITBUWNJIQLRPB-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCc4ccccc4F)c12	Rattus norvegicus	<	80.0	1
AQHHHDLHHXJYJD-UHFFFAOYSA-N	CC(C)NCC(O)COc1cccc2ccccc12	Mus musculus	=	29.2	1
MCLIGBRGMPZLAW-UHFFFAOYSA-N	CSc1nc(nn1C)c2ccc(Cl)cc2	Mus musculus	>	800.0	1
HZBQHUZXZWRDEP-UHFFFAOYSA-N	CCCN1N=C(N(CC)C1=O)c2ccc(Cl)cc2	Mus musculus	=	800.0	1
LPSXDXCCSPKSIX-UHFFFAOYSA-N	CC(C)NCC(O)COc1ccccc1C(=C)n2cnc(C)c2	Mus musculus	=	36.4	1
JUJXNKZIVWCWOZ-UHFFFAOYSA-N	CC[S+]([O-])c1nnc(c2ccccc2)n1C	Mus musculus	>	800.0	1
UVRYKOHAXXGPIY-UHFFFAOYSA-N	Cn1c(nnc1S(=O)(=O)C)c2cccs2	Mus musculus	>	800.0	1
WFEGXUFMYIXSFD-UHFFFAOYSA-N	OC1CCCc2nc3ccccc3c(NCCCC(c4ccc(F)cc4)c5ccc(F)cc5)c12	Rattus norvegicus	>	80.0	1
ZYGGYFVFHITDCU-UHFFFAOYSA-N	CC(C)NCC(O)COc1c(Cl)ccc(C)c1C(=C)n2ccnc2	Mus musculus	=	28.5	1
ITHHMPLHGBBWAA-UHFFFAOYSA-N	C[S+]([O-])c1nnc(c2ccc(C)cc2)n1C	Mus musculus	>	800.0	1
JJNVTOZYUABEKT-UHFFFAOYSA-N	COc1ccc(cc1)c2nnc(SC)n2C	Mus musculus	=	800.0	1
UJWIBWHLVITCSR-UHFFFAOYSA-N	CSc1nnc(c2ccccc2F)n1C	Mus musculus	=	800.0	1
RAAQUASDKGHGNR-UHFFFAOYSA-N	Cn1c(O)nnc1c2ccc(Cl)c(Cl)c2	Mus musculus	=	400.0	1
SJMIUHDBFGTYAA-UHFFFAOYSA-N	Nc1c2C(O)CCCc2nc3ccc(Cl)cc13	Rattus norvegicus	=	80.0	1
VQTIDCIBXATCPW-UHFFFAOYSA-N	Cc1cccc(CNc2c3C(O)CCCc3nc4ccccc24)c1	Rattus norvegicus	<	80.0	1
LSWZHJUDTDSZPN-UHFFFAOYSA-N	OC1CCCc2nc3cc(F)ccc3c(NCc4ccccc4C(F)(F)F)c12	Rattus norvegicus	>	80.0	1
XMAYIBYRAZTZSW-UHFFFAOYSA-N	Cc1cccc(C(=C)n2ccnc2)c1OCC(O)CNC(C)(C)C	Mus musculus	=	23.1	1
DHTBHIFUXKMUGU-UHFFFAOYSA-N	CCN(C)CC#CCN1C(C)CCC1=O	Mus musculus	=	132.4788	1
OQFSQFPPLPISGP-UHFFFAOYSA-N	NC(C(C(=O)O)C(=O)O)C(=O)O	Mus musculus	=	1100.0	1
ATYNQGORLCAVMG-UHFFFAOYSA-N	C[S+]([O-])c1nnc(c2cccc3ccccc23)n1C	Mus musculus	>	800.0	1
WMKIGWHSLMCKPM-UHFFFAOYSA-N	CCSc1nnc(c2ccccc2F)n1C	Mus musculus	=	800.0	1
WGGKIRDKPVCUHJ-UHFFFAOYSA-N	Cn1c(O)nnc1c2ccccc2F	Mus musculus	>	800.0	1
