rank=75 iter=300 dis_sim= vector_norm
rank	TPR
1	0.11109
2	0.18877
3	0.25005
4	0.29843
5	0.33389
6	0.36709
7	0.40029
8	0.42919
9	0.45625
10	0.48495
11	0.51098
12	0.53455
13	0.55812
14	0.57554
15	0.59378
16	0.60915
17	0.62371
18	0.63621
19	0.6483
20	0.66367
21	0.67556
22	0.68642
23	0.69831
24	0.70937
25	0.72003
26	0.73151
27	0.74155
28	0.75324
29	0.76184
30	0.77107
31	0.77783
32	0.78685
33	0.79504
34	0.80222
35	0.81001
36	0.81759
37	0.82271
38	0.82722
39	0.83276
40	0.83808
41	0.84526
42	0.85018
43	0.8551
44	0.85961
45	0.86637
46	0.87088
47	0.87662
48	0.8801
49	0.88481
50	0.88932
51	0.8924
52	0.89527
53	0.89711
54	0.90101
55	0.90736
56	0.91105
57	0.91474
58	0.9174
59	0.92232
60	0.92581
61	0.92929
62	0.93359
63	0.93585
64	0.93687
65	0.94056
66	0.94425
67	0.94712
68	0.94938
69	0.95286
70	0.9547
71	0.95655
72	0.9586
73	0.96126
74	0.9627
75	0.96434
76	0.96639
77	0.96741
78	0.96946
79	0.97151
80	0.9754
81	0.97663
82	0.97745
83	0.97868
84	0.9795
85	0.98012
86	0.98094
87	0.98114
88	0.98155
89	0.98258
90	0.98319
91	0.98422
92	0.98463
93	0.98545
94	0.98668
95	0.98688
96	0.98873
97	0.98934
98	0.98955
99	0.99016
100	0.99078
101	0.99119
102	0.99201
103	0.99344
104	0.99488
105	0.9957
106	0.99816
107	0.99898
108	1
