rank=75 iter=300 dis_sim= vector_norm
rank	TPR
1	0.068784
2	0.11408
3	0.1523
4	0.18598
5	0.21881
6	0.24682
7	0.28164
8	0.30966
9	0.33004
10	0.35778
11	0.38239
12	0.40475
13	0.42514
14	0.44297
15	0.46165
16	0.47891
17	0.49533
18	0.51203
19	0.52533
20	0.5375
21	0.55109
22	0.56637
23	0.58137
24	0.59326
25	0.60967
26	0.62213
27	0.6326
28	0.64449
29	0.65468
30	0.66515
31	0.67166
32	0.68157
33	0.69034
34	0.6994
35	0.70733
36	0.71525
37	0.72261
38	0.72742
39	0.73562
40	0.74383
41	0.74921
42	0.75431
43	0.76507
44	0.77214
45	0.77808
46	0.78289
47	0.79025
48	0.79421
49	0.80072
50	0.80554
51	0.81035
52	0.81629
53	0.8228
54	0.82959
55	0.83355
56	0.84007
57	0.84403
58	0.84828
59	0.85281
60	0.85705
61	0.86102
62	0.86639
63	0.86923
64	0.87177
65	0.87602
66	0.88054
67	0.88394
68	0.88903
69	0.89101
70	0.89441
71	0.89838
72	0.90177
73	0.90489
74	0.91027
75	0.91253
76	0.91479
77	0.91876
78	0.92187
79	0.92385
80	0.92895
81	0.93348
82	0.93659
83	0.93942
84	0.94084
85	0.94282
86	0.94508
87	0.94735
88	0.95103
89	0.95414
90	0.95668
91	0.95952
92	0.96291
93	0.96433
94	0.96659
95	0.96886
96	0.97169
97	0.97424
98	0.97565
99	0.9765
100	0.97905
101	0.9799
102	0.98188
103	0.98443
104	0.98613
105	0.98811
106	0.99151
107	0.99518
108	1
