rank=75 iter=300 dis_sim= lin_norm
rank	TPR
1	0.10145
2	0.19081
3	0.24574
4	0.29616
5	0.33429
6	0.37159
7	0.40705
8	0.43533
9	0.46321
10	0.49047
11	0.51547
12	0.53863
13	0.55626
14	0.57225
15	0.58639
16	0.60525
17	0.62267
18	0.63743
19	0.65014
20	0.66202
21	0.67637
22	0.68969
23	0.6981
24	0.70978
25	0.72228
26	0.73212
27	0.7438
28	0.75528
29	0.76491
30	0.77475
31	0.78315
32	0.79012
33	0.7973
34	0.80324
35	0.81041
36	0.81882
37	0.82579
38	0.8303
39	0.83501
40	0.83952
41	0.84628
42	0.85141
43	0.85776
44	0.86268
45	0.86596
46	0.8715
47	0.87498
48	0.87785
49	0.88174
50	0.88605
51	0.88953
52	0.89384
53	0.89691
54	0.90019
55	0.90368
56	0.90798
57	0.91208
58	0.91659
59	0.91987
60	0.92212
61	0.92581
62	0.92888
63	0.93114
64	0.93462
65	0.93728
66	0.94077
67	0.94507
68	0.94712
69	0.94876
70	0.95143
71	0.95409
72	0.95532
73	0.95799
74	0.9584
75	0.96024
76	0.96311
77	0.96516
78	0.96577
79	0.96741
80	0.96905
81	0.97069
82	0.97172
83	0.97213
84	0.97356
85	0.97418
86	0.97438
87	0.975
88	0.97582
89	0.97582
90	0.97602
91	0.97746
92	0.97889
93	0.98033
94	0.98196
95	0.9834
96	0.98524
97	0.98565
98	0.98688
99	0.9877
100	0.98893
101	0.99078
102	0.9916
103	0.99262
104	0.99344
105	0.99508
106	0.99631
107	0.99672
108	1
