C0158266 C0011334 C0014175 C0002736 C0036421 C0392525 C0030319 C0001175 C2239176 C0079731 C0027819 C0022661 C0031099 C0002171 C0023343 C0023434 C1263846 C0014859 C0017668 C0014170 C0020676 C0011573 C0017601 C0014544 C0025202 C0004153 C0019163 C0002871 C0026769 C0004096 C0017661 C0024117 C0011615 C0005586 C0525045 C1956346 C1458155 C0684249 C0040136 C0919267 C0005695 C0007134 C2607914 C0030297 C0027022 C0030305 C0029401 C0036341 C0038356 C0027051 C0149931 C0007820 C0038013 C0003873 C0162871 C0029408 C0023473 C0019829 C0009324 C0010346 C0033860 C0027404 C0003872 C0024141 C0004763 C0008924 C0011860 C0026764 C0011854 C0034951 C1961102 C0028754 C0033578 C0007570 C0002395 C0020538 C0242383 C0007766 C0017665 C0040517 C0029456 C0016781 C0032460 C0085207 C0154778 C0022336 C0029899 C0023892 C0042900 C0018213 C0024530 C0004352 C0007193 C0149654 C0003868 C0023267 C0004943 C0026691 C0206368 C0162872 C0524620 C0004509 C0008313 C0030567 C1800706 C0035258 C0031347 C0028043 
C0027819 0.5965 0.8597 0.8048 0.8492 0.7873 0.6011 0.6010 0.8132 0.8641 0.8902 1.0000 0.6638 0.7218 0.7561 0.7134 0.8902 0.8314 0.9080 0.7375 0.9115 0.7512 0.5235 0.8134 0.8368 0.9692 0.6815 0.8312 0.7640 0.8659 0.8654 0.7646 0.7464 0.7149 0.6337 0.5975 0.7014 0.8568 0.8228 0.8594 0.8719 0.8227 0.8337 0.6725 0.8885 0.8013 0.8631 0.7096 0.6553 0.8711 0.6855 0.8423 0.7555 0.8573 0.8681 0.5331 0.8028 0.8749 0.9655 0.8424 0.8518 0.8531 0.6893 0.8087 0.8262 0.8666 0.6756 0.7005 0.9480 0.8053 0.7461 0.7857 0.7404 0.8810 0.8388 0.8420 0.7381 0.7900 0.5965 0.7364 0.8801 0.8071 0.8949 0.8595 0.7621 0.4057 0.8330 0.5888 0.6479 0.8054 0.7314 0.7770 0.5598 0.6273 0.5614 0.6932 0.8401 0.8105 0.8140 0.5773 0.5570 0.7581 0.6171 0.4581 0.8534 0.7173 0.8625 0.8571 0.5034 
C0022661 0.4968 0.6807 0.6467 0.6317 0.7813 0.9447 0.4301 0.7282 0.6631 0.6407 0.6638 0.9999 0.7543 0.6502 0.6657 0.8022 0.6317 0.5795 0.9361 0.5409 0.7331 0.3345 0.7904 0.5949 0.6322 0.8180 0.7795 0.8048 0.6782 0.8258 0.8464 0.8629 0.5943 0.4450 0.4066 0.8356 0.5429 0.6085 0.5749 0.5616 0.5202 0.6660 0.6080 0.5874 0.6303 0.8100 0.5984 0.4772 0.5799 0.8307 0.6150 0.7358 0.7154 0.7296 0.7150 0.7573 0.7977 0.6688 0.8056 0.7974 0.7188 0.4817 0.6975 0.7358 0.8095 0.4998 0.6628 0.6866 0.7312 0.5694 0.5755 0.7028 0.5587 0.8096 0.6987 0.8461 0.7783 0.7058 0.8832 0.7608 0.7371 0.7415 0.7519 0.6920 0.3825 0.6154 0.4800 0.8170 0.6721 0.7086 0.8469 0.3794 0.8329 0.3938 0.7116 0.5163 0.8502 0.8491 0.4847 0.7471 0.8396 0.4973 0.5811 0.7119 0.8283 0.6340 0.5371 0.3913 
C0031099 0.6730 0.7943 0.7201 0.7800 0.8552 0.6918 0.6084 0.7860 0.6279 0.6656 0.7218 0.7543 1.0000 0.7513 0.7727 0.7666 0.7865 0.6116 0.7833 0.5769 0.7322 0.5272 0.8467 0.7569 0.6527 0.7314 0.8562 0.7251 0.8360 0.8557 0.8257 0.8689 0.7591 0.6293 0.5935 0.7636 0.5829 0.5590 0.6041 0.5859 0.5276 0.5445 0.7238 0.6132 0.5967 0.8669 0.7600 0.6455 0.6200 0.7466 0.7742 0.7420 0.8275 0.8324 0.6371 0.8735 0.7500 0.6987 0.8422 0.8194 0.8114 0.6247 0.8557 0.8459 0.8501 0.6520 0.6643 0.6952 0.7568 0.6608 0.6111 0.7542 0.5903 0.8283 0.8238 0.7707 0.8385 0.6803 0.8173 0.8472 0.8428 0.7308 0.7883 0.7124 0.4645 0.7682 0.6026 0.7711 0.7752 0.7763 0.8252 0.5482 0.7627 0.5613 0.7100 0.5672 0.8295 0.8231 0.6146 0.6814 0.7885 0.5613 0.6379 0.8294 0.8208 0.7753 0.5639 0.5354 
C0002171 0.6715 0.7770 0.7298 0.7526 0.8206 0.5679 0.5585 0.7566 0.6575 0.6918 0.7561 0.6502 0.7513 1.0000 0.8245 0.7165 0.7642 0.6948 0.7082 0.6797 0.7514 0.4736 0.7576 0.7040 0.7423 0.5933 0.8494 0.6254 0.8046 0.8074 0.8175 0.7541 0.8566 0.5817 0.5534 0.6284 0.6134 0.5964 0.6779 0.6429 0.5781 0.5672 0.6895 0.6667 0.5639 0.8167 0.7419 0.6089 0.6794 0.5997 0.7292 0.5998 0.8336 0.8357 0.4609 0.8198 0.6882 0.7478 0.8161 0.8044 0.8856 0.5576 0.8581 0.8624 0.8254 0.6263 0.6943 0.7272 0.7875 0.6773 0.5717 0.7369 0.6239 0.8184 0.7860 0.6483 0.7575 0.4661 0.7892 0.8088 0.7911 0.7790 0.8115 0.7424 0.4302 0.7530 0.5015 0.6171 0.9235 0.8498 0.7248 0.5195 0.6525 0.5127 0.6720 0.6460 0.7523 0.7546 0.5998 0.5121 0.7038 0.5960 0.4426 0.7957 0.7170 0.7571 0.6312 0.4830 
C0023343 0.6737 0.7715 0.7203 0.7778 0.7774 0.5274 0.6176 0.7790 0.5526 0.6597 0.7134 0.6657 0.7727 0.8245 0.9991 0.6704 0.7897 0.6045 0.7051 0.6232 0.6982 0.4751 0.7595 0.7246 0.6756 0.5770 0.8630 0.5997 0.8205 0.7917 0.8159 0.7718 0.7959 0.6264 0.5932 0.6210 0.6348 0.4928 0.6416 0.6176 0.5341 0.5022 0.6887 0.6439 0.4874 0.7748 0.7378 0.6553 0.6164 0.6014 0.7433 0.6188 0.8242 0.8217 0.4454 0.8267 0.6473 0.7060 0.7829 0.7874 0.8210 0.5785 0.8404 0.8349 0.8046 0.5810 0.6269 0.6820 0.7239 0.6805 0.5723 0.6953 0.6306 0.7852 0.8106 0.6418 0.7717 0.4497 0.7745 0.8304 0.7835 0.7756 0.7729 0.6852 0.3809 0.7915 0.5912 0.6007 0.8372 0.8462 0.7319 0.5555 0.6281 0.5777 0.6500 0.5512 0.7309 0.7326 0.5652 0.5106 0.6731 0.5432 0.4087 0.8327 0.7172 0.7696 0.5771 0.5419 
C0023434 0.5334 0.8252 0.7744 0.7192 0.8391 0.7557 0.4776 0.8028 0.8017 0.8817 0.8902 0.8022 0.7666 0.7165 0.6704 1.0000 0.7274 0.7866 0.7977 0.7729 0.8145 0.3913 0.8478 0.6932 0.8802 0.9127 0.8278 0.9578 0.7689 0.9172 0.8034 0.8329 0.6808 0.5002 0.4638 0.9154 0.7279 0.7506 0.7447 0.7596 0.7043 0.7671 0.6928 0.7759 0.9084 0.8803 0.6984 0.5252 0.7563 0.9097 0.7160 0.8537 0.8717 0.8733 0.7637 0.8272 0.9955 0.9160 0.8577 0.8597 0.8262 0.5557 0.7950 0.8223 0.8883 0.5768 0.7595 0.9317 0.8608 0.6705 0.7689 0.7893 0.7630 0.8782 0.7635 0.9290 0.8303 0.7616 0.7980 0.8293 0.8242 0.8306 0.8692 0.8072 0.3964 0.6948 0.5452 0.7244 0.7769 0.7280 0.9409 0.4238 0.7756 0.4271 0.7546 0.7469 0.9565 0.9638 0.5210 0.7811 0.9281 0.5992 0.5185 0.7799 0.7829 0.7363 0.7347 0.4411 
C1263846 0.6993 0.8338 0.8470 0.9519 0.7443 0.5423 0.8507 0.7994 0.6034 0.6788 0.8314 0.6317 0.7865 0.7642 0.7897 0.7274 1.0000 0.6386 0.6683 0.6483 0.7752 0.7453 0.8952 0.9331 0.7189 0.6230 0.8675 0.6487 0.9529 0.8044 0.7574 0.7976 0.7271 0.8780 0.8602 0.6628 0.6251 0.5579 0.6403 0.6176 0.5316 0.5230 0.6794 0.6312 0.5489 0.8252 0.7493 0.8784 0.6282 0.6322 0.9510 0.7615 0.8478 0.8380 0.4815 0.8837 0.7010 0.7573 0.8016 0.7900 0.7900 0.7930 0.8374 0.8241 0.8551 0.7203 0.7507 0.7266 0.8234 0.7703 0.5763 0.7994 0.6347 0.8252 0.9754 0.6930 0.8858 0.5805 0.7444 0.9588 0.8849 0.7888 0.8676 0.8109 0.4417 0.9537 0.6188 0.6057 0.8046 0.7877 0.7617 0.8163 0.6138 0.7996 0.6337 0.5926 0.7748 0.7655 0.6370 0.5339 0.7400 0.6767 0.4137 0.9630 0.6865 0.9564 0.5826 0.6683 
C0014859 0.4514 0.7756 0.7097 0.6501 0.7009 0.5415 0.4567 0.7223 0.8928 0.8302 0.9080 0.5795 0.6116 0.6948 0.6045 0.7866 0.6386 1.0000 0.6748 0.9577 0.6814 0.3785 0.6602 0.6411 0.9384 0.5613 0.7102 0.6530 0.6808 0.7581 0.6590 0.6041 0.6475 0.4767 0.4376 0.5792 0.8882 0.8319 0.9034 0.9295 0.9114 0.8843 0.5823 0.9511 0.7289 0.7772 0.5688 0.5031 0.9638 0.5714 0.6394 0.5794 0.7180 0.7508 0.4644 0.6470 0.7706 0.8868 0.7672 0.7773 0.7818 0.5126 0.6878 0.7237 0.7859 0.6183 0.6160 0.8852 0.6941 0.6248 0.7621 0.6225 0.9004 0.7283 0.6504 0.6190 0.6318 0.4747 0.6379 0.7058 0.6573 0.8294 0.7730 0.6621 0.3953 0.6303 0.4795 0.5906 0.7056 0.6280 0.6373 0.4065 0.5559 0.4144 0.6309 0.8661 0.6828 0.6887 0.4722 0.4693 0.6386 0.5316 0.4327 0.6577 0.6063 0.6666 0.9414 0.3740 
C0017668 0.5412 0.7304 0.6743 0.6836 0.8192 0.9118 0.4709 0.8098 0.7647 0.7157 0.7375 0.9361 0.7833 0.7082 0.7051 0.7977 0.6683 0.6748 0.9999 0.6428 0.7185 0.4015 0.7916 0.6410 0.7116 0.7650 0.8215 0.7619 0.7258 0.8662 0.9195 0.8608 0.6792 0.4867 0.4519 0.7922 0.6279 0.7036 0.6691 0.6573 0.6137 0.7596 0.6634 0.6848 0.6296 0.8410 0.6332 0.5275 0.6678 0.7798 0.6634 0.6983 0.7620 0.7859 0.6683 0.7740 0.7836 0.7362 0.8417 0.8393 0.7958 0.5332 0.7592 0.8065 0.8432 0.5857 0.6528 0.7425 0.7449 0.6176 0.6091 0.7024 0.6476 0.8266 0.7442 0.8031 0.7891 0.6793 0.9394 0.7957 0.7521 0.8149 0.7748 0.6913 0.3807 0.6710 0.5253 0.8334 0.7237 0.7832 0.8225 0.4218 0.8407 0.4487 0.6983 0.6072 0.8347 0.8345 0.5101 0.7067 0.8008 0.4965 0.6148 0.7507 0.8823 0.6796 0.6358 0.4129 
C0014170 0.4284 0.7486 0.7159 0.6472 0.6638 0.4927 0.4840 0.7363 0.8758 0.8579 0.9115 0.5409 0.5769 0.6797 0.6232 0.7729 0.6483 0.9577 0.6428 1.0000 0.6633 0.3968 0.6414 0.6404 0.9345 0.5251 0.6864 0.6363 0.6770 0.7467 0.6480 0.5613 0.6361 0.5089 0.4643 0.5438 0.9117 0.7993 0.9233 0.9324 0.8804 0.8769 0.6051 0.9565 0.7366 0.7379 0.5603 0.5349 0.9172 0.5361 0.6325 0.5473 0.7261 0.7568 0.4147 0.6349 0.7542 0.8990 0.7149 0.7243 0.7659 0.5157 0.6788 0.7139 0.7587 0.6055 0.6040 0.8897 0.6926 0.6346 0.7747 0.6126 0.9277 0.6854 0.6416 0.5885 0.6164 0.4201 0.6236 0.7004 0.6435 0.8158 0.7573 0.6519 0.3636 0.6282 0.4814 0.5300 0.6880 0.6172 0.6143 0.4414 0.4966 0.4461 0.6068 0.8860 0.6546 0.6652 0.5037 0.4238 0.6087 0.5539 0.3739 0.6520 0.5759 0.6667 0.9014 0.3798 
