C0158266 C0011334 C0014175 C0002736 C0036421 C0392525 C0030319 C0001175 C2239176 C0079731 C0027819 C0022661 C0031099 C0002171 C0023343 C0023434 C1263846 C0014859 C0017668 C0014170 C0020676 C0011573 C0017601 C0014544 C0025202 C0004153 C0019163 C0002871 C0026769 C0004096 C0017661 C0024117 C0011615 C0005586 C0525045 C1956346 C1458155 C0684249 C0040136 C0919267 C0005695 C0007134 C2607914 C0030297 C0027022 C0030305 C0029401 C0036341 C0038356 C0027051 C0149931 C0007820 C0038013 C0003873 C0162871 C0029408 C0023473 C0019829 C0009324 C0010346 C0033860 C0027404 C0003872 C0024141 C0004763 C0008924 C0011860 C0026764 C0011854 C0034951 C1961102 C0028754 C0033578 C0007570 C0002395 C0020538 C0242383 C0007766 C0017665 C0040517 C0029456 C0016781 C0032460 C0085207 C0154778 C0022336 C0029899 C0023892 C0042900 C0018213 C0024530 C0004352 C0007193 C0149654 C0003868 C0023267 C0004943 C0026691 C0206368 C0162872 C0524620 C0004509 C0008313 C0030567 C1800706 C0035258 C0031347 C0028043 
C0020676 0.5718 0.7746 0.8213 0.7020 0.7514 0.7140 0.5639 0.7901 0.6726 0.7074 0.7512 0.7331 0.7322 0.7514 0.6982 0.8145 0.7752 0.6814 0.7185 0.6633 1.0000 0.4759 0.8542 0.6749 0.7275 0.7693 0.8098 0.7984 0.7555 0.8096 0.7549 0.7676 0.6827 0.5850 0.5534 0.7905 0.6494 0.6289 0.7239 0.6547 0.5699 0.5856 0.6169 0.6854 0.6557 0.8450 0.6761 0.6239 0.6753 0.7740 0.6911 0.7544 0.8010 0.8078 0.6267 0.8194 0.8026 0.7551 0.8181 0.8001 0.7683 0.5441 0.7582 0.7994 0.9056 0.6326 0.9464 0.7708 0.9446 0.6794 0.6321 0.8824 0.6627 0.8755 0.7758 0.8304 0.8438 0.6077 0.7829 0.8221 0.8345 0.7841 0.9481 0.9546 0.6096 0.6837 0.5151 0.6591 0.7557 0.7870 0.8331 0.5109 0.6584 0.5034 0.7161 0.5906 0.8550 0.8540 0.6015 0.6636 0.9044 0.7339 0.4091 0.7713 0.6729 0.7114 0.6028 0.5926 
C0011573 0.4660 0.5429 0.5274 0.6717 0.4523 0.2995 0.8275 0.5495 0.3546 0.4042 0.5235 0.3345 0.5272 0.4736 0.4751 0.3913 0.7453 0.3785 0.4015 0.3968 0.4759 1.0000 0.5750 0.6771 0.4214 0.3152 0.5203 0.3308 0.6473 0.4730 0.4579 0.4808 0.4717 0.8554 0.8760 0.3433 0.3991 0.3317 0.3989 0.3662 0.3028 0.2954 0.4145 0.3776 0.2691 0.5053 0.4676 0.8473 0.3764 0.3226 0.6791 0.4755 0.4960 0.5014 0.2603 0.5396 0.3718 0.4433 0.4902 0.4763 0.4878 0.6585 0.5222 0.5297 0.5794 0.6348 0.4575 0.4149 0.4881 0.5376 0.3238 0.5160 0.3995 0.5022 0.7020 0.3736 0.5581 0.3450 0.4543 0.6636 0.5537 0.5336 0.5460 0.4872 0.3370 0.6847 0.3996 0.3799 0.4937 0.4649 0.4148 0.8238 0.3216 0.8559 0.3591 0.3329 0.4460 0.4293 0.4730 0.2920 0.4204 0.4786 0.2735 0.6471 0.4241 0.6741 0.3370 0.4996 
C0017601 0.6657 0.8447 0.8592 0.8477 0.8240 0.7384 0.6922 0.8307 0.6755 0.7173 0.8134 0.7904 0.8467 0.7576 0.7595 0.8478 0.8952 0.6602 0.7916 0.6414 0.8542 0.5750 1.0000 0.8246 0.7416 0.8157 0.8835 0.8144 0.8828 0.8829 0.8213 0.9030 0.7222 0.7128 0.6848 0.8514 0.6378 0.6276 0.6444 0.6468 0.5655 0.6001 0.6820 0.6523 0.6537 0.8833 0.7549 0.7343 0.6545 0.8279 0.8468 0.8330 0.8626 0.8625 0.6932 0.9272 0.8328 0.7827 0.8642 0.8498 0.8190 0.7011 0.8420 0.8491 0.9203 0.6859 0.8094 0.7782 0.8715 0.8387 0.6350 0.8570 0.6584 0.8912 0.9199 0.8729 0.9817 0.7290 0.8281 0.9332 0.9275 0.8319 0.9155 0.8634 0.5514 0.8367 0.6031 0.7321 0.8080 0.7948 0.8954 0.6523 0.7853 0.6440 0.7112 0.6011 0.9100 0.8978 0.7108 0.7337 0.8900 0.7139 0.4955 0.9155 0.7857 0.8561 0.5898 0.6349 
C0014544 0.6758 0.7494 0.7078 0.9860 0.7295 0.5135 0.7113 0.7396 0.6203 0.6640 0.8368 0.5949 0.7569 0.7040 0.7246 0.6932 0.9331 0.6411 0.6410 0.6404 0.6749 0.6771 0.8246 1.0000 0.7005 0.5872 0.7817 0.6211 0.9566 0.7645 0.7083 0.7370 0.6765 0.7583 0.7284 0.6167 0.6304 0.5842 0.6315 0.6209 0.5564 0.5413 0.6331 0.6370 0.5542 0.7681 0.6860 0.7696 0.6324 0.5973 0.9879 0.8150 0.7739 0.7746 0.4575 0.8041 0.6735 0.7254 0.7478 0.7357 0.7436 0.8626 0.7739 0.7889 0.7926 0.6471 0.6281 0.7004 0.7132 0.7276 0.5882 0.7157 0.6335 0.7573 0.9416 0.6541 0.8009 0.6337 0.6845 0.9368 0.7793 0.7632 0.7560 0.6769 0.4195 0.9801 0.6154 0.6190 0.7305 0.7224 0.7018 0.6960 0.5890 0.6602 0.6232 0.6214 0.7183 0.7108 0.5784 0.5055 0.6777 0.5810 0.4347 0.9533 0.6817 0.9823 0.5962 0.5856 
C0025202 0.5103 0.8527 0.7809 0.7183 0.7638 0.5775 0.5169 0.7904 0.8981 0.9045 0.9692 0.6322 0.6527 0.7423 0.6756 0.8802 0.7189 0.9384 0.7116 0.9345 0.7275 0.4214 0.7416 0.7005 1.0000 0.6430 0.7880 0.7387 0.7577 0.8388 0.7326 0.6818 0.7189 0.5395 0.4996 0.6590 0.8868 0.8618 0.8821 0.9067 0.8678 0.8869 0.6394 0.9127 0.8144 0.8351 0.6593 0.5722 0.8967 0.6470 0.7062 0.6570 0.8218 0.8413 0.5120 0.7374 0.8629 0.9754 0.8238 0.8360 0.8624 0.5566 0.7718 0.7990 0.8366 0.6439 0.6781 0.9677 0.7758 0.6997 0.8065 0.6965 0.9151 0.8078 0.7309 0.6969 0.7222 0.5165 0.7050 0.7837 0.7519 0.8768 0.8332 0.7325 0.3879 0.6991 0.5361 0.6029 0.8061 0.6893 0.7299 0.4605 0.5777 0.4704 0.6736 0.8368 0.7742 0.7815 0.5369 0.5185 0.7181 0.5888 0.4260 0.7376 0.6707 0.7335 0.8772 0.4516 
C0004153 0.4630 0.6649 0.6492 0.6187 0.7799 0.8152 0.3754 0.6771 0.6116 0.6797 0.6815 0.8180 0.7314 0.5933 0.5770 0.9127 0.6230 0.5613 0.7650 0.5251 0.7693 0.3152 0.8157 0.5872 0.6430 1.0000 0.7272 0.9741 0.6537 0.8108 0.7245 0.8285 0.5350 0.3906 0.3617 0.9954 0.4998 0.5594 0.5261 0.5329 0.4778 0.5637 0.5642 0.5503 0.7743 0.7798 0.5939 0.4107 0.5460 0.9971 0.6211 0.8922 0.7331 0.7258 0.8718 0.7641 0.9238 0.6932 0.7565 0.7509 0.6649 0.4761 0.6654 0.7020 0.7971 0.4521 0.7073 0.7260 0.7721 0.5421 0.5903 0.7408 0.5285 0.7981 0.6850 0.9861 0.8079 0.8874 0.7400 0.7483 0.7484 0.6906 0.7678 0.7415 0.3589 0.5939 0.4667 0.7311 0.6429 0.6290 0.9653 0.3313 0.8647 0.3418 0.6925 0.5540 0.9604 0.9586 0.4145 0.9037 0.9608 0.5109 0.5048 0.7054 0.7553 0.6301 0.5312 0.3787 
C0019163 0.6816 0.8795 0.8542 0.8331 0.8526 0.6965 0.6497 0.8809 0.7071 0.7653 0.8312 0.7795 0.8562 0.8494 0.8630 0.8278 0.8675 0.7102 0.8215 0.6864 0.8098 0.5203 0.8835 0.7817 0.7880 0.7272 1.0000 0.7446 0.8804 0.9111 0.9010 0.8906 0.8165 0.6664 0.6377 0.7639 0.6672 0.6450 0.6868 0.6888 0.6171 0.6337 0.7592 0.7076 0.6346 0.9453 0.7740 0.6944 0.7213 0.7347 0.8159 0.7267 0.9082 0.9045 0.5891 0.9077 0.7981 0.8333 0.9439 0.9386 0.9041 0.6152 0.8949 0.8966 0.9085 0.6720 0.7735 0.8045 0.8742 0.7444 0.6499 0.8112 0.6871 0.9405 0.8864 0.7759 0.8894 0.5999 0.8775 0.9057 0.8930 0.8294 0.9007 0.8367 0.4542 0.8343 0.5891 0.7658 0.9038 0.8852 0.8731 0.5947 0.7359 0.5853 0.7234 0.6263 0.8679 0.8677 0.6180 0.6404 0.8182 0.6448 0.5718 0.8925 0.8244 0.8351 0.6403 0.5639 
C0002871 0.4945 0.7249 0.6865 0.6452 0.7925 0.7898 0.3942 0.7319 0.6893 0.7885 0.7640 0.8048 0.7251 0.6254 0.5997 0.9578 0.6487 0.6530 0.7619 0.6363 0.7984 0.3308 0.8144 0.6211 0.7387 0.9741 0.7446 1.0000 0.6907 0.8474 0.7349 0.7949 0.5769 0.4134 0.3808 0.9657 0.6049 0.6324 0.6240 0.6399 0.5797 0.6492 0.6069 0.6555 0.8792 0.8033 0.6449 0.4419 0.6354 0.9689 0.6446 0.8925 0.7922 0.7879 0.8234 0.7804 0.9656 0.7860 0.7770 0.7743 0.7191 0.5054 0.7104 0.7466 0.8307 0.4947 0.7394 0.8228 0.8150 0.5866 0.7050 0.7780 0.6362 0.8195 0.6951 0.9753 0.7991 0.8231 0.7439 0.7705 0.7687 0.7502 0.8063 0.7688 0.3832 0.6160 0.5238 0.7172 0.6794 0.6448 0.9579 0.3514 0.7976 0.3643 0.7406 0.6508 0.9617 0.9663 0.4515 0.8463 0.9591 0.5598 0.4883 0.7160 0.7443 0.6597 0.6129 0.3977 
C0026769 0.7787 0.8408 0.7938 0.9748 0.8094 0.5771 0.7241 0.8251 0.6559 0.7312 0.8659 0.6782 0.8360 0.8046 0.8205 0.7689 0.9529 0.6808 0.7258 0.6770 0.7555 0.6473 0.8828 0.9566 0.7577 0.6537 0.8804 0.6907 1.0000 0.8575 0.8212 0.8164 0.7738 0.7596 0.7299 0.6884 0.6714 0.6128 0.6755 0.6648 0.5951 0.5785 0.7157 0.6800 0.6216 0.8471 0.8340 0.7776 0.6762 0.6625 0.9669 0.8008 0.9013 0.8980 0.5046 0.9184 0.7419 0.7982 0.8367 0.8253 0.8447 0.8081 0.9079 0.8796 0.8684 0.6871 0.7081 0.7761 0.8121 0.7677 0.6460 0.7930 0.6797 0.8477 0.9640 0.7193 0.8711 0.6194 0.7938 0.9674 0.8931 0.8261 0.8417 0.7629 0.4214 0.9685 0.6701 0.6635 0.8282 0.8400 0.7856 0.6873 0.6578 0.6778 0.6972 0.6538 0.7998 0.7968 0.6238 0.5544 0.7538 0.6339 0.4832 0.9744 0.7599 0.9724 0.6296 0.6039 
C0004096 0.6457 0.8723 0.8012 0.7969 0.8870 0.7606 0.5838 0.8972 0.7985 0.8689 0.8654 0.8258 0.8557 0.8074 0.7917 0.9172 0.8044 0.7581 0.8662 0.7467 0.8096 0.4730 0.8829 0.7645 0.8388 0.8108 0.9111 0.8474 0.8575 1.0000 0.9257 0.9088 0.8250 0.6037 0.5634 0.8358 0.7375 0.7568 0.7554 0.7557 0.6932 0.7499 0.8352 0.7693 0.7854 0.9147 0.7672 0.6447 0.7376 0.8206 0.7816 0.7836 0.9327 0.9465 0.6761 0.8929 0.8902 0.8907 0.9117 0.9018 0.9178 0.6250 0.9008 0.9246 0.9269 0.6530 0.7526 0.8950 0.8781 0.7292 0.7485 0.8095 0.7617 0.9051 0.8455 0.8562 0.8751 0.6767 0.9081 0.8933 0.8681 0.8527 0.8819 0.7987 0.4636 0.7835 0.5963 0.7745 0.8457 0.8744 0.9018 0.5193 0.7848 0.5409 0.7824 0.7242 0.9135 0.9235 0.6084 0.7018 0.8683 0.6288 0.5683 0.8534 0.8960 0.8024 0.6911 0.5303 
C0017661 0.6559 0.7934 0.7261 0.7587 0.8615 0.7734 0.5510 0.8797 0.7071 0.7696 0.7646 0.8464 0.8257 0.8175 0.8159 0.8034 0.7574 0.6590 0.9195 0.6480 0.7549 0.4579 0.8213 0.7083 0.7326 0.7245 0.9010 0.7349 0.8212 0.9257 1.0000 0.8789 0.8317 0.5717 0.5359 0.7571 0.6268 0.6492 0.6826 0.6561 0.5796 0.6740 0.8030 0.6878 0.6267 0.8814 0.7355 0.6106 0.6573 0.7339 0.7332 0.6922 0.8832 0.8949 0.6021 0.8556 0.7697 0.7933 0.8956 0.8876 0.8965 0.5769 0.8875 0.9092 0.8793 0.6187 0.6941 0.7800 0.8247 0.6956 0.6104 0.7343 0.6464 0.8783 0.8128 0.7663 0.8250 0.6047 0.9815 0.8540 0.8128 0.8218 0.8195 0.7389 0.4060 0.7586 0.5793 0.7826 0.8407 0.9335 0.8331 0.5011 0.7724 0.5245 0.7127 0.6051 0.8448 0.8509 0.5711 0.6446 0.7930 0.5438 0.5926 0.8245 0.9169 0.7545 0.5924 0.4660 
C0024117 0.6441 0.7908 0.7685 0.7841 0.8610 0.7943 0.5754 0.7805 0.6555 0.6759 0.7464 0.8629 0.8689 0.7541 0.7718 0.8329 0.7976 0.6041 0.8608 0.5613 0.7676 0.4808 0.9030 0.7370 0.6818 0.8285 0.8906 0.7949 0.8164 0.9088 0.8789 1.0000 0.7062 0.5974 0.5728 0.8618 0.5589 0.6332 0.5893 0.5755 0.5167 0.5971 0.6851 0.5888 0.6160 0.8789 0.7224 0.6170 0.5923 0.8349 0.7742 0.7904 0.8204 0.8191 0.7193 0.8835 0.8191 0.7343 0.8688 0.8639 0.8024 0.5998 0.8151 0.8292 0.8742 0.5979 0.7095 0.7225 0.7977 0.6836 0.5598 0.7644 0.5817 0.8802 0.8610 0.8573 0.9059 0.7414 0.8719 0.8781 0.8676 0.7743 0.8359 0.7710 0.4238 0.7833 0.5428 0.7959 0.7897 0.8165 0.9009 0.5323 0.8662 0.5484 0.6752 0.5397 0.8983 0.8895 0.5957 0.7585 0.8637 0.5814 0.5858 0.8669 0.9166 0.7810 0.5587 0.5118 
C0011615 0.6062 0.7690 0.7012 0.7106 0.8155 0.5032 0.5861 0.8051 0.6423 0.6916 0.7149 0.5943 0.7591 0.8566 0.7959 0.6808 0.7271 0.6475 0.6792 0.6361 0.6827 0.4717 0.7222 0.6765 0.7189 0.5350 0.8165 0.5769 0.7738 0.8250 0.8317 0.7062 1.0000 0.6032 0.5675 0.5707 0.6313 0.5811 0.6509 0.6369 0.5563 0.5452 0.8351 0.6570 0.5290 0.7974 0.6883 0.6507 0.6584 0.5482 0.6888 0.5622 0.8269 0.8384 0.4357 0.7768 0.6410 0.7389 0.8128 0.7964 0.9144 0.5421 0.8607 0.8866 0.8072 0.6622 0.6232 0.7231 0.7421 0.6665 0.5922 0.6811 0.6359 0.7859 0.7514 0.5985 0.7218 0.4323 0.8005 0.7783 0.7481 0.7609 0.7554 0.6710 0.4029 0.7083 0.5103 0.6096 0.9039 0.8366 0.6734 0.5157 0.5567 0.5290 0.6744 0.5828 0.7098 0.7162 0.5524 0.4685 0.6396 0.5775 0.4830 0.7445 0.7253 0.7070 0.5447 0.4967 
C0005586 0.5353 0.6936 0.6954 0.7645 0.5484 0.3537 0.9877 0.6634 0.4415 0.5005 0.6337 0.4450 0.6293 0.5817 0.6264 0.5002 0.8780 0.4767 0.4867 0.5089 0.5850 0.8554 0.7128 0.7583 0.5395 0.3906 0.6664 0.4134 0.7596 0.6037 0.5717 0.5974 0.6032 1.0000 0.9830 0.4356 0.5138 0.3996 0.5130 0.4853 0.3946 0.3775 0.5612 0.4836 0.3403 0.6314 0.5713 0.9679 0.4814 0.4087 0.7645 0.5222 0.6539 0.6522 0.3199 0.6972 0.4687 0.5682 0.6093 0.5918 0.6199 0.6554 0.6662 0.6486 0.6880 0.6922 0.5606 0.5339 0.6165 0.6256 0.4418 0.6211 0.5078 0.6118 0.8257 0.4627 0.7015 0.3827 0.5713 0.7803 0.7092 0.6134 0.6790 0.6109 0.3210 0.7809 0.4888 0.4328 0.6294 0.6045 0.5264 0.9354 0.4121 0.9266 0.4805 0.4167 0.5499 0.5391 0.5251 0.3614 0.5090 0.5663 0.2858 0.7714 0.4935 0.7697 0.4108 0.6235 
C0525045 0.5190 0.6680 0.6746 0.7402 0.5152 0.3232 0.9797 0.6242 0.3991 0.4594 0.5975 0.4066 0.5935 0.5534 0.5932 0.4638 0.8602 0.4376 0.4519 0.4643 0.5534 0.8760 0.6848 0.7284 0.4996 0.3617 0.6377 0.3808 0.7299 0.5634 0.5359 0.5728 0.5675 0.9830 1.0000 0.4059 0.4603 0.3613 0.4690 0.4385 0.3529 0.3377 0.5298 0.4324 0.3064 0.5928 0.5523 0.9602 0.4387 0.3757 0.7435 0.4904 0.6226 0.6143 0.2889 0.6698 0.4328 0.5296 0.5728 0.5594 0.5790 0.6329 0.6343 0.6068 0.6560 0.6827 0.5295 0.4928 0.5838 0.6047 0.3891 0.5872 0.4588 0.5810 0.8051 0.4309 0.6752 0.3506 0.5338 0.7530 0.6862 0.5831 0.6520 0.5847 0.3183 0.7595 0.4561 0.3976 0.6010 0.5748 0.4954 0.9600 0.3849 0.9535 0.4363 0.3821 0.5198 0.5068 0.5009 0.3299 0.4782 0.5544 0.2619 0.7458 0.4622 0.7452 0.3838 0.6046 
C1956346 0.4981 0.6980 0.6892 0.6512 0.8019 0.8247 0.4210 0.7093 0.6262 0.6907 0.7014 0.8356 0.7636 0.6284 0.6210 0.9154 0.6628 0.5792 0.7922 0.5438 0.7905 0.3433 0.8514 0.6167 0.6590 0.9954 0.7639 0.9657 0.6884 0.8358 0.7571 0.8618 0.5707 0.4356 0.4059 1.0000 0.5212 0.5740 0.5459 0.5527 0.4930 0.5783 0.5915 0.5698 0.7590 0.8080 0.6245 0.4538 0.5664 0.9961 0.6520 0.8892 0.7626 0.7563 0.8657 0.8030 0.9223 0.7100 0.7849 0.7780 0.6980 0.4983 0.7024 0.7342 0.8264 0.4803 0.7288 0.7383 0.7963 0.5753 0.5940 0.7650 0.5495 0.8224 0.7255 0.9883 0.8455 0.8820 0.7715 0.7815 0.7884 0.7143 0.7990 0.7689 0.4062 0.6286 0.4947 0.7493 0.6773 0.6686 0.9748 0.3710 0.8849 0.3839 0.7062 0.5617 0.9707 0.9677 0.4505 0.9037 0.9679 0.5370 0.5163 0.7431 0.7810 0.6606 0.5443 0.4158 
C1458155 0.4339 0.7675 0.7015 0.6283 0.6677 0.4827 0.4969 0.7651 0.8565 0.8154 0.8568 0.5429 0.5829 0.6134 0.6348 0.7279 0.6251 0.8882 0.6279 0.9117 0.6494 0.3991 0.6378 0.6304 0.8868 0.4998 0.6672 0.6049 0.6714 0.7375 0.6268 0.5589 0.6313 0.5138 0.4603 0.5212 1.0000 0.8223 0.8810 0.9480 0.9000 0.8463 0.5624 0.9287 0.6793 0.7126 0.5549 0.5665 0.8958 0.5195 0.6065 0.5425 0.6937 0.7449 0.4082 0.6304 0.7046 0.8578 0.7042 0.7130 0.7809 0.5072 0.6676 0.7385 0.7569 0.6357 0.5909 0.8617 0.6555 0.6206 0.8664 0.6285 0.9729 0.6734 0.6389 0.5690 0.6287 0.4080 0.6050 0.6927 0.6426 0.8065 0.7275 0.6206 0.3923 0.6101 0.5222 0.5628 0.6517 0.6042 0.5884 0.4307 0.4684 0.4473 0.6409 0.7477 0.6295 0.6354 0.4978 0.4071 0.5894 0.5730 0.3690 0.6352 0.5767 0.6293 0.8007 0.4360 
C0684249 0.4089 0.7387 0.6193 0.6013 0.6688 0.6095 0.3704 0.7021 0.9517 0.7953 0.8228 0.6085 0.5590 0.5964 0.4928 0.7506 0.5579 0.8319 0.7036 0.7993 0.6289 0.3317 0.6276 0.5842 0.8618 0.5594 0.6450 0.6324 0.6128 0.7568 0.6492 0.6332 0.5811 0.3996 0.3613 0.5740 0.8223 1.0000 0.8178 0.8303 0.8102 0.8887 0.4931 0.8091 0.7012 0.7259 0.4978 0.4684 0.7928 0.5720 0.5813 0.5532 0.6374 0.6847 0.4802 0.5812 0.7383 0.8142 0.7226 0.7400 0.7511 0.4627 0.6133 0.7015 0.7518 0.6251 0.5727 0.8452 0.6303 0.5725 0.7425 0.6120 0.8361 0.6942 0.6215 0.6073 0.6090 0.4851 0.6334 0.6703 0.6014 0.7882 0.6964 0.5891 0.3514 0.5759 0.4287 0.6214 0.6272 0.5836 0.6004 0.3256 0.5734 0.3390 0.6140 0.6867 0.6549 0.6597 0.4698 0.4734 0.6199 0.4965 0.4275 0.6077 0.6789 0.5957 0.7648 0.3389 
C0040136 0.4398 0.7611 0.6989 0.6417 0.6875 0.5273 0.4932 0.7526 0.8742 0.8364 0.8594 0.5749 0.6041 0.6779 0.6416 0.7447 0.6403 0.9034 0.6691 0.9233 0.7239 0.3989 0.6444 0.6315 0.8821 0.5261 0.6868 0.6240 0.6755 0.7554 0.6826 0.5893 0.6509 0.5130 0.4690 0.5459 0.8810 0.8178 1.0000 0.9003 0.8271 0.8537 0.6076 0.9188 0.7025 0.7438 0.5625 0.5500 0.8714 0.5422 0.6240 0.5452 0.7159 0.7532 0.4294 0.6378 0.7239 0.8520 0.7268 0.7300 0.7777 0.5222 0.6894 0.7362 0.7734 0.6384 0.6050 0.8556 0.6890 0.6205 0.7434 0.6243 0.8794 0.6877 0.6461 0.5875 0.6178 0.4261 0.6646 0.7062 0.6443 0.8015 0.7529 0.6442 0.3454 0.6229 0.4987 0.5594 0.6903 0.6991 0.6137 0.4456 0.5207 0.4595 0.6037 0.7991 0.6567 0.6650 0.4895 0.4393 0.6147 0.5215 0.3915 0.6510 0.6251 0.6525 0.8361 0.3962 
C0919267 0.4323 0.7782 0.7015 0.6248 0.6891 0.5162 0.4642 0.7698 0.8811 0.8568 0.8719 0.5616 0.5859 0.6429 0.6176 0.7596 0.6176 0.9295 0.6573 0.9324 0.6547 0.3662 0.6468 0.6209 0.9067 0.5329 0.6888 0.6399 0.6648 0.7557 0.6561 0.5755 0.6369 0.4853 0.4385 0.5527 0.9480 0.8303 0.9003 1.0000 0.9429 0.8854 0.5740 0.9665 0.7319 0.7436 0.5501 0.5264 0.9412 0.5476 0.6080 0.5524 0.7103 0.7561 0.4363 0.6347 0.7340 0.8771 0.7276 0.7329 0.8031 0.4990 0.6756 0.7437 0.7707 0.6095 0.5979 0.8824 0.6769 0.6145 0.8757 0.6178 0.9509 0.6823 0.6341 0.5922 0.6267 0.4329 0.6266 0.6936 0.6390 0.8045 0.7442 0.6269 0.3481 0.6067 0.5068 0.5732 0.6858 0.6242 0.6165 0.4135 0.5045 0.4308 0.6407 0.7877 0.6577 0.6678 0.4825 0.4319 0.6125 0.5557 0.3866 0.6369 0.6030 0.6313 0.8331 0.4018 
C0005695 0.3731 0.7174 0.5972 0.5570 0.6293 0.4988 0.3776 0.6722 0.8489 0.8029 0.8227 0.5202 0.5276 0.5781 0.5341 0.7043 0.5316 0.9114 0.6137 0.8804 0.5699 0.3028 0.5655 0.5564 0.8678 0.4778 0.6171 0.5797 0.5951 0.6932 0.5796 0.5167 0.5563 0.3946 0.3529 0.4930 0.9000 0.8102 0.8271 0.9429 1.0000 0.8821 0.4936 0.9088 0.6802 0.6676 0.4898 0.4318 0.9115 0.4922 0.5424 0.4990 0.6390 0.6854 0.4029 0.5529 0.6777 0.8252 0.6613 0.6715 0.7322 0.4311 0.6049 0.6650 0.6933 0.5425 0.5223 0.8316 0.5964 0.5445 0.8269 0.5381 0.9135 0.6162 0.5515 0.5316 0.5386 0.4010 0.5530 0.6110 0.5485 0.7472 0.6604 0.5428 0.3358 0.5382 0.4364 0.5256 0.6086 0.5418 0.5489 0.3221 0.4667 0.3329 0.5958 0.7483 0.5881 0.6021 0.4048 0.3867 0.5444 0.4652 0.3661 0.5574 0.5427 0.5646 0.8726 0.3251 
C0007134 0.3482 0.7268 0.6072 0.5452 0.6585 0.6646 0.3603 0.6937 0.9253 0.8391 0.8337 0.6660 0.5445 0.5672 0.5022 0.7671 0.5230 0.8843 0.7596 0.8769 0.5856 0.2954 0.6001 0.5413 0.8869 0.5637 0.6337 0.6492 0.5785 0.7499 0.6740 0.5971 0.5452 0.3775 0.3377 0.5783 0.8463 0.8887 0.8537 0.8854 0.8821 1.0000 0.5210 0.8796 0.7531 0.7141 0.4829 0.4089 0.8303 0.5774 0.5365 0.5311 0.6510 0.6967 0.4884 0.5659 0.7485 0.8434 0.7035 0.7188 0.7394 0.4334 0.6150 0.6641 0.7193 0.5197 0.5312 0.8671 0.6183 0.5589 0.7583 0.5516 0.8779 0.6568 0.5526 0.6073 0.5769 0.4778 0.6646 0.6331 0.5670 0.7760 0.6734 0.5599 0.3270 0.5235 0.4330 0.6102 0.6076 0.5607 0.6069 0.3140 0.5645 0.3396 0.5989 0.7662 0.6537 0.6631 0.4384 0.4723 0.6055 0.4259 0.4392 0.5666 0.6521 0.5578 0.8410 0.2894 
C2607914 0.5118 0.6798 0.6588 0.6533 0.7074 0.5200 0.5547 0.7785 0.5734 0.6949 0.6725 0.6080 0.7238 0.6895 0.6887 0.6928 0.6794 0.5823 0.6634 0.6051 0.6169 0.4145 0.6820 0.6331 0.6394 0.5642 0.7592 0.6069 0.7157 0.8352 0.8030 0.6851 0.8351 0.5612 0.5298 0.5915 0.5624 0.4931 0.6076 0.5740 0.4936 0.5210 1.0000 0.6198 0.5795 0.7338 0.6126 0.5878 0.5751 0.5760 0.6434 0.5627 0.8060 0.8100 0.4480 0.7185 0.6539 0.7143 0.7366 0.7159 0.7758 0.5144 0.7904 0.7873 0.7289 0.5598 0.5737 0.6968 0.7246 0.6072 0.5582 0.6142 0.5707 0.7144 0.6850 0.6136 0.6768 0.4565 0.7902 0.7155 0.6866 0.6426 0.6939 0.6288 0.3496 0.6472 0.4887 0.5629 0.7203 0.7855 0.6822 0.4928 0.5484 0.5129 0.6204 0.5989 0.6878 0.7073 0.4855 0.4800 0.6287 0.5398 0.4913 0.6864 0.7105 0.6641 0.5141 0.4257 
C0030297 0.4451 0.7560 0.6929 0.6409 0.7009 0.5428 0.4577 0.7789 0.8829 0.8611 0.8885 0.5874 0.6132 0.6667 0.6439 0.7759 0.6312 0.9511 0.6848 0.9565 0.6854 0.3776 0.6523 0.6370 0.9127 0.5503 0.7076 0.6555 0.6800 0.7693 0.6878 0.5888 0.6570 0.4836 0.4324 0.5698 0.9287 0.8091 0.9188 0.9665 0.9088 0.8796 0.6198 1.0000 0.7370 0.7776 0.5658 0.5192 0.9538 0.5627 0.6266 0.5712 0.7226 0.7646 0.4505 0.6436 0.7548 0.8866 0.7591 0.7681 0.7986 0.5206 0.6904 0.7431 0.7821 0.6255 0.6337 0.8825 0.7104 0.6207 0.8255 0.6438 0.9272 0.7215 0.6412 0.6133 0.6262 0.4544 0.6604 0.7079 0.6435 0.8283 0.7601 0.6599 0.3727 0.6215 0.5212 0.6095 0.6954 0.6395 0.6322 0.4047 0.5285 0.4302 0.6449 0.8370 0.6748 0.6847 0.4901 0.4569 0.6387 0.5380 0.4420 0.6504 0.6286 0.6537 0.8726 0.3851 
