,ADAR1,AGO1,AGO2,AGO4,ALKBH5,ATXN2,C17ORF85,C22ORF28,CAPRIN1,CELF1,CPEB1,DDX21,DGCR8,EIF3A,EIF3B,EIF3D,EIF3G,EIF4A3,ELAVL1,EWSR1,FMR1_iso1,FMR1_iso7,FUS,FXR1,FXR2,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPF,HNRNPH1,HNRNPU,IGF2BP1,IGF2BP2,IGF2BP3,LARP4B,LIN28A,LIN28B,METTL3,MOV10,MSI1,PABPC1,PARK7,PCBP2,PUM1,PUM2,QKI,RBFOX2,RBM10,RBM47,RBPMS,RC3H1,SRRM4,STAU1,TAF15,TARBP2,TARDBP,TIA1,TIAL1,TNRC6B,U2AF2,WDR33,YTHDF1,YTHDF2,ZC3H12A,ZC3H7B,ZFP36
EIF3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0116945136124,0.0,0.0,0.0,0.0,1.0,0.0,0.0343758176866,0.0,0.0323384316574,-0.0148011670754,0.0,0.0,-0.0102238063978,0.0,0.0,-0.0218521395105,-0.00655350555258,0.0181425225115,-0.0143195250714,-0.00191741135903,0.0249879471031,0.0,0.00616911578215,0.0346594576664,0.0018533028918,0.0,0.0,0.0,0.0,0.0,-0.0109610501003,-0.0119592859749,0.0,0.0,0.0,0.0,0.0,0.00455697997246,-0.0159649692901,-0.00579223069988,-0.0115897739221,0.0,0.0,0.0,-0.0104673712099,0.0,0.00144738793323,0.149178867966,-0.00845457802272,0.0,-0.0146560520092,0.0,0.0,0.0,0.0,0.0,0.0
EIF3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246966435478,0.0,0.0,0.0,0.0,0.0343758176866,0.0,1.0,0.0,0.108707391127,-0.00213137605774,0.0,0.0,-0.0189220919233,0.0,0.0,0.0151641002885,0.0338482119544,0.099516959823,0.102655713808,0.0840440264729,0.119339525284,0.0,-0.0145408324532,-0.000483995874378,-0.0166263922859,0.0,0.0,0.0,0.0,0.0,0.00738379780377,-0.00132516137004,0.0,0.0,0.0,0.0,0.0,0.0586724015103,-0.0148835085566,-0.0122572760215,0.00819288819903,0.0,0.0,0.0,-0.00137559372781,0.0,-0.00361123012805,0.110464447054,0.0822651250243,0.0,0.0108715439778,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466094139171,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELAVL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528842761306,0.0,0.0,0.0,0.0,0.0323384316574,0.0,0.108707391127,0.0,1.0,-0.0193038242262,0.0,0.0,-0.0253657972863,0.0,0.0,0.044309327152,0.100369297971,0.118796138895,0.116189885166,0.0336000304032,0.0435354236366,0.0,0.0280252393427,0.110511708868,-0.0311556760453,0.0,0.0,0.0,0.0,0.0,0.100509323885,-0.00516114949276,0.0,0.0,0.0,0.0,0.0,0.0836370387428,-0.0189537809196,-0.0110978444308,0.00984247684406,0.0,0.0,0.0,-0.00931158991774,0.0,0.0243936857294,0.146347113465,0.0842861605042,0.0,0.0200945450145,0.0,0.0,0.0,0.0,0.0,0.0
EWSR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0188338322604,0.0,0.0,0.0,0.0,-0.0148011670754,0.0,-0.00213137605774,0.0,-0.0193038242262,1.0,0.0,0.0,0.829213234929,0.0,0.0,0.0184341814047,-0.0101778118915,-0.0202835706238,-0.0142307950348,0.0187376299964,0.0233172799836,0.0,-0.00636714381596,-0.0101608739743,-0.00672532453251,0.0,0.0,0.0,0.0,0.0,0.00509512958543,0.000811698339791,0.0,0.0,0.0,0.0,0.0,-0.0145675722785,-0.00169318571892,-0.0103872456443,-0.0121539169839,0.0,0.0,0.0,0.940603906794,0.0,0.00779223714667,-0.0211677243534,-0.0178341219299,0.0,-0.00312238100752,0.0,0.0,0.0,0.0,0.0,0.0
FMR1_iso1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.532286832911,0.619911203486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000754609265223,0.00138744873068,-0.00056800235756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00290990123545,0.0,0.0,-0.0255646786922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMR1_iso7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.532286832911,0.619911203486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000754609265223,0.00138744873068,-0.00056800235756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00290990123545,0.0,0.0,-0.0255646786922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0248915720827,0.0,0.0,0.0,0.0,-0.0102238063978,0.0,-0.0189220919233,0.0,-0.0253657972863,0.829213234929,0.0,0.0,1.0,0.0,0.0,-0.00460239400964,-0.0151839838345,-0.0242475231342,-0.0197862062402,0.00287866002561,0.0137188745253,0.0,-0.00710196181471,0.00146152999897,-0.00629989904433,0.0,0.0,0.0,0.0,0.0,0.312509204682,-0.00352676720801,0.0,0.0,0.0,0.0,0.0,-0.0191150568275,-0.00189653910449,-0.0133653196412,-0.0136968569051,0.0,0.0,0.0,0.822149374247,0.0,-0.0036745578406,-0.0224121932946,-0.0168420377768,0.0,0.00251788764025,0.0,0.0,0.0,0.0,0.0,0.0
