1,D013348,UBERON:0001533
2,D012679,UBERON:0000020
3,D004423,UBERON:0001690
4,D001853,UBERON:0002371
5,D016548,UBERON:0001890
6,D013350,UBERON:0001587
7,D019581,UBERON:0002606
8,D001160,UBERON:0001980
9,D004838,UBERON:0001437
10,D013363,UBERON:0001736
11,D014459,UBERON:0001494
12,D014795,UBERON:0001908
13,D004064,UBERON:0001007
14,D018987,UBERON:0001837
15,D012629,UBERON:0001866
16,D006066,UBERON:0000991
17,D007366,UBERON:0001111
18,D003656,UBERON:0002450
19,D005626,UBERON:0001760
20,D004424,UBERON:0001352
21,D006413,UBERON:0002390
22,D006225,UBERON:0002398
23,D006351,UBERON:0000946
24,D009262,UBERON:0001705
25,D002584,UBERON:0000002
26,D009333,UBERON:0000974
27,D020768,UBERON:0001627
28,D005704,UBERON:0002110
29,D005154,UBERON:0001647
30,D007830,UBERON:0001737
31,D012160,UBERON:0000966
32,D010413,UBERON:0000989
33,D005836,UBERON:0000474
34,D001808,UBERON:0001981
35,D020772,UBERON:0001887
36,D003315,UBERON:0000964
37,D017783,UBERON:0001989
38,D020546,UBERON:0002422
39,D008168,UBERON:0002048
40,D009666,UBERON:0000004
41,D013979,UBERON:0001323
42,D010220,UBERON:0001237
43,D007606,UBERON:0002303
44,D017539,UBERON:0002523
45,D007679,UBERON:0001228
46,D010521,UBERON:0002515
47,D010791,UBERON:0001884
48,D001980,UBERON:0002185
49,D011150,UBERON:0002250
50,D005263,UBERON:0002060
51,D008437,UBERON:0002397
52,D012611,UBERON:0001300
53,D001132,UBERON:0001460
54,D013583,UBERON:0002018
55,D009197,UBERON:0002439
56,D010053,UBERON:0000992
57,D013737,UBERON:0000473
58,D010159,UBERON:0001716
59,D001659,UBERON:0002294
60,D002525,UBERON:0002129
61,D006458,UBERON:0001011
62,D008578,UBERON:0002360
63,D002968,UBERON:0001105
64,D012161,UBERON:0001620
65,D005140,UBERON:0001702
66,D004547,UBERON:0002521
67,D012886,UBERON:0003129
68,D013316,UBERON:0002282
69,D005930,UBERON:0001649
70,D006132,UBERON:0002516
71,D013233,UBERON:0002441
72,D007596,UBERON:0000982
73,D008160,UBERON:0001815
74,D001652,UBERON:0002394
75,D004817,UBERON:0001003
76,D020542,UBERON:0002286
77,D006928,UBERON:0001685
78,D014471,UBERON:0002066
79,D011149,UBERON:0000988
80,D003056,UBERON:0004727
81,D006352,UBERON:0002082
82,D011467,UBERON:0002367
83,D006621,UBERON:0001486
84,D008125,UBERON:0002148
85,D005267,UBERON:0001267
86,D016122,UBERON:0001529
87,D008022,UBERON:0000211
88,D007419,UBERON:0002466
89,D013133,UBERON:0002944
90,D006257,UBERON:0000033
91,D009055,UBERON:0000165
92,D000055,UBERON:0002019
93,D007719,UBERON:0001485
94,D005552,UBERON:0002102
95,D009206,UBERON:0002349
96,D001401,UBERON:0001594
97,D012627,UBERON:0001821
98,D010210,UBERON:0002494
99,D013961,UBERON:0002046
100,D005145,UBERON:0001456
101,D015385,UBERON:0002055
102,D008198,UBERON:0000029
103,D011667,UBERON:0002016
104,D019291,UBERON:0002517
105,D002001,UBERON:0001348
106,D010502,UBERON:0002356
107,D012405,UBERON:0002502
108,D005542,UBERON:0002386
109,D014278,UBERON:0002925
110,D006500,UBERON:0001175
111,D031608,UBERON:0002162
112,D010160,UBERON:0001733
113,D012169,UBERON:0001673
114,D007758,UBERON:0001846
115,D017537,UBERON:0001183
116,D006346,UBERON:0002099
117,D014321,UBERON:0001644
