Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train1.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test1.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train2.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test2.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train3.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test3.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train4.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test4.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train5.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test5.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train6.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test6.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train7.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test7.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train8.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test8.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train9.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test9.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L21more/train10.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L21more/test10.csv
Dataset=N3L21more, Avg.TPR35=0.689055964934, S.E.M.TPR35=0.00321783273002
[0.6906882591093118, 0.668825910931174, 0.6898785425101215, 0.6985413290113452, 0.692868719611021, 0.6807131280388979, 0.6920583468395461, 0.7082658022690438, 0.6807131280388979, 0.6880064829821718]
Rank	TPR
1	0.0
2	0.00372680871749
3	0.0221988171433
4	0.114720894434
5	0.18982419185
6	0.247751762132
7	0.304869156607
8	0.345215911853
9	0.379972454023
10	0.410597099571
11	0.436117637527
12	0.464392773232
13	0.494288260553
14	0.521267114964
15	0.537551648708
16	0.553593129709
17	0.567366118448
18	0.57951875557
19	0.591752410273
20	0.602446730941
21	0.610791541765
22	0.61929838775
23	0.625779794215
24	0.631532042453
25	0.638256501661
26	0.645224013611
27	0.651948472819
28	0.656404439763
29	0.662237705582
30	0.666855707689
31	0.670177428502
32	0.675767641578
33	0.680385643685
34	0.684598557887
35	0.689054524832
36	0.693186421453
37	0.695697966459
38	0.698695616949
39	0.701936320181
40	0.705339058576
41	0.707850603581
42	0.710524183748
43	0.712549623268
44	0.714575062789
45	0.717005590213
46	0.718544924249
47	0.720813416511
48	0.722919873613
49	0.725350401037
50	0.727051770234
51	0.729563315239
52	0.73264198331
53	0.734667422831
54	0.736449809609
55	0.738070161225
56	0.739285424937
57	0.740095600745
58	0.741391882038
59	0.742850198493
60	0.743822409463
61	0.745361743498
62	0.74649598963
63	0.747630235761
64	0.749169569797
65	0.750384833509
66	0.751438062059
67	0.752410273029
68	0.753301466418
69	0.754597747711
70	0.755894029004
71	0.756623187232
72	0.758000486105
73	0.758810661914
74	0.759539820141
75	0.760674066272
76	0.761727294823
77	0.762780523374
78	0.763752734343
79	0.764967998056
80	0.765940209025
81	0.76739852548
82	0.769018877096
83	0.770072105647
84	0.771044316617
85	0.772421615491
