Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train1.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test1.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train2.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test2.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train3.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test3.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train4.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test4.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train5.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test5.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train6.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test6.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train7.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test7.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train8.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test8.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train9.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test9.csv
Reading training instances  ../ZINC_data/chem_prot/NTNL/N3/L16to20/train10.csv
Reading test instances :  ../ZINC_data/chem_prot/NTNL/N3/L16to20/test10.csv
Dataset=N3L16to20, Avg.TPR35=0.457476472639, S.E.M.TPR35=0.011038296525
[0.42105263157894735, 0.4605263157894737, 0.4868421052631579, 0.3815789473684211, 0.4605263157894737, 0.45695364238410596, 0.48344370860927155, 0.4370860927152318, 0.4768211920529801, 0.5099337748344371]
Rank	TPR
1	0.0
2	0.000660066006601
3	0.00726072607261
4	0.0534653465347
5	0.106270627063
6	0.151155115512
7	0.186798679868
8	0.201320132013
9	0.218481848185
10	0.23498349835
11	0.249504950495
12	0.265346534653
13	0.285148514851
14	0.30297029703
15	0.309570957096
16	0.323432343234
17	0.346534653465
18	0.359735973597
19	0.36501650165
20	0.373597359736
21	0.378877887789
22	0.389438943894
23	0.395379537954
24	0.4
25	0.405940594059
26	0.413861386139
27	0.423102310231
28	0.43102310231
29	0.43498349835
30	0.438283828383
31	0.442244224422
32	0.448184818482
33	0.454125412541
34	0.455445544554
35	0.457425742574
36	0.463366336634
37	0.468646864686
38	0.472607260726
39	0.476567656766
40	0.479207920792
41	0.481188118812
42	0.485148514851
