   Rank	    TPR
1	0
2	0.004926108
3	0.01313629
4	0.02463054
5	0.04433498
6	0.08045977
7	0.1067323
8	0.1231527
9	0.1477833
10	0.1691297
11	0.1937603
12	0.2036125
13	0.2200328
14	0.2315271
15	0.2430213
16	0.2545156
17	0.2610837
18	0.27422
19	0.2758621
20	0.2840722
21	0.2906404
22	0.2988506
23	0.3070608
24	0.3152709
25	0.318555
26	0.3234811
27	0.3300493
28	0.3333333
29	0.3349754
30	0.3415435
31	0.3513957
32	0.3563218
33	0.3596059
34	0.36289
35	0.3661741
36	0.3760263
37	0.3760263
38	0.3793103
39	0.3825944
40	0.3825944
41	0.3842365
42	0.3858785
43	0.3858785
44	0.3875205
45	0.3891626
46	0.3924466
47	0.3940887
48	0.3957307
49	0.3990148
50	0.4006568
51	0.4006568
52	0.4022989
53	0.4022989
54	0.407225
55	0.408867
56	0.410509
57	0.410509
58	0.410509
59	0.4121511
60	0.4121511
61	0.4137931
62	0.4170772
63	0.4170772
64	0.4187192
65	0.4187192
66	0.4203612
67	0.4203612
68	0.4220033
69	0.4220033
70	0.4236453
71	0.4236453
72	0.4236453
73	0.4236453
74	0.4236453
75	0.4252874
76	0.4269294
77	0.4285714
78	0.4285714
79	0.4302135
80	0.4302135
81	0.4302135
82	0.4302135
83	0.4302135
84	0.4302135
85	0.4318555
86	0.4318555
87	0.4334975
88	0.4334975
89	0.4334975
90	0.4351396
91	0.4367816
92	0.4367816
93	0.4367816
94	0.4367816
95	0.4367816
96	0.4367816
97	0.4367816
98	0.4384236
99	0.4400657
100	0.4400657
101	0.4400657
102	0.4400657
103	0.4400657
104	0.4400657
105	0.4417077
106	0.4417077
107	0.4417077
108	0.4417077
109	0.4417077
110	0.4417077
111	0.4417077
112	0.4417077
113	0.4417077
114	0.4417077
115	0.4417077
116	0.4417077
117	0.4417077
118	0.4417077
119	0.4417077
120	0.4417077
121	0.4433498
122	0.4433498
123	0.4433498
124	0.4433498
125	0.4433498
126	0.4433498
127	0.4449918
128	0.4449918
129	0.4449918
130	0.4449918
131	0.4449918
132	0.4449918
133	0.4449918
134	0.4449918
135	0.4449918
136	0.4466338
137	0.4466338
138	0.4466338
139	0.4482759
140	0.4482759
141	0.4482759
142	0.4499179
143	0.4499179
144	0.4499179
145	0.4499179
146	0.4499179
147	0.4499179
148	0.4515599
149	0.4515599
150	0.4515599
151	0.4515599
152	0.4515599
153	0.4515599
154	0.4515599
155	0.4515599
156	0.4515599
157	0.4515599
158	0.453202
159	0.453202
160	0.454844
161	0.454844
162	0.454844
163	0.454844
164	0.454844
165	0.454844
166	0.454844
167	0.454844
168	0.454844
169	0.454844
170	0.454844
171	0.454844
172	0.454844
173	0.454844
174	0.454844
175	0.454844
176	0.454844
177	0.454844
178	0.454844
179	0.454844
180	0.454844
181	0.454844
182	0.454844
183	0.454844
184	0.454844
185	0.454844
186	0.454844
187	0.454844
188	0.454844
189	0.454844
190	0.454844
191	0.454844
192	0.454844
193	0.454844
194	0.454844
195	0.454844
196	0.454844
197	0.454844
198	0.454844
199	0.454844
200	0.454844
201	0.454844
202	0.454844
203	0.454844
204	0.454844
205	0.454844
206	0.454844
207	0.454844
208	0.454844
209	0.456486
210	0.456486
211	0.456486
212	0.456486
213	0.456486
214	0.456486
215	0.456486
216	0.456486
217	0.456486
218	0.456486
219	0.456486
220	0.456486
221	0.456486
222	0.4581281
223	0.4581281
224	0.4581281
225	0.4581281
226	0.4581281
227	0.4581281
228	0.4581281
229	0.4581281
230	0.4581281
231	0.4581281
232	0.4581281
233	0.4581281
234	0.4581281
235	0.4581281
236	0.4581281
237	0.4581281
238	0.4581281
239	0.4581281
240	0.4581281
241	0.4581281
242	0.4581281
243	0.4581281
244	0.4581281
245	0.4581281
246	0.4581281
247	0.4581281
248	0.4581281
249	0.4581281
250	0.4581281
251	0.4597701
252	0.4597701
253	0.4614122
254	0.4614122
255	0.4614122
256	0.4614122
257	0.4614122
258	0.4614122
259	0.4614122
260	0.4614122
261	0.4614122
262	0.4614122
263	0.4614122
264	0.4614122
265	0.4614122
266	0.4614122
267	0.4614122
268	0.4614122
269	0.4614122
270	0.4614122
271	0.4614122
272	0.4614122
273	0.4614122
274	0.4614122
275	0.4614122
276	0.4614122
277	0.4614122
278	0.4614122
279	0.4614122
280	0.4630542
281	0.4630542
282	0.4630542
283	0.4630542
284	0.4630542
285	0.4630542
286	0.4630542
287	0.4630542
288	0.4630542
289	0.4630542
290	0.4646962
291	0.4646962
292	0.4646962
293	0.4646962
294	0.4646962
295	0.4646962
296	0.4646962
297	0.4646962
298	0.4646962
299	0.4646962
300	0.4646962
301	0.4646962
302	0.4663383
303	0.4663383
304	0.4663383
305	0.4663383
306	0.4663383
307	0.4663383
308	0.4663383
309	0.4663383
310	0.4663383
311	0.4663383
312	0.4663383
313	0.4663383
314	0.4663383
315	0.4663383
316	0.4663383
317	0.4663383
318	0.4663383
319	0.4663383
320	0.4663383
321	0.4663383
322	0.4663383
323	0.4663383
324	0.4663383
325	0.4663383
326	0.4663383
327	0.4663383
328	0.4663383
329	0.4663383
330	0.4663383
331	0.4663383
332	0.4663383
333	0.4663383
334	0.4663383
335	0.4663383
336	0.4663383
337	0.4663383
338	0.4663383
339	0.4663383
340	0.4663383
341	0.4663383
342	0.4663383
343	0.4663383
344	0.4663383
345	0.4663383
346	0.4663383
347	0.4663383
348	0.4663383
349	0.4663383
350	0.4663383


Mean_TPR35= 0.3661	S.E.M= 0.0170
TPR35:
0.3934426	0.3114754	0.3278689	0.4590164	0.295082	0.3606557	0.3278689	0.4262295	0.4098361	0.35
