   Rank	    TPR
1	0.05016722
2	0.1146245
3	0.187595
4	0.2420189
5	0.2924901
6	0.3438735
7	0.3852235
8	0.4156279
9	0.4478565
10	0.4733962
11	0.4904226
12	0.5074491
13	0.5244755
14	0.5384615
15	0.5530556
16	0.5664336
17	0.5788994
18	0.5913652
19	0.603831
20	0.6135604
21	0.6208574
22	0.6296747
23	0.6406202
24	0.6494375
25	0.6561265
26	0.6591669
27	0.6661599
28	0.6710246
29	0.6749772
30	0.6792338
31	0.6834904
32	0.687443
33	0.6935239
34	0.6968683
35	0.7002128
36	0.7020371
37	0.7041654
38	0.708422
39	0.7096382
40	0.7135908
41	0.7169352
42	0.7190635
43	0.7214959
44	0.7230161
45	0.7248404
46	0.7275768
47	0.7306172
48	0.7315293
49	0.7330496
50	0.736394
51	0.7415628
52	0.7442992
53	0.7470356
54	0.7494679
55	0.7519003
56	0.7543326
57	0.7552448
58	0.7573731
59	0.7585892
60	0.7607175
61	0.763758
62	0.7655822
63	0.7686227
64	0.7713591
65	0.7728793
66	0.7740955
67	0.7756157
68	0.7762238
69	0.777744
70	0.7798723
71	0.7807844
72	0.7816966
73	0.7829127
74	0.7838249
75	0.7862572
76	0.7880815
77	0.7902098
78	0.79173
79	0.7923381
80	0.7935543
81	0.7947704
82	0.7962907
83	0.7975068
84	0.7993311
85	0.8002432
86	0.8020675
87	0.8026756
88	0.8038918
89	0.8051079
90	0.805716
91	0.8063241
92	0.8075403
93	0.8093645
94	0.8111888
95	0.8121009
96	0.8130131
97	0.8136212
98	0.8154454
99	0.8166616
100	0.8172697
101	0.8184859
102	0.8187899
103	0.819398
104	0.8206142
105	0.8212223
106	0.8224384
107	0.8227425
108	0.8239587
109	0.8251748
110	0.826391
111	0.8273031
112	0.8285193
113	0.8288234
114	0.8288234
115	0.8291274
116	0.8297355
117	0.8303436
118	0.8321678
119	0.833384
120	0.8352083
121	0.8367285
122	0.8379447
123	0.8382487
124	0.8394649
125	0.8397689
126	0.840377
127	0.8412891
128	0.8428094
129	0.8443296
130	0.8449377
131	0.8461538
132	0.8479781
133	0.8491943
134	0.8491943
135	0.8501064
136	0.8504105
137	0.8519307
138	0.8525388
139	0.8534509
140	0.854059
141	0.854363
142	0.8558832
143	0.8561873
144	0.8567954
145	0.8570994
146	0.8580116
147	0.8589237
148	0.8589237
149	0.8592277
150	0.8595318
151	0.8598358
152	0.861356
153	0.8622682
154	0.8631803
155	0.8637884
156	0.8647005
157	0.8662207
158	0.8665248
159	0.8668288
160	0.867741
161	0.868045
162	0.8689571
163	0.8692612
164	0.8695652
165	0.8695652
166	0.8695652
167	0.8698693
168	0.8707814
169	0.8710854
170	0.8710854
171	0.8723016
172	0.8726057
173	0.8732137
174	0.8738218
175	0.8738218
176	0.8744299
177	0.8744299
178	0.875342
179	0.8759501
180	0.8765582
181	0.8771663
182	0.8771663
183	0.8777744
184	0.8783825
185	0.8795987
186	0.8802067
187	0.8811189
188	0.8814229
189	0.8823351
190	0.8841593
191	0.8841593
192	0.8850715
193	0.8868957
194	0.8871998
195	0.8881119
196	0.8893281
197	0.8908483
198	0.8923685
199	0.8926725
200	0.8935847
201	0.8938887
202	0.8944968
203	0.8948009
204	0.8948009
205	0.896017
206	0.896017
207	0.8963211
208	0.8966251
209	0.8972332
210	0.8975372
211	0.8975372
212	0.8978413
213	0.8981453
214	0.8987534
215	0.8993615
216	0.8993615
217	0.8996656
218	0.8996656
219	0.9008817
220	0.9008817
221	0.9017939
222	0.9020979
223	0.9024019
224	0.9024019
225	0.90301
226	0.9036181
227	0.9042262
228	0.9048343
229	0.9057464
230	0.9060505
231	0.9063545
232	0.9069626
233	0.9078747
234	0.9081788
235	0.9084828
236	0.9087869
237	0.909699
238	0.910003
239	0.9103071
240	0.9103071
241	0.9106111
242	0.9115233
243	0.9115233
244	0.9121313
245	0.9133475
246	0.9136516
247	0.9136516
248	0.9139556
249	0.9142597
250	0.9142597
251	0.9148677
252	0.9151718
253	0.9151718
254	0.9154758
255	0.9157799
256	0.916996
257	0.9176041
258	0.9179082
259	0.9185163
260	0.9191244
261	0.9197324
262	0.9200365
263	0.9206446
264	0.9212527
265	0.9218607
266	0.9221648
267	0.9227729
268	0.9227729
269	0.923381
270	0.923381
271	0.923685
272	0.923685
273	0.923685
274	0.9239891
275	0.9242931
276	0.9249012
277	0.9249012
278	0.9258133
279	0.9258133
280	0.9258133
281	0.9258133
282	0.9264214
283	0.9273335
284	0.9276376
285	0.9288538
286	0.9288538
287	0.9297659
288	0.930374
289	0.930678
290	0.9312861
291	0.9321982
292	0.9328063
293	0.9334144
294	0.9340225
295	0.9343265
296	0.9349346
297	0.9349346
298	0.9352387
299	0.9352387
300	0.9352387
301	0.9355427
302	0.9355427
303	0.9355427
304	0.9361508
305	0.9364548
306	0.9364548
307	0.9364548
308	0.9364548
309	0.9367589
310	0.9370629
311	0.937367
312	0.937367
313	0.9382791
314	0.9391912
315	0.9394953
316	0.9401034
317	0.9407115
318	0.9413196
319	0.9413196
320	0.9422317
321	0.9428398
322	0.9428398
323	0.9431438
324	0.9437519
325	0.9437519
326	0.9440559
327	0.94436
328	0.9449681
329	0.9455762
330	0.9458802
331	0.9458802
332	0.9464883
333	0.9474004
334	0.9480085
335	0.9483126
336	0.9489206
337	0.9495287
338	0.9498328
339	0.9498328
340	0.9501368
341	0.9501368
342	0.9507449
343	0.951049
344	0.951353
345	0.951657
346	0.9519611
347	0.9522651
348	0.9522651
349	0.9525692
350	0.9528732


Mean_TPR35= 0.7002	S.E.M= 0.0075
TPR35:
0.7537994	0.6869301	0.6656535	0.7021277	0.7051672	0.6930091	0.7173252	0.6838906	0.6899696	0.7042683
