NPLCWDKKWCIODK-UHFFFAOYSA-N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C)N
NPLCWDKKWCIODK-UHFFFAOYSA-N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C)N
RNPDUXVFGTULLP-ATTQYFOMSA-N	CCCCC(C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCC1=CC=CC=C1
YVXCDLCJCIDFHE-UHFFFAOYSA-N	CCNC1=NC(=NC(=C1)NC2CCC(CC2)O)NC3=CC4=C(C=C3)N(C=C4)CC5=CC=CC=C5
ZMNWFTYYYCSSTF-UHFFFAOYSA-N	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=C(C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)C(=NC=N4)N
OTPQDXLFXQGSHS-UHFFFAOYSA-N	CCC(=O)N(C)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)NC4CCCN(C4)C(=O)C=C)NC=N3
OTPQDXLFXQGSHS-UHFFFAOYSA-N	CCC(=O)N(C)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)NC4CCCN(C4)C(=O)C=C)NC=N3
UGQMURPIMYALPH-PZJQAWQVSA-N	CC1=CC(=CC2=C1N/C(=C/3\C(=CC=NC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)/N2)N5CCOCC5
RRHONYZEMUNMJX-UHFFFAOYSA-N	CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)C
ZHJGWYRLJUCMRT-QGZVFWFLSA-N	C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N
KTEXNACQROZXEV-QLIGOWBFSA-N	C/C/1=C/CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C
LCOIAYJMPKXARU-VAWYXSNFSA-N	C1=CC=C(C=C1)/C=C/C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3
SDUQYLNIPVEERB-QPPQHZFASA-N	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
NWIBSHFKIJFRCO-WUDYKRTCSA-N	CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N
GBABOYUKABKIAF-BXZSYHTRSA-N	CCC1=CC2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
BIQBDHSYQMHHPU-CJLVFECKSA-N	C1=CC2=C(C(=O)/C(=N/NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)/C=C2S(=O)(=O)O)N=C1
BMGQWWVMWDBQGC-PZFYLCKJSA-N	C[C@]12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC
BNJOZDZCRHCODO-UHFFFAOYSA-N	COC(=O)CNC(=O)C(=O)OC
GKFPROVOIQKYTO-UZLBHIALSA-N	COC(=O)[C@H](CCSC)NC(=O)C1=C(C=C(C=C1)NC[C@H](CS)N)C2=CC=CC=C2
NEZONWMXZKDMKF-UHFFFAOYSA-N	CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
CRRPFKCJZALCLQ-UHFFFAOYSA-N	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=NC6=CC7=C(C=C6N=C5C8=CC=CC=C8)N=CN7.C(=O)(C(F)(F)F)O.O
AXNUEXXEQGQWPA-UHFFFAOYSA-N	CC1=C(C=CC(=C1)[N+](=O)[O-])NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl
XSGXRYNZNGUGEJ-PGMHBOJBSA-N	C=CCC1=CC=C/C(=C/NNC(=O)CN2CCN(CC2)CC3=CC=CC=C3)/C1=O
RFAXLXKIAKIUDT-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
DYCCNOXXTAZETQ-UHFFFAOYSA-N	COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC.O.O.Cl
ZVAGBRFUYHSUHA-CFWFSBERSA-N	CC1=CC(=C(N1)/C=C/2\C(=C/C(=C\3/C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O
ZVAGBRFUYHSUHA-CFWFSBERSA-N	CC1=CC(=C(N1)/C=C/2\C(=C/C(=C\3/C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O
ZVAGBRFUYHSUHA-CFWFSBERSA-N	CC1=CC(=C(N1)/C=C/2\C(=C/C(=C\3/C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O
PKCDDUHJAFVJJB-UHFFFAOYSA-N	CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O
NAVMQTYZDKMPEU-UHFFFAOYSA-N	CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
OYVAGSVQBOHSSS-UAPAGMARSA-O	CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
SWDZPNJZKUGIIH-QQTULTPQSA-N	CCNC(=O)C1=C(/C(=C/2\C=C(C(=CC2=O)O)C(C)C)/ON1)C3=CC=C(C=C3)CN4CCOCC4
MJQUEDHRCUIRLF-TVIXENOKSA-N	CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)/C[C@H]2C[C@@H](OC(=O)C[C@@H](C[C@@H]3C[C@@H](C([C@@](O3)(C[C@@H]4C/C(=C/C(=O)OC)/C[C@@H](O4)/C=C/C([C@@]1(O2)O)(C)C)O)(C)C)OC(=O)C)O)[C@@H](C)O
QXRSDHAAWVKZLJ-PVYNADRNSA-N	C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C
XZWYZXLIPXDOLR-UHFFFAOYSA-N	CN(C)C(=N)N=C(N)N
JXLYSJRDGCGARV-CUGARIAGSA-N	CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
LXZZYRPGZAFOLE-UHFFFAOYSA-L	N.N.Cl[Pt]Cl
GOTYRUGSSMKFNF-UHFFFAOYSA-N	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
GXUJPQDCLCDKLU-UHFFFAOYSA-N	CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O.Cl
BKJIXTWSNXCKJH-UHFFFAOYSA-N	CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2
VAVXGGRQQJZYBL-UHFFFAOYSA-N	C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I
