InChI Key	UniProt	PredScore
UCFGDBYHRUNTLO-QHCPKHFHSA-N	P10845	1.001504
UCFGDBYHRUNTLO-QHCPKHFHSA-N	Q16665	0.8315253
LIRYPHYGHXZJBZ-UHFFFAOYSA-N	Q02750	0.894668
GXJABQQUPOEUTA-RDJZCZTQSA-N	P20618	0.8868741
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28074	1.040239
GXJABQQUPOEUTA-RDJZCZTQSA-N	P49721	0.9487079
GXJABQQUPOEUTA-RDJZCZTQSA-N	P00488	0.8923877
GXJABQQUPOEUTA-RDJZCZTQSA-N	P22735	0.8310041
GXJABQQUPOEUTA-RDJZCZTQSA-N	P23946	1.010588
IFSDAJWBUCMOAH-HNNXBMFYSA-N	P42345	0.8975388
IFSDAJWBUCMOAH-HNNXBMFYSA-N	P42338	0.9155779
IFSDAJWBUCMOAH-HNNXBMFYSA-N	O00329	0.9080182
IFSDAJWBUCMOAH-HNNXBMFYSA-N	P48736	0.9970407
FNHKPVJBJVTLMP-UHFFFAOYSA-N	P34913	0.9388445
TXUZVZSFRXZGTL-QPLCGJKRSA-N	Q92731	0.8225801
WHTVZRBIWZFKQO-UHFFFAOYSA-N	Q12809	0.9695601
NKANXQFJJICGDU-QPLCGJKRSA-N	P23975	0.9119232
NKANXQFJJICGDU-QPLCGJKRSA-N	P31645	0.8208751
NKANXQFJJICGDU-QPLCGJKRSA-N	Q01959	0.8509066
NKANXQFJJICGDU-QPLCGJKRSA-N	P00533	0.8302011
NKANXQFJJICGDU-QPLCGJKRSA-N	Q12809	0.9408864
NKANXQFJJICGDU-QPLCGJKRSA-N	Q92731	0.8335079
NKANXQFJJICGDU-QPLCGJKRSA-N	P03372	0.865884
AXRCEOKUDYDWLF-UHFFFAOYSA-N	P05129	0.8398828
AXRCEOKUDYDWLF-UHFFFAOYSA-N	P05771	1.024292
AXRCEOKUDYDWLF-UHFFFAOYSA-N	P17252	0.978059
AXRCEOKUDYDWLF-UHFFFAOYSA-N	P24723	0.866312
AXRCEOKUDYDWLF-UHFFFAOYSA-N	Q02156	0.9199965
AXRCEOKUDYDWLF-UHFFFAOYSA-N	Q05655	0.9960343
AXRCEOKUDYDWLF-UHFFFAOYSA-N	Q04759	0.9198586
CBPNZQVSJQDFBE-FUXHJELOSA-N	P42345	0.9114382
CBPNZQVSJQDFBE-FUXHJELOSA-N	Q16602	0.801841
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q13547	1.004808
WAEXFXRVDQXREF-UHFFFAOYSA-N	P56524	0.806269
WAEXFXRVDQXREF-UHFFFAOYSA-N	O15379	0.9083077
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q9UBN7	0.9570099
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q92769	0.9776433
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q9BY41	0.9654662
