198713	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
198714	DYCCNOXXTAZETQ-UHFFFAOYSA-N	COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC.O.O.Cl
198715	GXUJPQDCLCDKLU-UHFFFAOYSA-N	CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O.Cl
198716	BKJIXTWSNXCKJH-UHFFFAOYSA-N	CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2
198717	GBABOYUKABKIAF-GHYRFKGUSA-N	CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
198718	TZYWCYJVHRLUCT-VABKMULXSA-N	CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1
198719	GCYIGMXOIWJGBU-UHFFFAOYSA-N	COC1=C(C=CC(=C1)N2CCC(CC2)N)NC3=NC=C(C(=N3)C4=CNC5=CC=CC=C54)Cl
198720	SDUQYLNIPVEERB-UHFFFAOYSA-N	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
198721	NWIBSHFKIJFRCO-WUDYKRTCSA-N	CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
198722	DTEKTGDVSARYDS-UHFFFAOYSA-N	CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
198723	FJHBVJOVLFPMQE-QFIPXVFZSA-N	CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)[C@@]5(CC)O)O
198724	GFMMXOIFOQCCGU-UHFFFAOYSA-N	C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
198725	WKSAUQYGYAYLPV-UHFFFAOYSA-N	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
198726	QCNLICHVWRIUCP-UHFFFAOYSA-N	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC(=CC=C4)C(=O)N)F
198727	FYSRKRZDBHOFAY-UHFFFAOYSA-N	C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F
198728	RDSACQWTXKSHJT-NSHDSACASA-N	COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F
198729	JXLYSJRDGCGARV-CUGARIAGSA-N	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
198730	BLMPQMFVWMYDKT-NZTKNTHTSA-N	CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
198731	KTEXNACQROZXEV-QLIGOWBFSA-N	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
198732	MLDQJTXFUGDVEO-UHFFFAOYSA-N	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
198733	OTPQDXLFXQGSHS-UHFFFAOYSA-N	CCC(=O)N(C)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)NC4CCCN(C4)C(=O)C=C)NC=N3
198734	ZVAGBRFUYHSUHA-CFWFSBERSA-N	CC1=CC(=C(N1)C=C2C(=CC(=C3C=C4C=CC=CC4=N3)N2)OC)C.CS(=O)(=O)O
198735	BKWJAKQVGHWELA-UHFFFAOYSA-N	CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O
198736	YVXCDLCJCIDFHE-UHFFFAOYSA-N	CCNC1=NC(=NC(=C1)NC2CCC(CC2)O)NC3=CC4=C(C=C3)N(C=C4)CC5=CC=CC=C5
198737	YWTBGJGMTBHQTM-IBGZPJMESA-N	CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N
198738	KTEXNACQROZXEV-QLIGOWBFSA-N	C/C/1=C/CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C
198739	RRHONYZEMUNMJX-UHFFFAOYSA-N	CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)C
198740	XZWYZXLIPXDOLR-UHFFFAOYSA-N	CN(C)C(=N)N=C(N)N
