chemical_index	chemical_id	InChI_Key
30	ZINC00000802	RGVPOXRFEPSFGH-AWEZNQCLSA-O
31	ZINC00000848	FEROPKNOYKURCJ-ZDUSSCGKSA-O
32	ZINC00000850	MWLSOWXNZPKENC-ZETCQYMHSA-N
33	ZINC00000853	TVYLLZQTGLZFBW-ZBFHGGJFSA-O
34	ZINC00000857	WZRCQWQRFZITDX-AWEZNQCLSA-O
35	ZINC00000860	RPYWXZCFYPVCNQ-RVDMUPIBSA-N
36	ZINC00000870	RAUGYAOLAMRLLZ-UHFFFAOYSA-O
37	ZINC00000883	TVLQBBHUNDMTEC-UHFFFAOYSA-N
38	ZINC00000909	SOYCMDCMZDHQFP-UHFFFAOYSA-M
39	ZINC00000915	HFQMYSHATTXRTC-JTQLQIEISA-O
40	ZINC00000920	ALYNCZNDIQEVRV-UHFFFAOYSA-M
41	ZINC00000922	WUBBRNOQWQTFEX-UHFFFAOYSA-M
42	ZINC00000931	QWGDMFLQWFTERH-UHFFFAOYSA-O
43	ZINC00000934	IPZFPROOBOUEIG-UHFFFAOYSA-N
44	ZINC00000941	YBBLVLTVTVSKRW-UHFFFAOYSA-N
45	ZINC00000999	QCIARNIKNKKHFH-UHFFFAOYSA-N
46	ZINC00001021	SESFRYSPDFLNCH-UHFFFAOYSA-N
47	ZINC00001083	SWUARLUWKZWEBQ-VQHVLOKHSA-N
48	ZINC00001084	RYYVLZVUVIJVGH-UHFFFAOYSA-N
49	ZINC00001087	VSJKWCGYPAHWDS-HXUWFJFHSA-N
50	ZINC00001099	UCAGLBKTLXCODC-UHFFFAOYSA-M
51	ZINC00001131	WDFKMLRRRCGAKS-UHFFFAOYSA-N
52	ZINC00001137	WSPOMRSOLSGNFJ-AUWJEWJLSA-O
53	ZINC00001148	ODQWQRRAPPTVAG-BOPFTXTBSA-O
54	ZINC00001160	YAORIDZYZDUZCM-UHFFFAOYSA-O
55	ZINC00001187	TXCGAZHTZHNUAI-UHFFFAOYSA-M
56	ZINC00001201	UMUUNOOFZSQLAH-UHFFFAOYSA-M
57	ZINC00001219	ZZIALNLLNHEQPJ-UHFFFAOYSA-N
58	ZINC00001233	QMNFFXRFOJIOKZ-UHFFFAOYSA-O
59	ZINC00001261	JAUOIFJMECXRGI-UHFFFAOYSA-O
60	ZINC00001267	DUGOZIWVEXMGBE-QWHCGFSZSA-O
61	ZINC00001281	DCOPUUMXTXDBNB-UHFFFAOYSA-M
62	ZINC00001341	VWLHWLSRQJQWRG-UHFFFAOYSA-O
63	ZINC00001382	AVOLMBLBETYQHX-UHFFFAOYSA-M
64	ZINC00001407	BPXIOWINQPQVOY-UHFFFAOYSA-O
65	ZINC00001408	NPUKDXXFDDZOKR-LLVKDONJSA-N
66	ZINC00001409	PXLPCZJACKUXGP-UHFFFAOYSA-N
67	ZINC00001427	ZPAKPRAICRBAOD-UHFFFAOYSA-M
68	ZINC00001436	DWPQODZAOSWNHB-UHFFFAOYSA-M
69	ZINC00001457	ODKNJVUHOIMIIZ-VQVTYTSYSA-N
70	ZINC00001463	RKDSBXNRTPTVEF-UHFFFAOYSA-M
71	ZINC00001464	OFBIFZUFASYYRE-UHFFFAOYSA-N
72	ZINC00001504	LNTHITQWFMADLM-UHFFFAOYSA-M
73	ZINC00001536	FVYXIJYOAGAUQK-UHFFFAOYSA-N
74	ZINC00001553	VXMYWVMXSWJFCV-UHFFFAOYSA-N
75	ZINC00001554	YGSDEFSMJLZEOE-UHFFFAOYSA-M
76	ZINC00001567	JXZZEXZZKAWDSP-UHFFFAOYSA-O
77	ZINC00001575	UQTZMGFTRHFAAM-ZETCQYMHSA-N
78	ZINC00001582	UMMYPDFDLDVDCZ-UHFFFAOYSA-O
79	ZINC00001590	QRXWMOHMRWLFEY-UHFFFAOYSA-N
80	ZINC00001600	ALFGKMXHOUSVAD-UHFFFAOYSA-O
81	ZINC00001601	QANMHLXAZMSUEX-UHFFFAOYSA-N
82	ZINC00001614	MKXZASYAUGDDCJ-KBAYOESNSA-O
83	ZINC00001624	MXYUKLILVYORSK-HBMCJLEFSA-O
84	ZINC00001630	IFWMVQUGSGWCRP-UHFFFAOYSA-N
85	ZINC00001644	TYMRLRRVMHJFTF-UHFFFAOYSA-O
86	ZINC00001655	SBDNJUWAMKYJOX-UHFFFAOYSA-M
87	ZINC00001669	NPOAOTPXWNWTSH-UHFFFAOYSA-L
88	ZINC00001677	MJVAVZPDRWSRRC-UHFFFAOYSA-N
89	ZINC00001681	XADCESSVHJOZHK-UHFFFAOYSA-O
90	ZINC00001723	VQJHOPSWBGJHQS-UHFFFAOYSA-N
91	ZINC00001732	DDLIGBOFAVUZHB-UHFFFAOYSA-O
92	ZINC00001758	HPNSFSBZBAHARI-RUDMXATFSA-M
93	ZINC00001763	MQQNFDZXWVTQEH-UHFFFAOYSA-P
94	ZINC00001773	DQCKKXVULJGBQN-XFWGSAIBSA-O
95	ZINC00001792	ALWKGYPQUAPLQC-UHFFFAOYSA-N
96	ZINC00001795	PVNIIMVLHYAWGP-UHFFFAOYSA-M
97	ZINC00001850	JBIMVDZLSHOPLA-LSCVHKIXSA-N
98	ZINC00001863	OFPXSFXSNFPTHF-UHFFFAOYSA-M
99	ZINC00001910	FEFFZKPQSVTBAY-UHFFFAOYSA-O
100	ZINC00001931	IZRPKIZLIFYYKR-UHFFFAOYSA-O
101	ZINC00001963	SZRPDCCEHVWOJX-UHFFFAOYSA-M
102	ZINC00001965	OQGWJZOWLHWFME-UHFFFAOYSA-N
103	ZINC00001982	DBABZHXKTCFAPX-UHFFFAOYSA-M
104	ZINC00001984	MQOBSOSZFYZQOK-UHFFFAOYSA-M
105	ZINC00001995	JTIGKVIOEQASGT-UHFFFAOYSA-N
106	ZINC00002002	YECBIJXISLIIDS-UHFFFAOYSA-P
107	ZINC00002009	RVOLLAQWKVFTGE-UHFFFAOYSA-N
108	ZINC00002028	GHMLBKRAJCXXBS-UHFFFAOYSA-N
109	ZINC00002041	UHSKFQJFRQCDBE-UHFFFAOYSA-O
110	ZINC00002070	LXANPKRCLVQAOG-NSHDSACASA-N
111	ZINC00002101	FDDDEECHVMSUSB-UHFFFAOYSA-N
112	ZINC00002110	UJNDLZYLCRUOGS-UHFFFAOYSA-N
113	ZINC00002119	HMHVCUVYZFYAJI-UHFFFAOYSA-N
114	ZINC00002131	JUZZEWSCNBCFRL-UHFFFAOYSA-O
115	ZINC00002139	NFIXBCVWIPOYCD-UHFFFAOYSA-O
116	ZINC00002152	VXCONGLPCAPYEU-UHFFFAOYSA-N
117	ZINC00002191	UPSPUYADGBWSHF-UHFFFAOYSA-M
118	ZINC00002200	TVYLLZQTGLZFBW-GOEBONIOSA-O
119	ZINC00002212	JOFWLTCLBGQGBO-UHFFFAOYSA-N
120	ZINC00002216	XEFQLINVKFYRCS-UHFFFAOYSA-N
121	ZINC00002264	HDOZVRUNCMBHFH-UHFFFAOYSA-O
122	ZINC00002272	DKYWVDODHFEZIM-LLVKDONJSA-M
123	ZINC00002275	CBQGYUDMJHNJBX-RBUKOAKNSA-O
124	ZINC00002279	OZWKMVRBQXNZKK-LLVKDONJSA-M
125	ZINC00002281	XWTYSIMOBUGWOL-LLVKDONJSA-O
126	ZINC00002284	CBQGYUDMJHNJBX-MOPGFXCFSA-O
127	ZINC00002365	XFJSSDHKIXXJLM-MRVPVSSYSA-O
128	ZINC00002376	WJUGGKGTCAVATA-UHFFFAOYSA-P
129	ZINC00002433	JAQUASYNZVUNQP-XIRDDKMYSA-O
130	ZINC00002675	PYKJFEPAUKAXNN-UHFFFAOYSA-N
131	ZINC00002698	LUZIZYOYWXEFRG-UHFFFAOYSA-N
132	ZINC00002748	RATZLMXRALDSJW-ZDUSSCGKSA-O
133	ZINC00002775	KUXOYSZHUFZKHN-UHFFFAOYSA-M
134	ZINC00002779	BBFJODMCHICIAA-UHFFFAOYSA-M
135	ZINC00002845	DHCYTSABKOYFHB-CMDGGOBGSA-N
136	ZINC00002850	XARSDFQMNNNPBL-PHDIDXHHSA-O
137	ZINC00003106	MHJPVIGLQHLUFI-UHFFFAOYSA-N
138	ZINC00003189	BSMNRYCSBFHEMQ-KCJUWKMLSA-O
139	ZINC00003275	FRXXZKCFLLWYIW-UHFFFAOYSA-O
140	ZINC00003709	XHYBFCBDMIPDON-UHFFFAOYSA-N
141	ZINC00003711	HLVVITIHAZBPKB-NSHDSACASA-O
142	ZINC00003724	QCCHBHSAIQIQGO-UHFFFAOYSA-N
143	ZINC00003741	PQWGEDAZDHRHKD-UHFFFAOYSA-N
144	ZINC00003742	OGJPXUAPXNRGGI-UHFFFAOYSA-N
145	ZINC00003761	CLDJCRWXLDLJLO-AWEZNQCLSA-M
146	ZINC00003767	DJEIHHYCDCTAAH-UHFFFAOYSA-M
147	ZINC00003803	VAZAPHZUAVEOMC-UHFFFAOYSA-N
148	ZINC00003876	ZAFYATHCZYHLPB-UHFFFAOYSA-N
149	ZINC00003897	DMJWENQHWZZWDF-PKOBYXMFSA-O
150	ZINC00003911	JRWZLRBJNMZMFE-CYBMUJFWSA-O
151	ZINC00003941	WVVXBPKOIZGVNS-UHFFFAOYSA-N
152	ZINC00003961	FEROPKNOYKURCJ-CYBMUJFWSA-O
153	ZINC00004009	RFHAOTPXVQNOHP-UHFFFAOYSA-N
154	ZINC00004028	KFQYTPMOWPVWEJ-INIZCTEOSA-O
155	ZINC00004035	NCNFDKWULDWJDS-OAHLLOKOSA-O
156	ZINC00004041	GGUSQTSTQSHJAH-HXUWFJFHSA-O
157	ZINC00004076	AMKVXSZCKVJAGH-UHFFFAOYSA-O
158	ZINC00004085	CQGVAZZNWNPZBE-UHFFFAOYSA-N
159	ZINC00004090	GSLWRDKYYIQKIM-TZMCWYRMSA-O
160	ZINC00004140	HDTOQYUZMCNTBZ-SNVBAGLBSA-O
161	ZINC00004220	ZGEGOFCLSWVVKG-UHFFFAOYSA-N
162	ZINC00004227	CDOZDBSBBXSXLB-HNNXBMFYSA-O
163	ZINC00004234	ZJVFLBOZORBYFE-UHFFFAOYSA-N
164	ZINC00004264	LFBZZHVSGAHQPP-UHFFFAOYSA-N
165	ZINC00004285	VHFVKMTVMIZMIK-UHFFFAOYSA-O
166	ZINC00004294	QKIVRALZQSUWHH-SFYZADRCSA-M
167	ZINC00004321	UBQNRHZMVUUOMG-UHFFFAOYSA-N
168	ZINC00004333	RAHIHNWEZPLHGV-WEVVVXLNSA-N
169	ZINC00004346	SDWUPSHVUBKGKN-UHFFFAOYSA-N
170	ZINC00004351	ZCVMWBYGMWKGHF-UHFFFAOYSA-O
171	ZINC00004382	MKTVMEMIKNBVHI-YUMQZZPRSA-N
172	ZINC00004413	XSVMFMHYUFZWBK-NSHDSACASA-O
173	ZINC00004439	PJYVGMRFPFNZCT-UHFFFAOYSA-O
174	ZINC00004448	FELGMEQIXOGIFQ-CYBMUJFWSA-O
175	ZINC00004507	LIFDPEORUVTOCP-UHFFFAOYSA-N
176	ZINC00004531	WIQRCHMSJFFONW-HNNXBMFYSA-O
177	ZINC00004620	MZRKHUUDDHJVHS-AGUYFDCRSA-O
178	ZINC00004689	WHXMKTBCFHIYNQ-VIFPVBQESA-N
179	ZINC00004726	HHHDJHHNEURCNV-UHFFFAOYSA-N
180	ZINC00004739	JRCSIJIHRYHSEY-UHFFFAOYSA-N
181	ZINC00004763	KNBSYZNKEAWABY-UHFFFAOYSA-L
182	ZINC00004778	NQDJXKOVJZTUJA-UHFFFAOYSA-N
183	ZINC00004779	PKWZWSXSCKVUJB-MRXNPFEDSA-O
184	ZINC00004840	VHOGYURTWQBHIL-UHFFFAOYSA-N
185	ZINC00004855	BBAGZCDPLLMOKL-UHFFFAOYSA-O
186	ZINC00004888	TVHDOQRUZFTFEE-CRCLSJGQSA-O
187	ZINC00004898	YBQRUOMICVULNM-UHFFFAOYSA-N
188	ZINC00004902	KWRMWQDKOGFMKP-UHFFFAOYSA-O
189	ZINC00004949	UGJMXCAKCUNAIE-UHFFFAOYSA-N
190	ZINC00004982	HJORMJIFDVBMOB-LBPRGKRZSA-N
191	ZINC00005030	SVYQJDWKZFJOEJ-VIFPVBQESA-O
192	ZINC00005099	LHVRFUVVRXGZPV-UHFFFAOYSA-O
193	ZINC00005152	AYXYPKUFHZROOJ-ZETCQYMHSA-N
194	ZINC00005155	XWNMORIHKRROGW-UHFFFAOYSA-N
195	ZINC00005191	OWYLAEYXIQKAOL-UHFFFAOYSA-O
196	ZINC00005258	PWTBZOIUWZOPFT-UHFFFAOYSA-O
197	ZINC00005284	LVPMIMZXDYBCDF-UHFFFAOYSA-L
198	ZINC00005359	SVYQJDWKZFJOEJ-SECBINFHSA-O
199	ZINC00005389	SHZKQBHERIJWAO-AATRIKPKSA-M
200	ZINC00005423	BQSJTQLCZDPROO-UHFFFAOYSA-M
201	ZINC00005452	MKEGUJPBCIXABO-LBPRGKRZSA-O
202	ZINC00005467	JOZGNYDSEBIJDH-UHFFFAOYSA-N
203	ZINC00005475	OJZZJTLBYXHUSJ-UHFFFAOYSA-N
204	ZINC00005543	QDPMHXUWMPNTEQ-UHFFFAOYSA-N
205	ZINC00005554	DSEPKSLFXGYPIU-INIZCTEOSA-O
206	ZINC00005560	DKYWVDODHFEZIM-NSHDSACASA-M
207	ZINC00005569	IONAQTGMWFXHIX-UHFFFAOYSA-N
208	ZINC00005608	YJYPHIXNFHFHND-UHFFFAOYSA-N
209	ZINC00005661	HQTNJPCZUQAYAB-UHFFFAOYSA-N
210	ZINC00005691	KHJNUJLYIHQWQI-UHFFFAOYSA-N
211	ZINC00005723	ANUSGJXVCFPWMQ-UHFFFAOYSA-N
212	ZINC00005739	OVZWUDZIAAHNFG-HXUWFJFHSA-O
213	ZINC00005803	ABSZWEGHLDHOTJ-UHFFFAOYSA-N
214	ZINC00005824	BFCRRLMMHNLSCP-UHFFFAOYSA-N
215	ZINC00005833	GLXSBZGTGMPDKH-UHFFFAOYSA-N
216	ZINC00005852	SEAXPFZOFZLHLQ-UHFFFAOYSA-N
217	ZINC00005871	CFBUZOUXXHZCFB-UHFFFAOYSA-M
218	ZINC00005878	DFPAKSUCGFBDDF-UHFFFAOYSA-N
219	ZINC00005882	SSNUPBSCHCYXHG-UHFFFAOYSA-N
220	ZINC00005886	TWGRVIPCCGRSNM-UHFFFAOYSA-N
221	ZINC00005895	ULFRLSNUDGIQQP-UHFFFAOYSA-O
222	ZINC00005898	MYKUKUCHPMASKF-SECBINFHSA-O
223	ZINC00005900	GGFQQRXTLIJXNY-WAYWQWQTSA-N
224	ZINC00005903	AELMNLIYFALJIR-UHFFFAOYSA-N
225	ZINC00005910	RDXQSWLUXKUQSI-UHFFFAOYSA-M
226	ZINC00005936	QEMSVZNTSXPFJA-HNAYVOBHSA-O
227	ZINC00005947	IIURABUWDUCHOI-UHFFFAOYSA-N
228	ZINC00005986	MMSNEKOTSJRTRI-LLVKDONJSA-N
229	ZINC00005994	QJQORSLQNXDVGE-UHFFFAOYSA-N
230	ZINC00006016	PNVNVHUZROJLTJ-MRXNPFEDSA-O
231	ZINC00006097	RVFIAQAAZUEPPE-UHFFFAOYSA-O
232	ZINC00006156	YFGHCGITMMYXAQ-LJQANCHMSA-N
233	ZINC00006157	WHWZLSFABNNENI-OAHLLOKOSA-O
234	ZINC00006164	SEYCKMQSPUVYEF-LURJTMIESA-N
235	ZINC00006165	XRSKAWJXBDACRF-UHFFFAOYSA-N
236	ZINC00006170	UTLPKQYUXOEJIL-UHFFFAOYSA-N
237	ZINC00006213	WFMVJXMPCFFSTK-UHFFFAOYSA-N
238	ZINC00006228	GBBJCSTXCAQSSJ-JVZYCSMKSA-N
239	ZINC00006299	WKRCOZSCENDENK-UHFFFAOYSA-N
240	ZINC00006302	RNMOMKCRCIRYCZ-UHFFFAOYSA-O
241	ZINC00006310	MQJKPEGWNLWLTK-UHFFFAOYSA-N
242	ZINC00006369	UJTBWNKRXRHIGU-OWOJBTEDSA-N
243	ZINC00006427	AAOVKJBEBIDNHE-UHFFFAOYSA-N
244	ZINC00006481	FTALBRSUTCGOEG-UHFFFAOYSA-N
245	ZINC00006486	NGOGFTYYXHNFQH-UHFFFAOYSA-O
246	ZINC00006559	JCMGIFLIMIXLTP-UHFFFAOYSA-N
247	ZINC00006562	YRVIKLBSVVNSHF-JTQLQIEISA-O
248	ZINC00006647	VCJNZEYWGDFOEC-UHFFFAOYSA-N
