index	ID
188	ACM1_RAT
189	ACM2_HUMAN
190	ACM2_MOUSE
191	ACM2_PIG
192	ACM2_RAT
193	ACM3_HUMAN
194	ACM3_MOUSE
195	ACM3_RAT
196	ACM4_HUMAN
197	ACM4_MOUSE
198	ACM4_RAT
199	ACM5_HUMAN
200	ACM5_MOUSE
201	ACM5_RAT
202	ACOD1_MOUSE
203	ACOD1_RAT
204	ACOD_HUMAN
205	ACOX1_RAT
206	ACPS_BACSU
207	ACV1B_HUMAN
208	ACVL1_HUMAN
209	ACVR1_HUMAN
210	ADA10_HUMAN
211	ADA12_HUMAN
212	ADA17_HUMAN
213	ADA17_MOUSE
214	ADA17_PIG
215	ADA17_RAT
216	ADA1A_BOVIN
217	ADA1A_HUMAN
218	ADA1A_RABIT
219	ADA1A_RAT
220	ADA1B_HUMAN
221	ADA1B_MESAU
222	ADA1B_RAT
223	ADA1D_HUMAN
224	ADA1D_RAT
225	ADA2A_BOVIN
226	ADA2A_HUMAN
227	ADA2A_MOUSE
228	ADA2A_PIG
229	ADA2A_RAT
230	ADA2B_BOVIN
231	ADA2B_HUMAN
232	ADA2B_MOUSE
233	ADA2B_RAT
234	ADA2C_HUMAN
235	ADA2C_MOUSE
236	ADA2C_RAT
237	ADA33_HUMAN
238	ADAM8_HUMAN
239	ADAM9_HUMAN
240	ADA_BOVIN
241	ADA_HUMAN
242	ADA_MOUSE
243	ADCK3_HUMAN
244	ADCK4_HUMAN
245	ADCY1_BOVIN
246	ADCY1_HUMAN
247	ADCY1_MOUSE
248	ADCY2_HUMAN
249	ADCY2_MOUSE
250	ADCY2_RAT
251	ADCY3_HUMAN
252	ADCY3_MOUSE
253	ADCY3_RAT
254	ADCY4_HUMAN
255	ADCY4_MOUSE
256	ADCY4_RAT
257	ADCY5_HUMAN
258	ADCY5_MOUSE
259	ADCY5_RAT
260	ADCY6_HUMAN
261	ADCY6_MOUSE
262	ADCY6_RAT
263	ADCY7_HUMAN
264	ADCY7_MOUSE
265	ADCY8_HUMAN
266	ADCY8_MOUSE
267	ADCY8_RAT
268	ADCY9_HUMAN
269	ADCYA_HUMAN
270	ADH1A_HUMAN
271	ADH1B_HUMAN
272	ADH1E_HORSE
273	ADH1G_HUMAN
274	ADH1S_HORSE
275	ADH4_HUMAN
276	ADH6_HUMAN
277	ADH7_HUMAN
278	ADHX_HUMAN
279	ADK_HUMAN
280	ADK_RAT
281	ADK_TOXGO
282	ADRB1_BOVIN
283	ADRB1_HUMAN
284	ADRB1_MOUSE
285	ADRB1_RAT
286	ADRB2_BOVIN
287	ADRB2_CANFA
288	ADRB2_CAVPO
289	ADRB2_HUMAN
290	ADRB2_MESAU
291	ADRB2_MOUSE
292	ADRB2_RAT
293	ADRB3_BOVIN
294	ADRB3_HUMAN
295	ADRB3_MOUSE
296	ADRB3_RAT
297	AGALC_ASPNG
298	AGAL_COFAR
299	AGAL_HUMAN
300	AGLU_ORYSJ
301	AGTR1_BOVIN
302	AGTR1_CAVPO
303	AGTR1_HUMAN
304	AGTR1_PIG
305	AGTR1_RABIT
306	AGTR2_HUMAN
307	AGTR2_RAT
308	AGTRA_RAT
309	AGTRB_RAT
310	AHK3_ARATH
311	AHK4_ARATH
312	AHR_HUMAN
313	AHR_RABIT
314	AHR_RAT
315	AK1A1_HUMAN
316	AK1A1_PIG
317	AK1A1_RAT
318	AK1BA_HUMAN
319	AK1C1_HUMAN
320	AK1C2_HUMAN
321	AK1C3_HUMAN
322	AK1CL_MOUSE
323	AKAP1_HUMAN
324	AKAP2_HUMAN
325	AKIP_HUMAN
326	AKT1_HUMAN
327	AKT1_MOUSE
328	AKT2_HUMAN
329	AKT3_HUMAN
330	AKTS1_HUMAN
331	AL1A1_RAT
332	AL1A7_RAT
333	AL5AP_HUMAN
334	ALBU_BOVIN
335	ALBU_HUMAN
336	ALDH2_HUMAN
337	ALDH2_RAT
338	ALDOA_RABIT
339	ALDR_BOVIN
340	ALDR_HUMAN
341	ALDR_PIG
342	ALDR_RAT
343	ALF_CANAL
344	ALF_ECOLI
345	ALF_HELPY
346	ALF_MYCTU
347	ALK_HUMAN
348	ALK_MOUSE
349	ALR1_ECOLI
350	AMD_HUMAN
351	AMO_PEA
352	AMP1_PLAFQ
353	AMPB_HUMAN
354	AMPB_MOUSE
355	AMPB_RAT
356	AMPC_CITFR
357	AMPC_ECOLI
358	AMPC_ENTCL
359	AMPC_MORMO
360	AMPC_PSEAE
361	AMPD1_HUMAN
362	AMPD2_HUMAN
363	AMPD3_HUMAN
364	AMPE_HUMAN
365	AMPE_PIG
366	AMPH_ECOLI
367	AMPL_BOVIN
368	AMPL_HUMAN
369	AMPM1_HUMAN
370	AMPM1_YEAST
371	AMPM2_HUMAN
372	AMPM_ECOLI
373	AMPN_ECOLI
374	AMPN_HUMAN
375	AMPN_PIG
376	AMPN_RAT
377	AMPX_VIBPR
378	AMY1_HUMAN
379	AMYG_YEAST
380	AMYP_RAT
381	ANDR_HUMAN
382	ANDR_MOUSE
383	ANDR_RAT
384	ANF_HUMAN
385	ANKK1_HUMAN
386	ANM1_HUMAN
387	ANPRA_HUMAN
388	ANPRC_HUMAN
389	ANT3_HUMAN
390	ANXA2_HUMAN
391	AOC2_HUMAN
392	AOC3_BOVIN
393	AOC3_HUMAN
394	AOC3_RAT
395	AOFA_BOVIN
396	AOFA_HUMAN
397	AOFA_RAT
398	AOFB_BOVIN
399	AOFB_HUMAN
400	AOFB_MOUSE
401	AOFB_RAT
402	AP2S1_RAT
403	APEX1_HUMAN
404	APH1A_HUMAN
405	APH1B_HUMAN
406	APJ_RAT
407	APOB_HUMAN
408	APOH_HUMAN
409	ARBK1_HUMAN
410	ARBK2_HUMAN
411	ARF1_HUMAN
412	ARGI1_HUMAN
413	AROA_ECOLI
414	AROB_ECOLI
415	AROC_STRPN
416	AROF_ECOLI
417	AROG_ECOLI
418	AROH_ECOLI
419	AROK_HELPY
420	AROQ_HELPY
421	AROQ_MYCTU
422	AROQ_STRCO
423	ARS_PSEAE
424	ARY1_HUMAN
425	ARY2_MOUSE
426	ASND1_HUMAN
427	ASNS_HUMAN
428	AT12A_HUMAN
429	AT1A1_CANFA
430	AT1A1_HUMAN
431	AT1A1_PIG
432	AT1A2_HUMAN
433	AT1A3_HUMAN
434	AT1A4_HUMAN
435	AT1B1_CANFA
436	AT1B1_HUMAN
437	AT1B1_PIG
438	AT1B2_HUMAN
439	AT1B3_HUMAN
440	AT2A1_HUMAN
441	AT2A1_RABIT
442	AT2A2_HUMAN
443	ATF1_HUMAN
444	ATM_HUMAN
445	ATNG_HUMAN
446	ATP4A_HUMAN
447	ATP4A_PIG
448	ATP4A_RAT
449	ATP4B_HUMAN
450	ATP4B_PIG
451	ATP4B_RAT
452	ATR_HUMAN
453	ATS1_HUMAN
454	ATS4_BOVIN
455	ATS4_HUMAN
456	ATS5_BOVIN
457	ATS5_HUMAN
458	ATTY_RAT
459	AUR1_CANAL
460	AUR1_YEAST
461	AURKA_HUMAN
462	AURKA_MOUSE
463	AURKB_HUMAN
464	AURKB_MOUSE
465	AURKC_HUMAN
466	AVR2A_HUMAN
467	AVR2B_HUMAN
468	B0BL08_ECOLX
469	B1WBY8_RAT
470	B1WC34_RAT
471	B2CL1_HUMAN
472	B2CL2_HUMAN
473	B2L10_HUMAN
474	B2LA1_HUMAN
475	B2ZTR6_ACIBA
476	B4GT1_BOVIN
477	B4GT1_HUMAN
478	B4URF0_9INFA
479	B5SU02_9CNID
480	B5THE3_MOUSE
481	B7ZW62_HUMAN
482	B8PY99_MACMU
483	B8R6A5_9BURK
484	BACE1_HUMAN
485	BACE2_HUMAN
486	BAD_HUMAN
487	BCAT1_HUMAN
488	BCAT1_RAT
489	BCAT2_RAT
490	BCL2_HUMAN
491	BCR_HUMAN
492	BGAL_BOVIN
493	BGAL_HUMAN
494	BGAL_RHIML
495	BGLR_RAT
496	BGLS_AGRSA
497	BGLS_CALSA
498	BGLS_RHIRD
499	BHMT1_HUMAN
500	BIRC2_HUMAN
501	BIRC3_HUMAN
