InChI Key	SMILES
OTZVBZFYMFTYKH-UHFFFAOYSA-N	Clc1ccc(cc1)C(=O)c1c(N)sc2c1CCCC2
CHLPXIDKWUXGMX-UHFFFAOYSA-N	Clc1ccc(cc1)C(=O)CSc1nnc(o1)c1ccccc1O
MEUJDWDBWQKIQM-UHFFFAOYSA-N	Cc1nn2c(n1)c1ccccc1nc2SCc1ccncc1
KBVPIPRQUIQIHM-UHFFFAOYSA-N	O=C(C1CC1)NCCn1ccc2c1cccc2
VFOIZTXAWSHNLR-UHFFFAOYSA-N	Cc1ccc(cc1)Cn1cnc2c1cccc2
WSNWYZBDIKCPIG-UHFFFAOYSA-N	NNC(=O)c1cn2c(n1)c1ccccc1cc2
WSTDGGDTEZNZHK-UHFFFAOYSA-N	C1CCC(C1)Nc1nc(nc2c1cccc2)c1ccccc1
CSUHGRXUQXQHRB-UHFFFAOYSA-N	S=C(Nc1nncs1)Nc1ccccc1
RUUYKJFTGZDNDK-KEBDBYFISA-M	O=C(CNc1ccc(cc1)C)N/N=C/c1ccccc1OCC(=O)[O-]
KIIVBJSECOEYJY-UHFFFAOYSA-N	Oc1ccc(cc1)Nc1scc(n1)c1cccc(c1)[N+](=O)[O-]
PJEKRRQVIVVKIS-CMDGGOBGSA-N	Cc1ccc(o1)/C=C/C(=O)Nc1sc2c(c1C(=O)N)CCCC2
TZHOXPGRQKCHJW-ACJLOTCBSA-N	N#CC1=C(N)OC2=C([C@H]1c1ccccc1)C(=O)C[C@H](C2)c1ccco1
TZHOXPGRQKCHJW-FZKQIMNGSA-N	N#CC1=C(N)OC2=C([C@@H]1c1ccccc1)C(=O)C[C@H](C2)c1ccco1
TZHOXPGRQKCHJW-UGSOOPFHSA-N	N#CC1=C(N)OC2=C([C@H]1c1ccccc1)C(=O)C[C@@H](C2)c1ccco1
TZHOXPGRQKCHJW-SCLBCKFNSA-N	N#CC1=C(N)OC2=C([C@@H]1c1ccccc1)C(=O)C[C@@H](C2)c1ccco1
NIEIBVAPUDRSFS-UHFFFAOYSA-N	O=C(c1ccccc1)Nc1ccc(c(c1)c1nc2c([nH]1)cccc2)Cl
IMLDPPGUHDMXGH-UHFFFAOYSA-N	CCC(=O)Nc1ccc(c(c1)c1nc2c(o1)ccc(c2)C)Cl
WSMNQYJOQBAUJX-UHFFFAOYSA-N	O=C(c1cccc(c1)[N+](=O)[O-])CCNc1cccc(c1C)C
SJICOWGLWXIDAC-UHFFFAOYSA-O	C[NH+](CCC(=O)c1cccc(c1)[N+](=O)[O-])C
HZWOIIAHZHTTNX-UHFFFAOYSA-N	O=C(c1cccc(c1)[N+](=O)[O-])CCNc1ccccc1
GBAUSGFNQZAZEH-UHFFFAOYSA-N	Oc1ccc(cc1)Nc1scc(n1)c1ccc(c(c1)Cl)Cl
WIFWWZGKYZCASF-UHFFFAOYSA-N	O=C(Nc1ccccc1)CC1CCCCC1
SCFJMQSXUCFKPS-UHFFFAOYSA-N	COc1ccc(cc1)NC(=O)CC1CCCCC1
GXFXMBTYRNXLMV-UHFFFAOYSA-N	Cc1ccc(cc1)COc1ccc2c(c1)oc(=O)c(c2C)C
QYAGHNCHSVGMMO-UHFFFAOYSA-N	Clc1cccc(c1)COc1ccc2c(c1)oc(=O)c(c2C)C
LVUUTOUXLZZNQA-UHFFFAOYSA-N	Clc1ccc(cc1)COc1ccc2c(c1)oc(=O)c(c2C)C
JHCUZGSREIUIPD-UHFFFAOYSA-M	COc1ccc(cc1)OCC(=O)Nc1ccccc1C(=O)[O-]
QHRPUOKUBRYYKI-UHFFFAOYSA-N	Fc1ccc(cc1)COc1ccc2c(c1)oc(=O)c(c2C)C
HIPNUROOFUMNSU-UHFFFAOYSA-N	CCCC(=O)Nc1ccc(cc1)C(=O)Nc1nccs1
UDWLWCSHRVWSCM-UHFFFAOYSA-M	[O-]C(=O)c1ccc(o1)c1cccc(c1Cl)C
CPMJNVKBLVPGNQ-UHFFFAOYSA-N	COC(=O)c1cc(nc2c1cc(Cl)cc2)c1ccc(cc1)OC
YBJUUAUZLDWNPE-CMDGGOBGSA-N	O=C(ON=C1C=C(C)C(=O)C(=C1)C)/C=C/c1ccccc1
CLYHSTKBWHUKBD-UHFFFAOYSA-N	O=C(C1CC1)Oc1ccc2c(c1)oc(=O)c(c2C)Cc1ccccc1
CLVZYYZRLSFTTE-UHFFFAOYSA-N	Cc1cccc(c1)Cn1cnc2c1cccc2
VSMUYYFJVFSVCA-NWDGAFQWSA-M	O=C([C@H]1CCCC[C@H]1C(=O)[O-])Nc1cc(Cl)cc(c1)Cl
MZWKUYWUBBRDEQ-UHFFFAOYSA-N	Fc1ccc(cc1)c1onc(n1)c1cccc(c1)C
GVBBTRHDBRYGKO-UHFFFAOYSA-N	Brc1ccc(o1)C(=O)Nc1ccccc1N1CCCCC1
MEBJUZYVSOMTIW-UHFFFAOYSA-N	CCC(C(=O)NCCc1ccc(cc1)S(=O)(=O)N)CC
WNEGJFXAROHZJG-FMIVXFBMSA-N	CCOC(=O)SC1=N/C(=C/c2ccc(cc2)N(C)C)/C(=O)S1
TUWOPVCIIBKUQS-UHFFFAOYSA-N	O=C1C(=C(Cl)C(=O)c2c1cccn2)Cl
VNLYWXSBBWPODL-UHFFFAOYSA-N	COc1cc(OC)ccc1c1onc(n1)c1ccccc1
UFAZLVHMPFPAHH-UHFFFAOYSA-N	O=C(N1c2ccccc2Sc2c1cccc2)CCc1ccccc1
VORBWNVMSMVSMS-UHFFFAOYSA-N	COc1ccc(c(c1)S(=O)(=O)Nc1cccnc1)OC
QMNTWAAGYOSTJK-UHFFFAOYSA-M	OCc1cc(Br)ccc1OCC(=O)[O-]
SVBMRNITRGABIT-UHFFFAOYSA-N	COC(=O)c1c(NC(=O)c2ccccc2[N+](=O)[O-])sc2c1CCC2
PMPTYBFGYDFLFU-UHFFFAOYSA-N	CCC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)CC
HCFSSMPIXTYGLE-UHFFFAOYSA-N	Cc1ccc(cc1)c1cs/c(=N\S(=O)(=O)c2ccc(cc2)C)/[nH]1
KMRBJGTWVOAUNX-UHFFFAOYSA-N	COc1ccc(cc1)CC(=O)Nc1ccsc1C(=O)OC
NZWRTQOXOOHDTB-UHFFFAOYSA-N	COc1ccccc1C(=O)n1nnc2c1cccc2
CFMVTSSGFWTRML-UHFFFAOYSA-N	Cc1nnc2n1c1ccccc1nc2NC1CCCC1
OYKZCMONWDBMLU-UHFFFAOYSA-N	COc1cc(cc(c1OC)OC)C(=O)n1ccc(n1)C
VHAHGJBWPVLYCF-UHFFFAOYSA-N	Clc1nc2ccccc2n2c1nnc2c1ccccc1
MXGUAAMFCPDOEZ-UHFFFAOYSA-N	Clc1cccc(c1)C(=O)Nc1scc(n1)C
FGZLHPMNJNFFNE-UHFFFAOYSA-N	Oc1ccc(cc1)NCn1nnc2c1cccc2
KDMQSUUXKLZVNU-UHFFFAOYSA-N	O=c1c2ccccc2sn1c1ccccc1
MZPAQCAPWLAKSD-UHFFFAOYSA-N	O=C(c1ccc[nH]1)Nc1ccccc1
HBSKJUIYDCEXCH-QGZVFWFLSA-N	CCC(=O)N1N=C(C[C@@H]1c1ccc(cc1)F)c1ccccc1
HBSKJUIYDCEXCH-KRWDZBQOSA-N	CCC(=O)N1N=C(C[C@H]1c1ccc(cc1)F)c1ccccc1
FUJBJSOIYVUFSM-UHFFFAOYSA-N	NS(=O)(=O)c1cnccc1SCc1ccccc1
GAXKSUFPFQNLPM-UHFFFAOYSA-N	Clc1ccc2c(c1)SNC(=N2)c1ccccc1
WTJVTHPFXIYQHY-RDTXWAMCSA-N	Cc1nn(c2c1[C@H]1[C@@H](C2)C1(C)C)C(=O)CCc1ccccc1
DMDNERFCUCYCGM-UHFFFAOYSA-N	CCn1nc(nc2c1nc(=O)n(c2=O)C)c1cccs1
WJIFPSFOSMKSAB-UHFFFAOYSA-N	CC(=O)NCCc1c[nH]c2c1cc(Cl)cc2
PKDUVHDAPLRJMS-UHFFFAOYSA-N	CC(=O)NCCc1c[nH]c2c1cc(cc2)[N+](=O)[O-]
ODKNJVUHOIMIIZ-DSYKOEDSSA-N	OC[C@@H]1O[C@H](C[C@H]1O)n1cc(F)c(=O)[nH]c1=O
PDMMFKSKQVNJMI-BLQWBTBKSA-N	CCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C
ASUTZQLVASHGKV-JDFRZJQESA-O	COc1ccc2c3c1O[C@@H]1[C@@]3(CC[NH+](C2)C)C=C[C@@H](C1)O
FZHLYHQWMXAQPH-SUMWQHHRSA-N	CC(=O)N[C@@H]1C[C@H](C)N(c2c1cccc2)C(=O)c1ccccc1
WRJPSSPFHGNBMG-SECBINFHSA-O	CC(=O)O[C@@H]1C[NH+]2CCC1CC2
QDLFCBKKECTJSK-UHFFFAOYSA-N	O=c1ccc2c(o1)cc(cc2)OCc1ccccc1
KDFCROJYVJQVQK-UHFFFAOYSA-N	O=C(C(F)(F)F)NCCc1c[nH]c2c1cccc2
JCQQRWFKXLYVTR-UHFFFAOYSA-N	COc1ccccc1c1onc(n1)c1ccccn1
ABIVOOWWGYJNLV-JTQLQIEISA-N	NC(=O)[C@H]1CCCCc2c1[nH]c1c2cc(cc1)Cl
ABIVOOWWGYJNLV-SNVBAGLBSA-N	NC(=O)[C@@H]1CCCCc2c1[nH]c1c2cc(cc1)Cl
FWFVXBZXJKTVGL-UHFFFAOYSA-N	CCOC(=O)c1cc2ccc(cc2oc1=O)OC
WXLRBDMDGLLZRS-UHFFFAOYSA-M	O=C(c1ccc(cc1)c1ccccc1)Nc1ccccc1C(=O)[O-]
HGBUFXNTABFIPJ-UHFFFAOYSA-N	N#Cc1c(N)n(c2c1nc1ccccc1n2)Cc1ccc2c(c1)OCO2
NPUACKRELIJTFM-UHFFFAOYSA-N	c1ccc2c(c1)Oc1ccccc1C=N2
FAEFMMUOKVKFBE-UHFFFAOYSA-N	C1CCN(CC1)SSN1CCCCC1
KBDJGOANWVXJGW-UHFFFAOYSA-N	O=C(c1cc2ccccc2oc1=O)Nc1ccc(cc1)S(=O)(=O)N
ZCYWVVSMXSXIQA-UHFFFAOYSA-N	CCN1C(=O)C(=Cc2ccc(s2)C)C(=O)N(C1=S)CC
CGVJPQYHXQIFPE-UHFFFAOYSA-N	Fc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)Cl
LNPSYDJGQQETLB-UHFFFAOYSA-N	Clc1ccc2c(c1)c(=O)cc(o2)c1cccc(c1)Br
NZWWYUMFUATSTK-UHFFFAOYSA-N	c1ccc(cc1)CNc1nc(nc2c1cccc2)c1ccncc1
FIVCRRVYLAXYFC-UHFFFAOYSA-O	O=C(c1cc2c([nH]1)cccc2)N1CC[NH2+]CC1
DANKTKKLNXAGKW-UHFFFAOYSA-N	COc1ccc(cc1)c1noc(n1)c1ccccc1F
IZQSVPBOUDKVDZ-UHFFFAOYSA-N	COc1cc(ccc1O)c1oc2cc(O)cc(c2c(=O)c1O)O
WHAIHNKQZOMXJJ-NSHDSACASA-O	C[NH+]1CCCC[C@H]1c1cccnc1
WHAIHNKQZOMXJJ-LLVKDONJSA-O	C[NH+]1CCCC[C@@H]1c1cccnc1
PDMMFKSKQVNJMI-MGNVCTHBSA-N	CCC(=O)O[C@H]1CC[C@H]2[C@]1(C)CC[C@@H]1[C@@H]2CCC2=CC(=O)CC[C@]12C
XXIFNRNIQJKFLP-BZUAXINKSA-N	OC[C@@]12CO[C@@H]([C@H](C2)C(=CC1)C)c1ccc(cc1)O
XXIFNRNIQJKFLP-OWCLPIDISA-N	OC[C@@]12CO[C@H]([C@H](C2)C(=CC1)C)c1ccc(cc1)O
YMLOFDJHJSQCSN-JTQLQIEISA-N	NC(=O)[C@H]1CCCc2c1[nH]c1c2cccc1
YMLOFDJHJSQCSN-SNVBAGLBSA-N	NC(=O)[C@@H]1CCCc2c1[nH]c1c2cccc1
SCZVLDHREVKTSH-UHFFFAOYSA-N	COc1cc(ccc1O)c1cc(=O)c2c(o1)cc(cc2O)O
NDTWLKGEWWHCQG-UHFFFAOYSA-N	Fc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)F
CUGSTOYIMVAMHZ-UHFFFAOYSA-N	c1ccc(cc1)Nc1nc(nc2c1cccc2)c1ccncc1
DAYQXLQRTQODQF-UHFFFAOYSA-N	Brc1ccc2c(c1)c(=O)cc(o2)c1ccccc1F
QCSFXCHHKYXLHE-UHFFFAOYSA-N	Clc1ccc2c(c1)c(=O)cc(o2)c1ccccc1F
TXFPLECDADHAPB-UHFFFAOYSA-O	NC(=O)c1sc2c(c1N)cc1c([nH+]2)CCCCCC1
QQAJYNGNBJIZPR-UHFFFAOYSA-N	O=C1C=CC(=O)N1c1cccc(c1)c1ccccc1
KQPYUDDGWXQXHS-UHFFFAOYSA-N	O=C1C=CC(=O)c2c1c(O)ccc2
UUIBULQVFCMBIS-UHFFFAOYSA-O	CC(=O)N1CCN(CC1)c1[nH+]nc(c2c1cccc2)c1ccccc1
JYDGYFVFOFEYJU-UHFFFAOYSA-N	Cn1c2nc([nH]c2c(=O)n(c1=O)C)c1ccncc1
AHOUBRCZNHFOSL-YOEHRIQHSA-O	Fc1ccc(cc1)[C@@H]1CC[NH2+]C[C@H]1COc1ccc2c(c1)OCO2
BLAISEDTHHUALY-UHFFFAOYSA-N	c1ccc(cc1)Cc1ccc(cc1)OCCn1cnc2c1cccc2
QPZBPJFUTKWAKA-UHFFFAOYSA-N	CCOc1ccc(cc1S(=O)(=O)Nc1cccnc1)C
KRXMYBAZKJBJAB-UHFFFAOYSA-N	Cc1ccc(cc1)n1sc2c(c1=O)cccc2
CLQVVBPDAXJGBV-CQSZACIVSA-N	C[C@@H]1CCCN(C1)c1ncnc2c1cnn2c1ccc(cc1C)C
CLQVVBPDAXJGBV-AWEZNQCLSA-N	C[C@H]1CCCN(C1)c1ncnc2c1cnn2c1ccc(cc1C)C
YGBHMJNRSBKDLF-UHFFFAOYSA-N	Oc1ccc(cc1)c1[nH]c2c(n1)n(C)c(=O)n(c2=O)C
JDOMLHRHLKIGPJ-UHFFFAOYSA-N	CCOc1ccc(cc1)c1[nH]c2c(n1)n(C)c(=O)n(c2=O)C
VIFIHMAHYFKXSU-UHFFFAOYSA-N	COc1cc(ccc1OC)c1[nH]c2c(n1)n(C)c(=O)n(c2=O)C
JETRXAHRPACNMA-UHFFFAOYSA-M	Clc1ccc2c(c1)cc(o2)C(=O)[O-]
DAIWBMZPSVQRCH-LJQANCHMSA-O	O=C(C1c2ccccc2Oc2c1cccc2)O[C@@H]1C[NH+]2CCC1CC2
RGHBSQSJDPVKRN-UHFFFAOYSA-N	NNC(=O)c1[nH]nc(c1)c1ccc(cc1Cl)Cl
VYKKDKFTDMVOBU-UHFFFAOYSA-N	Brc1cc(Br)c(c(c1)C(=O)Nc1cccc(c1)C(F)(F)F)O
QOYHHIBFXOOADH-UHFFFAOYSA-O	Fc1ccc(cc1)C(c1ccc(cc1)F)CCC[NH+]1CCC2(CC1)C(=O)NCN2c1ccccc1
ZJJXGWJIGJFDTL-UHFFFAOYSA-M	[O-]/C(=N\S(=O)(=O)c1ccc(cc1)CCNC(=O)c1cnc(cn1)C)/NC1CCCCC1
ZNNLBTZKUZBEKO-UHFFFAOYSA-M	COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)/N=C(/NC1CCCCC1)\[O-])Cl
NBHPRWLFLUBAIE-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)NCC[NH+]1CCC(CC1)n1c(=O)[nH]c2c1ccc(c2)Cl
LNEPOXFFQSENCJ-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(CC1)(O)c1ccc(cc1)Cl
MTCMTKNMZCPKLX-UHFFFAOYSA-O	O=C1Nc2c(C1)cc1c(c2)onc1CCC1CC[NH+](CC1)Cc1ccccc1
FPCCSQOGAWCVBH-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)C1CC[NH+](CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2
GXESHMAMLJKROZ-XTEPFMGCSA-O	Oc1ccc2c(c1)CC[C@H]([C@H]2c1ccc(cc1)OCC[NH+]1CCCC1)c1ccccc1
GSDSWSVVBLHKDQ-SNVBAGLBSA-N	C[NH+]1CCN(CC1)c1c(F)cc2c3c1OC[C@H](n3cc(c2=O)C(=O)[O-])C
JCCNYMKQOSZNPW-UHFFFAOYSA-N	CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1
OZFSWVOEXHGDES-INIZCTEOSA-O	O[C@@H](C[NH+]1CCC(CC1)N(c1nc2c(s1)cccc2)C)COc1ccc(c(c1)F)F
JEYWNNAZDLFBFF-UHFFFAOYSA-O	COc1ccc2c(c1)CCC(=C2c1ccc(cc1)OCC[NH+]1CCCC1)c1ccccc1
LUALIOATIOESLM-UHFFFAOYSA-O	N#Cc1ccc2c(c1)N(CCC[NH+]1CCC(CC1)O)c1c(S2)cccc1
HXCNRYXBZNHDNE-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)C1CC[NH+](CC1)CCc1c(C)nc2n(c1=O)cccc2
KCHIOGFOPPOUJC-UHFFFAOYSA-N	CCOC(=O)c1ccc(cc1)OCCC1CCN(CC1)c1ccc(nn1)C
LKBFFDOJUKLQNY-UHFFFAOYSA-M	[O-]C(=O)Cc1nn(Cc2ccc(cc2F)Br)c(=O)c2c1cccc2
GSDSWSVVBLHKDQ-JTQLQIEISA-N	C[NH+]1CCN(CC1)c1c(F)cc2c3c1OC[C@@H](n3cc(c2=O)C(=O)[O-])C
GZUITABIAKMVPG-UHFFFAOYSA-O	Oc1ccc2c(c1)sc(c2C(=O)c1ccc(cc1)OCC[NH+]1CCCCC1)c1ccc(cc1)O
LDXDSHIEDAPSSA-HNNXBMFYSA-M	[O-]C(=O)CCn1c2CC[C@@H](Cc2c2c1cccc2)NS(=O)(=O)c1ccc(cc1)F
RAPZEAPATHNIPO-UHFFFAOYSA-O	Fc1ccc2c(c1)onc2C1CC[NH+](CC1)CCc1c(C)nc2n(c1=O)CCCC2
JUQLTPCYUFPYKE-UHFFFAOYSA-O	Fc1ccc(cc1)C(=C1CC[NH+](CC1)CCc1c(C)nc2n(c1=O)ccs2)c1ccc(cc1)F
GOHUJGMYCZDYDF-UHFFFAOYSA-N	O=S(=O)(C(F)(F)F)Nc1cccc(c1)OCc1ccc2c(n1)cccc2
XLHNAFUKOSPOAT-HXUWFJFHSA-N	CC[C@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4cc3Cn1c2=O)[N+](=O)[O-]
GZKLJWGUPQBVJQ-UHFFFAOYSA-O	Clc1ccc2c(c1)c(cn2c1ccc(cc1)F)C1CC[NH+](CC1)CCN1CCNC1=O
WOXKDUGGOYFFRN-IERDGZPVSA-N	O=C1N(C)CC(=O)N2[C@@H]1Cc1c([C@@H]2c2ccc3c(c2)OCO3)[nH]c2c1cccc2
MUTNCGKQJGXKEM-UHFFFAOYSA-M	O=C(c1ccc(cc1)C(=O)[O-])Nc1ccc2c(c1)C(C)(C)CCC2(C)C
GPMXUUPHFNMNDH-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(CC1)(O)c1cccc(c1)C(F)(F)F
XSCGXQMFQXDFCW-UHFFFAOYSA-O	C[NH+](CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F)C
KEDQCFRVSHYKLR-UHFFFAOYSA-O	COc1ccc(cc1OC)CC[NH+](CCCN1CCc2c(CC1=O)cc(c(c2)OC)OC)C
MVWVFYHBGMAFLY-UHFFFAOYSA-O	O=C1Nc2c(C1)cc(c(c2)Cl)CC[NH+]1CCN(CC1)c1nsc2c1cccc2
BCSVCWVQNOXFGL-UHFFFAOYSA-M	[O-]C(=O)Cc1nn(Cc2nc3c(s2)ccc(c3)C(F)(F)F)c(=O)c2c1cccc2
LMUQHXHWJWQXSD-WOJBJXKFSA-N	Brc1ccc(cc1)NC(=O)N1NC(=O)[C@@H]([C@H]1c1ccccc1)c1ccccc1
LKJPYSCBVHEWIU-KRWDZBQOSA-N	N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](CS(=O)(=O)c1ccc(cc1)F)(O)C
OUJTZYPIHDYQMC-LJQANCHMSA-M	COC([C@@H](C(=O)[O-])Oc1nc(C)cc(n1)C)(c1ccccc1)c1ccccc1
FCBQJNCAKZSIAH-NDEPHWFRSA-O	Fc1ccc(cc1)CC1CC[NH+](CC1)CC[S@](=O)c1ccc2c(c1)oc(=O)[nH]2
CBIAWPMZSFFRGN-UHFFFAOYSA-N	CC(=O)N(c1cccc(c1)c1ccnc2n1ncc2C(=O)c1cccs1)C
KYHVTMFADJNSGS-UHFFFAOYSA-M	[O-]C(=O)Cn1cc(c2c1cccc2)Cc1sc2c(n1)c(F)c(cc2F)F
JXAGDPXECXQWBC-LJQANCHMSA-M	[O-]C(=O)[C@H](CC(=O)c1ccc(cc1)c1ccc(cc1)Cl)CSc1ccccc1
GYHCTFXIZSNGJT-XMMPIXPASA-N	Clc1ccc2c(c1)[C@H](O)CCCN2C(=O)c1ccc(cc1C)NC(=O)c1ccccc1C
IYFQTKRPLULTFL-UHFFFAOYSA-N	CC(=NN1C(=O)c2ccccc2NC1(C)C)C
KQWPYXBWZWLRMZ-JTQLQIEISA-N	NC(=O)[C@H]1CCCc2c1[nH]c1c2cc(cc1)C
KQWPYXBWZWLRMZ-SNVBAGLBSA-N	NC(=O)[C@@H]1CCCc2c1[nH]c1c2cc(cc1)C
NIJJDJGSTXBRTN-ZHACJKMWSA-N	O=C(/C=C/c1ccccc1)OCN1C(=O)c2c(C1=O)cccc2
OJHMDRZMENMQFP-UHFFFAOYSA-M	O=C(c1sc2c(c1N)cc(c(=O)[nH]2)C(=O)[O-])c1ccccc1
MOEXDNQYXBIZPC-UHFFFAOYSA-M	Cc1cc(ccc1c1ccc(o1)C(=O)[O-])[N+](=O)[O-]
ZBWQNLDDTPCSDQ-UHFFFAOYSA-N	CC1CCN(CC1)c1ccccc1NC(=O)c1ccc(o1)[N+](=O)[O-]
HKMQHJBYZYAYSB-UHFFFAOYSA-M	Clc1ccc(cc1c1ccc(o1)C(=O)[O-])[N+](=O)[O-]
AUZSJKIMRMIMGG-UHFFFAOYSA-N	COc1cccc(c1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2
ZFLBZHXQAMUEFS-KUHUBIRLSA-O	COC(=O)COc1ccc(cc1)C[C@H]([NH2+]C[C@@H](c1cccc(c1)Cl)O)C
ICIVQQOSHWPWCK-UHFFFAOYSA-M	[O-]C(=O)c1ccccc1NS(=O)(=O)c1cccc2c1cccc2
JSQMNGQWESPAOF-UHFFFAOYSA-N	Nc1ccc2c(c1)ncn2c1ccccc1
QZZAILZNINUTIG-UHFFFAOYSA-N	[O-][N+](=O)c1ccc(cc1)c1csc(n1)NN=C1CCCCCC1
PTONAIKVYGVBIS-INIZCTEOSA-M	Clc1ccc(cc1)c1ccc(cc1)S(=O)(=O)N[C@H](C(=O)[O-])C(C)C
ZETBBVYSBABLHL-UHFFFAOYSA-N	O=C(N1CCc2c1cc(c(c2)C)C(F)(F)F)Nc1ccc(nc1)Oc1cccnc1C
AKCGNQRHTCXVRF-UHFFFAOYSA-N	Cc1cccc(n1)NC(=O)c1cccc(c1)C
YKPYIPVDTNNYCN-INIZCTEOSA-N	ONC(=O)[C@@H]1N(CCSC1(C)C)S(=O)(=O)c1ccc(cc1)Oc1ccncc1
FDJBYAHLPYLRKD-UHFFFAOYSA-N	COC(=O)COc1c(C)cc(cc1C)c1nn(C)c(=O)c2c1cccc2
PYEFPDQFAZNXLI-UHFFFAOYSA-N	Oc1ccc(cc1)C(=O)Nc1cc(ccc1C)NC(=O)c1cccc(c1)N(C)C
PMXCMJLOPOFPBT-HNNXBMFYSA-N	OC[C@@H](C(C)C)Nc1nc(Nc2cccc(c2)Cl)c2c(n1)n(cn2)C(C)C
ZKDXRFMOHZVXSG-HNNXBMFYSA-M	OC[C@@H](C(C)C)Nc1nc(Nc2ccc(c(c2)Cl)C(=O)[O-])c2c(n1)n(cn2)C(C)C
RAMROQQYRRQPDL-HNNXBMFYSA-N	OC[C@@H](C(C)C)Nc1nc(Nc2cc(N)cc(c2)Cl)c2c(n1)n(cn2)C(C)C
YMTINGFKWWXKFG-UHFFFAOYSA-N	CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C
QMGUOJYZJKLOLH-UHFFFAOYSA-O	C[NH+](CCCn1cc(c2c1cccc2)C1=C(C(=O)NC1=O)c1c[nH]c2c1cccc2)C
NFHRQQKPEBFUJK-QHCPKHFHSA-N	O=C(c1cc2c([nH]1)cccc2)N[C@@H]1N=C(c2ccccc2)c2c(N(C1=O)C)cccc2
ALOGFDZIJYDRJL-UHFFFAOYSA-N	CCc1c(=O)[nH]c(=S)n(c1Sc1ccccc1)COCc1ccccc1
KSOIFKYBUIPLKI-UHFFFAOYSA-N	S=c1[nH]c(=O)c(c(n1COCc1ccccc1)Sc1ccccc1)C(C)C
KRVOJOCLBAAKSJ-KSSFIOAISA-O	COc1cc(NC)c(cc1C(=O)N[C@H]1CC[NH+]([C@H]1C)Cc1ccccc1)Cl
AATHXZYXWMKUFC-UHFFFAOYSA-N	O=C(Cn1c(Cl)cnc(c1=O)NCC(c1ccccn1)(F)F)NCc1ncccc1F
IMYVCWQAHSYYOO-UHFFFAOYSA-N	COc1cc2c(ncnc2cc1OC)Nc1ccc(cc1)NC(=O)c1ccccc1
DCRZYADKQRHHSF-UHFFFAOYSA-N	COc1ccc(c(c1)CN(c1cc(F)ccc1Oc1ccccc1)C(=O)C)OC
ZCYOBMASPXQBSZ-UHFFFAOYSA-O	COc1cc(cc(c1OCc1ccccc1)OC)C(=O)NCC1(CCCC1)[NH+](C)C
QYSYOGCIDRANAR-UHFFFAOYSA-N	Cc1onc(c1)c1nncc2n1nc(c2C(C)(C)C)OCc1ncnn1C
FXGHOAZJQNLNFD-KRWDZBQOSA-O	C[NH+](C[C@H]1CCn2c(C1)c(C1=C(C(=O)NC1=O)c1cn(c3c1cccc3)C)c1c2cccc1)C
VKQFCGNPDRICFG-SFHVURJKSA-N	COC(=O)C1=C(C)NC(=C([C@H]1c1ccccc1[N+](=O)[O-])C(=O)OCC(C)C)C
VQLPLYSROCPWFF-ROUUACIJSA-O	O=C(N([C@H]1CCCC[C@@H]1[NH+]1CCCC1)C)Cc1ccc(c(c1)Cl)Cl
MNDBXUUTURYVHR-UHFFFAOYSA-N	FC(Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl)F
QTENHWTVRQKWRI-UHFFFAOYSA-N	COc1nn(c(=O)o1)c1ccc(c(c1)C)NC(=O)OCc1ccccc1
PNHFDVSKDSLUFH-UHFFFAOYSA-M	Cc1ccc(cc1)Cn1nc([nH]c1=O)CCCc1ccc(cc1)OC(C(=O)[O-])(C)C
IZBVPKXZYVQSFQ-UHFFFAOYSA-M	[O-]C(=O)CN(C(=O)c1ccccc1)c1ccc(cc1)C
MYTWFJKBZGMYCS-NQIIRXRSSA-N	COc1cc(ccc1OC)Cc1nc(=O)c2n([nH]1)c(nc2C)[C@H]([C@H](O)C)CCCc1ccccc1
FLTBEMVEAFMWDD-UHFFFAOYSA-N	Clc1ccc2c(c1)CCc1c(C2=C2CCN(CC2)C(=O)C)nccc1
SXONDGSPUVNZLO-UHFFFAOYSA-M	Brc1ccc(c(c1)F)Cn1c(=O)c2ccc(cc2n(c1=O)CC(=O)[O-])Cl
