InChI Key	SMILES
RJMIEHBSYVWVIN-NSHDSACASA-M	[O-]C(=O)[C@H](c1ccc(cc1)N1Cc2c(C1=O)cccc2)C
HTSNFXAICLXZMA-ZDUSSCGKSA-O	CCC[NH+]1CCC[C@@H](C1)c1cccc(c1)O
YMBXTVYHTMGZDW-GXFFZTMASA-M	[O-]C(=O)[C@H](c1ccc(cc1)C[C@H]1CCCC1=O)C
UEQUQVLFIPOEMF-SFHVURJKSA-O	C[NH+]1CCN2[C@@H](C1)c1ccccc1Cc1c2cccc1
LGQCVMYAEFTEFN-JCURWCKSSA-O	C=CC[NH+]1CC[C@@]2([C@H]([C@H]1Cc1c2cc(cc1)O)C)C
MBRLOUHOWLUMFF-UHFFFAOYSA-N	COc1ccc2c(c1CC=C(C)C)oc(=O)cc2
VOKSWYLNZZRQPF-GDIGMMSISA-O	CC(=CC[NH+]1CC[C@@]2([C@H]([C@H]1Cc1c2cc(cc1)O)C)C)C
NZLVRVYNQYGMAB-UHFFFAOYSA-O	C[NH+]1CCC(=C2c3ccccc3Sc3c2cccc3)CC1
VJXSSYDSOJBUAV-UHFFFAOYSA-N	COc1ccc(cc1Cc1cnc2c(c1C)c(N)nc(n2)N)OC
TVQZAMVBTVNYLA-VIFPVBQESA-M	[O-]C(=O)[C@H](c1ccc2c(c1)Cc1c(O2)nccc1)C
SWUVZKWCOBGPTH-OAHLLOKOSA-O	CCC[C@H](C(=O)c1ccc(cc1)C)[NH+]1CCCC1
XWTYSIMOBUGWOL-NSHDSACASA-O	O[C@H](c1cc(O)cc(c1)O)C[NH2+]C(C)(C)C
MKJIEFSOBYUXJB-GDBMZVCRSA-O	COc1cc2c(cc1OC)CC[NH+]1[C@@H]2CC(=O)[C@@H](C1)CC(C)C
RGVPOXRFEPSFGH-AWEZNQCLSA-O	COc1cc(cc(c1OC)OC)C[C@@H]1[NH2+]CCc2c1cc(O)c(c2)O
FEROPKNOYKURCJ-ZDUSSCGKSA-O	COc1cc(N)c(cc1C(=O)N[C@H]1C[NH+]2CCC1CC2)Cl
MWLSOWXNZPKENC-ZETCQYMHSA-N	ON([C@H](c1cc2c(s1)cccc2)C)C(=O)N
TVYLLZQTGLZFBW-ZBFHGGJFSA-O	COc1cccc(c1)[C@@]1(O)CCCC[C@@H]1C[NH+](C)C
WZRCQWQRFZITDX-AWEZNQCLSA-O	Oc1ccc(cc1)C[C@@H]1[NH2+]CCc2c1cc(O)c(c2)O
RPYWXZCFYPVCNQ-RVDMUPIBSA-N	COc1cc(OC)ccc1/C=C/1\CCCN=C1c1cccnc1
RAUGYAOLAMRLLZ-UHFFFAOYSA-O	[NH3+]CCc1c[nH]c2c1cc(cc2)C(=O)C
TVLQBBHUNDMTEC-UHFFFAOYSA-N	O=C1Nc2c(C1(C)C)cc1c(c2)nc([nH]1)c1ccncc1
SOYCMDCMZDHQFP-UHFFFAOYSA-M	[O-]C(=O)Cc1cccc(c1N)C(=O)c1ccccc1
HFQMYSHATTXRTC-JTQLQIEISA-O	Cc1cc(ccc1C[C@@H]([NH3+])C)N(C)C
ALYNCZNDIQEVRV-UHFFFAOYSA-M	[O-]C(=O)c1ccc(cc1)N
WUBBRNOQWQTFEX-UHFFFAOYSA-M	Nc1ccc(c(c1)O)C(=O)[O-]
QWGDMFLQWFTERH-UHFFFAOYSA-O	Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CC[NH2+]CC1
IPZFPROOBOUEIG-UHFFFAOYSA-N	CCCc1ncc(c(n1)N)C[n+]1ccccc1C
YBBLVLTVTVSKRW-UHFFFAOYSA-N	N#CC(c1cc(cc(c1)C(C#N)(C)C)Cn1ncnc1)(C)C
QCIARNIKNKKHFH-UHFFFAOYSA-N	ClCCn1cnc2c1c(=O)n(C)c(=O)n2C
SESFRYSPDFLNCH-UHFFFAOYSA-N	O=C(c1ccccc1)OCc1ccccc1
SWUARLUWKZWEBQ-VQHVLOKHSA-N	O=C(/C=C/c1ccc(c(c1)O)O)OCCc1ccccc1
RYYVLZVUVIJVGH-UHFFFAOYSA-N	Cn1cnc2c1c(=O)n(C)c(=O)n2C
VSJKWCGYPAHWDS-HXUWFJFHSA-N	CC[C@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O
UCAGLBKTLXCODC-UHFFFAOYSA-M	[O-]C(=O)c1ccc(cc1)S(=O)(=O)N
WDFKMLRRRCGAKS-UHFFFAOYSA-N	Clc1cc(Cl)c2c(c1O)nccc2
WSPOMRSOLSGNFJ-AUWJEWJLSA-O	C[NH+](CC/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C
ODQWQRRAPPTVAG-BOPFTXTBSA-O	C[NH+](CC/C=C/1\c2ccccc2OCc2c1cccc2)C
YAORIDZYZDUZCM-UHFFFAOYSA-O	C1CNC(=[NH+]1)COc1ccccc1C1CC1
TXCGAZHTZHNUAI-UHFFFAOYSA-M	[O-]C(=O)C(Oc1ccc(cc1)Cl)(C)C
UMUUNOOFZSQLAH-UHFFFAOYSA-M	Clc1ccc(cc1)C1=C([O-])c2c(C1=O)cccc2
ZZIALNLLNHEQPJ-UHFFFAOYSA-N	Oc1ccc2c(c1)oc(=O)c1c2oc2c1ccc(c2)O
QMNFFXRFOJIOKZ-UHFFFAOYSA-O	NC1=NC(=[NH+]C(N1c1ccc(cc1)Cl)(C)C)N
JAUOIFJMECXRGI-UHFFFAOYSA-O	Clc1ccc2c(c1)CCc1c(C2=C2CC[NH2+]CC2)nccc1
DUGOZIWVEXMGBE-QWHCGFSZSA-O	COC(=O)[C@H](c1ccccc1)[C@@H]1CCCC[NH2+]1
DCOPUUMXTXDBNB-UHFFFAOYSA-M	[O-]C(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
VWLHWLSRQJQWRG-UHFFFAOYSA-O	CC[N+](c1cccc(c1)O)(C)C
AVOLMBLBETYQHX-UHFFFAOYSA-M	CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)[O-]
BPXIOWINQPQVOY-UHFFFAOYSA-O	CC[NH+](CCOc1ccccc1Cc1ccccc1)CC
NPUKDXXFDDZOKR-LLVKDONJSA-N	CCOC(=O)c1cncn1[C@@H](c1ccccc1)C
PXLPCZJACKUXGP-UHFFFAOYSA-N	CCc1nc(N)nc(c1c1ccc(c(c1)Cl)Cl)N
ZPAKPRAICRBAOD-UHFFFAOYSA-M	O=C(c1ccc(cc1)c1ccccc1)CCC(=O)[O-]
DWPQODZAOSWNHB-UHFFFAOYSA-M	Clc1cccc(c1)NC(=O)/N=C/1\N=C(CN1C)[O-]
ODKNJVUHOIMIIZ-VQVTYTSYSA-N	OC[C@@H]1O[C@@H](C[C@H]1O)n1cc(F)c(=O)[nH]c1=O
RKDSBXNRTPTVEF-UHFFFAOYSA-M	Fc1ccc(cc1)C1=C([O-])c2c(C1=O)cccc2
OFBIFZUFASYYRE-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F
LNTHITQWFMADLM-UHFFFAOYSA-M	[O-]C(=O)c1cc(O)c(c(c1)O)O
FVYXIJYOAGAUQK-UHFFFAOYSA-N	C=CCc1ccc(c(c1)c1ccc(c(c1)CC=C)O)O
VXMYWVMXSWJFCV-UHFFFAOYSA-N	O=C1CCC(=NN1)c1ccc(cc1)n1cncc1
YGSDEFSMJLZEOE-UHFFFAOYSA-M	[O-]C(=O)c1ccccc1O
JXZZEXZZKAWDSP-UHFFFAOYSA-O	O=C(c1ccccc1)NC1CC[NH+](CC1)CCc1c[nH]c2c1cccc2
UQTZMGFTRHFAAM-ZETCQYMHSA-N	[O-]C(=O)[C@H](Cc1ccc(c(c1)I)O)[NH3+]
UMMYPDFDLDVDCZ-UHFFFAOYSA-O	CSc1c(Cl)nc(nc1N1CC[NH+](CC1)C)NC(C)C
QRXWMOHMRWLFEY-UHFFFAOYSA-N	NNC(=O)c1ccncc1
ALFGKMXHOUSVAD-UHFFFAOYSA-O	CCC(=O)C1(CC[NH+](CC1)C)c1cccc(c1)O
QANMHLXAZMSUEX-UHFFFAOYSA-N	c1coc(c1)CNc1ncnc2c1nc[nH]2
MKXZASYAUGDDCJ-KBAYOESNSA-O	COc1ccc2c(c1)[C@]13CCCC[C@@H]3[C@@H](C2)[NH+](CC1)C
MXYUKLILVYORSK-HBMCJLEFSA-O	O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H]([NH+]1C)CC(=O)c1ccccc1
IFWMVQUGSGWCRP-UHFFFAOYSA-N	COc1c(OC)c(OC(=O)C)c2c(c1OC(=O)C)ccc(c2)Cl
TYMRLRRVMHJFTF-UHFFFAOYSA-O	[NH3+]Cc1ccc(cc1)S(=O)(=O)N
SBDNJUWAMKYJOX-UHFFFAOYSA-M	[O-]C(=O)c1ccccc1Nc1c(Cl)ccc(c1Cl)C
NPOAOTPXWNWTSH-UHFFFAOYSA-L	[O-]C(=O)CC(CC(=O)[O-])(O)C
MJVAVZPDRWSRRC-UHFFFAOYSA-N	O=C1C=C(C)C(=O)c2c1cccc2
XADCESSVHJOZHK-UHFFFAOYSA-O	CCOC(=O)C1(CC[NH+](CC1)C)c1ccccc1
VQJHOPSWBGJHQS-UHFFFAOYSA-N	Nc1nc(C)c(c(n1)N)c1ccc(c(c1)Cl)Cl
DDLIGBOFAVUZHB-UHFFFAOYSA-O	Clc1ccc2c(c1)C(=NCc1n2c(C)[nH+]c1)c1ccccc1F
HPNSFSBZBAHARI-RUDMXATFSA-M	COc1c(C/C=C(/CCC(=O)[O-])\C)c(O)c2c(c1C)COC2=O
MQQNFDZXWVTQEH-UHFFFAOYSA-P	NC(=[NH2+])Nc1ccc(cc1)C(=O)Oc1ccc2c(c1)ccc(c2)C(=[NH2+])N
DQCKKXVULJGBQN-XFWGSAIBSA-O	O=C1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2[NH+](CC3)CC2CC2)ccc1O)O
ALWKGYPQUAPLQC-UHFFFAOYSA-N	O=C(N(C)C)Oc1cccc(c1)[N+](C)(C)C
PVNIIMVLHYAWGP-UHFFFAOYSA-M	[O-]C(=O)c1cccnc1
JBIMVDZLSHOPLA-LSCVHKIXSA-N	[O-]C(=O)Cc1ccc2c(c1)/C(=C\CC[NH+](C)C)/c1ccccc1CO2
OFPXSFXSNFPTHF-UHFFFAOYSA-M	[O-]C(=O)CCc1nc(c(o1)c1ccccc1)c1ccccc1
FEFFZKPQSVTBAY-UHFFFAOYSA-O	Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(CC1)(O)c1ccccc1
IZRPKIZLIFYYKR-UHFFFAOYSA-O	C[NH+](CCOc1ccccc1Cc1ccccc1)C
SZRPDCCEHVWOJX-UHFFFAOYSA-M	[O-]C(=O)CSc1nc(cc(n1)Cl)Nc1cccc(c1C)C
OQGWJZOWLHWFME-UHFFFAOYSA-N	CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
DBABZHXKTCFAPX-UHFFFAOYSA-M	CCCN(S(=O)(=O)c1ccc(cc1)C(=O)[O-])CCC
MQOBSOSZFYZQOK-UHFFFAOYSA-M	Clc1ccc(cc1)C(=O)c1ccc(cc1)OC(C(=O)[O-])(C)C
JTIGKVIOEQASGT-UHFFFAOYSA-N	Cc1ccc2c(c1)n(C(C)C)c(=O)nc2c1ccccc1
YECBIJXISLIIDS-UHFFFAOYSA-P	COc1ccc(cc1)CN(c1cccc[nH+]1)CC[NH+](C)C
