numTrees	maxNumSplits	Correlation
1	1	-0.7594723061
2	1	-0.5964874371
3	1	-0.4755656002
4	1	-0.3825215582
5	1	-0.2973900015
6	1	-0.2301470167
7	1	-0.1774133026
8	1	-0.1145948473
9	1	-0.08963632361
10	1	-0.07024758867
11	1	-0.04322591609
12	1	-0.02612172986
13	1	-0.02292370126
14	1	-0.009514221844
15	1	-0.0007705963296
16	1	0.007905150527
17	1	0.01648929841
18	1	0.02221216659
19	1	0.02417178452
20	1	0.01659006984
21	1	0.01914446646
22	1	0.01894981474
23	1	0.0158348817
24	1	0.01601099644
25	1	0.01517258867
26	1	0.01821291715
27	1	0.02085941648
28	1	0.02475188689
29	1	0.03026758091
30	1	0.02185137626
31	1	0.02480830218
32	1	0.03021097359
33	1	0.02974938648
34	1	0.02583661064
35	1	0.02681735834
36	1	0.02588077533
37	1	0.03275179981
38	1	0.03076905854
39	1	0.02695490274
40	1	0.02685074661
41	1	0.03247208453
42	1	0.0318660442
43	1	0.0328135991
44	1	0.02676845837
45	1	0.02144092825
46	1	0.02453183819
47	1	0.02607909466
48	1	0.02990398119
49	1	0.02730648605
50	1	0.02736351172
51	1	0.02733264726
52	1	0.03022100498
53	1	0.02940116438
54	1	0.02551153239
55	1	0.02798783139
56	1	0.02750756142
57	1	0.02799590832
58	1	0.02492970943
59	1	0.02708181406
60	1	0.02817314156
61	1	0.02690383907
62	1	0.0292326435
63	1	0.02871087209
64	1	0.02649717135
65	1	0.02989363194
66	1	0.02904057487
67	1	0.02855560503
68	1	0.02764018821
69	1	0.02682478737
70	1	0.02660545594
71	1	0.02567330999
72	1	0.02687351029
73	1	0.02780157498
74	1	0.02738774497
75	1	0.03031957875
76	1	0.03055719666
77	1	0.03041589861
78	1	0.02960691039
79	1	0.03296561822
80	1	0.03312451803
81	1	0.03290930855
82	1	0.03296545078
83	1	0.03454673758
84	1	0.03481687575
85	1	0.03386468905
86	1	0.03596556586
87	1	0.03572223625
88	1	0.03642042218
89	1	0.03801919898
90	1	0.04093467384
91	1	0.04225456029
92	1	0.04164916947
93	1	0.04066325213
94	1	0.04188078703
95	1	0.04108880454
96	1	0.04341514661
97	1	0.04225992432
98	1	0.04268506765
99	1	0.04391574049
100	1	0.04327488061
101	1	0.04201272471
102	1	0.04403282594
103	1	0.04414595709
104	1	0.04203236129
105	1	0.04329495989
106	1	0.0429350098
107	1	0.04182236299
108	1	0.04294053108
109	1	0.04240964894
110	1	0.04252333469
111	1	0.04486046985
112	1	0.04603642852
113	1	0.04665199078
114	1	0.04665633118
115	1	0.04867667198
116	1	0.0469421286
117	1	0.04731301518
118	1	0.04696382867
119	1	0.04691440169
120	1	0.04785231536
121	1	0.04843496904
122	1	0.04728350545
123	1	0.04871683567
124	1	0.05007863498
125	1	0.04963434294
126	1	0.05307757079
127	1	0.05450023103
128	1	0.05408827631
129	1	0.05404182052
130	1	0.05364980927
131	1	0.05387849296
132	1	0.05324225477
133	1	0.053176173
134	1	0.05391555698
135	1	0.05435400792
136	1	0.05500112712
137	1	0.05430258396
138	1	0.05634835101
139	1	0.05633340079
140	1	0.05610236459
141	1	0.05680851632
142	1	0.05506937729
143	1	0.05672071859
144	1	0.05693705435
145	1	0.0560587598
146	1	0.05526372428
147	1	0.05565577441
148	1	0.05616099777
149	1	0.05629078947
150	1	0.05619295169
1	2	-0.7605610991
2	2	-0.5940025049
3	2	-0.4681044649
4	2	-0.355475448
5	2	-0.2722928952
6	2	-0.2127136436
7	2	-0.1700183677
8	2	-0.1391264069
9	2	-0.1062026166
10	2	-0.07721563583
11	2	-0.0610581288
12	2	-0.04736452898
13	2	-0.02498033537
14	2	-0.01055019607
15	2	-0.001760702582
16	2	0.0002389785318
17	2	0.002564845336
18	2	0.009053969176
19	2	0.02017512904
20	2	0.02560499388
21	2	0.02525666143
22	2	0.01832342619
