numTrees	numPredictors	Correlation
20	1	0.1651168663
20	208	0.318354262
20	415	0.349024454
20	622	0.3594348139
20	829	0.3482172655
20	1036	0.4134544729
20	1243	0.3464713638
20	1450	0.2595955502
20	1657	0.3974229044
20	1864	0.2661728381
20	2071	0.4084346958
40	1	0.2319669626
40	208	0.3801604899
40	415	0.3307021214
40	622	0.3687139825
40	829	0.4143381126
40	1036	0.4130952502
40	1243	0.4578251158
40	1450	0.39837827
40	1657	0.3552686364
40	1864	0.3718215755
40	2071	0.3825782292
60	1	0.1053231968
60	208	0.2748812649
60	415	0.4312062985
60	622	0.3853716358
60	829	0.3983349418
60	1036	0.3724219978
60	1243	0.4884288143
60	1450	0.44048476
60	1657	0.4269196595
60	1864	0.4360056645
60	2071	0.4209891176
80	1	0.1812246354
80	208	0.4109177705
80	415	0.3870605121
80	622	0.3704028442
80	829	0.4166404469
80	1036	0.4312478325
80	1243	0.3679689494
80	1450	0.4416092121
80	1657	0.4309832902
80	1864	0.4480214744
80	2071	0.4397833796
100	1	0.1611793854
100	208	0.4150367804
100	415	0.396410106
100	622	0.4495096096
100	829	0.3735945861
100	1036	0.420417595
100	1243	0.4232379985
100	1450	0.4071244741
100	1657	0.4353027283
100	1864	0.4065919433
100	2071	0.3810323674
120	1	0.2550755871
120	208	0.3855779067
120	415	0.3625565897
120	622	0.4616369001
120	829	0.4233530459
120	1036	0.3698776302
120	1243	0.4762273418
120	1450	0.4000384627
120	1657	0.4664691884
120	1864	0.397206466
120	2071	0.4399324237
140	1	0.1855846674
140	208	0.4050185391
140	415	0.4316134058
140	622	0.405208698
140	829	0.4016409608
140	1036	0.4480941049
140	1243	0.4137298353
140	1450	0.4383908801
140	1657	0.4102811822
140	1864	0.4336805324
140	2071	0.4464175575
160	1	0.1881115806
160	208	0.3889214664
160	415	0.421022929
160	622	0.4206232175
160	829	0.3999492623
160	1036	0.4260888118
160	1243	0.4420460748
160	1450	0.4305407175
160	1657	0.4337132422
160	1864	0.4165769995
160	2071	0.4492378328
180	1	0.2100169904
180	208	0.4048828603
180	415	0.4087965595
180	622	0.4091224219
180	829	0.4364578028
180	1036	0.4022436605
180	1243	0.4420323754
180	1450	0.4657518077
180	1657	0.4337740393
180	1864	0.4462530223
180	2071	0.4382394156
200	1	0.2252156831
200	208	0.3929854668
200	415	0.4299853909
200	622	0.4230963022
200	829	0.4146749841
200	1036	0.4141524116
200	1243	0.445730346
200	1450	0.4387509425
200	1657	0.4426259327
200	1864	0.4303481764
200	2071	0.4141371835
220	1	0.2399925385
220	208	0.3731420605
220	415	0.3793200437
220	622	0.3971559381
220	829	0.3935439217
220	1036	0.4176445997
220	1243	0.420186619
220	1450	0.4590343571
220	1657	0.4488565532
220	1864	0.3825624613
220	2071	0.4618106458
240	1	0.2257546421
240	208	0.3723661382
240	415	0.4052496364
240	622	0.3956842002
240	829	0.4175693183
240	1036	0.4314715769
240	1243	0.4223578246
240	1450	0.4693289086
240	1657	0.4018532547
240	1864	0.4278375199
240	2071	0.4374533602
260	1	0.2243595922
260	208	0.392173111
260	415	0.4159325108
260	622	0.4216860275
260	829	0.4295362141
260	1036	0.4571580221
260	1243	0.4386198607
260	1450	0.4193460028
260	1657	0.4366183699
260	1864	0.4547654328
260	2071	0.4534966732
280	1	0.2317351069
280	208	0.4097620927
280	415	0.3981952456
280	622	0.4027527837
280	829	0.424749144
280	1036	0.4432625694
280	1243	0.4491779713
280	1450	0.4529624735
280	1657	0.4159768172
280	1864	0.4648229394
280	2071	0.4278429589
300	1	0.1933228996
300	208	0.3741770704
300	415	0.3924808339
300	622	0.4051427576
300	829	0.4050196223
300	1036	0.4264491547
300	1243	0.4524996832
300	1450	0.4290340537
300	1657	0.4451683439
300	1864	0.4460267816
300	2071	0.4473499501
320	1	0.1957033548
320	208	0.3883799922
320	415	0.3949180259
320	622	0.4007272006
320	829	0.4282778887
320	1036	0.4307369433
320	1243	0.4550849151
320	1450	0.423888414
320	1657	0.4420983577
320	1864	0.4351231107
320	2071	0.4426416556
340	1	0.182337812
340	208	0.3965410149
340	415	0.3892849345
340	622	0.4007225993
340	829	0.4278351158
340	1036	0.4196587191
340	1243	0.4442058262
340	1450	0.4160780772
340	1657	0.4615037204
340	1864	0.4553556258
340	2071	0.4399488353
360	1	0.1951162147
360	208	0.4149663912
360	415	0.3892692266
360	622	0.4276800511
360	829	0.4331340269
360	1036	0.4152587464
360	1243	0.4352090485
360	1450	0.4372690736
360	1657	0.4384064944
360	1864	0.4310910866
360	2071	0.4457059411
380	1	0.1835169446
380	208	0.4051271423
380	415	0.4108131225
380	622	0.4253854795
380	829	0.4412644635
380	1036	0.4112075089
380	1243	0.446643706
380	1450	0.451700993
380	1657	0.4435498124
380	1864	0.4453412166
380	2071	0.4342702093
400	1	0.1936695017
400	208	0.3825534781
400	415	0.404467534
400	622	0.4285258346
400	829	0.4060882235
400	1036	0.4341059283
400	1243	0.4219266924
400	1450	0.4382996204
400	1657	0.4515004539
400	1864	0.4421982555
400	2071	0.4384665602
420	1	0.2070637368
420	208	0.3868792827
420	415	0.4268524691
420	622	0.4118622855
420	829	0.4554934658
420	1036	0.4283300958
420	1243	0.4600061441
420	1450	0.4554601135
420	1657	0.4442769019
420	1864	0.4553120976
420	2071	0.443032103
440	1	0.1702019999
440	208	0.4186291733
440	415	0.4173026685
440	622	0.4117366141
440	829	0.4350089592
440	1036	0.4488917914
440	1243	0.4310484251
440	1450	0.4402617889
440	1657	0.4207908447
440	1864	0.4293967
440	2071	0.4565532927
460	1	0.2407267122
460	208	0.3859155189
460	415	0.4127073704
460	622	0.433907588
460	829	0.437820971
460	1036	0.4160129924
460	1243	0.4221249468
460	1450	0.43677013
460	1657	0.455298544
460	1864	0.4406178173
460	2071	0.4304154096
480	1	0.2417728884
480	208	0.3816330525
480	415	0.4266388017
480	622	0.4322315289
480	829	0.4157162574
480	1036	0.4287049469
480	1243	0.4239361991
480	1450	0.4483624965
480	1657	0.4387352557
480	1864	0.455723353
480	2071	0.4504981273
500	1	0.2171368963
500	208	0.3917081801
500	415	0.4109315962
500	622	0.4412118338
500	829	0.426637429
500	1036	0.4459745716
500	1243	0.4268629516
500	1450	0.4519164468
500	1657	0.4263335292
500	1864	0.43203253
500	2071	0.4542206226
