Alpha	numLambda	Correlation
0	1	-0.2897995594
0	208	-0.06358448731
0	415	-0.02755521354
0	622	-0.2897995594
0	829	-0.2897995594
0	1036	-0.02898176588
0	1243	-0.2897995594
0	1450	-0.02467073937
0	1657	-0.2897995594
0	1864	-0.02893357465
0	2071	0.005647758302
0.1	1	-0.2897995594
0.1	208	0.175611852
0.1	415	0.1728242132
0.1	622	0.1606312193
0.1	829	0.1434981661
0.1	1036	0.05000269718
0.1	1243	0.1234423645
0.1	1450	0.2038666511
0.1	1657	0.1245720443
0.1	1864	0.09893954941
0.1	2071	0.1480446612
0.2	1	-0.2897995594
0.2	208	0.03472668094
0.2	415	0.07581157842
0.2	622	-0.01312843318
0.2	829	-0.006976828554
0.2	1036	0.04408401221
0.2	1243	0.03842706474
0.2	1450	0.1256685051
0.2	1657	0.07471506793
0.2	1864	0.1318559814
0.2	2071	0.1525447971
0.3	1	-0.2897995594
0.3	208	0.09455428234
0.3	415	0.07102540236
0.3	622	-0.03487161673
0.3	829	0.03603233232
0.3	1036	0.07330728869
0.3	1243	0.09833473131
0.3	1450	0.09919419799
0.3	1657	0.01147061136
0.3	1864	0.04063018402
0.3	2071	0.1313850208
0.4	1	-0.2897995594
0.4	208	-0.0004505199821
0.4	415	-0.07581183787
0.4	622	-0.004915584016
0.4	829	-0.006333393459
0.4	1036	0.1361832976
0.4	1243	-0.008226947252
0.4	1450	0.03509696561
0.4	1657	-0.05946892124
0.4	1864	-0.01691560331
0.4	2071	-0.03158998016
0.5	1	-0.2897995594
0.5	208	-0.03977187072
0.5	415	0.03072321835
0.5	622	-0.001650052294
0.5	829	0.05963202369
0.5	1036	-0.02370679157
0.5	1243	0.0098252744
0.5	1450	0.04017519012
0.5	1657	-0.0183767249
0.5	1864	-0.02704412013
0.5	2071	0.07872631733
0.6	1	-0.2897995594
0.6	208	0.1267992489
0.6	415	0.08043031
0.6	622	-0.06886494774
0.6	829	-0.07607993796
0.6	1036	0.009904684736
0.6	1243	0.1076279485
0.6	1450	0.01958015477
0.6	1657	0.1030090447
0.6	1864	0.03348054253
0.6	2071	0.07484258943
0.7	1	-0.2897995594
0.7	208	-0.1007756466
0.7	415	0.01793577963
0.7	622	0.1253319504
0.7	829	-0.02534899848
0.7	1036	0.04506258323
0.7	1243	-0.009794851678
0.7	1450	0.07790743306
0.7	1657	0.06727673395
0.7	1864	0.05233729612
0.7	2071	0.09328485084
0.8	1	-0.2897995594
0.8	208	0.03747922355
0.8	415	-0.03760272112
0.8	622	-0.07037190729
0.8	829	0.02021978333
0.8	1036	0.007019713831
0.8	1243	0.05088806461
0.8	1450	0.03364502983
0.8	1657	-0.02812846728
0.8	1864	0.136435443
0.8	2071	-0.02508587068
0.9	1	-0.2897995594
0.9	208	-0.03698919588
0.9	415	-7.011370844e-05
0.9	622	-0.01568961214
0.9	829	0.05812393816
0.9	1036	-0.08472310272
0.9	1243	0.06101505967
0.9	1450	-0.008314934292
0.9	1657	0.03187735374
0.9	1864	0.01692269435
0.9	2071	-0.07808736825
1	1	-0.2897995594
1	208	-0.0668894274
1	415	0.01134410166
1	622	-0.006871845188
1	829	-0.02282116749
1	1036	-0.01644580912
1	1243	-0.003044967801
1	1450	0.06919439813
1	1657	0.01689191786
1	1864	0.09696563698
1	2071	0.05539336071
