Alpha	numLambda	RSquared
0	1	-0.008596291523
0	208	-0.01910785389
0	415	-0.01835948797
0	622	-0.008596291523
0	829	-0.008596291523
0	1036	-0.01735643241
0	1243	-0.03205336182
0	1450	0.0005004714805
0	1657	-0.008596291523
0	1864	-0.02057916444
0	2071	-0.02040862436
0.1	1	-0.008596291523
0.1	208	-0.01563845436
0.1	415	-0.02302475041
0.1	622	-0.03700298008
0.1	829	0.01142990961
0.1	1036	0.05892504045
0.1	1243	-0.02200015788
0.1	1450	0.01714311021
0.1	1657	0.00264337902
0.1	1864	-0.02348216688
0.1	2071	-0.02367769523
0.2	1	-0.008596291523
0.2	208	-0.0283023325
0.2	415	-0.01208722374
0.2	622	-0.02305451443
0.2	829	-0.0003338493007
0.2	1036	-0.04504084674
0.2	1243	-0.03598330902
0.2	1450	-0.04343890994
0.2	1657	-0.0488973979
0.2	1864	-0.040464386
0.2	2071	-0.0549353835
0.3	1	-0.008596291523
0.3	208	-0.01169410451
0.3	415	-0.04818160329
0.3	622	-0.0297637517
0.3	829	-0.006179794956
0.3	1036	0.008480170387
0.3	1243	-0.03301306632
0.3	1450	-0.03339357108
0.3	1657	0.03071016248
0.3	1864	-0.03506647512
0.3	2071	-0.02774865555
0.4	1	-0.008596291523
0.4	208	-0.02821832927
0.4	415	-0.05969722589
0.4	622	-0.02689771885
0.4	829	-0.0214120075
0.4	1036	0.01615356936
0.4	1243	-0.01994267526
0.4	1450	-0.01125909514
0.4	1657	-0.003416732888
0.4	1864	-0.04149132173
0.4	2071	-0.07144856646
0.5	1	-0.008596291523
0.5	208	-0.05127380212
0.5	415	-0.02995252731
0.5	622	-0.04298424796
0.5	829	-0.0288674292
0.5	1036	-0.04355790275
0.5	1243	-0.01665289206
0.5	1450	0.01433994157
0.5	1657	-0.0708502382
0.5	1864	0.05950143822
0.5	2071	-0.02630300168
0.6	1	-0.008596291523
0.6	208	-0.02562185698
0.6	415	-0.01438439391
0.6	622	-0.04026719318
0.6	829	-0.01638851809
0.6	1036	0.01050508234
0.6	1243	-0.008806023597
0.6	1450	-0.000290998684
0.6	1657	-0.08468193952
0.6	1864	-0.05331402688
0.6	2071	-0.0565629191
0.7	1	-0.008596291523
0.7	208	0.01569016684
0.7	415	-0.07375210574
0.7	622	-0.01674525185
0.7	829	-0.03014782756
0.7	1036	-0.02648437031
0.7	1243	-0.02954853464
0.7	1450	-0.02525614992
0.7	1657	-0.05677405841
0.7	1864	-0.02835092392
0.7	2071	0.00772928986
0.8	1	-0.008596291523
0.8	208	-0.04464364705
0.8	415	-0.001068633668
0.8	622	0.01885126985
0.8	829	0.06731731352
0.8	1036	0.007172222635
0.8	1243	-0.04525721361
0.8	1450	-0.06132323633
0.8	1657	-0.03196949854
0.8	1864	-0.03227378221
0.8	2071	0.04539551225
0.9	1	-0.008596291523
0.9	208	-0.02043064259
0.9	415	-0.02418895707
0.9	622	0.02138393724
0.9	829	-0.01062829006
0.9	1036	-0.04157373681
0.9	1243	-0.05861848111
0.9	1450	-0.0244318891
0.9	1657	0.03036060091
0.9	1864	-0.03044390745
0.9	2071	-0.01820397109
1	1	-0.008596291523
1	208	-0.03915752392
1	415	-0.08344376534
1	622	-0.0005753465867
1	829	-0.06326175997
1	1036	-0.04861979573
1	1243	-0.04418238055
1	1450	-0.04798916796
1	1657	-0.03663470786
1	1864	-0.02270123864
1	2071	0.01916689609
