numTrees	numPredictors	RSquared
200	1864	0.1668002081
200	2071	0.1614970377
220	1	0.04950548237
220	208	0.1312744309
220	415	0.1356150121
220	622	0.1495160598
220	829	0.1459968155
220	1036	0.1601406854
220	1243	0.1624241276
220	1450	0.1852795936
220	1657	0.1809452328
220	1864	0.14183412
220	2071	0.1879420078
240	1	0.04364018617
240	208	0.1302273475
240	415	0.1496525589
240	622	0.1442224011
240	829	0.1604784058
240	1036	0.1656555985
240	1243	0.1633522746
240	1450	0.1897261508
240	1657	0.1515556392
240	1864	0.1692965513
240	2071	0.1730774817
260	1	0.04402673538
260	208	0.1396530827
260	415	0.1580312966
260	622	0.160935973
260	829	0.1667635231
260	1036	0.1820524209
260	1243	0.1695359802
260	1450	0.1592371031
260	1657	0.1703150439
260	1864	0.1841258666
260	2071	0.18293865
280	1	0.0446755792
280	208	0.1539508334
280	415	0.1473382224
280	622	0.1500660572
280	829	0.1644422651
280	1036	0.1717790161
280	1243	0.1736780776
280	1450	0.1789250008
280	1657	0.1610599706
280	1864	0.1911883808
280	2071	0.1671330331
300	1	0.03736609053
300	208	0.1334926716
300	415	0.1445488345
300	622	0.150602411
300	829	0.1539882082
300	1036	0.1633060846
300	1243	0.1772869687
300	1450	0.1672534378
300	1657	0.1789624508
300	1864	0.1786037986
300	2071	0.1784206055
320	1	0.03706190119
320	208	0.1398532052
320	415	0.1420504026
320	622	0.1483443124
320	829	0.1649219663
320	1036	0.1680810678
320	1243	0.1821290124
320	1450	0.163221755
320	1657	0.1758378284
320	1864	0.171252791
320	2071	0.1760408776
340	1	0.0345955195
340	208	0.1445627015
340	415	0.141199235
340	622	0.1466245917
340	829	0.1638649701
340	1036	0.1622757867
340	1243	0.1741623436
340	1450	0.1610907057
340	1657	0.1819057661
340	1864	0.1824846955
340	2071	0.1741313151
360	1	0.03734538145
360	208	0.1513540056
360	415	0.1398338199
360	622	0.1635905188
360	829	0.1691858309
360	1036	0.1588014522
360	1243	0.1685911292
360	1450	0.1716714593
360	1657	0.173758051
360	1864	0.1680480927
360	2071	0.1780148129
380	1	0.03457436506
380	208	0.1484200835
380	415	0.1506986681
380	622	0.1637701925
380	829	0.1703025223
380	1036	0.1560443785
380	1243	0.1741307868
380	1450	0.1791909751
380	1657	0.1737207156
380	1864	0.176263152
380	2071	0.1733508208
400	1	0.03668401459
400	208	0.1355986797
400	415	0.1500693483
400	622	0.1629479345
400	829	0.1507762526
400	1036	0.1687090276
400	1243	0.1623634703
400	1450	0.172020715
400	1657	0.1783730518
400	1864	0.1763092061
400	2071	0.1714549024
420	1	0.03966423577
420	208	0.1398254849
420	415	0.1596562594
420	622	0.1536355322
420	829	0.1800924866
420	1036	0.1649215121
420	1243	0.1840628002
420	1450	0.1825958195
420	1657	0.1761210165
420	1864	0.1809947158
420	2071	0.1764245239
440	1	0.03190167491
440	208	0.1533364949
440	415	0.1536529193
440	622	0.1537786912
440	829	0.1686743606
440	1036	0.1764657533
440	1243	0.1675516356
440	1450	0.1708658839
440	1657	0.1630107603
440	1864	0.167516571
440	2071	0.1847253181
460	1	0.04661342381
460	208	0.1355922999
460	415	0.1558588821
460	622	0.1661045832
460	829	0.1682698432
460	1036	0.1572104331
460	1243	0.1625585902
460	1450	0.1713639149
460	1657	0.181190047
460	1864	0.1761480448
460	2071	0.1680643331
480	1	0.04593546899
480	208	0.1356525758
480	415	0.1623529407
480	622	0.1654235724
480	829	0.157037181
480	1036	0.1652808185
480	1243	0.1647172359
480	1450	0.1788729101
480	1657	0.1724558944
480	1864	0.1819765584
480	2071	0.1803548212
500	1	0.04172705711
500	208	0.1399415939
500	415	0.1522311462
500	622	0.1704720319
500	829	0.1636001297
500	1036	0.1744576285
500	1243	0.1655237686
500	1450	0.1790161547
500	1657	0.1649513922
500	1864	0.1681397585
500	2071	0.1818877209
