numTrees	numPredictors	RSquared
20	1	0.03378661407
20	208	0.1058364812
20	415	0.1258200455
20	622	0.1326990909
20	829	0.1245847236
20	1036	0.1700149782
20	1243	0.1241856927
20	1450	0.06610934414
20	1657	0.1573891127
20	1864	0.07136014805
20	2071	0.164347239
40	1	0.05191513172
40	208	0.1361695314
40	415	0.113470321
40	622	0.136201185
40	829	0.1664387192
40	1036	0.165597916
40	1243	0.1960997062
40	1450	0.1548908435
40	1657	0.1305219099
40	1864	0.1414104974
40	2071	0.143976278
60	1	0.01728757051
60	208	0.08092464885
60	415	0.16853705
60	622	0.1457532291
60	829	0.1535043356
60	1036	0.137858828
60	1243	0.2034102781
60	1450	0.1764764325
60	1657	0.1657007059
60	1864	0.1793323948
60	2071	0.1662782451
80	1	0.03467482103
80	208	0.1552870081
80	415	0.1392872292
80	622	0.1339101375
80	829	0.1598319445
80	1036	0.1687446378
80	1243	0.1371514683
80	1450	0.1748914712
80	1657	0.1724781652
80	1864	0.1835118635
80	2071	0.1749504726
100	1	0.0309577477
100	208	0.15704392
100	415	0.1475636837
100	622	0.1697610791
100	829	0.1341262123
100	1036	0.1638082993
100	1243	0.1632681175
100	1450	0.1544734091
100	1657	0.1706506691
100	1864	0.1588434219
100	2071	0.1418523834
120	1	0.05256784751
120	208	0.141860406
120	415	0.1286953495
120	622	0.1814741162
120	829	0.1631971622
120	1036	0.1326385491
120	1243	0.1953777696
120	1450	0.1507709561
120	1657	0.1896872259
120	1864	0.1504598954
120	2071	0.1735866969
140	1	0.03525997684
140	208	0.151028521
140	415	0.1640932198
140	622	0.1557678617
140	829	0.1506288642
140	1036	0.1816678757
140	1243	0.157887202
140	1450	0.1724158231
140	1657	0.1561342284
140	1864	0.1689330748
140	2071	0.1765958396
160	1	0.03730641831
160	208	0.1436325609
160	415	0.1595774486
160	622	0.15861223
160	829	0.148202095
160	1036	0.1634417079
160	1243	0.1707095862
160	1450	0.1669794385
160	1657	0.174274074
160	1864	0.1606313328
160	2071	0.1829977346
180	1	0.04240442594
180	208	0.1475727541
180	415	0.1513647256
180	622	0.1517006315
180	829	0.1702136454
180	1036	0.1522746875
180	1243	0.176380179
180	1450	0.1878465548
180	1657	0.1693556585
180	1864	0.1776417319
180	2071	0.1692015268
200	1	0.04422856378
200	208	0.1419957467
200	415	0.164351144
200	622	0.1622536342
200	829	0.1569734085
200	1036	0.1584090771
200	1243	0.1752123921
200	1450	0.1738426376
200	1657	0.1785578908
