Alpha	numLambda	Correlation_Pvalue
0	1	0.001635491178
0	208	0.1784253117
0	415	0.1764412561
0	622	0.001635491178
0	829	0.001635491178
0	1036	0.1728909115
0	1243	0.2316533807
0	1450	0.8928578739
0	1657	0.001635491178
0	1864	0.1804538181
0	2071	0.1802628097
0.1	1	0.001635491178
0.1	208	0.956603532
0.1	415	0.8784680552
0.1	622	0.2253877864
0.1	829	0.1600952177
0.1	1036	0.003839629564
0.1	1243	0.8316647553
0.1	1450	0.1605651037
0.1	1657	0.356502986
0.1	1864	0.8157436203
0.1	2071	0.7941017538
0.2	1	0.001635491178
0.2	208	0.5851904983
0.2	415	0.3481181608
0.2	622	0.8572159988
0.2	829	0.4543767492
0.2	1036	0.7241727799
0.2	1243	0.8152350609
0.2	1450	0.7077774139
0.2	1657	0.2249747222
0.2	1864	0.7074074983
0.2	2071	0.1089369154
0.3	1	0.001635491178
0.3	208	0.4881457848
0.3	415	0.3810452741
0.3	622	0.6861723505
0.3	829	0.5108523972
0.3	1036	0.1497760733
0.3	1243	0.9932891056
0.3	1450	0.7404518133
0.3	1657	0.02907155192
0.3	1864	0.4786134933
0.3	2071	0.1389271719
0.4	1	0.001635491178
0.4	208	0.6088204019
0.4	415	0.04738098924
0.4	622	0.7752180413
0.4	829	0.9315391789
0.4	1036	0.1794831616
0.4	1243	0.8672947211
0.4	1450	0.6970968813
0.4	1657	0.2559706466
0.4	1864	0.9060028833
0.4	2071	0.2909561797
0.5	1	0.001635491178
0.5	208	0.4759181744
0.5	415	0.9328272236
0.5	622	0.9458417649
0.5	829	0.6153514031
0.5	1036	0.9180881386
0.5	1243	0.3431746263
0.5	1450	0.2150592154
0.5	1657	0.2256761617
0.5	1864	0.004593137868
0.5	2071	0.815924011
0.6	1	0.001635491178
0.6	208	0.8829064528
0.6	415	0.8525353991
0.6	622	0.8256329249
0.6	829	0.8770522583
0.6	1036	0.1259016752
0.6	1243	0.9749141014
0.6	1450	0.2625424958
0.6	1657	0.220459025
0.6	1864	0.6407037995
0.6	2071	0.297103795
0.7	1	0.001635491178
0.7	208	0.1146616374
0.7	415	0.3693998322
0.7	622	0.5565211537
0.7	829	0.6554476658
0.7	1036	0.6971086695
0.7	1243	0.4572765552
0.7	1450	0.3527536125
0.7	1657	0.1358650341
0.7	1864	0.927552297
0.7	2071	0.3377365022
0.8	1	0.001635491178
0.8	208	0.3789299994
0.8	415	0.2870667602
0.8	622	0.06585184392
0.8	829	0.002571240757
0.8	1036	0.1018638373
0.8	1243	0.1601551613
0.8	1450	0.8293191695
0.8	1657	0.6128947031
0.8	1864	0.9879361063
0.8	2071	0.009106583998
0.9	1	0.001635491178
0.9	208	0.7831014458
0.9	415	0.8649682486
0.9	622	0.04084759538
0.9	829	0.4024222083
0.9	1036	0.1068389666
0.9	1243	0.403259405
0.9	1450	0.9003078995
0.9	1657	0.04424788746
0.9	1864	0.5450425506
0.9	2071	0.3929227541
1	1	0.001635491178
1	208	0.4393727054
1	415	0.3473472907
1	622	0.5388901475
1	829	0.8045636066
1	1036	0.1240245738
1	1243	0.007635834794
1	1450	0.8292434845
1	1657	0.7396888995
1	1864	0.02029344578
1	2071	0.1174303986
