Molregno	StandardInChIKey	Chirality	IsProdrug	CanonicalSMILES
778287	ZWZIECGTAZYOMP-UHFFFAOYSA-N	Unknown	Unknown	FC(F)(F)c1cc(CN2CC3(CCN(CC3)C(=O)c4csnn4)C2)cc(c1)C(F)(F)F
787581	SQXGYNYVQNBMET-UHFFFAOYSA-N	Unknown	Unknown	COc1ccc(OC)c(NC(=O)c2cc3NC(CC(n3n2)C(F)(F)F)c4ccc5OCOc5c4)c1
778282	QVYRGXJJSLMXQH-SFHVURJKSA-N	Unknown	Unknown	CN(C)CCO[C@@H](c1ccccc1)c2ccccc2C
5985	UWKQSNNFCGGAFS-XIFFEERXSA-N	Single_Stereoisomer	Yes	CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4
868910	JWHURRLUBVMKOT-OAHLLOKOSA-N	Unknown	Unknown	CC(C)C[C@@H](N)C(=O)Nc1ccc2ccccc2c1
452892	UWALZFACAZHTQM-UHFFFAOYSA-N	Unknown	Unknown	NNS(=O)(=O)c1cc(cc(c1)C(=O)O)C(=O)O
467756	PNFHYGOAHZSEER-UHFFFAOYSA-N	Unknown	Unknown	CSc1nc(c2ccc(F)cc2)c([nH]1)c3ccnc(NCCc4cccs4)c3
880570	DYYJAZKIGMWODY-UHFFFAOYSA-N	Unknown	Unknown	Clc1ccc2Sc3ccccc3N(C(=O)CSc4oc5ccccc5n4)c2c1
1698378	UDDJAFNNXRFENZ-WGOQTCKBSA-N	Unknown	Unknown	C\C(=N/Nc1nc(nc2ccccc12)c3ccc(C)cc3)\c4ccc(cc4)[N+](=O)[O-]
825670	VIXXIFOGGBKQTP-UHFFFAOYSA-N	Unknown	Unknown	Cl.CC(O)CNCc1ccc(cc1)c2ccccc2
82993	SIZZGSWTNCSETD-UHFFFAOYSA-N	Unknown	Unknown	C(c1ccc2ccncc2c1)n3ccnc3
489166	VTMXWIGCCDHWKN-UHFFFAOYSA-N	Unknown	Unknown	Clc1cccc(c1)C(=O)c2cc(CC3=NNC(=O)C=C3)cc4ccoc24
489167	RJWYZBZWLAFKBF-UHFFFAOYSA-N	Unknown	Unknown	Clc1cccc(Cc2cc(CC3=NNC(=O)C=C3)cc4ccoc24)c1
489168	NTBRVXRWQHXTKZ-UHFFFAOYSA-N	Unknown	Unknown	Clc1cccc(Oc2cc(CC3=NNC(=O)C=C3)cc4ccoc24)c1
494923	ZYDFLNTVLZWITD-IBGZPJMESA-N	Unknown	Unknown	O=C1C(=COc2ccccc12)[C@H](c3ccc(cc3)C#N)n4ccnc4
888749	MTTKTWXJJTWGAO-UHFFFAOYSA-N	Unknown	Unknown	CC(C)C12CN3CC(CN(C1)C3c4occc4)(C(C)C)C2=O
776280	AURWHTRSUCBFRC-UHFFFAOYSA-N	Unknown	Unknown	O=C(CSc1nc2ccccc2s1)Nc3nccs3
623090	KFZLGIUUXIFPQJ-BUHFOSPRSA-N	Unknown	Unknown	FC1(F)C(=O)N(Cc2ccc3ccccc3c2)c4c(\C=C\C(=O)NS(=O)(=O)c5cccc(Cl)c5)cccc14
623091	IQKLMJUDPLRATQ-XNTDXEJSSA-N	Unknown	Unknown	Fc1ccc(cc1)S(=O)(=O)NC(=O)\C=C\c2cccc3c2N(Cc4ccc5ccccc5c4)C(=O)C3(F)F
1702142	COTJZKNZWLDJDF-WUXMJOGZSA-N	Unknown	Unknown	COc1ccc(\C=N\Nc2nonc2N)cc1
2011042	QZZRLGOKJJSIGH-UHFFFAOYSA-N	Unknown	Unknown	Cc1cc(ncc1F)N2CCN(C2=O)c3cnccc3C4CC4
2036152	VHTAZBLWIMFABR-WCAWKSPSSA-N	Unknown	Unknown	Cn1cc(c2ccc(NC(=S)NC(=O)c3ccccc3)nc2)c4cccc(CN5C[C@@H]6N(N(CC=C)CC(=O)N6[C@@H](Cc7ccc(O)cc7)C5=O)C(=O)NCc8ccccc8)c14
2036153	HUUMXLZSQBAKBN-YDAXCOIMSA-N	Unknown	Unknown	Cn1cc(c2cnc3ccccc3c2)c4cccc(CN5C[C@H]6N([C@@H](Cc7ccc(O)cc7)C5=O)C(=O)CN(CC=C)N6C(=O)NCc8ccccc8)c14
2036150	MUMIOWBMUUBPQQ-NWDJCJOJSA-N	Unknown	Unknown	Cn1cc(c2ccc(cc2)S(=O)(=O)C)c3cccc(CN4CC5N([C@@H](Cc6ccc(O)cc6)C4=O)C(=O)CN(CC=C)N5C(=O)NCc7ccccc7)c13
370252	OTBQRAAYLXSZPI-UHFFFAOYSA-N	Unknown	Unknown	Fc1ccc(cc1)C(=O)c2cnc3sccn23
1005595	PEBFFONBKFVQTP-UHFFFAOYSA-N	Unknown	Unknown	Cl.OC(COCC1COc2ccccc2O1)CN3CCc4ccccc4C3
687762	BRINFIWCMFTMJG-UHFFFAOYSA-N	Unknown	Unknown	Cc1cc(c2nc(c(O)c(C(=O)O)c2c1)C3(CC3)c4ccccc4)C(F)(F)F
273	FHYUGAJXYORMHI-UHFFFAOYSA-N	Unknown	Unknown	NC(=O)c1ccc(cc1)c2nc(c3ccccn3)c([nH]2)c4ccc5OCOc5c4
998080	YGGAMXQJEBQTJY-UHFFFAOYSA-N	Unknown	Unknown	CN1C(=O)C(=Nc2cnc(Nc3ccccc3)nc12)CCc4ccccc4
687765	IGPKXELSHJGWKJ-UHFFFAOYSA-N	Unknown	Unknown	Cc1ccc(cc1)C2(CC2)c3nc4c(C)c(C)ccc4c(C(=O)O)c3O
687766	GHNXHPIDYMKKOI-UHFFFAOYSA-N	Unknown	Unknown	Cc1cc(C)c2nc(c(O)c(C(=O)O)c2c1)C3(CC3)c4ccc(F)cc4
2011046	LUFASCUCLQNEGA-UHFFFAOYSA-N	Unknown	Unknown	Clc1cc(cc(Cl)n1)N2CCN(C2=O)c3cnccc3C4CC4
494312	GOSRVAHFGDUDAX-UHFFFAOYSA-N	Unknown	Unknown	Oc1ccc(cc1)c2nc(c3cccnc3)c([nH]2)c4ccc(Cl)cc4
1618166	AUQCZFYQJFJHES-HEWUYBSCSA-N	Unknown	Unknown	OC[C@H](NC(=O)N(Cc1cncs1)C2CC2)C(=O)N[C@@H](CC[C@@H](Cc3ccccc3)NC(=O)OCc4cncs4)Cc5ccccc5
1618167	SBBZCSSPXOWAMS-RRURFNPQSA-N	Unknown	Unknown	CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC[C@@H](Cc3ccccc3)NC(=O)OCc4cncs4)Cc5ccccc5)cs1
1618164	KBZPKTMYSVUUNF-JHFJJOSTSA-N	Unknown	Unknown	CC(C)c1nc(CN(C)C(=O)N[C@@H](CCNC(=O)C)C(=O)N[C@@H](CC[C@@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4)cs1
1618165	RXXJTASWFDWOMQ-QYDYLWNGSA-N	Unknown	Unknown	CC(C)[C@H](NC(=O)N(C)Cc1cscn1)C(=O)N[C@@H](CC[C@@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4
1618162	BSAFIUYYVIIACE-PSUXHBTPSA-N	Unknown	Unknown	CC(C)c1nc(CN(C)C(=O)N[C@@H](Cn2cccn2)C(=O)N[C@H](CC[C@H](Cc3ccccc3)NC(=O)OCc4cncs4)Cc5ccccc5)cs1
1618163	MNHOXZBSLMSIDR-QYDYLWNGSA-N	Unknown	Unknown	CC(C)c1nc(CN(C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC[C@@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4)cs1
1618160	SBBZCSSPXOWAMS-RWSVXVLSSA-N	Unknown	Unknown	CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@H](CC[C@H](Cc3ccccc3)NC(=O)OCc4cncs4)Cc5ccccc5)cs1
1618161	DKJJHJFCGCQNOZ-MCQSSSDPSA-N	Unknown	Unknown	CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2cn(C)cn2)C(=O)N[C@H](CC[C@H](Cc3ccccc3)NC(=O)OCc4cncs4)Cc5ccccc5)cs1
153775	FINMPMBYTTVLPJ-QPPBQGQZSA-N	Unknown	Unknown	CN1C(=O)CN[C@@]([C@H](Oc2nc(C)cc(C)n2)C(=O)O)(c3ccccc3)c4ccccc14
