InChIKey Accession Rank(row)
FMHHVULEAZTJMA-UHFFFAOYSA-N P28335 2
FMHHVULEAZTJMA-UHFFFAOYSA-N P29274 3
FMHHVULEAZTJMA-UHFFFAOYSA-N P28223 5
FMHHVULEAZTJMA-UHFFFAOYSA-N P30542 6
FMHHVULEAZTJMA-UHFFFAOYSA-N P25099 7
FMHHVULEAZTJMA-UHFFFAOYSA-N P30543 8
FMHHVULEAZTJMA-UHFFFAOYSA-N P28190 9
FNYQZOVOVDSGJH-UHFFFAOYSA-N P08908 5
FNYQZOVOVDSGJH-UHFFFAOYSA-N P41595 7
FNYQZOVOVDSGJH-UHFFFAOYSA-N P46098 8
FOHHNHSLJDZUGQ-UHFFFAOYSA-N Q12809 1
FOHHNHSLJDZUGQ-UHFFFAOYSA-N O08703 2
FOHHNHSLJDZUGQ-UHFFFAOYSA-N Q14524 5
FTALBRSUTCGOEG-UHFFFAOYSA-N P23975 1
FTALBRSUTCGOEG-UHFFFAOYSA-N Q01959 3
FTALBRSUTCGOEG-UHFFFAOYSA-N P31645 4
FUSNMLFNXJSCDI-UHFFFAOYSA-N P41595 2
FUSNMLFNXJSCDI-UHFFFAOYSA-N P08908 6
FYPMFJGVHOHGLL-UHFFFAOYSA-N Q92847 9
GBXSMTUPTTWBMN-XIRDDKMYSA-N P35353 4
GCKMFJBGXUYNAG-HLXURNFRSA-N P04150 1
GCKMFJBGXUYNAG-HLXURNFRSA-N P15207 2
GCKMFJBGXUYNAG-HLXURNFRSA-N P10275 3
GCKMFJBGXUYNAG-HLXURNFRSA-N P06401 4
GDLIGKIOYRNHDA-UHFFFAOYSA-N P20309 2
GDLIGKIOYRNHDA-UHFFFAOYSA-N P23975 3
GDLIGKIOYRNHDA-UHFFFAOYSA-N P31645 4
GDLIGKIOYRNHDA-UHFFFAOYSA-N Q01959 5
GDLIGKIOYRNHDA-UHFFFAOYSA-N P11229 6
GDLIGKIOYRNHDA-UHFFFAOYSA-N P08172 9
GDLIGKIOYRNHDA-UHFFFAOYSA-N P28223 10
GFBKORZTTCHDGY-UWVJOHFNSA-N P61169 2
GFBKORZTTCHDGY-UWVJOHFNSA-N P18901 3
GFBKORZTTCHDGY-UWVJOHFNSA-N P19020 4
GFBKORZTTCHDGY-UWVJOHFNSA-N P20288 5
GFBKORZTTCHDGY-UWVJOHFNSA-N P35367 6
GFBKORZTTCHDGY-UWVJOHFNSA-N P30729 8
GFBKORZTTCHDGY-UWVJOHFNSA-N P14416 9
GFBKORZTTCHDGY-UWVJOHFNSA-N P31390 10
GFFGJBXGBJISGV-UHFFFAOYSA-N Q08499 3
GFFGJBXGBJISGV-UHFFFAOYSA-N P34976 10
GFNANZIMVAIWHM-OBYCQNJPSA-N P04150 1
GFNANZIMVAIWHM-OBYCQNJPSA-N P06401 3
GFNANZIMVAIWHM-OBYCQNJPSA-N P06536 4
GFNANZIMVAIWHM-OBYCQNJPSA-N P15207 6
GFNANZIMVAIWHM-OBYCQNJPSA-N P10275 8
GFNANZIMVAIWHM-OBYCQNJPSA-N P20309 9
GFNANZIMVAIWHM-OBYCQNJPSA-N P11229 10
GGCSSNBKKAUURC-UHFFFAOYSA-N P41144 3
GGCSSNBKKAUURC-UHFFFAOYSA-N P97266 5
GGCSSNBKKAUURC-UHFFFAOYSA-N P33535 6
GGCSSNBKKAUURC-UHFFFAOYSA-N P32300 7
GGCSSNBKKAUURC-UHFFFAOYSA-N P33533 8
GGCSSNBKKAUURC-UHFFFAOYSA-N P33534 10
GHXZTYHSJHQHIJ-UHFFFAOYSA-N P32245 4
GIIZNNXWQWCKIB-UHFFFAOYSA-N Q8K4Z4 1
GIIZNNXWQWCKIB-UHFFFAOYSA-N P07550 2
GIIZNNXWQWCKIB-UHFFFAOYSA-N P08588 3
GIIZNNXWQWCKIB-UHFFFAOYSA-N P13945 6
GIIZNNXWQWCKIB-UHFFFAOYSA-N P54833 7
GIIZNNXWQWCKIB-UHFFFAOYSA-N Q28044 8
GIIZNNXWQWCKIB-UHFFFAOYSA-N P18090 9
GIIZNNXWQWCKIB-UHFFFAOYSA-N P08908 10
GIJXKZJWITVLHI-PMOLBWCYSA-N P20309 2
GIJXKZJWITVLHI-PMOLBWCYSA-N P23975 3
GIJXKZJWITVLHI-PMOLBWCYSA-N Q01959 4
GIJXKZJWITVLHI-PMOLBWCYSA-N P11229 5
GIJXKZJWITVLHI-PMOLBWCYSA-N P23977 7
GIJXKZJWITVLHI-PMOLBWCYSA-N P08172 8
GIJXKZJWITVLHI-PMOLBWCYSA-N P28223 9
GIJXKZJWITVLHI-PMOLBWCYSA-N P28335 10
GJJFMKBJSRMPLA-DZGCQCFKSA-N P23975 1
GJJFMKBJSRMPLA-DZGCQCFKSA-N P31645 2
GJJFMKBJSRMPLA-DZGCQCFKSA-N Q01959 3
GJJFMKBJSRMPLA-DZGCQCFKSA-N P31652 4
GJJFMKBJSRMPLA-DZGCQCFKSA-N P23977 5
GJJFMKBJSRMPLA-DZGCQCFKSA-N Q9MYX0 6
GJJFMKBJSRMPLA-DZGCQCFKSA-N Q9GJT6 9
GJJFMKBJSRMPLA-HIFRSBDPSA-N P23975 1
GJJFMKBJSRMPLA-HIFRSBDPSA-N P31645 2
GJJFMKBJSRMPLA-HIFRSBDPSA-N Q01959 3
GJJFMKBJSRMPLA-HIFRSBDPSA-N P31652 4
GJJFMKBJSRMPLA-HIFRSBDPSA-N P23977 5
GJJFMKBJSRMPLA-HIFRSBDPSA-N Q9MYX0 6
GJJFMKBJSRMPLA-HIFRSBDPSA-N Q9GJT6 9
GJPICJJJRGTNOD-UHFFFAOYSA-N P25101 1
GJPICJJJRGTNOD-UHFFFAOYSA-N P26684 3
GJPICJJJRGTNOD-UHFFFAOYSA-N P24530 4
GJPICJJJRGTNOD-UHFFFAOYSA-N P22909 5
GJPICJJJRGTNOD-UHFFFAOYSA-N P19328 6
GJPICJJJRGTNOD-UHFFFAOYSA-N P22086 7
GJPICJJJRGTNOD-UHFFFAOYSA-N P21451 9
GJPICJJJRGTNOD-UHFFFAOYSA-N P35463 10
GJSURZIOUXUGAL-UHFFFAOYSA-N P08913 1
GJSURZIOUXUGAL-UHFFFAOYSA-N P18825 4
GJSURZIOUXUGAL-UHFFFAOYSA-N P18089 6
GJSURZIOUXUGAL-UHFFFAOYSA-N P35348 9
GKIRPKYJQBWNGO-OCEACIFDSA-N P20309 2
GKIRPKYJQBWNGO-OCEACIFDSA-N P23975 3
GKIRPKYJQBWNGO-OCEACIFDSA-N P31645 4
GKIRPKYJQBWNGO-OCEACIFDSA-N Q01959 5
GKIRPKYJQBWNGO-OCEACIFDSA-N P11229 7
GKTWGGQPFAXNFI-HNNXBMFYSA-N P31645 1
GKTWGGQPFAXNFI-HNNXBMFYSA-N P23975 2
GKTWGGQPFAXNFI-HNNXBMFYSA-N P08908 3
GKTWGGQPFAXNFI-HNNXBMFYSA-N Q01959 4
GKTWGGQPFAXNFI-HNNXBMFYSA-N P28223 5
GKTWGGQPFAXNFI-HNNXBMFYSA-N P25103 6
GKTWGGQPFAXNFI-HNNXBMFYSA-N P28335 7
GLVAUDGFNGKCSF-UHFFFAOYSA-N P23219 1
GLVAUDGFNGKCSF-UHFFFAOYSA-N Q92847 7
GMRQFYUYWCNGIN-NKMMMXOESA-N P10275 1
GMVPRGQOIOIIMI-DWKJAMRDSA-N P21731 7
GOEMGAFJFRBGGG-UHFFFAOYSA-N P08588 1
GOEMGAFJFRBGGG-UHFFFAOYSA-N P07550 2
GOEMGAFJFRBGGG-UHFFFAOYSA-N P13945 5
GOEMGAFJFRBGGG-UHFFFAOYSA-N Q8K4Z4 6
GOEMGAFJFRBGGG-UHFFFAOYSA-N P54833 7
GOEMGAFJFRBGGG-UHFFFAOYSA-N P18090 8
GOEMGAFJFRBGGG-UHFFFAOYSA-N Q28044 9
GOEMGAFJFRBGGG-UHFFFAOYSA-N P26255 10
GPKJTRJOBQGKQK-UHFFFAOYSA-N P20309 2
GPKJTRJOBQGKQK-UHFFFAOYSA-N P23975 3
GPKJTRJOBQGKQK-UHFFFAOYSA-N P11229 5
GPKJTRJOBQGKQK-UHFFFAOYSA-N P08172 7
GPKJTRJOBQGKQK-UHFFFAOYSA-N P28223 8
GPKJTRJOBQGKQK-UHFFFAOYSA-N P08913 9
GPKJTRJOBQGKQK-UHFFFAOYSA-N P35462 10
GVEZIHKRYBHEFX-NQQPLRFYSA-N Q92847 6
GXDALQBWZGODGZ-UHFFFAOYSA-N P20309 3
GXDALQBWZGODGZ-UHFFFAOYSA-N P23975 4
GXDALQBWZGODGZ-UHFFFAOYSA-N P31645 5
GXDALQBWZGODGZ-UHFFFAOYSA-N Q01959 6
GXDALQBWZGODGZ-UHFFFAOYSA-N Q12809 8
GXDALQBWZGODGZ-UHFFFAOYSA-N P35372 9
GXDALQBWZGODGZ-UHFFFAOYSA-N P41145 10
GYDJEQRTZSCIOI-LJGSYFOKSA-N Q92847 8
GZKLJWGUPQBVJQ-UHFFFAOYSA-N Q12809 1
GZKLJWGUPQBVJQ-UHFFFAOYSA-N P61169 6
GZKLJWGUPQBVJQ-UHFFFAOYSA-N P18901 9
GZKLJWGUPQBVJQ-UHFFFAOYSA-N P19020 10
GZUITABIAKMVPG-UHFFFAOYSA-N P23975 1
GZUITABIAKMVPG-UHFFFAOYSA-N P31645 2
GZUITABIAKMVPG-UHFFFAOYSA-N Q01959 3
GZUITABIAKMVPG-UHFFFAOYSA-N P35372 5
GZUITABIAKMVPG-UHFFFAOYSA-N P41145 6
GZUITABIAKMVPG-UHFFFAOYSA-N Q92731 9
GZUITABIAKMVPG-UHFFFAOYSA-N P28223 10
HCYAFALTSJYZDH-UHFFFAOYSA-N P23975 1
HCYAFALTSJYZDH-UHFFFAOYSA-N P31645 2
HCYAFALTSJYZDH-UHFFFAOYSA-N Q01959 3
HCYAFALTSJYZDH-UHFFFAOYSA-N Q12809 4
HCYAFALTSJYZDH-UHFFFAOYSA-N O55192 6
HCYAFALTSJYZDH-UHFFFAOYSA-N P47747 7
HCYAFALTSJYZDH-UHFFFAOYSA-N Q60857 9
HEFNNWSXXWATRW-UHFFFAOYSA-N P35354 2
HEFNNWSXXWATRW-UHFFFAOYSA-N P79208 5
HEFNNWSXXWATRW-UHFFFAOYSA-N P05979 6
HEFNNWSXXWATRW-UHFFFAOYSA-N P23219 7
HEFNNWSXXWATRW-UHFFFAOYSA-N Q05769 8
HEFNNWSXXWATRW-UHFFFAOYSA-N O62664 10
HMJIYCCIJYRONP-UHFFFAOYSA-N P15381 1
HMJIYCCIJYRONP-UHFFFAOYSA-N P27732 2
HMJIYCCIJYRONP-UHFFFAOYSA-N P22002 4
HMJIYCCIJYRONP-UHFFFAOYSA-N Q02294 5
HMJIYCCIJYRONP-UHFFFAOYSA-N Q13936 6
HMJIYCCIJYRONP-UHFFFAOYSA-N Q01668 7
HMJIYCCIJYRONP-UHFFFAOYSA-N Q00975 8
HMJIYCCIJYRONP-UHFFFAOYSA-N O60840 9
HMJIYCCIJYRONP-UHFFFAOYSA-N Q13698 10
HOBAELRKJCKHQD-QNEBEIHSSA-N P20272 5
HSMNQINEKMPTIC-UHFFFAOYSA-N Q05769 4
HSMNQINEKMPTIC-UHFFFAOYSA-N P35354 6
HSMNQINEKMPTIC-UHFFFAOYSA-N O62664 7
HSMNQINEKMPTIC-UHFFFAOYSA-N P21731 8
HSMNQINEKMPTIC-UHFFFAOYSA-N P05979 9
HSMNQINEKMPTIC-UHFFFAOYSA-N P22437 10
HSUGRBWQSSZJOP-RTWAWAEBSA-N Q12809 1
HSUGRBWQSSZJOP-RTWAWAEBSA-N P27732 5
HSUGRBWQSSZJOP-RTWAWAEBSA-N P15381 6
HSUGRBWQSSZJOP-RTWAWAEBSA-N P22002 8
HSUGRBWQSSZJOP-RTWAWAEBSA-N Q02294 9
HSUGRBWQSSZJOP-RTWAWAEBSA-N Q13936 10
HTIQEAQVCYTUBX-UHFFFAOYSA-N Q01959 1
HTIQEAQVCYTUBX-UHFFFAOYSA-N P08913 3
HTIQEAQVCYTUBX-UHFFFAOYSA-N P18825 4
HTIQEAQVCYTUBX-UHFFFAOYSA-N P23975 7
HTIQEAQVCYTUBX-UHFFFAOYSA-N P18089 8
HTQMVQVXFRQIKW-UHFFFAOYSA-N P23975 1
HTQMVQVXFRQIKW-UHFFFAOYSA-N P34976 3
HTQMVQVXFRQIKW-UHFFFAOYSA-N P18089 8
HTQMVQVXFRQIKW-UHFFFAOYSA-N P13945 9
HTQMVQVXFRQIKW-UHFFFAOYSA-N Q01959 10
HWHLPVGTWGOCJO-UHFFFAOYSA-N P20309 2
HWHLPVGTWGOCJO-UHFFFAOYSA-N P11229 3
HWHLPVGTWGOCJO-UHFFFAOYSA-N P08172 5
HWHLPVGTWGOCJO-UHFFFAOYSA-N P35367 8
HWHLPVGTWGOCJO-UHFFFAOYSA-N P25021 10
HYAFETHFCAUJAY-UHFFFAOYSA-N P21397 1
HYIMSNHJOBLJNT-UHFFFAOYSA-N Q12809 2
HYIMSNHJOBLJNT-UHFFFAOYSA-N P28335 6
HYIMSNHJOBLJNT-UHFFFAOYSA-N P30542 10
HYYBABOKPJLUIN-UHFFFAOYSA-N P35354 1
HYYBABOKPJLUIN-UHFFFAOYSA-N P23219 3
IAIWVQXQOWNYOU-FPYGCLRLSA-N Q00975 7
IBAQFPQHRJAVAV-ULAWRXDQSA-N P30556 4
IDBPHNDTYPBSNI-UHFFFAOYSA-N P41144 1
IDBPHNDTYPBSNI-UHFFFAOYSA-N P97266 2
IDBPHNDTYPBSNI-UHFFFAOYSA-N P33535 3
IDBPHNDTYPBSNI-UHFFFAOYSA-N P32300 4
IDBPHNDTYPBSNI-UHFFFAOYSA-N P33533 5
IDBPHNDTYPBSNI-UHFFFAOYSA-N P33534 6
IDBPHNDTYPBSNI-UHFFFAOYSA-N P41143 8
IDBPHNDTYPBSNI-UHFFFAOYSA-N P42866 9
IDBPHNDTYPBSNI-UHFFFAOYSA-N P34975 10
IDYZIJYBMGIQMJ-UHFFFAOYSA-N P34998 3
IDYZIJYBMGIQMJ-UHFFFAOYSA-N Q92847 8
IENZQIKPVFGBNW-UHFFFAOYSA-N Q12809 1
IENZQIKPVFGBNW-UHFFFAOYSA-N P43140 2
IENZQIKPVFGBNW-UHFFFAOYSA-N P08913 4
IENZQIKPVFGBNW-UHFFFAOYSA-N P18825 8
IENZQIKPVFGBNW-UHFFFAOYSA-N P41595 9
IENZQIKPVFGBNW-UHFFFAOYSA-N P18089 10
IFKLAQQSCNILHL-QHAWAJNXSA-N P35372 1
IFKLAQQSCNILHL-QHAWAJNXSA-N P41145 2
IFKLAQQSCNILHL-QHAWAJNXSA-N P41143 3
IFKLAQQSCNILHL-QHAWAJNXSA-N P41144 5
IFKLAQQSCNILHL-QHAWAJNXSA-N P97266 6
IFKLAQQSCNILHL-QHAWAJNXSA-N P33535 7
IFKLAQQSCNILHL-QHAWAJNXSA-N P33534 8
IFKLAQQSCNILHL-QHAWAJNXSA-N P32300 9
IFKLAQQSCNILHL-QHAWAJNXSA-N P33533 10
IKENVDNFQMCRTR-UHFFFAOYSA-N P30518 1
IKENVDNFQMCRTR-UHFFFAOYSA-N P37288 2
IKENVDNFQMCRTR-UHFFFAOYSA-N Q00788 3
IKENVDNFQMCRTR-UHFFFAOYSA-N P30560 4
IMONTRJLAWHYGT-ZCPXKWAGSA-N P04150 1
IMONTRJLAWHYGT-ZCPXKWAGSA-N P15207 3
IMONTRJLAWHYGT-ZCPXKWAGSA-N P34976 5
IMONTRJLAWHYGT-ZCPXKWAGSA-N P10275 8
IMONTRJLAWHYGT-ZCPXKWAGSA-N P06536 10
INDBQLZJXZLFIT-UHFFFAOYSA-N P31645 1
INDBQLZJXZLFIT-UHFFFAOYSA-N P21397 2
INJOMKTZOLKMBF-UHFFFAOYSA-N P28223 1
INJOMKTZOLKMBF-UHFFFAOYSA-N P28335 2
INJOMKTZOLKMBF-UHFFFAOYSA-N P08913 3
INJOMKTZOLKMBF-UHFFFAOYSA-N P18825 5
INJOMKTZOLKMBF-UHFFFAOYSA-N P41595 6
INJOMKTZOLKMBF-UHFFFAOYSA-N P18089 8
IOVGROKTTNBUGK-SJCJKPOMSA-N P10608 1
IOVGROKTTNBUGK-SJCJKPOMSA-N Q00960 2
IOVGROKTTNBUGK-SJCJKPOMSA-N P18090 3
IOVGROKTTNBUGK-SJCJKPOMSA-N P54833 4
IOVGROKTTNBUGK-SJCJKPOMSA-N P26255 5
IOVGROKTTNBUGK-SJCJKPOMSA-N P43140 7
IOVGROKTTNBUGK-SJCJKPOMSA-N P47747 8
ISFHAYSTHMVOJR-UHFFFAOYSA-N P31389 1
ISFHAYSTHMVOJR-UHFFFAOYSA-N P25021 4
ISFHAYSTHMVOJR-UHFFFAOYSA-N P21554 6
ISFHAYSTHMVOJR-UHFFFAOYSA-N P30547 9
ITPDYQOUSLNIHG-UHFFFAOYSA-N P20309 10
ITRJWOMZKQRYTA-RFZYENFJSA-N P04150 1
ITRJWOMZKQRYTA-RFZYENFJSA-N P06536 3
ITRJWOMZKQRYTA-RFZYENFJSA-N P06401 4
ITRJWOMZKQRYTA-RFZYENFJSA-N P15207 6
ITRJWOMZKQRYTA-RFZYENFJSA-N P10275 7
ITRJWOMZKQRYTA-RFZYENFJSA-N P34976 9
IUBSYMUCCVWXPE-UHFFFAOYSA-N P07550 2
IUBSYMUCCVWXPE-UHFFFAOYSA-N P08588 3
IUBSYMUCCVWXPE-UHFFFAOYSA-N P13945 6
IUBSYMUCCVWXPE-UHFFFAOYSA-N Q8K4Z4 7
IUBSYMUCCVWXPE-UHFFFAOYSA-N P18090 8
IUBSYMUCCVWXPE-UHFFFAOYSA-N P54833 9
IUBSYMUCCVWXPE-UHFFFAOYSA-N Q28044 10
IVDHYUQIDRJSTI-UHFFFAOYSA-N P32245 2
IVDHYUQIDRJSTI-UHFFFAOYSA-N P41968 4
IVHBBMHQKZBJEU-UHFFFAOYSA-N Q00960 8
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P32300 1
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P97266 2
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P33535 3
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P33533 4
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P41143 5
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P42866 6
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P41144 7
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P34975 8
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P14600 9
IVLVTNPOHDFFCJ-UHFFFAOYSA-N P33534 10
IWUCXVSUMQZMFG-AFCXAGJDSA-N P29274 9
IWUCXVSUMQZMFG-AFCXAGJDSA-N P30542 10
IWVCMVBTMGNXQD-PXOLEDIWSA-N Q14524 10
IXHBTMCLRNMKHZ-LBPRGKRZSA-N P31645 1
IXHBTMCLRNMKHZ-LBPRGKRZSA-N P07550 3
IXHBTMCLRNMKHZ-LBPRGKRZSA-N P08588 4
IXHBTMCLRNMKHZ-LBPRGKRZSA-N P13945 5
IXHBTMCLRNMKHZ-LBPRGKRZSA-N Q8K4Z4 9
IXTMWRCNAAVVAI-UHFFFAOYSA-N Q12809 1
IXTMWRCNAAVVAI-UHFFFAOYSA-N O08703 2
IXTMWRCNAAVVAI-UHFFFAOYSA-N Q00960 5
IXTMWRCNAAVVAI-UHFFFAOYSA-N Q14524 6
IXTMWRCNAAVVAI-UHFFFAOYSA-N P07550 7
IXTMWRCNAAVVAI-UHFFFAOYSA-N P08588 9
IYGXEHDCSOYNKY-RZHHZEQLSA-N P21731 4
IYIKLHRQXLHMJQ-UHFFFAOYSA-N P20309 2
IYIKLHRQXLHMJQ-UHFFFAOYSA-N P23975 3
IYIKLHRQXLHMJQ-UHFFFAOYSA-N P31645 4
IYIKLHRQXLHMJQ-UHFFFAOYSA-N Q01959 5
IYIKLHRQXLHMJQ-UHFFFAOYSA-N Q12809 6
IYIKLHRQXLHMJQ-UHFFFAOYSA-N P35372 7
IYIKLHRQXLHMJQ-UHFFFAOYSA-N P41145 8
IYIKLHRQXLHMJQ-UHFFFAOYSA-N P11229 9
JAQUASYNZVUNQP-USXIJHARSA-N P97266 1
JAQUASYNZVUNQP-USXIJHARSA-N P42866 2
JAQUASYNZVUNQP-USXIJHARSA-N P41143 3
JAQUASYNZVUNQP-USXIJHARSA-N P33535 4
JAQUASYNZVUNQP-USXIJHARSA-N P32300 5
JAQUASYNZVUNQP-USXIJHARSA-N P35372 6
JAQUASYNZVUNQP-USXIJHARSA-N P41145 7
JAQUASYNZVUNQP-USXIJHARSA-N P33533 8
JAQUASYNZVUNQP-USXIJHARSA-N P41144 9
JAQUASYNZVUNQP-USXIJHARSA-N P34975 10
JAUOIFJMECXRGI-UHFFFAOYSA-N P20309 2
JAUOIFJMECXRGI-UHFFFAOYSA-N P23975 3
JAUOIFJMECXRGI-UHFFFAOYSA-N P31645 4
JAUOIFJMECXRGI-UHFFFAOYSA-N Q01959 5
JAUOIFJMECXRGI-UHFFFAOYSA-N P11229 6
JAUOIFJMECXRGI-UHFFFAOYSA-N P08172 8
JAUOIFJMECXRGI-UHFFFAOYSA-N P28223 9
JAUOIFJMECXRGI-UHFFFAOYSA-N P28335 10
JAZBEHYOTPTENJ-JLNKQSITSA-N P79208 1
JAZBEHYOTPTENJ-JLNKQSITSA-N O62664 7
JAZBEHYOTPTENJ-JLNKQSITSA-N P05979 8
JAZBEHYOTPTENJ-JLNKQSITSA-N P20272 9
JBIWCJUYHHGXTC-AKNGSSGZSA-N Q14524 9
JCCNYMKQOSZNPW-UHFFFAOYSA-N Q12809 1
JCCNYMKQOSZNPW-UHFFFAOYSA-N P41595 4
JCCNYMKQOSZNPW-UHFFFAOYSA-N P35367 5
JCCNYMKQOSZNPW-UHFFFAOYSA-N P31390 7
JFJZZMVDLULRGK-URLMMPGGSA-O P23977 6
JFJZZMVDLULRGK-URLMMPGGSA-O P61169 8
JIVSXRLRGOICGA-UHFFFAOYSA-N P35367 2
JIVSXRLRGOICGA-UHFFFAOYSA-N P35462 3
JIVSXRLRGOICGA-UHFFFAOYSA-N P21728 5
JIVSXRLRGOICGA-UHFFFAOYSA-N P14416 6
JIVSXRLRGOICGA-UHFFFAOYSA-N P28223 7
JIVSXRLRGOICGA-UHFFFAOYSA-N P28335 8
JIVSXRLRGOICGA-UHFFFAOYSA-N P20309 10
JJCFRYNCJDLXIK-UHFFFAOYSA-N P20309 2
JJCFRYNCJDLXIK-UHFFFAOYSA-N P23975 3
JJCFRYNCJDLXIK-UHFFFAOYSA-N Q12809 4
JJCFRYNCJDLXIK-UHFFFAOYSA-N P11229 5
JJCFRYNCJDLXIK-UHFFFAOYSA-N P08172 7
JJCFRYNCJDLXIK-UHFFFAOYSA-N P28223 8
JJCFRYNCJDLXIK-UHFFFAOYSA-N P28335 9
JJCFRYNCJDLXIK-UHFFFAOYSA-N P08913 10
JKKFKPJIXZFSSB-CBZIJGRNSA-N P03372 6
JKKFKPJIXZFSSB-CBZIJGRNSA-N Q92731 7
JKKFKPJIXZFSSB-CBZIJGRNSA-N P34976 8
JKOQGQFVAUAYPM-UHFFFAOYSA-N P35462 1
JKOQGQFVAUAYPM-UHFFFAOYSA-N P14416 2
JKOQGQFVAUAYPM-UHFFFAOYSA-N P21917 3
JKOQGQFVAUAYPM-UHFFFAOYSA-N P21728 4
JKOQGQFVAUAYPM-UHFFFAOYSA-N P08908 7
JLYXXMFPNIAWKQ-GNIYUCBRSA-N P28472 1
JLYXXMFPNIAWKQ-GNIYUCBRSA-N Q75NA5 2
JLYXXMFPNIAWKQ-GNIYUCBRSA-N P24046 3
JLYXXMFPNIAWKQ-GNIYUCBRSA-N P18507 10
JOFWLTCLBGQGBO-UHFFFAOYSA-N P28472 2
JOFWLTCLBGQGBO-UHFFFAOYSA-N P30551 3
JOFWLTCLBGQGBO-UHFFFAOYSA-N P18507 4
JOFWLTCLBGQGBO-UHFFFAOYSA-N P47869 5
JOFWLTCLBGQGBO-UHFFFAOYSA-N P34903 6
JOFWLTCLBGQGBO-UHFFFAOYSA-N P14867 7
JOFWLTCLBGQGBO-UHFFFAOYSA-N P31644 8
JOFWLTCLBGQGBO-UHFFFAOYSA-N P20237 9
JOFWLTCLBGQGBO-UHFFFAOYSA-N P10064 10
JRWZLRBJNMZMFE-UHFFFAOYSA-N P23975 2
JRWZLRBJNMZMFE-UHFFFAOYSA-N P31645 3
JRWZLRBJNMZMFE-UHFFFAOYSA-N Q01959 4
JRWZLRBJNMZMFE-UHFFFAOYSA-N P35462 8
JSWZEAMFRNKZNL-UHFFFAOYSA-N Q12809 1
JSWZEAMFRNKZNL-UHFFFAOYSA-N P41595 7
JSWZEAMFRNKZNL-UHFFFAOYSA-N P08908 9
JUKPWJGBANNWMW-VWBFHTRKSA-N P04150 1
JUKPWJGBANNWMW-VWBFHTRKSA-N P06401 2
JUKPWJGBANNWMW-VWBFHTRKSA-N Q92731 4
JUKPWJGBANNWMW-VWBFHTRKSA-N P10275 5
JUKPWJGBANNWMW-VWBFHTRKSA-N P03372 6
JUKPWJGBANNWMW-VWBFHTRKSA-N O75469 7
JUKPWJGBANNWMW-VWBFHTRKSA-N P07812 9
JUKPWJGBANNWMW-VWBFHTRKSA-N Q63449 10
JWBOIMRXGHLCPP-UHFFFAOYSA-N P23975 1
JWBOIMRXGHLCPP-UHFFFAOYSA-N P31645 2
JWBOIMRXGHLCPP-UHFFFAOYSA-N Q01959 3
JWBOIMRXGHLCPP-UHFFFAOYSA-N P08913 5
JWBOIMRXGHLCPP-UHFFFAOYSA-N P41595 6
JWBOIMRXGHLCPP-UHFFFAOYSA-N P08908 7
JWBOIMRXGHLCPP-UHFFFAOYSA-N P03372 10
JWHAUXFOSRPERK-UHFFFAOYSA-N P23975 1
JWHAUXFOSRPERK-UHFFFAOYSA-N Q01959 2
JWHAUXFOSRPERK-UHFFFAOYSA-N Q12809 3
JWHAUXFOSRPERK-UHFFFAOYSA-N P28223 7
JWHAUXFOSRPERK-UHFFFAOYSA-N P28335 8
JWZZKOKVBUJMES-UHFFFAOYSA-N P07550 2
JWZZKOKVBUJMES-UHFFFAOYSA-N P08588 3
JWZZKOKVBUJMES-UHFFFAOYSA-N P10608 4
JWZZKOKVBUJMES-UHFFFAOYSA-N Q00960 5
JWZZKOKVBUJMES-UHFFFAOYSA-N P13945 7
JWZZKOKVBUJMES-UHFFFAOYSA-N P18090 9
JWZZKOKVBUJMES-UHFFFAOYSA-N P54833 10
JYGXADMDTFJGBT-VWUMJDOOSA-N P04150 1
JYGXADMDTFJGBT-VWUMJDOOSA-N P06536 6
JYGXADMDTFJGBT-VWUMJDOOSA-N P06401 7
JYGXADMDTFJGBT-VWUMJDOOSA-N P15207 9
JYGXADMDTFJGBT-VWUMJDOOSA-N P10275 10
JYIKNQVWKBUSNH-OGZDCFRISA-N Q92847 3
JZCPYUJPEARBJL-UHFFFAOYSA-N Q12809 1
JZCPYUJPEARBJL-UHFFFAOYSA-N P21554 2
JZCPYUJPEARBJL-UHFFFAOYSA-N P20272 8
JZFPYUNJRRFVQU-UHFFFAOYSA-N P35354 1
JZFPYUNJRRFVQU-UHFFFAOYSA-N P23219 2
JZFPYUNJRRFVQU-UHFFFAOYSA-N O08703 8
JZQKKSLKJUAGIC-UHFFFAOYSA-N P07550 1
JZQKKSLKJUAGIC-UHFFFAOYSA-N P08588 2
JZQKKSLKJUAGIC-UHFFFAOYSA-N P13945 3
JZQKKSLKJUAGIC-UHFFFAOYSA-N Q8K4Z4 6
JZQKKSLKJUAGIC-UHFFFAOYSA-N P18090 7
