InChIKey Accession Rank(row)
CBQGYUDMJHNJBX-OALUTQOASA-N P23975 1
CBQGYUDMJHNJBX-OALUTQOASA-N P31645 2
CBQGYUDMJHNJBX-OALUTQOASA-N Q01959 3
CBQGYUDMJHNJBX-OALUTQOASA-N P23977 5
CBQGYUDMJHNJBX-OALUTQOASA-N P31652 6
CBQGYUDMJHNJBX-OALUTQOASA-N Q9MYX0 8
CDOZDBSBBXSXLB-UHFFFAOYSA-N P35354 6
CDOZDBSBBXSXLB-UHFFFAOYSA-N P35367 7
CDOZDBSBBXSXLB-UHFFFAOYSA-N P23219 8
CDOZDBSBBXSXLB-UHFFFAOYSA-N P20309 10
CEMAWMOMDPGJMB-UHFFFAOYSA-N P07550 2
CEMAWMOMDPGJMB-UHFFFAOYSA-N P08588 3
CEMAWMOMDPGJMB-UHFFFAOYSA-N P13945 6
CEMAWMOMDPGJMB-UHFFFAOYSA-N Q8K4Z4 7
CEMAWMOMDPGJMB-UHFFFAOYSA-N P31645 8
CEMAWMOMDPGJMB-UHFFFAOYSA-N P28223 9
CEMAWMOMDPGJMB-UHFFFAOYSA-N P28335 10
CEUORZQYGODEFX-UHFFFAOYSA-N Q12809 1
CEUORZQYGODEFX-UHFFFAOYSA-N P14416 2
CEUORZQYGODEFX-UHFFFAOYSA-N P31390 4
CEUORZQYGODEFX-UHFFFAOYSA-N P35462 6
CEUORZQYGODEFX-UHFFFAOYSA-N P21917 7
CEUORZQYGODEFX-UHFFFAOYSA-N P21728 8
CEUORZQYGODEFX-UHFFFAOYSA-N P31652 10
CGIGDMFJXJATDK-UHFFFAOYSA-N P35354 3
CGIGDMFJXJATDK-UHFFFAOYSA-N P79208 7
CGIGDMFJXJATDK-UHFFFAOYSA-N P05979 8
CGIGDMFJXJATDK-UHFFFAOYSA-N P23219 9
CGIGDMFJXJATDK-UHFFFAOYSA-N Q05769 10
CJOFXWAVKWHTFT-XSFVSMFZSA-N P31652 1
CJOFXWAVKWHTFT-XSFVSMFZSA-N P23977 5
CJOFXWAVKWHTFT-XSFVSMFZSA-N P31390 7
CJOFXWAVKWHTFT-XSFVSMFZSA-N O55192 9
CJOFXWAVKWHTFT-XSFVSMFZSA-N Q61327 10
CMWTZPSULFXXJA-VIFPVBQESA-N P35354 1
CMWTZPSULFXXJA-VIFPVBQESA-N P05979 5
CMWTZPSULFXXJA-VIFPVBQESA-N P23219 6
CMWTZPSULFXXJA-VIFPVBQESA-N O62664 8
CTENFNNZBMHDDG-UHFFFAOYSA-N P14416 2
CTENFNNZBMHDDG-UHFFFAOYSA-N P61169 3
CTENFNNZBMHDDG-UHFFFAOYSA-N P18901 4
CTENFNNZBMHDDG-UHFFFAOYSA-N P19020 5
CTENFNNZBMHDDG-UHFFFAOYSA-N P23977 6
CTENFNNZBMHDDG-UHFFFAOYSA-N P20288 9
CTENFNNZBMHDDG-UHFFFAOYSA-N Q01959 10
CTETYYAZBPJBHE-UHFFFAOYSA-N P23975 1
CTETYYAZBPJBHE-UHFFFAOYSA-N P31645 2
CTETYYAZBPJBHE-UHFFFAOYSA-N Q01959 3
CTETYYAZBPJBHE-UHFFFAOYSA-N P41145 4
CTETYYAZBPJBHE-UHFFFAOYSA-N P28223 6
CTETYYAZBPJBHE-UHFFFAOYSA-N P28335 7
CTETYYAZBPJBHE-UHFFFAOYSA-N P08913 8
