AAUFIERBXVEOEY-UHFFFAOYSA-N	O=C(Nc1ccc2OCOc2c1)c3cccc4CN(Cc5cccnc5)C(=O)c34
AAULUGZZFCAQJP-UHFFFAOYSA-N	CCN1C(CC(=O)NCc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2)c4ccccc4N=C1N5CCCCC5
AAVGYEROXZEBTI-UHFFFAOYSA-N	CC(C)(C)N1CCC(CC1)c2cc3N(C(=O)C=Cc3c(n2)c4ccc(F)cc4F)c5c(Cl)cccc5Cl
AAVOXWIZJYSGEP-XLNRJJMWSA-O	C[NH+](CCCNC(=O)/C(=C/c1ccc(o1)c1ccccc1[N+](=O)[O-])/NC(=O)c1ccc(cc1)C)C
AAXQEELWFXEVAH-UHFFFAOYSA-N	CSc1nc(nn1C(=O)N(C)c2ccccc2)c3ccc(C)cc3
AAXRYJXUKOFPON-UHFFFAOYSA-N	Oc1ccc(cc1)C2=NOC(CC(=O)Oc3ccccc3)C2
ABANLXYNSSVWDG-UHFFFAOYSA-N	COc1cccc(NC(=O)Nc2nnc(s2)c3ccncc3)c1
ABCPJAUEYWYDRS-UHFFFAOYSA-N	CCCC1=C(C)N=C(N(CCc2cccc(F)c2)C1=O)c3ccccc3O
ABGJWJKFXLDNGE-UHFFFAOYSA-N	CN(C)CCOc1cc2OCCCCCOc3nc(NC(=O)Nc2cc1Cl)cnc3C#N
ABGNBUFUIFDYCP-UHFFFAOYSA-N	Cc1ccnc(c1)N2C(=O)c3cccc4c(ccc(C2=O)c34)[N+](=O)[O-]
ABIFUJNCKIMWRZ-SFYZADRCSA-M	[O-]C(=O)[C@H]1[NH2+]CC[C@H](C1)CCC[P@](=O)(O)[O-]
ABIMHEGUHGJRNG-KSZLIROESA-N	COc1ccc(cc1OC)[C@H]2C[C@@H]2NC(=O)CC(C)(C)NCC(=O)N3CCC[C@H]3C#N
ABIUFIYFFWDIDH-IENJSVCTSA-N	CN1CCC[C@H](C1)n2c(nc3ccccc23)c4cccc(\C=C\C(=O)NO)c4
ABIVOOWWGYJNLV-JTQLQIEISA-N	NC(=O)[C@H]1CCCCc2c1[nH]c3ccc(Cl)cc23
ABIVOOWWGYJNLV-SNVBAGLBSA-N	NC(=O)[C@@H]1CCCCc2c1[nH]c3ccc(Cl)cc23
ABJDIBYQJRRITI-UHFFFAOYSA-N	COc1ccc(c(O)c1)c2oc(SCc3ccc(Cl)nc3)nn2
ABJFBJGGLJVMAQ-UHFFFAOYSA-N	O=c1[nH]c2ccccc2[nH]c1=O
ABJQKDJOYSQVFX-UHFFFAOYSA-N	Nc1ccc(O)c2ccccc12
ABJVOKFFSVZWAP-UHFFFAOYSA-N	CCCCCCCCCCCCOc1cc(c(OP(=O)([O-])Oc2cccc(C[n+]3csc(C)c3)c2)cc1C(C)(C)C)C(C)(C)C
ABKBSWVRNXDREE-IBGZPJMESA-N	C[C@H]1CN(Cc2ccc(CC(=O)N3CCC(CC3)Nc4ccc(F)cc4)cc2)CCN1
ABKGZOKXPPRHET-ITWZMISCSA-N	CC(C)c1cc(c2ccccc2)c(c3ccc(F)cc3)n1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O
ABKYTUWTUZKMFA-UHFFFAOYSA-N	O=C1c2ccccc2C(=O)C1(Sc1ccccc1)c1ccccc1
ABLHKLIEDOTYMC-UHFFFAOYSA-N	Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(c3)C#CCO
ABLQYLIPCDUOQX-UHFFFAOYSA-N	Nc1ccc(cc1NC(=O)c2ccccc2)c3oc4ccccc4c3
ABLWTJQIUDQCME-XOGYLQAWSA-N	OC(=O)CCCCCC[C@@H]1C2CCC(O2)C1c3cccnc3
ABLYXLXBJMBVQN-JOCHJYFZSA-N	CN1CCN(CC1)c2cc(C)c3nc([nH]c3c2)C4=C(NC[C@@H](O)c5cccc(Cl)c5)C=CNC4=O
ABMZPRJSVFWQHA-UHFFFAOYSA-N	CCCCCCCCCCCCCCOC(COCCCCc1ccccc1)COc2ccc(cc2)C3=NOC(=O)N3
ABNOHYZWJQIMFA-ZPHPHTNESA-N	CN1N=C(S/C/1=N\C2CCCCC2)c3ccc(C(=O)N)c(C)c3
ABOBTXLSWCANMO-UHFFFAOYSA-N	O=C(Nc1cc(ccc1N2CCN(Cc3ccccc3)CC2)c4ccccc4)c5cccc6ccccc56
ABOCVRMZOWDYSN-ADAARDCZSA-N	Cc1cc(F)ccc1Cc2cc3c(CO[C@]34O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc2Cl
ABOQVROUVXWAOH-UHFFFAOYSA-N	COC(=O)c1sccc1NC(=O)Cc1ccc(cc1)C(F)(F)F
ABPNIXLAGUMYGJ-UHFFFAOYSA-N	Cc1ccc(Nc2snc(O)c2C(=N)NO)cc1
ABRFKTAFRQVZBR-JTQLQIEISA-O	CCC[NH+]([C@H]1CCc2c(C1)sc(n2)N)CCC
ABRFKTAFRQVZBR-SNVBAGLBSA-O	CCC[NH+]([C@@H]1CCc2c(C1)sc(n2)N)CCC
ABRPDNMHYXMRIE-UHFFFAOYSA-N	OC(CNC(=O)c1ccc(nn1)N2CCC3(CC2)CCc4ccccc4O3)c5ccccc5
ABRXERAODSGHDJ-UHFFFAOYSA-N	Cn1c(nnc1C23CCC(CC2)(CC3)c4onc(n4)c5ccc(F)cc5F)c6ccccc6C(F)(F)F
ABSGSZGHJIFBCI-UHFFFAOYSA-N	CN1CCCC(C1)C(=O)N2CCN(CC2)c3nccc(OCc4ccc(Cl)cc4Cl)n3
ABSZWEGHLDHOTJ-UHFFFAOYSA-N	CN(c1cccc2c1cccc2S(=O)(=O)[N-]c1onc(c1C)C)C
ACAVXDBUABGPBE-GOSISDBHSA-N	CCC(=O)N1N=C(C[C@@H]1c1ccc(cc1)OC)c1ccc(cc1)Cl
ACAVXDBUABGPBE-SFHVURJKSA-N	CCC(=O)N1N=C(C[C@H]1c1ccc(cc1)OC)c1ccc(cc1)Cl
ACBOMCMCGRRIIN-UHFFFAOYSA-N	Cn1nnnc1c2ccccc2c3ccc(CN4C=Nc5ccc(cc5C4=O)N(Cc6ccccn6)C(=O)c7ccccc7)cc3
ACBRSXOTZHFOPE-NRFANRHFSA-O	O=C1N(CCCC[NH+]2CCN(CC2)c2ccccc2C)CC(=O)N2[C@H]1CCCC2
ACBRSXOTZHFOPE-OAQYLSRUSA-O	O=C1N(CCCC[NH+]2CCN(CC2)c2ccccc2C)CC(=O)N2[C@@H]1CCCC2
ACBYRQONKZKIIY-GFCCVEGCSA-N	COc1ccc(cc1OCC1CC1)[C@@H](Cn1cc[nH]c1=O)C
ACCCXSZCOGNLFL-UHFFFAOYSA-N	O=c1[nH]c2nc([nH]c2c(=O)[nH]1)c1ccccc1
ACDMHLAVMTZWNJ-UHFFFAOYSA-N	CCCCOC(=O)C(CCC(=O)O)NC(=O)c1ccc(cc1)N(C)Cc2cnc3nc(N)nc(N)c3n2
ACDVIHRBYWUYPZ-HNNXBMFYSA-N	COCCOc1cnc2ccc(cc2c1)[C@H](C)n3nnc4C=CN(C(=O)c34)c5cc(C)ns5
ACEACBDHWOKIAR-UHFFFAOYSA-N	Clc1ccc(COc2ccc(cc2)C3=CC(=O)c4ccc(OCc5ccc(Cl)nc5)cc4O3)cn1
ACEVGPZZRBXKDD-UHFFFAOYSA-N	CC(C)(O)CCc1ccc2c(c1)c3cc(Cl)ccc3c4nc([nH]c24)c5c(cccc5C#N)C#N
ACEZCEGHKCIGHU-UHFFFAOYSA-N	CC1=C(C(c2ccc(Cl)c(Cl)c2)n3nccc3N1)C(=O)N4CCCC4c5ccccn5
ACFKURGLCFFKSZ-RCXJIHSJSA-N	CCCN(CCN1C[C@@H]([C@H]([C@@H]1c2ccc(OC)cc2)C(=O)O)c3ccc4OCOc4c3)S(=O)(=O)CCC
ACFNUUVEKNMZOM-UHFFFAOYSA-N	Cc1nn(CC(=O)O)c2N(O)c3ccc(Cl)cc3C(=O)c12
ACFOZQUWTKSSQQ-UHFFFAOYSA-N	Cc1nc2cc(OC(F)(F)F)ccc2n1c3ccc(s3)C(=O)NC4CC4
ACFQJABFUNOOOS-JPYJTQIMSA-N	CCN(CC)[C@H](C)[C@@H](c1ccc2cc(OCC(C)(C)C(=O)O)ccc2c1)n3ccnc3
ACFQQDXFCVFBIX-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(cc1)n2nc(c3CSc4ccccc4c23)C(F)(F)F
ACFQRXVIUVXHIY-UHFFFAOYSA-N	OC(=O)Cc1cnc(nc1c2cccc(F)c2)C(c3ccc(F)cc3)c4ccc(F)cc4
ACFSBQWDVYWNRT-UHFFFAOYSA-N	OCc1cncn1Cc2ccc(cc2)C#N
