Standard_InChI_Key, UniProt_Accession, Ambiguity, Count_below10uM, Count_over10uM, max_IC50, min_IC50
HCQAOEUGYLMAOT-UHFFFAOYSA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 10932.0, 9579.0
HCRTYOPGOIYNCG-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 11991.8, 256.25
HCUFUIAOECNGFY-UHFFFAOYSA-N, P87108, Ambiguous_byMajorityVote, 1, 1, 11000.0, 8920.0
HCVOMYUMZYAHRX-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 80000.0, 3130.0
HCYAFALTSJYZDH-UHFFFAOYSA-N, Q12809, Ambiguous_MaxIC50_too_high, 6, 1, 27849.7, 1380.38
HCZKYJDFEPMADG-UHFFFAOYSA-N, P09917, Ambiguous_MaxIC50_too_high, 27, 3, 35000.0, 25.0
HCZKYJDFEPMADG-UHFFFAOYSA-N, P10275, Ambiguous_byMajorityVote, 3, 6, 50000.0, 10000.0
HCZKYJDFEPMADG-UHFFFAOYSA-N, P08170, Ambiguous_MaxIC50_too_high, 15, 3, 31300.0, 180.0
HDIKFTMHYOCXFP-UHFFFAOYSA-N, P10145, Ambiguous_byMajorityVote, 1, 1, 39730.0, 2270.0
HDUFPXYTKOHYIW-UHFFFAOYSA-N, Q9Y5Y4, Ambiguous_byMajorityVote, 1, 1, 100000.0, 1500.0
HDUWKQUHMUSICC-UHFFFAOYSA-N, P23219, Ambiguous_byMajorityVote, 2, 2, 100000.0, 1600.0
HDVJQXALBFFODC-UHFFFAOYSA-N, Q9Y5Y4, Ambiguous_byMajorityVote, 1, 1, 100000.0, 190.0
HDXJYJIPXWVRSM-UHFFFAOYSA-N, P51452, Ambiguous_byMajorityVote, 2, 2, 10200.0, 1230.0
HDXJYJIPXWVRSM-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 2, 2, 100000.0, 79.0
HEAIZQNMNCHNFD-UHFFFAOYSA-N, P08684, Ambiguous_byMajorityVote, 1, 1, 32000.0, 4100.0
HEFNNWSXXWATRW-UHFFFAOYSA-N, P35354, Ambiguous_MaxIC50_too_high, 39, 27, 1030000.0, 100.0
HEFNNWSXXWATRW-UHFFFAOYSA-N, P05979, Ambiguous_MaxIC50_too_high, 54, 12, 26000.0, 1060.0
HEFNNWSXXWATRW-UHFFFAOYSA-N, O62664, Ambiguous_byMajorityVote, 6, 6, 18000.0, 2900.0
HENHQTJCDFNZOI-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 768.0
HFAPBMCMVMGMST-UHFFFAOYSA-N, O95180, Active_tentative, 3, 1, 19300.0, 247.0
HFDQYYVFVKIRDR-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 1680.0
HFGZUTULELEVGR-UHFFFAOYSA-N, P38936, Ambiguous_byMajorityVote, 1, 1, 20000.0, 8400.0
HFIPUNBOEBEEST-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 7270.0
HFNRUGULZIQZJW-ALXYJOKNSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 87500.0, 6000.0
HFSGTAOLUKMOQF-UHFFFAOYSA-N, Q03137, Ambiguous_byMajorityVote, 1, 1, 50000.0, 300.0
HGGSYJSJSPZXSF-UHFFFAOYSA-N, Q9GZR1, Ambiguous_byMajorityVote, 2, 2, 82000.0, 6780.0
HGGSYJSJSPZXSF-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 2, 2, 100000.0, 3620.0
HGXFUGPKXLCJOZ-UHFFFAOYSA-N, Q9Y5Y4, Ambiguous_byMajorityVote, 1, 1, 100000.0, 3200.0
HGXIXRDSWVTXLX-UHFFFAOYSA-N, Q12809, Ambiguous_byMajorityVote, 1, 1, 30000.0, 1200.0
HHBWEIPXSCZNHO-GIJQJNRQSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 7250.0
HHJADECMSYMEIJ-UHFFFAOYSA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 18600.0, 8910.0
HHTITCIDOJOXNM-UHFFFAOYSA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 14827.0, 6634.0
HHXGGNANPXOBHN-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 36900.0, 8330.0
HHYUUSWXKVESNX-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 2, 50000.0, 3242.69
HHZRFWPJLIXTAE-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 7380.0
HIEKGGIFSRYTJJ-UHFFFAOYSA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 14962.0, 594.0
HIJKYNRPWPXDBH-UHFFFAOYSA-N, Q96LD8, Ambiguous_byMajorityVote, 2, 2, 28100.0, 8320.0
HIJKYNRPWPXDBH-UHFFFAOYSA-N, Q9BQF6, Ambiguous_byMajorityVote, 2, 2, 12300.0, 7150.0
HIQQXKVHODAXPS-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 7790.0
HJJPJSXJAXAIPN-UHFFFAOYSA-N, P11229, Ambiguous_byMajorityVote, 2, 3, 145000.0, 115.0
HJLVADIYJRSVIR-JQIJEIRASA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 15000.0, 6950.0
HJLVADIYJRSVIR-PEZBUJJGSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 16900.0, 8490.0
HJRVKBPHIYZIJK-UHFFFAOYSA-N, P34707, Ambiguous_byMajorityVote, 1, 1, 53850.0, 1790.0
HKBJSDNECZUKSR-UHFFFAOYSA-N, P01375, Ambiguous_byMajorityVote, 1, 1, 20000.0, 8920.0
HKCKBLDMOOFVQE-UHFFFAOYSA-N, P22906, Ambiguous_MaxIC50_too_high, 2, 1, 53460.0, 160.0
HKDAECHYHSQLRG-UHFFFAOYSA-N, P45452, Active_tentative, 3, 1, 10300.0, 920.0
HKEXSVHEPUVAPQ-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 797.0
HKHFEWGARRMNNW-VENISUPHSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 54000.0, 104.0
HKLRRVPCRDVDOT-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 10000.0
HKRNFCAGBKRKKF-JWGURIENSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 22800.0, 6500.0
HKSZLNNOFSGOKW-FYTWVXJKSA-N, P53350, Ambiguous_MaxIC50_too_high, 6, 4, 129000.0, 0.92
HKSZLNNOFSGOKW-FYTWVXJKSA-N, P36897, Ambiguous_byMajorityVote, 2, 2, 18500.0, 6870.0
HKUWKGBVHJXFFR-GQRDWQEESA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 100000.0, 3900.0
HKVAIMNHXSOFMF-FCDQGJHFSA-N, P34707, Ambiguous_byMajorityVote, 1, 1, 28300.0, 2780.0
HKWYRLYHYBFHLL-UHFFFAOYSA-N, O14920, Ambiguous_byMajorityVote, 1, 1, 10300.0, 25.12
HLAUOCIWPZYJNQ-LCUBDLGASA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 11600.0, 7430.0
HLCLCIHQZZSHDC-UHFFFAOYSA-N, Q99558, Ambiguous_byMajorityVote, 1, 1, 16000.0, 600.0
HLLGIHOHYYUOEV-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 36610.0, 6450.0
HLNYIAPJLJSOQM-GTKRZRNESA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 30800.0, 6910.0
HLQJZFFWUXHYMB-UHFFFAOYSA-N, P08684, Ambiguous_byMajorityVote, 2, 6, 100000.0, 9000.0
HLRYIKVEQMWFJE-UHFFFAOYSA-N, Q15858, Ambiguous_byMajorityVote, 1, 1, 18000.0, 82.0
HLTKYCOLVASTLI-YNPOFHRQSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 48500.0, 634.0
HMABFSHJGPPYEN-UHFFFAOYSA-N, Q07440, Ambiguous_byMajorityVote, 1, 1, 10200.0, 3640.0
HMMXFOSVVQVJKS-UHFFFAOYSA-N, P87108, Ambiguous_byMajorityVote, 1, 1, 13300.0, 4960.0
HMNYAPVDRLKBJH-STQMWFEESA-N, Q04760, Ambiguous_byMajorityVote, 2, 3, 33200.0, 1200.0
HMSBOTBYKOECEA-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 1562.5
HMTRBVUBZDRDQO-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 20000.0, 6120.0
HNDWHMKTONQBSA-UHFFFAOYSA-N, P51452, Ambiguous_MaxIC50_too_high, 5, 1, 99000.0, 216.0
HNSKCBRQFNGIMD-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 10400.0, 9540.0
HNZBABFXCINDMI-CDAQVASYSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 22800.0, 141.0
HOKVZBUGMQEHAA-HZOWPXDZSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 15300.0, 5240.0
HORPGCYDIQJZNG-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 3873.39
HORUJIZDKKBDDG-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 26600.0, 8010.0
HOTNCLIOOMCVME-UHFFFAOYSA-N, P09960, Ambiguous_byMajorityVote, 1, 1, 18000.0, 2100.0
HOUMUCTZMMLNTR-UHFFFAOYSA-N, O95931, Ambiguous_byMajorityVote, 6, 6, 30000.0, 10000.0
HOUMUCTZMMLNTR-UHFFFAOYSA-N, P29375, Ambiguous_byMajorityVote, 6, 6, 30000.0, 10000.0
HOUMUCTZMMLNTR-UHFFFAOYSA-N, Q05BQ5, Ambiguous_byMajorityVote, 6, 6, 50000.0, 4900.0
HOUMUCTZMMLNTR-UHFFFAOYSA-N, Q12888, Ambiguous_byMajorityVote, 6, 6, 30000.0, 10000.0
HOUMUCTZMMLNTR-UHFFFAOYSA-N, Q96T88, Ambiguous_byMajorityVote, 6, 6, 30000.0, 10000.0
HOUMUCTZMMLNTR-UHFFFAOYSA-N, Q9BUL5, Ambiguous_byMajorityVote, 6, 6, 30000.0, 10000.0
HOZHNHILHIGHLO-UHFFFAOYSA-N, Q96RI1, Ambiguous_byMajorityVote, 1, 1, 11100.0, 389.5
HOZPPBYSLHLSKQ-UHFFFAOYSA-N, P87108, Ambiguous_byMajorityVote, 1, 1, 14900.0, 5890.0
HPAPGONEMPZXMM-ONAXAZCASA-N, P25774, Ambiguous_byMajorityVote, 2, 2, 78000.0, 10000.0
HPAPGONEMPZXMM-ONAXAZCASA-N, P08246, Ambiguous_byMajorityVote, 2, 2, 100000.0, 10000.0
HPBWNXRDTAWPAP-UHFFFAOYSA-N, P78536, Ambiguous_byMajorityVote, 1, 1, 25000.0, 10.0
HPLUMRXCPMTSQW-DYVSEJHDSA-N, P87108, Ambiguous_byMajorityVote, 1, 1, 10600.0, 4360.0
HPOGXAZMTVXJLH-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 10700.0, 9240.0
HPRFQHGWMAWFQS-UHFFFAOYSA-N, Q9Y239, Ambiguous_MaxIC50_too_high, 3, 2, 25000.0, 2481.0
HQGKDVITOZEEJT-AATRIKPKSA-N, P34707, Ambiguous_byMajorityVote, 1, 1, 15400.0, 2190.0
HQIGTSYWJONWMK-UHFFFAOYSA-N, P26358, Ambiguous_byMajorityVote, 1, 1, 68000.0, 2230.0
HQOIQJUEUICXQW-UHFFFAOYSA-N, P10145, Ambiguous_byMajorityVote, 1, 1, 42340.0, 9120.0
HQPHWNQQDMBMDB-UHFFFAOYSA-N, Q16665, Ambiguous_byMajorityVote, 1, 1, 15000.0, 3500.0
HQWHKELJHUFLGD-UHFFFAOYSA-N, P10481, Inactive_all, 0, 1, 20100.0, 20100.0
HQYQJCSODDOMTE-UHFFFAOYSA-N, P51449, Ambiguous_MaxIC50_too_high, 2, 1, 89760.0, 90.0
HQZKDABSFYZFRP-UHFFFAOYSA-N, P11597, Ambiguous_byMajorityVote, 1, 1, 27000.0, 1300.0
HRBMESHSNKKVBJ-WKVWHISVSA-N, O15530, Ambiguous_byMajorityVote, 1, 1, 30000.0, 5700.0
HRCXMMLRJQRXDP-VXLYETTFSA-N, Q9P0U3, Ambiguous_byMajorityVote, 1, 1, 15100.0, 8970.0
HRDOEMHGWCTKMW-JTOYJDTJSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 8520.0
HRECINZTPLTEQH-UHFFFAOYSA-N, O43613, Ambiguous_byMajorityVote, 1, 1, 13788.0, 3219.0
HRLYBHOTSOETTC-UHFFFAOYSA-N, P22906, Active_tentative, 2, 1, 16100.0, 1290.0
HRNLUBSXIHFDHP-UHFFFAOYSA-N, Q9UBN7, Ambiguous_MaxIC50_too_high, 6, 4, 30000.0, 10000.0
HRNLUBSXIHFDHP-UHFFFAOYSA-N, Q9BY41, Ambiguous_byMajorityVote, 4, 4, 35000.0, 10000.0
HROACHSLAKGFBN-UHFFFAOYSA-N, P10845, Ambiguous_byMajorityVote, 1, 1, 11300.0, 26.0
HRWJIDJGKLAPHP-UHFFFAOYSA-N, P11597, Ambiguous_MaxIC50_too_high, 3, 1, 70000.0, 1600.0
HRZJTVIOMJAYBJ-UHFFFAOYSA-N, P19793, Ambiguous_byMajorityVote, 1, 1, 100000.0, 10000.0
HSCPAFQDYZFJML-UHFFFAOYSA-N, P08684, Ambiguous_byMajorityVote, 1, 1, 16000.0, 7600.0
HSDFDMSYAUCFSY-CIAFOILYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 80000.0, 4060.0
HSNPMXROZIQAQD-FMXWRHKGSA-N, O70127, Ambiguous_byMajorityVote, 1, 1, 61900.0, 1200.0
HSOZEOMYHDEMKF-JRTVVOMVSA-N, P08246, Ambiguous_byMajorityVote, 2, 2, 50000.0, 220.0
HSOZEOMYHDEMKF-JRTVVOMVSA-N, P08311, Ambiguous_byMajorityVote, 2, 2, 50000.0, 150.0
HSRCLZZBSKZNHY-UHFFFAOYSA-N, P61956, Ambiguous_byMajorityVote, 2, 2, 66000.0, 3440.0
HSRCLZZBSKZNHY-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 2, 2, 50930.0, 4090.0
HSRCYVWMJRQEPM-OGZMHEHASA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 54800.0, 611.0
HSRMHXWCTRFVHK-NYYWCZLTSA-N, P05186, Ambiguous_byMajorityVote, 1, 1, 100000.0, 5880.0
HSSQLNQCMMAAPC-UHFFFAOYSA-N, P22303, Ambiguous_byMajorityVote, 1, 1, 41686.94, 42.0
HTJUXGFUOHWOLU-KZNAEPCWSA-N, P56524, Ambiguous_MaxIC50_too_high, 2, 1, 50000.0, 100.0
HTQZYIIYSDEKEQ-GIJQJNRQSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 6760.0
HTSNFXAICLXZMA-ZDUSSCGKSA-N, P61169, Ambiguous_MaxIC50_too_high, 3, 1, 23000.0, 98.0
HTWFLPBAXWPSKY-UHFFFAOYSA-N, O43613, Ambiguous_byMajorityVote, 1, 1, 14918.0, 860.93
HTZQTFJZCQZKBO-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 80000.0, 9270.0
HUCGUDGQYHGRBC-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 24000.0, 9320.0
HUDLJTDCXGYOKM-UHFFFAOYSA-N, P0C6X7, Ambiguous_byMajorityVote, 1, 1, 42900.0, 8100.0
HUHOTPSRCXSNGF-BDURURIASA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 22600.0, 2700.0
HULZOGAIIIXOPX-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 10100.0, 8160.0
HUSRKXRZWRJFRQ-UHFFFAOYSA-N, P06401, Ambiguous_byMajorityVote, 1, 1, 15200.0, 65.0
HVEFZPHPECITAC-WOMSROEHSA-N, P33316, Ambiguous_byMajorityVote, 1, 1, 38200.0, 39.0
HVFAJKDLBAWLHG-UHFFFAOYSA-N, P51452, Ambiguous_byMajorityVote, 2, 2, 33300.0, 8300.0
HVFAJKDLBAWLHG-UHFFFAOYSA-N, P30304, Ambiguous_byMajorityVote, 2, 2, 31100.0, 6400.0
HVJBWTVMRIOTEL-UHFFFAOYSA-N, O14684, Ambiguous_byMajorityVote, 1, 1, 12000.0, 3900.0
HVRDEPLCFBDXSG-UHFFFAOYSA-N, Q07440, Ambiguous_byMajorityVote, 1, 3, 25400.0, 4510.0
HWGUMZACQGCCJV-UHFFFAOYSA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 10200.0, 8030.0
HWLGXOFSMYQGBA-UHFFFAOYSA-N, P10145, Ambiguous_byMajorityVote, 1, 1, 39950.0, 1600.0
HWPNKVCEOJFTPD-IZZDOVSWSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 1740.0
HXELDYRZCKHWSK-UHFFFAOYSA-N, P21554, Ambiguous_byMajorityVote, 1, 1, 32000.0, 3170.0
HXGOZZCNWIRGDR-UHFFFAOYSA-N, Q9Y5Y4, Ambiguous_byMajorityVote, 1, 1, 100000.0, 380.0
HXNBYYPGRZHDKJ-UHFFFAOYSA-N, Q12809, Ambiguous_byMajorityVote, 2, 2, 16982.44, 5011.87
HXNJCSPTZLUSKA-UHFFFAOYSA-N, P09917, Ambiguous_byMajorityVote, 1, 1, 50000.0, 4.0
HXQLTRSIZRSFTR-UHFFFAOYSA-N, P50579, Ambiguous_MaxIC50_too_high, 2, 1, 100000.0, 1000.0
HXQOPRWUMDQLCQ-MHWRWJLKSA-N, P12259, Ambiguous_MaxIC50_too_high, 2, 1, 62900.0, 4800.0
HXXUTLRAKUAOMR-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 8953.77
HYCVPCISSSUCAZ-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 14000.0, 9250.0
HYJBQCOPQZWYSL-VAMGGRTRSA-N, P56524, Ambiguous_MaxIC50_too_high, 2, 1, 50000.0, 20.0
HYKGLCSXVAAXNC-UHFFFAOYSA-N, Q27757, Ambiguous_byMajorityVote, 1, 1, 10700.0, 320.0
HYLSWFOHDJRUGQ-GDNBJRDFSA-N, Q8R455, Ambiguous_byMajorityVote, 1, 1, 25100.0, 7200.0
HYTRYTZFJVVZAF-ZETCQYMHSA-N, Q6YP21, Ambiguous_byMajorityVote, 1, 1, 11000.0, 9040.0
HYWYRSMBCFDLJT-UHFFFAOYSA-N, P23219, Ambiguous_byMajorityVote, 5, 6, 59000.0, 1226.0
HYXITZLLTYIPOF-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 2, 2, 100000.0, 4820.0
HYXITZLLTYIPOF-UHFFFAOYSA-N, P0C6U8, Ambiguous_byMajorityVote, 2, 4, 89100.0, 1600.0
HYYBABOKPJLUIN-UHFFFAOYSA-N, P23219, Ambiguous_byMajorityVote, 1, 1, 25000.0, 116.0
HZGZXCPCTCRQGY-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 10000.0
HZHJFLCQYCWEIU-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 6510.0
HZIHMEUDXCSJHM-UHFFFAOYSA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 14822.0, 6959.0
HZJRTBMMDLIHFR-UHFFFAOYSA-N, P31941, Ambiguous_byMajorityVote, 1, 2, 26600.0, 2880.0
HZNIIVLXLZHRBE-AUEPDCJTSA-N, P51452, Ambiguous_byMajorityVote, 2, 2, 16200.0, 3820.0
HZNIIVLXLZHRBE-AUEPDCJTSA-N, P63165, Ambiguous_byMajorityVote, 2, 2, 66600.0, 2020.0
HZYOUKHXCBYDBT-UHFFFAOYSA-N, P35236, Ambiguous_byMajorityVote, 2, 2, 10400.0, 329.0
HZYOUKHXCBYDBT-UHFFFAOYSA-N, Q03137, Ambiguous_byMajorityVote, 2, 2, 50000.0, 2460.0
HZZVJAQRINQKSD-PBFISZAISA-N, P62593, Ambiguous_MaxIC50_too_high, 16, 4, 25000.0, 0.008
HZZVJAQRINQKSD-PBFISZAISA-N, P24735, Ambiguous_byMajorityVote, 4, 4, 740000.0, 740.0
IAHXZWGZTKAXQE-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 4030.0
IAKHMKGGTNLKSZ-INIZCTEOSA-N, P02550, Ambiguous_MaxIC50_too_high, 16, 2, 29300.0, 800.0
IAKHMKGGTNLKSZ-INIZCTEOSA-N, P02554, Ambiguous_MaxIC50_too_high, 8, 2, 29300.0, 1260.0
IAOQAZIOISGMFF-UHFFFAOYSA-N, Q27757, Ambiguous_byMajorityVote, 1, 1, 50000.0, 3800.0
IAROIMQWPVQUGD-UHFFFAOYSA-N, P51452, Ambiguous_byMajorityVote, 1, 2, 100000.0, 1210.0
IAXAZVQDORVJKO-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 14398.2, 118.27
IAYUENCYMAJAKI-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 11500.0, 8350.0
IAZAQUKGVSFWPC-UHFFFAOYSA-N, P42574, Ambiguous_byMajorityVote, 1, 1, 22000.0, 8880.0
IBAQFPQHRJAVAV-ULAWRXDQSA-N, P23739, Ambiguous_MaxIC50_too_high, 4, 2, 39000.0, 110.0
IBGCCJPSMROWRG-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 85.65
IBPGEEKFYIPLRV-UHFFFAOYSA-N, P56817, Ambiguous_MaxIC50_too_high, 5, 1, 30000.0, 25.0
IBZUZSMVGJBYIC-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 4000.0
ICCYRAKGFFQZQU-LSQIQBGYSA-N, Q03137, Ambiguous_byMajorityVote, 1, 1, 50000.0, 5340.0
ICWSXFFSLOKMRX-VKAVYKQESA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 25200.0, 9490.0
IDNPIBRUVOVNQA-UHFFFAOYSA-N, Q2TB90, Ambiguous_byMajorityVote, 1, 1, 13500.0, 8290.0
IDUZPRRZHASGSP-STZFKDTASA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 100000.0, 6450.0
IEDDUUCBRAGPHC-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 14700.0, 6890.0
IEDNKRDFNMBTOL-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 51660.0, 9390.0
IEDVJHCEMCRBQM-UHFFFAOYSA-N, P00374, Ambiguous_byMajorityVote, 52, 80, 900000.0, 54.0
IEDVJHCEMCRBQM-UHFFFAOYSA-N, P16184, Ambiguous_byMajorityVote, 4, 140, 12000000.0, 46.0
IEDVJHCEMCRBQM-UHFFFAOYSA-N, P22906, Ambiguous_byMajorityVote, 8, 16, 50000.0, 2.2
IEDVJHCEMCRBQM-UHFFFAOYSA-N, P0A017, Active_tentative, 16, 4, 19000.0, 7.0
IEKOTSCYBBDIJC-IBGZPJMESA-N, Q63931, Ambiguous_byMajorityVote, 1, 1, 48000.0, 4900.0
IEKOTSCYBBDIJC-LJQANCHMSA-N, Q63931, Active_tentative, 2, 1, 12400.0, 66.0
IEMUTVIQLOVPKB-SNVBAGLBSA-N, O60674, Ambiguous_byMajorityVote, 1, 2, 30000.0, 56.0
IENXPWLDDAEWSQ-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 2, 2, 15500.0, 5320.0
IENXPWLDDAEWSQ-UHFFFAOYSA-N, P61956, Ambiguous_byMajorityVote, 2, 2, 46090.0, 9540.0
IENZQIKPVFGBNW-UHFFFAOYSA-N, Q12809, Ambiguous_MaxIC50_too_high, 2, 1, 24277.8, 1584.89
IEQGEYFHAFCERY-RQZCQDPDSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 6970.0
IFCBGAQTKDYXAL-UHFFFAOYSA-N, O43603, Ambiguous_byMajorityVote, 1, 1, 14000.0, 8838.0
IFHWJTOFROTZBD-UHFFFAOYSA-N, Q96IY4, Ambiguous_MaxIC50_too_high, 5, 1, 31000.0, 35.0
IFOWEZCGRQUKHO-UHFFFAOYSA-M, P49327, Ambiguous_byMajorityVote, 1, 1, 12900.0, 8420.0
IFTQXCVDKYKVJW-UHFFFAOYSA-N, P61169, Ambiguous_byMajorityVote, 1, 1, 30000.0, 10000.0
IGEIZXSGPWMAKF-QGZVFWFLSA-N, Q16539, Ambiguous_byMajorityVote, 1, 1, 37940.0, 21.0
IGHMIAGOLBUWJQ-UHFFFAOYSA-N, P51449, Ambiguous_byMajorityVote, 1, 2, 20270.0, 7560.0
IGSDWZIZPDDIGH-UHFFFAOYSA-N, P10145, Ambiguous_byMajorityVote, 1, 1, 12400.0, 5370.0
IGUAOEMDUDOUQH-MFOYZWKCSA-N, P09917, Ambiguous_byMajorityVote, 1, 1, 40000.0, 860.0
IGXJXMLDIIGDNE-UHFFFAOYSA-N, P08684, Ambiguous_byMajorityVote, 1, 1, 40000.0, 9800.0
IHNUNBMIRZNLFC-GDNBJRDFSA-N, Q03137, Ambiguous_byMajorityVote, 1, 1, 50000.0, 1450.0
IHOGSMOPGCAFJK-IZZDOVSWSA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 99000.0, 2980.0
IHRRAKOQXNUCIH-ATUKRAQXSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 13400.0, 4300.0
IHXPBZYKWITPFM-WOJGMQOQSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 8700.0
IIAMBYTZHAPBQC-UHFFFAOYSA-N, Q02156, Ambiguous_byMajorityVote, 1, 1, 11200.0, 5900.0
IICIVLBBDHVVJR-UHFFFAOYSA-N, P11597, Ambiguous_byMajorityVote, 1, 1, 91000.0, 1900.0
IICZKIMBLOMLNG-MZJWZYIUSA-N, P10145, Ambiguous_byMajorityVote, 1, 1, 79000.0, 5760.0
IIKXNLYBHBNDTI-BFGZFBQASA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 11419.0, 4517.0
IIMZFSAVKIVVHG-PPKJMBTNSA-N, P16050, Ambiguous_byMajorityVote, 2, 2, 16000.0, 5300.0
IIMZFSAVKIVVHG-PPKJMBTNSA-N, P18054, Ambiguous_byMajorityVote, 2, 2, 31000.0, 3100.0
IINHTEWASPUCMH-UHFFFAOYSA-N, P10828, Ambiguous_byMajorityVote, 1, 1, 18600.0, 1500.0
IIQXAFSIQLUGBW-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 10900.0, 9140.0
IITWCJAPPMRXEM-YCRREMRBSA-N, P34707, Ambiguous_byMajorityVote, 1, 1, 50400.0, 6860.0
IIZXTDRKWVLPNT-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 11900.0, 9090.0
IJDUUULVTIQJGG-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 52700.0, 9900.0
IJEGNOYPWRBKAE-UHFFFAOYSA-N, O95749, Ambiguous_byMajorityVote, 1, 2, 11220.0, 10000.0
IJFGUIKQFFJPDS-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 14600.0, 5490.0
