Standard_InChI_Key, UniProt_Accession, Ambiguity, Count_below10uM, Count_over10uM, max_IC50, min_IC50
AFMHHHMLWNYSDD-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 13100.0, 7480.0
AFNZSEVDWZQGKS-UHFFFAOYSA-N, P50579, Ambiguous_byMajorityVote, 1, 1, 66000.0, 130.0
AFQJVLBRKJBEEY-UHFFFAOYSA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 11402.0, 3807.0
AFQUPAGSIINWCQ-UHFFFAOYSA-N, P09923, Ambiguous_byMajorityVote, 1, 1, 10500.0, 5610.0
AFQZUHZFTSLCLV-RFVHGSKJSA-N, Q9NY46, Ambiguous_byMajorityVote, 1, 1, 30000.0, 8000.0
AFSDRTXSPIZEMA-QAPCUYQASA-N, P06276, Ambiguous_byMajorityVote, 1, 1, 11000.0, 2000.0
AFVBNYYWHQHUGU-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 2700.0
AFXPYHKXSBBVDU-UHFFFAOYSA-N, P87108, Ambiguous_byMajorityVote, 1, 1, 12600.0, 6330.0
AFXRFIZEYZZCLL-CHGHBZRESA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 11208.3, 350.16
AGCVPOVKAQCEKZ-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 31300.0, 4820.0
AGFTYFBCSBHJMJ-UHFFFAOYSA-N, Q92769, Active_tentative, 2, 1, 18000.0, 2400.0
AGJRXCFJPQXZKA-HUIFRNELSA-N, P61088, Ambiguous_byMajorityVote, 1, 1, 11060.0, 6610.0
AGOYDEPGAOXOCK-KCBOHYOISA-N, P08183, Ambiguous_byMajorityVote, 2, 5, 86700.0, 3800.0
AGSSSXPKNBFAAT-ZHACJKMWSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 16096.0, 7130.0
AGWYBKXTICVKLV-UHFFFAOYSA-N, Q15149, Ambiguous_byMajorityVote, 1, 2, 200000.0, 4266.0
AGYCMYUJQJYIOQ-UHFFFAOYSA-N, P09917, Ambiguous_byMajorityVote, 1, 1, 30000.0, 900.0
AHHHFIOUWFYJQZ-UHFFFAOYSA-N, P35372, Ambiguous_byMajorityVote, 1, 1, 24830.0, 7830.0
AHLBNYSZXLDEJQ-FWEHEUNISA-N, P97612, Ambiguous_byMajorityVote, 1, 1, 50000.0, 10.0
AHQRGRKCMLSVLM-UHFFFAOYSA-N, O60760, Ambiguous_byMajorityVote, 1, 1, 91300.0, 1300.0
AHZAKFLOHIRCDU-UHFFFAOYSA-N, P15559, Ambiguous_byMajorityVote, 1, 1, 13000.0, 3250.0
AIAQDSCJIHWTKR-UHFFFAOYSA-N, Q13547, Ambiguous_byMajorityVote, 2, 2, 23000.0, 2700.0
AIAQDSCJIHWTKR-UHFFFAOYSA-N, Q92769, Ambiguous_MaxIC50_too_high, 4, 2, 34000.0, 830.0
AICUJWQOAAPVKF-UHFFFAOYSA-N, Q16539, Active_tentative, 2, 1, 15300.0, 3500.0
AIEZQZWTYKTYFP-UHFFFAOYSA-N, Q9H244, Ambiguous_byMajorityVote, 1, 1, 10500.0, 57.0
AIGAZQPHXLWMOJ-UHFFFAOYSA-N, P0C6U8, Ambiguous_byMajorityVote, 2, 2, 38700.0, 700.0
AIMFIZLKIVRHMM-UHFFFAOYSA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 11800.0, 7030.0
AIXMJTYHQHQJLU-SNVBAGLBSA-N, P14174, Active_tentative, 2, 1, 14410.0, 7000.0
AIXRYCLEZGOJML-UHFFFAOYSA-N, Q9Y5Y4, Ambiguous_byMajorityVote, 1, 1, 100000.0, 9400.0
AJFTZWGGHJXZOB-UHFFFAOYSA-N, P05979, Ambiguous_MaxIC50_too_high, 2, 1, 38000.0, 41.6
AKGLRHRNGGDMDM-UHFFFAOYSA-N, P14324, Ambiguous_MaxIC50_too_high, 3, 1, 20000.0, 200.0
AKOSAZUQCGCWJD-IWDGFTLQSA-N, P08253, Ambiguous_MaxIC50_too_high, 5, 1, 43750.0, 9.0
AKRVYESJGFQGPJ-UHFFFAOYSA-N, P09917, Ambiguous_byMajorityVote, 1, 1, 20000.0, 10000.0
ALBAKAPRKLPXLJ-BCGYLUKHSA-N, P49721, Ambiguous_byMajorityVote, 1, 1, 24000.0, 900.0
ALETZOQAGIEADS-UHFFFAOYSA-N, P34949, Ambiguous_byMajorityVote, 1, 1, 14492.0, 6150.0
ALPQLQJFTUXTFT-UHFFFAOYSA-N, P54904, Ambiguous_byMajorityVote, 1, 2, 77000.0, 77.0
ALWKGYPQUAPLQC-UHFFFAOYSA-N, P06276, Inactive_all, 0, 2, 49100.0, 26100.0
ALXUSJOBQDDUJC-UHFFFAOYSA-N, Q96P20, Ambiguous_byMajorityVote, 1, 1, 41800.0, 3170.0
ALZVAGBHXQHAIA-UHFFFAOYSA-N, O14727, Ambiguous_MaxIC50_too_high, 2, 1, 100000.0, 8210.0
AMBSKUOANQGADA-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 13900.0, 5700.0
AMEQBBSTQFLCDZ-UHFFFAOYSA-N, Q9P0U3, Ambiguous_byMajorityVote, 1, 1, 12500.0, 2890.0
AMFOFPCQIBGCEB-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 12900.0, 9850.0
AMLAGWSQCSOMFI-UHFFFAOYSA-N, P09917, Ambiguous_byMajorityVote, 1, 1, 48000.0, 1490.0
AMQVHASIFJZFOS-UHFFFAOYSA-N, P15559, Ambiguous_byMajorityVote, 1, 1, 28000.0, 2200.0
AMRILNBNWHWGEX-UHFFFAOYSA-N, Q8R455, Ambiguous_byMajorityVote, 1, 1, 12300.0, 3400.0
ANEBWFXPVPTEET-UHFFFAOYSA-N, P25779, Ambiguous_byMajorityVote, 1, 1, 100000.0, 6000.0
ANEULYGKZNTCEI-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 2640.0
ANFIMJMLNDNCFP-UHFFFAOYSA-N, Q8R455, Ambiguous_byMajorityVote, 1, 1, 10400.0, 9800.0
ANGZYJHVTPDSFK-UHFFFAOYSA-N, Q16602, Ambiguous_byMajorityVote, 1, 1, 10900.0, 495.0
ANOKHFHSDKTWHA-UHFFFAOYSA-N, Q9Y5X9, Ambiguous_byMajorityVote, 1, 1, 35000.0, 4200.0
ANWCCOIQPJIQLQ-UHFFFAOYSA-N, P25779, Ambiguous_MaxIC50_too_high, 3, 1, 45000.0, 8000.0
ANWMNLAAFDCKMT-UHFFFAOYSA-N, Q9Y5Y4, Ambiguous_byMajorityVote, 1, 1, 50000.0, 1970.0
AOHQOVBPAMPGOX-UHFFFAOYSA-N, P19793, Ambiguous_byMajorityVote, 1, 1, 100000.0, 10000.0
AOLKNRLBWWDPIN-UHFFFAOYSA-N, Q03137, Ambiguous_byMajorityVote, 1, 1, 50000.0, 6770.0
AONIMFORDXSSBY-UHFFFAOYSA-N, O60760, Ambiguous_byMajorityVote, 1, 1, 73900.0, 8000.0
AOPZIJQISHFZBN-UHFFFAOYSA-N, Q27757, Ambiguous_byMajorityVote, 1, 1, 50000.0, 360.0
AOXPIPLNHJRYIZ-OVCLIPMQSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 4930.0
APFDDJHDJUNTBS-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 23.0
APGLINRJTWKNDT-WJDWOHSUSA-N, Q96LD8, Ambiguous_byMajorityVote, 6, 6, 31700.0, 368.0
APGLINRJTWKNDT-WJDWOHSUSA-N, Q9GZR1, Ambiguous_byMajorityVote, 3, 3, 11300.0, 6000.0
APGLINRJTWKNDT-WJDWOHSUSA-N, O14727, Ambiguous_byMajorityVote, 3, 3, 100000.0, 1100.0
APIHMUXUQGGBGB-UHFFFAOYSA-N, P05186, Ambiguous_byMajorityVote, 1, 1, 100000.0, 10000.0
APJPJJBRRATHFI-UHFFFAOYSA-N, O95822, Ambiguous_MaxIC50_too_high, 2, 1, 41000.0, 40.74
APOMKGGHRZWUJF-UHFFFAOYSA-N, Q2TB90, Ambiguous_MaxIC50_too_high, 2, 1, 80000.0, 6630.0
APPIOIDSLGCBAD-BLSNBFPRSA-J, O95749, Ambiguous_byMajorityVote, 1, 1, 17000.0, 2200.0
APQBIBMHRHYQIJ-UHFFFAOYSA-N, P08684, Ambiguous_MaxIC50_too_high, 5, 3, 100000.0, 3000.0
APTRCSYUVHJRJR-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 76967.01, 2709.22
APUWJHNYSRMDBE-UHFFFAOYSA-N, P50579, Active_tentative, 2, 1, 11000.0, 39.81
AQIXAKUUQRKLND-UHFFFAOYSA-N, P47747, Active_all, 2, 0, 1020.0, 3.7
AQJOPZLWPJXKQC-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 8520.0
AQLSREXSXCXYPP-UHFFFAOYSA-N, P11473, Ambiguous_byMajorityVote, 1, 1, 59900.0, 5800.0
AQONVGWZCJECDU-DRXWIORDSA-N, Q5KTC7, Active_tentative, 2, 1, 12200.0, 80.0
AQPCFTUFFUSBNZ-HSZRJFAPSA-N, P25774, Ambiguous_MaxIC50_too_high, 12, 3, 20000.0, 1340.0
AQPCFTUFFUSBNZ-HSZRJFAPSA-N, P07858, Ambiguous_MaxIC50_too_high, 12, 3, 86000.0, 3950.0
AQPCFTUFFUSBNZ-HSZRJFAPSA-N, O70370, Ambiguous_byMajorityVote, 3, 3, 34100.0, 740.0
AQPYUQKKKCLZAT-RMKNXTFCSA-N, P21980, Inactive_all, 0, 2, 19000.0, 11000.0
AQTZHUHBIRXOHR-UHFFFAOYSA-N, Q12809, Ambiguous_byMajorityVote, 1, 1, 14125.38, 1995.26
AQWYIXYGJTWAGV-LFYBBSHMSA-N, O43603, Ambiguous_byMajorityVote, 1, 1, 14000.0, 6765.0
ARAIBEBZBOPLMB-UFGQHTETSA-N, Q9Y3R4, Inactive_all, 0, 2, 16400.0, 16000.0
ARCGSTOFFXSCJR-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 21147.22, 23.0
ARHIHDVVUHVQCP-YVMONPNESA-N, P15121, Ambiguous_MaxIC50_too_high, 2, 1, 20183.66, 20.2
ARKFBUXVGMZIKT-UHFFFAOYSA-N, Q9GZV3, Ambiguous_byMajorityVote, 2, 2, 11294.63, 1995.26
ARKFBUXVGMZIKT-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 2, 2, 12500.0, 9800.0
ARKQCBSGSQCIEZ-UHFFFAOYSA-N, Q9P0U3, Ambiguous_byMajorityVote, 1, 1, 14700.0, 2570.0
ARPQKQSPFIFUCC-UHFFFAOYSA-N, P14902, Ambiguous_MaxIC50_too_high, 2, 1, 20000.0, 1400.0
ARTRGOPQCSIMHO-UHFFFAOYSA-N, P87108, Ambiguous_byMajorityVote, 1, 1, 12700.0, 4460.0
ARWLTZWIOYRTKV-UHFFFAOYSA-N, P56817, Ambiguous_MaxIC50_too_high, 8, 1, 30000.0, 83.0
ASBJUFFUXNNWAT-UHFFFAOYSA-N, O43614, Ambiguous_byMajorityVote, 1, 1, 28800.0, 3200.0
ASIWCVUPDPRPDL-YBEGLDIGSA-N, P0C6X7, Ambiguous_byMajorityVote, 1, 1, 50000.0, 5400.0
ASMXERROSSALJP-UHFFFAOYSA-N, P56817, Ambiguous_byMajorityVote, 1, 1, 32000.0, 5000.0
ASNANLLWWPHWLI-UHFFFAOYSA-N, Q9H244, Ambiguous_byMajorityVote, 1, 1, 11000.0, 59.0
ASPBUUVBTWTTAK-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 10000.0
ASQQSYXQQGXDBY-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 4110.0
ASUTZQLVASHGKV-JDFRZJQESA-N, O42275, Ambiguous_MaxIC50_too_high, 132, 6, 35000.0, 360.0
ASUTZQLVASHGKV-JDFRZJQESA-N, P81908, Ambiguous_byMajorityVote, 30, 60, 39030.0, 3200.0
ASUTZQLVASHGKV-JDFRZJQESA-N, P06276, Ambiguous_MaxIC50_too_high, 36, 21, 18600000.0, 170.0
ATRSFRGWPPYVGZ-UHFFFAOYSA-N, P19643, Ambiguous_MaxIC50_too_high, 6, 4, 61700.0, 1200.0
ATRSFRGWPPYVGZ-UHFFFAOYSA-N, P21396, Ambiguous_MaxIC50_too_high, 8, 2, 29100.0, 700.0
ATTBYMJADYJBDE-UHFFFAOYSA-N, Q96RI1, Ambiguous_byMajorityVote, 1, 1, 29580.0, 3420.0
ATXZFKJGCDBQES-JOCHJYFZSA-N, Q63931, Ambiguous_byMajorityVote, 1, 1, 11000.0, 31.0
ATYBYNDJBFVIJY-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 11500.0, 2340.0
AUACRCYTCOSLMP-UHFFFAOYSA-N, P22906, Ambiguous_byMajorityVote, 1, 2, 52300.0, 3180.0
AUBJVIKLEGJDSZ-UHFFFAOYSA-N, Q9GZV3, Ambiguous_byMajorityVote, 1, 1, 10066.35, 6025.6
AUCPUCVXSILLHO-QDMMYLPHSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 42700.0, 7.0
AUDOQLDDBJTXAU-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 2, 20000.0, 1220.0
AUGIGZGPNISFRF-WYMAPRSLSA-N, Q9I8D0, Ambiguous_MaxIC50_too_high, 2, 1, 30000.0, 100.0
AUMYXTAXBSCUHF-UHFFFAOYSA-N, P11597, Ambiguous_MaxIC50_too_high, 4, 1, 60006.74, 60.0
AUVVAXYIELKVAI-CKBKHPSWSA-N, P08183, Ambiguous_byMajorityVote, 3, 4, 207100.0, 2400.0
AUWIYYMLXLLRIY-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 2900.0
AVDSFLMZEWGWOV-FMIVXFBMSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 2900.0
AVHYTXJNAXLTFO-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 5080.0
AVJWIXGZSGADSC-ACKQIXQFSA-N, P98170, Ambiguous_byMajorityVote, 1, 1, 100000.0, 6900.0
AVLNXUPHVMVOJK-UHFFFAOYSA-N, Q13093, Ambiguous_byMajorityVote, 1, 1, 11000.0, 360.0
AVLXSCZSESAVBL-UHFFFAOYSA-N, Q9Y239, Ambiguous_byMajorityVote, 1, 1, 20000.0, 4860.0
AVMJNCJSYBFURN-WBVHZDCISA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 2490.5
AVPCCSOPUUKTNW-UHFFFAOYSA-N, P24666, Ambiguous_byMajorityVote, 1, 1, 80000.0, 8470.0
AWCWBBFCPBMIAW-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 4110.0
AWFPOGFCGFJTMJ-UHFFFAOYSA-N, P12527, Ambiguous_byMajorityVote, 1, 2, 46000.0, 120.23
AWMQHPXXIHCPRB-SYQKMTEESA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 2730.0
AWRCFPCUTJOIKR-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 10700.0, 6770.0
AWTLVOFTBSNDPK-UKTHLTGXSA-N, Q03137, Ambiguous_byMajorityVote, 1, 1, 50000.0, 3210.0
AWYHAJSPPSBCPE-UHFFFAOYSA-N, O43614, Ambiguous_byMajorityVote, 1, 1, 88800.0, 990.0
AXBQRFCKHZGXSI-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 2, 2, 11600.0, 880.0
AXBQRFCKHZGXSI-UHFFFAOYSA-N, Q2TB90, Ambiguous_byMajorityVote, 2, 2, 80000.0, 9140.0
AXESYCSCGBQJBL-SZPBEECKSA-N, Q9UBN7, Ambiguous_byMajorityVote, 1, 1, 11500.0, 340.0
AXEUKKRECLPMFL-DHZHZOJOSA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 16000.0, 1810.0
AXKZWVZGLCQMJV-UHFFFAOYSA-N, Q92831, Ambiguous_byMajorityVote, 1, 1, 15300.0, 2720.0
AXPHELGHLVUYGT-UHFFFAOYSA-N, P10845, Ambiguous_byMajorityVote, 1, 2, 17000.0, 2620.0
AXQNARIBQLNAKA-UHFFFAOYSA-N, Q16539, Ambiguous_byMajorityVote, 1, 1, 71790.0, 33.0
AYJKXHHUESVOBM-UHFFFAOYSA-N, P34707, Ambiguous_byMajorityVote, 1, 1, 63600.0, 3840.0
AYKJLBQQBAWMTD-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 14700.0, 9760.0
AYNYOFBZPWQVCY-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 7120.0
AYPWDUGRNFDGTN-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 30530.0, 5470.0
AYUNIORJHRXIBJ-TXHRRWQRSA-N, P07900, Ambiguous_MaxIC50_too_high, 14, 6, 23200.0, 20.0
AYUNIORJHRXIBJ-TXHRRWQRSA-N, P08238, Ambiguous_MaxIC50_too_high, 16, 6, 26500.0, 7.0
