AQTZHUHBIRXOHR-UHFFFAOYSA-N	Q12809
AQWYIXYGJTWAGV-LFYBBSHMSA-N	O43603
ARAIBEBZBOPLMB-UFGQHTETSA-N	Q9Y3R4
ARCGSTOFFXSCJR-UHFFFAOYSA-N	Q92731
ARHIHDVVUHVQCP-YVMONPNESA-N	P15121
ARKFBUXVGMZIKT-UHFFFAOYSA-N	Q9GZV3
ARKFBUXVGMZIKT-UHFFFAOYSA-N	P49327
ARKQCBSGSQCIEZ-UHFFFAOYSA-N	Q9P0U3
ARPQKQSPFIFUCC-UHFFFAOYSA-N	P14902
ARTRGOPQCSIMHO-UHFFFAOYSA-N	P87108
ARWLTZWIOYRTKV-UHFFFAOYSA-N	P56817
ASBJUFFUXNNWAT-UHFFFAOYSA-N	O43614
ASIWCVUPDPRPDL-YBEGLDIGSA-N	P0C6X7
ASMXERROSSALJP-UHFFFAOYSA-N	P56817
ASNANLLWWPHWLI-UHFFFAOYSA-N	Q9H244
ASPBUUVBTWTTAK-UHFFFAOYSA-N	P41145
ASQQSYXQQGXDBY-UHFFFAOYSA-N	P63165
ASUTZQLVASHGKV-JDFRZJQESA-N	O42275
ASUTZQLVASHGKV-JDFRZJQESA-N	P81908
ASUTZQLVASHGKV-JDFRZJQESA-N	P06276
ATRSFRGWPPYVGZ-UHFFFAOYSA-N	P19643
ATRSFRGWPPYVGZ-UHFFFAOYSA-N	P21396
ATTBYMJADYJBDE-UHFFFAOYSA-N	Q96RI1
ATXZFKJGCDBQES-JOCHJYFZSA-N	Q63931
ATYBYNDJBFVIJY-UHFFFAOYSA-N	P24666
AUACRCYTCOSLMP-UHFFFAOYSA-N	P22906
AUBJVIKLEGJDSZ-UHFFFAOYSA-N	Q9GZV3
AUCPUCVXSILLHO-QDMMYLPHSA-N	P98170
AUDOQLDDBJTXAU-UHFFFAOYSA-N	P41145
AUGIGZGPNISFRF-WYMAPRSLSA-N	Q9I8D0
AUMYXTAXBSCUHF-UHFFFAOYSA-N	P11597
AUVVAXYIELKVAI-CKBKHPSWSA-N	P08183
AUWIYYMLXLLRIY-UHFFFAOYSA-N	P41145
AVDSFLMZEWGWOV-FMIVXFBMSA-N	O14727
AVHYTXJNAXLTFO-UHFFFAOYSA-N	O14727
AVJWIXGZSGADSC-ACKQIXQFSA-N	P98170
AVLNXUPHVMVOJK-UHFFFAOYSA-N	Q13093
AVLXSCZSESAVBL-UHFFFAOYSA-N	Q9Y239
AVMJNCJSYBFURN-WBVHZDCISA-N	Q92731
AVPCCSOPUUKTNW-UHFFFAOYSA-N	P24666
AWCWBBFCPBMIAW-UHFFFAOYSA-N	P41145
AWFPOGFCGFJTMJ-UHFFFAOYSA-N	P12527
AWMQHPXXIHCPRB-SYQKMTEESA-N	P63165
AWRCFPCUTJOIKR-UHFFFAOYSA-N	P49327
AWTLVOFTBSNDPK-UKTHLTGXSA-N	Q03137
AWYHAJSPPSBCPE-UHFFFAOYSA-N	O43614
AXBQRFCKHZGXSI-UHFFFAOYSA-N	P63165
AXBQRFCKHZGXSI-UHFFFAOYSA-N	Q2TB90
AXESYCSCGBQJBL-SZPBEECKSA-N	Q9UBN7
AXEUKKRECLPMFL-DHZHZOJOSA-N	Q96LD8
AXKZWVZGLCQMJV-UHFFFAOYSA-N	Q92831
AXPHELGHLVUYGT-UHFFFAOYSA-N	P10845
AXQNARIBQLNAKA-UHFFFAOYSA-N	Q16539
AYJKXHHUESVOBM-UHFFFAOYSA-N	P34707
AYKJLBQQBAWMTD-UHFFFAOYSA-N	P49327
AYNYOFBZPWQVCY-UHFFFAOYSA-N	P41145
AYPWDUGRNFDGTN-UHFFFAOYSA-N	P41145
AYUNIORJHRXIBJ-TXHRRWQRSA-N	P07900
AYUNIORJHRXIBJ-TXHRRWQRSA-N	P08238
AZAUZIIJMGBZFF-UHFFFAOYSA-N	P09917
AZGOVLGMSGAOMP-FZYUQVBKSA-N	P21397
AZGZZCSYRASLDM-MLPAPPSSSA-N	P31421
AZLSXDRFOWQWMJ-UHFFFAOYSA-N	Q9GZR1
AZLSXDRFOWQWMJ-UHFFFAOYSA-N	P42574
AZQHKULVKXKJLP-UHFFFAOYSA-N	P65502
AZUHLFTZJBNYAH-UHFFFAOYSA-N	P49327
AZXCXDZLLRZTNC-UHFFFAOYSA-N	P41145
BAKONHLLIOUFIF-UHFFFAOYSA-N	O14727
BBCDVTQRQLUUFI-LIONHTAISA-N	Q96LD8
BBLNIRABOLSWIT-UHFFFAOYSA-N	P11229
BBOIFOBVWJBYCF-PLOBCEGZSA-N	P41145
BBRMKSTVHDPHOJ-SFQUDFHCSA-N	Q92731
BBXXJKHZFAFARR-UHFFFAOYSA-N	P41145
BBXXJKHZFAFARR-UHFFFAOYSA-N	P49327
BCEHBSKCWLPMDN-MGPLVRAMSA-N	P20813
BCFGMOOMADDAQU-UHFFFAOYSA-N	P08069
BCMSOKKQWPEPDS-UHFFFAOYSA-N	P09960
BCNKEBQQBXYCHE-UHFFFAOYSA-N	O86309
BCQKLGVGCVHQQH-UHFFFAOYSA-N	P63165
BCSVCWVQNOXFGL-UHFFFAOYSA-N	P14550
BDMKQYJFAWVQOA-UHFFFAOYSA-N	P41145
BDTOFQRFWAVKKB-UHFFFAOYSA-N	P63165
BDUHCSBCVGXTJM-WUFINQPMSA-N	Q00987
BECROBIDPQYXRW-UHFFFAOYSA-N	Q14524
BEDOWVBPFLCOBB-UHFFFAOYSA-N	Q92731
BEESSKJNILHXMI-UHFFFAOYSA-N	P22906
BEJNERDRQOWKJM-UHFFFAOYSA-N	O42713
BEJNERDRQOWKJM-UHFFFAOYSA-N	P14679
BEKZFLGSXUYIRN-UHFFFAOYSA-N	P11597
BEQHOOCNSMRQCI-UHFFFAOYSA-N	P30968
BESWULOOWADLPK-UHFFFAOYSA-N	P41145
BEZLXEJGNUZTPC-MUUNZHRXSA-N	P08684
BFCFGUPNXICZMR-UHFFFAOYSA-N	P09917
BFDPMSKSQADYCT-UHFFFAOYSA-N	Q13535
BFJXGNDCJKJBPA-UHFFFAOYSA-N	P61956
BFJXGNDCJKJBPA-UHFFFAOYSA-N	P63165
BFQOMASDHSHRAN-UHFFFAOYSA-N	P63165
BFTLDTLCCMOXAD-UHFFFAOYSA-N	P63165
BFZZHFNBZUIYAN-UHFFFAOYSA-N	P41145
BGIZQPMUHKCJQO-UHFFFAOYSA-N	O43614
BGOGLZYZGDLNMB-UHFFFAOYSA-N	P14902
BGOWMRGDUSUEFJ-HKOYGPOVSA-N	O14727
BGVBMPDMXJVVSC-UHFFFAOYSA-N	O14727
