drug1	drug2	CommonTarget	TotalTarget	Common/Total
198750	199079	16	17	0.9411765
198884	199212	1	19	0.05263158
198795	198852	0	13	0
199061	199155	0	7	0
198765	198893	2	2	1
154136	199012	1	1	1
198783	198930	1	10	0.1
83458	198864	2	4	0.5
190184	199141	0	3	0
199155	199315	0	10	0
198770	199194	0	5	0
83520	198783	1	5	0.2
12276	199227	0	5	0
198765	199146	1	2	0.5
198985	199031	1	1	1
154136	198957	1	1	1
198845	199264	2	7	0.2857143
198767	198789	1	2	0.5
198750	198751	16	17	0.9411765
198770	199197	0	2	0
12813	199333	0	3	0
137832	198945	1	5	0.2
137832	199315	1	5	0.2
198770	199018	1	3	0.3333333
76387	199311	1	1	1
190683	198750	16	17	0.9411765
63937	198930	1	11	0.09090909
198750	198817	16	17	0.9411765
12276	198770	0	5	0
63937	199315	0	8	0
198865	199152	1	1	1
87034	199031	1	2	0.5
199208	199221	16	19	0.8421053
137832	199228	1	6	0.1666667
66617	199213	16	20	0.8
40773	199311	1	1	1
147383	152206	1	1	1
198802	199154	0	10	0
198924	199220	5	20	0.25
137832	198836	0	7	0
199220	199222	5	20	0.25
63937	198802	0	7	0
198838	199037	5	7	0.7142857
183997	198832	1	3	0.3333333
115206	186620	2	2	1
198852	199229	0	6	0
22811	116472	0	3	0
198966	199208	16	19	0.8421053
164866	198897	1	1	1
199157	199159	1	12	0.08333333
198808	199214	13	19	0.6842105
63937	198770	1	3	0.3333333
137832	199196	0	5	0
199038	199155	0	8	0
83520	199196	0	8	0
198893	199031	1	2	0.5
198897	199032	1	1	1
83520	199154	0	10	0
94138	199031	1	3	0.3333333
198802	199155	0	9	0
83520	198785	0	9	0
199031	199077	1	3	0.3333333
198962	199171	10	20	0.5
198962	199170	10	20	0.5
113259	198996	1	1	1
199031	199146	0	2	0
125575	199226	2	2	1
198870	199221	16	19	0.8421053
137832	199157	1	12	0.08333333
198836	198852	0	11	0
198962	199168	10	20	0.5
198962	199172	10	20	0.5
199061	199159	0	3	0
199194	199228	0	10	0
198925	199166	1	2	0.5
76387	171612	1	1	1
101925	199076	1	2	0.5
198945	199229	0	6	0
83520	199194	0	8	0
137832	199155	0	6	0
198886	198954	1	1	1
198776	198789	1	2	0.5
115206	199188	2	2	1
12813	198969	1	2	0.5
199158	199228	1	9	0.1111111
199079	199214	13	19	0.6842105
41644	198765	1	3	0.3333333
198852	199195	0	7	0
83520	198795	0	12	0
115206	199185	2	2	1
198770	198794	1	1	1
12276	199159	0	5	0
198876	199229	0	6	0
139921	147383	1	1	1
12276	199195	0	6	0
199163	199167	1	2	0.5
198751	199214	13	19	0.6842105
83520	199156	0	13	0
198783	198852	0	7	0
199038	199194	0	7	0
198942	199015	2	2	1
198770	199195	0	3	0
83520	198836	0	10	0
198873	199078	1	2	0.5
137832	199156	0	10	0
199018	199159	0	4	0
199167	199327	1	2	0.5
86623	199226	2	2	1
199031	199321	1	3	0.3333333
124552	199031	1	3	0.3333333
199158	199315	0	9	0
66617	198966	19	20	0.95
190683	199214	13	19	0.6842105
198930	199194	0	13	0
198817	199214	13	19	0.6842105
137832	198795	0	9	0
199155	199195	2	5	0.4
198930	199158	0	13	0
125575	199207	2	2	1
199194	199315	0	9	0
139921	199311	1	1	1
5077	198765	1	2	0.5
198920	199029	3	3	1
66617	196438	17	20	0.85
199038	199158	0	7	0
198954	199182	1	1	1
198852	199154	0	11	0
198794	199059	1	1	1
12813	83458	2	4	0.5
198783	199059	1	2	0.5
24677	199110	4	20	0.2
12813	199112	1	3	0.3333333
66617	198808	16	20	0.8
198852	199155	0	10	0
199092	199197	0	4	0
137059	199190	2	3	0.6666667
5077	199031	0	2	0
198852	199227	0	6	0
199196	199197	1	4	0.25
198945	199195	0	7	0
63937	198852	0	8	0
192518	198897	1	1	1
115206	199186	2	2	1
137832	198930	1	9	0.1111111
198802	199194	0	8	0
66617	199079	16	20	0.8
12813	198864	1	3	0.3333333
198802	199158	0	8	0
198836	199197	1	6	0.1666667
66617	198899	17	20	0.85
198789	199182	1	2	0.5
198749	199190	2	3	0.6666667
198794	199229	1	1	1
198785	199197	1	5	0.2
127869	199162	1	5	0.2
198770	198876	0	6	0
198794	199227	1	1	1
113259	199311	1	1	1
198899	199208	16	17	0.9411765
198887	199169	10	11	0.9090909
198765	199112	2	2	1
83520	199158	0	8	0
83520	199155	0	9	0
198765	199333	0	3	0
198836	199195	2	6	0.3333333
198924	199110	4	20	0.2
66617	198751	16	20	0.8
199110	199222	4	20	0.2
198770	199038	1	3	0.3333333
199067	199096	1	1	1
198783	199195	0	4	0
199067	199105	1	1	1
199031	199333	0	2	0
198765	198864	2	2	1
198945	199227	0	6	0
198803	199209	3	3	1
66617	190683	16	20	0.8
199233	199238	6	6	1
199067	199204	1	1	1
199118	199208	16	19	0.8421053
83458	198765	2	4	0.5
66617	198817	16	20	0.8
198795	199197	1	8	0.125
199155	199197	1	5	0.2
198854	199162	1	1	1
198876	199227	0	6	0
199154	199195	2	6	0.3333333
198957	199015	1	2	0.5
199266	199290	1	1	1
198770	199228	0	7	0
147383	198956	1	1	1
198770	199154	0	7	0
152206	198954	1	1	1
199059	199092	0	4	0
198884	198924	1	19	0.05263158
199020	199036	2	4	0.5
155147	199221	16	19	0.8421053
63937	199059	1	3	0.3333333
199156	199197	1	9	0.1111111
113259	198954	1	1	1
198952	199159	0	2	0
127869	199166	1	5	0.2
199012	199015	1	2	0.5
199195	199228	0	8	0
198884	199222	1	19	0.05263158
40773	171612	1	1	1
76387	147383	1	1	1
24677	198966	19	19	1
199061	199229	1	2	0.5
198947	199123	1	1	1
198770	199092	0	4	0
115206	124167	2	2	1
196438	199118	16	20	0.8
155147	198884	1	16	0.0625
12276	199197	0	5	0
198913	198975	1	1	1
198975	199191	1	1	1
199156	199195	2	9	0.2222222
139921	199191	1	1	1
155599	199076	1	1	1
155147	199220	5	17	0.2941176
24677	198884	1	19	0.05263158
66617	113652	10	20	0.5
139921	198954	1	1	1
198789	198975	1	2	0.5
83520	198770	1	4	0.25
199157	199197	1	12	0.08333333
198749	199252	2	2	1
198852	199194	0	9	0
198899	199222	16	20	0.8
199061	199195	0	4	0
198899	198924	16	20	0.8
199159	199195	1	2	0.5
198852	199158	0	9	0
199061	199227	1	2	0.5
24677	198899	16	20	0.8
198854	198863	1	1	1
198956	199311	1	1	1
198870	198976	16	19	0.8421053
198770	198852	0	6	0
199004	199020	2	4	0.5
147383	171165	1	1	1
198870	199220	5	17	0.2941176
199214	199220	5	17	0.2941176
59927	70717	2	2	1
198945	199159	0	6	0
198770	198945	0	6	0
32649	139921	1	1	1
199157	199195	2	12	0.1666667
198930	199195	0	11	0
198794	199038	1	3	0.3333333
198770	198802	0	5	0
199018	199197	0	4	0
198993	199071	1	1	1
41644	199031	1	2	0.5
198969	199031	1	1	1
198944	199258	1	1	1
106104	199195	2	9	0.2222222
199018	199195	0	5	0
198953	198991	4	7	0.5714286
198774	199169	10	20	0.5
198758	198845	6	7	0.8571429
198770	199158	0	5	0
198846	199252	2	3	0.6666667
83520	199159	0	5	0
198876	199197	0	6	0
24936	199284	1	1	1
199131	199142	1	2	0.5
198750	198966	16	20	0.8
198771	199221	19	20	0.95
137832	198852	1	5	0.2
198770	198930	1	9	0.1111111
198870	198884	1	16	0.0625
199194	199195	0	6	0
113652	199118	9	20	0.45
32649	113259	1	1	1
59199	199162	1	1	1
113652	198849	1	10	0.1
198944	199306	1	1	1
152206	199311	1	1	1
199031	199112	1	2	0.5
199038	199195	0	5	0
115206	199199	2	2	1
199195	199196	2	4	0.5
55357	147041	3	4	0.75
171612	198954	1	1	1
198864	199031	1	2	0.5
139921	199135	1	1	1
198785	199195	2	5	0.4
152206	198789	1	2	0.5
198770	199315	0	6	0
155147	199110	4	17	0.2352941
198794	198945	0	6	0
12276	198794	0	5	0
198794	198802	0	5	0
32649	198956	1	1	1
12813	198765	1	3	0.3333333
198954	198956	1	1	1
66617	199221	19	20	0.95
198802	199195	0	6	0
115206	199207	2	2	1
199038	199159	0	4	0
137832	199195	0	3	0
17048	198864	2	2	1
199110	199214	4	17	0.2352941
198771	198966	19	20	0.95
41248	155599	1	2	0.5
199059	199159	0	2	0
169054	198846	3	5	0.6
199059	199194	0	5	0
199195	199315	0	7	0
169054	198861	3	5	0.6
198795	199195	2	8	0.25
