drug1	drug2	CommonTarget	TotalTarget	Common/Total
199169	199171	10	10	1
43340	198893	2	2	1
87034	199177	1	2	0.5
199169	199170	10	10	1
199155	199196	4	5	0.8
87034	199255	2	2	1
87034	199117	2	2	1
106104	199155	4	10	0.4
198899	199221	16	20	0.8
94138	199321	2	4	0.5
199169	199172	10	10	1
199168	199169	10	10	1
171165	199191	1	1	1
87034	199143	2	2	1
198836	199157	4	14	0.2857143
198870	199212	16	19	0.8421053
199131	199181	1	3	0.3333333
198918	199150	1	1	1
198966	199214	16	19	0.8421053
198795	199154	4	10	0.4
1486	110436	0	0	NaN
171165	199087	1	1	1
1486	15149	0	0	NaN
124552	198985	1	3	0.3333333
198776	198986	1	1	1
155147	198808	16	16	1
198795	199155	5	8	0.625
192518	199032	1	1	1
198808	198924	16	19	0.8421053
152206	199087	1	1	1
198852	198876	5	5	1
198808	199222	16	19	0.8421053
198776	199087	1	1	1
155147	199079	16	16	1
198924	199079	16	19	0.8421053
15149	198891	0	0	NaN
198836	199154	3	9	0.3333333
12575	198891	0	0	NaN
199079	199222	16	19	0.8421053
198822	199102	1	1	1
110436	198891	0	0	NaN
198985	199321	1	3	0.3333333
15149	110436	0	0	NaN
199146	199177	0	2	0
198870	199213	16	16	1
113259	152206	1	1	1
198893	199177	1	2	0.5
198918	198950	1	1	1
186620	199207	2	2	1
198852	199038	2	6	0.3333333
24677	198808	16	19	0.8421053
198751	198924	16	19	0.8421053
198802	198852	4	5	0.8
155147	198751	16	16	1
139921	198975	1	1	1
12575	102415	0	0	NaN
198893	199117	2	2	1
198893	199255	2	2	1
113259	139921	1	1	1
198751	199222	16	19	0.8421053
12575	110436	0	0	NaN
198870	199214	16	16	1
184403	199249	1	1	1
24677	199079	16	19	0.8421053
198733	199001	1	1	1
198852	199315	5	5	1
199105	199179	1	2	0.5
198750	199220	6	17	0.3529412
171165	198986	1	1	1
198753	198918	1	1	1
198893	199143	2	2	1
87034	199077	2	3	0.6666667
198899	199214	13	20	0.65
190683	198924	16	19	0.8421053
199096	199179	1	2	0.5
155147	190683	16	16	1
186620	199226	2	2	1
198817	198924	16	19	0.8421053
155147	198817	16	16	1
190683	199222	16	19	0.8421053
190954	199264	2	4	0.5
124552	199321	2	4	0.5
198817	199222	16	19	0.8421053
173033	198928	1	7	0.1428571
190184	199242	2	3	0.6666667
199146	199255	1	2	0.5
199117	199146	1	2	0.5
24677	198751	16	19	0.8421053
186620	199185	2	2	1
32649	171612	1	1	1
199004	199021	2	3	0.6666667
1486	12575	0	0	NaN
15149	141865	0	0	NaN
12575	15149	0	0	NaN
199143	199146	1	2	0.5
198716	199292	3	4	0.75
199154	199156	4	11	0.3636364
198899	199118	16	20	0.8
102415	141865	0	0	NaN
24677	190683	16	19	0.8421053
199155	199157	4	13	0.3076923
199154	199155	4	7	0.5714286
186620	199186	2	2	1
199179	199204	1	2	0.5
41644	94138	2	3	0.6666667
24677	198817	16	19	0.8421053
12276	198852	4	5	0.8
40773	76387	1	1	1
199154	199194	2	8	0.25
190184	198714	2	3	0.6666667
199199	199207	2	2	1
198876	199157	5	12	0.4166667
156899	198954	1	1	1
199087	199191	1	1	1
198789	198954	1	2	0.5
59199	198854	1	1	1
41644	124552	2	3	0.6666667
199154	199157	3	15	0.2
199118	199221	19	19	1
198893	199077	2	3	0.6666667
87034	94138	2	3	0.6666667
199188	199207	2	2	1
198808	198870	13	19	0.6842105
198750	199110	5	17	0.2941176
87034	198985	1	2	0.5
113259	199182	1	1	1
198870	199079	13	19	0.6842105
