InChIKey	SMILES	Name	Synonyms
FYDHYBJQXIEOSE-HXFQDRMMSA-N	c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)N[C@@H](CCCCN)[C@@H](C(=O)NC4CCCCC4)O)N	(1S,7S)-7-amino-N-[(2R,3S)-7-amino-1-(cyclohexylamino)-2-hydroxy-1-oxoheptan-3-yl]-7-benzyl-8-oxohexahydro-1H-pyrazolo[1,2-a]pyridazine-1-carboxamide	MOL-106
BCHJOEWNJFXZEK-DNHJLFCISA-N	[H]/N=C(\N)/NCCC[C@@H]([C@@H](C(=O)NCCc1ccccc1)O)NC(=O)[C@@H]2CCN3N2C(=O)[C@@](CC3)(Cc4ccccc4)N	(1S,7S)-7-amino-7-benzyl-N-[(1S)-4-carbamimidamido-1-{(1S)-1-hydroxy-2-oxo-2-[(2-phenylethyl)amino]ethyl}butyl]-8-oxohexahydro-1H-pyrazolo[1,2-a]pyridazine-1-carboxamide	MOL-126
LWWRAASQNZOVDU-GSRZOBFVSA-N	c1ccc(cc1)C[C@@]2(CC[N@@]3CC[C@H](N3C2=O)C(=O)N[C@@H](CCCNC(=N)N)[C@@H](c4nccs4)O)N	(1S,7S)-7-amino-7-benzyl-N-{(1S)-4-carbamimidamido-1-[(S)-hydroxy(1,3-thiazol-2-yl)methyl]butyl}-8-oxohexahydro-1H-pyrazolo[1,2-a]pyridazine-1-carboxamide	MOL-127
PTMIAKQUJFKTNB-LNLFQRSKSA-N	c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NCC4CCC(CC4)N	(5S)-N-[(trans-4-aminocyclohexyl)methyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1H-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide	
FOIAKHMJUJAMDU-ANZJIFDASA-N	[H]/N=C(\N)/NCCC[C@@H]([C@@H](c1nc2ccccc2s1)O)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc4ccccc4)N	D-phenylalanyl-N-{(1S)-1-[(S)-1,3-benzothiazol-2-yl(hydroxy)methyl]-4-carbamimidamidobutyl}-L-prolinamide	RWJ-30353
RRUPLXTVXFHADQ-ZWOKBUDYSA-N	c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=C[C@H](N3C2=O)C(=O)NC4CCC(CC4)c5cnc([nH]5)N	(5S)-N-[trans-4-(2-amino-1H-imidazol-5-yl)cyclohexyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1H-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide	
WVDDGKGOMKODPV-UHFFFAOYSA-N	c1ccc(cc1)CO	phenylmethanol	
XDOLZJYETYVRKV-UHFFFAOYSA-N	C(CCCN)CCC(=O)O	7-aminoheptanoic acid	
MCBWJRZWLSXSBN-YTCPBCGMSA-N	CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)N3)Cc4cccc(c4)OC)O	(4S)-N-[(1S,2R)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-1-(3-methoxybenzyl)-2-oxoimidazolidine-4-carboxamide	(S)-1-(3-methoxy-benzyl)-2-oxo-imidazolidine-4-carboxylic acid[(1S,2R)-1-benzyl-3-(3-dimethylamino-benzylamino)-2-hydroxy-propyl]-amide
VOINEICHGDKMIS-UHFFFAOYSA-N	c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O	1-(5-chloro-6-fluoro-1H-benzimidazol-2-yl)-1H-pyrazole-4-carboxylic acid	
KKTYZYHUPKXLPL-IUHSWKRHSA-N	Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C	(4R)-3-[(2R,3S)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-N-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide	KNI-10772
CJBJHOAVZSMMDJ-HEXNFIEUSA-N	CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N	(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE	Darunavir, TMC114, UIC-94017
NGKHDSWSPXFWOE-UHFFFAOYSA-N	c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])NCc2ccsc2	2-nitro-N-(thiophen-3-ylmethyl)-4-(trifluoromethyl)aniline	
JKZHFXZXNBMAGG-VXAHOBLNSA-N	CC(C)(CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCC(=O)c4ccc(cc4)Cl)O	4-Chlorophenacyl-coenzyme A	
