InChIKey	SMILES	Name	Synonyms
WHDUHJYPRJXLGF-UHFFFAOYSA-N	Cc1c(c(n[nH]1)C2CC2)c3c4c(ccn3)[nH]c5c4cc(c(c5)c6c(noc6C)C)OC	1-(3-cyclopropyl-5-methyl-1H-pyrazol-4-yl)-7-(3,5-dimethyl-1,2-oxazol-4-yl)-8-methoxy-5H-pyrido[4,3-b]indole	
PIWKPBJCKXDKJR-SFOWXEAESA-N	[C@@H](C(F)(F)F)(OC(F)F)Cl	(2R)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane	
BABSFPLAEBUXOA-UHFFFAOYSA-N	c1cc(c(c(c1)O)O)C(=O)NCCN2C(=O)C=CC2=O	N-[2-[2,5-bis(oxidanylidene)pyrrol-1-yl]ethyl]-2,3-bis(oxidanyl)benzamide	
KWJWTGNGIVRJJK-HHHXNRCGSA-N	COc1ccccc1COCCCOc2ccc(cc2)N3[C@H](CNCC3=O)COc4ccc5ccn(c5c4)CC(=O)OC	METHYL (6-{[(2R)-1-(4-{3-[(2-METHOXYBENZYL)OXY]PROPOXY}PHENYL)-6-OXOPIPERAZIN-2-YL]METHOXY}-1H-INDOL-1-YL)ACETATE	
UGXCBYVBIJACEK-UHFFFAOYSA-N	CN1CCN(CC1)c2ccc(c(c2)OC)Nc3ncc(c(n3)NCc4cccc(c4)NC(=O)C=C)Cl	N-(3-{[(5-chloro-2-{[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino}pyrimidin-4-yl)amino]methyl}phenyl)prop-2-enamide	
QRGGVLXBPSQEDF-NRFANRHFSA-N	Cc1cccc(c1Nc2nc(nc(n2)N3CCN(CC3)c4ccccc4Cl)[N@@]5CSC[C@H]5C(=O)NC)C(=O)NC	(4R)-3-(4-[4-(2-chlorophenyl)piperazin-1-yl]-6-{[2-methyl-6-(methylcarbamoyl)phenyl]amino}-1,3,5-triazin-2-yl)-N-methyl-1,3-thiazolidine-4-carboxamide	
ZTGQZSKPSJUEBU-UHFFFAOYSA-N	C(CN)CBr	1.7.6 3-bromanylpropan-1-amine	
OGYUWIMZDXHPEF-UHFFFAOYSA-N	COC1=CN(N=C(C1=O)c2ccnn2c3ccccc3)c4ccc(cc4F)N5CCOC5=O	3-[3-fluoranyl-4-[5-methoxy-4-oxidanylidene-3-(2-phenylpyrazol-3-yl)pyridazin-1-yl]phenyl]-1,3-oxazolidin-2-one	
JEHFWPXGFVJHCI-UHFFFAOYSA-N	CCCCNc1ccc2cccc(c2n1)O	2-(butylamino)quinolin-8-ol	
BBYSOXSBJOWRNU-VMTXVVAMSA-N	C/C=C(\C(=O)O)/N=C/c1c(cnc(c1O)C)COP(=O)(O)O	(2E)-2-{[(1E)-{3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene]amino}but-2-enoic acid	
GHULVZIKWFGNRE-JOCHJYFZSA-N	Cc1ccc(c2n1nc3c2C[C@](CC3)(C)NC(=O)c4ccc(cc4)n5cnnc5)O	N-[(2R)-10-hydroxy-2,7-dimethyl-1,2,3,4-tetrahydropyrido[1,2-b]indazol-2-yl]-4-(4H-1,2,4-triazol-4-yl)benzamide	
CWXBESRGEPLREF-UHFFFAOYSA-N	Cc1cc(c(cc1C2CCN(CC2)C)OC(C)C)Nc3nc4c(c[nH]n4)c(n3)Nc5ccccc5S(=O)(=O)C(C)C	N~6~-[5-methyl-4-(1-methylpiperidin-4-yl)-2-(propan-2-yloxy)phenyl]-N~4~-[2-(propan-2-ylsulfonyl)phenyl]-2H-pyrazolo[3,4-d]pyrimidine-4,6-diamine	
GKNWEXDLAOKVLQ-UHFFFAOYSA-N	CC1(c2c(ccc(c2F)N3C=C(C(=O)C(=N3)c4ccnn4c5ccccc5)OC)N(C1=O)CC6CC6)C	1-(cyclopropylmethyl)-4-fluoranyl-5-[5-methoxy-4-oxidanylidene-3-(2-phenylpyrazol-3-yl)pyridazin-1-yl]-3,3-dimethyl-indol-2-one	
SZWIGRNIVUKPOZ-UHFFFAOYSA-N	CCn1c(nnc1CCC(=O)Nc2cccc3c2cccc3)CCC4CCCCC4	3-[5-(2-cyclohexylethyl)-4-ethyl-1,2,4-triazol-3-yl]-N-naphthalen-1-yl-propanamide	
MQCJHQBRIPSIKA-UHFFFAOYSA-N	CC(=CCOP(=O)(O)O)C	Dimethylallyl monophosphate	
BJBVBUWJZZTUOU-SCTDSRPQSA-N	Cc1cc2c(cc1C)N(C3=C(N2CC=C(C)C)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O	1-deoxy-1-[7,8-dimethyl-5-(3-methylbut-2-en-1-yl)-2,4-dioxo-1,3,4,5-tetrahydrobenzo[g]pteridin-10(2H)-yl]-5-O-phosphono-D-ribitol	dimethylallyl FMN
KOUJZPGFPGLHCZ-IYOUNJFTSA-O	Cc1cc2c3c(c1C)C(CC=[N+]3C4=C(N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)NC(=O)NC4=O)(C)C	1-deoxy-5-O-phosphono-1-(3,3,4,5-tetramethyl-9,11-dioxo-2,3,8,9,10,11-hexahydro-7H-quinolino[1,8-fg]pteridin-12-ium-7-yl)-D-ribitol	prenylated-FMN iminium form
XNCRUNXWPDJHGV-BQYQJAHWSA-N	C/C(=C\c1ccccc1)/C(=O)O	(2E)-2-methyl-3-phenylprop-2-enoic acid	
QONCEXMULRJPPY-VURMDHGXSA-N	c1ccc(cc1)/C=C(/C(=O)O)\F	(2Z)-2-fluoro-3-phenylprop-2-enoic acid	
MSKBSPRYFRAUPB-BYSUZVQFSA-N	CCCCCCCCCCCCCCCCCCCCCCCCCC(=S)N[C@@H](CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)[C@@H]([C@@H](CCCCCCCCCCCCCC)O)O	N-[(2S,3S,4R)-1-(alpha-D-galactopyranosyloxy)-3,4-dihydroxyoctadecan-2-yl]hexacosanethioamide	
RPGKFFKUTVJVPY-UHFFFAOYSA-N	Cc1ccc(c(c1)N)C(=O)O	2-azanyl-4-methyl-benzoic acid	4-methylanthranilate
KSIMBQNDIBGKTO-IBGZPJMESA-N	Cc1cc2c(cc1C)nc([nH]2)[C@@H](CNC(=O)c3c(cc(cc3Cl)n4cnnc4)Cl)c5ccccc5	2,6-dichloro-N-[(2R)-2-(5,6-dimethyl-1H-benzimidazol-2-yl)-2-phenylethyl]-4-(4H-1,2,4-triazol-4-yl)benzamide	
HELPZWNRUYNCJQ-NADCVASFSA-N	C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC/C(=C/2\[C@H]([C@@H]([C@H](O2)Oc3ccc(cc3)/C=C(\C)/C(=O)N[C@@H]4[C@H](O[C@H]([C@@H]4O)n5cnc6c5ncnc6N(C)C)CO)O)O)/OC)O)OC)OC	3'-deoxy-3'-{[(2E)-3-(4-{[(4Z)-6-O-(6-deoxy-3,4-di-O-methyl-alpha-D-mannopyranosyl)-5-O-methyl-alpha-D-threo-hex-4-enofuranosyl]oxy}phenyl)-2-methylprop-2-enoyl]amino}-N,N-dimethyladenosine	A201A
JHXXIGNMLNVIBL-LPHOPBHVSA-N	[H]/N=C(\c1ccc(cc1)C(=O)NCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](c2ccccc2)C(=O)O)/N	N-(4-carbamimidoylbenzoyl)-beta-alanyl-N-[(S)-carboxy(phenyl)methyl]-L-alpha-asparagine	
YOMSJEATGXXYPX-UHFFFAOYSA-N	COc1cc(ccc1O)C=C	2-Methoxy-4-vinylphenol	4-vinyl guaiacol
XXHHYIQPKMKZSU-BBBWWSJWSA-N	CC/C=C\CC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	(4~{Z},7~{Z},10~{Z},13~{Z},19~{Z})-17-oxidanylidenedocosa-4,7,10,13,19-pentaenoic acid	
XOMAOOTVWOCYAD-UHFFFAOYSA-N	c1ccc2c(c1)cccc2OCCCc3c4cccc5c4n(c3C(=O)O)CCC5	1-[3-(naphthalen-1-yloxy)propyl]-5,6-dihydro-4H-pyrrolo[3,2,1-ij]quinoline-2-carboxylic acid	
RWBITVLVWMQUOJ-WJOKGBTCSA-N	c1ccc2c(c1)cccc2OCCCc3c4cccc5c4n(c3C(=O)O)CCCS5=O	(1R)-7-[3-(naphthalen-1-yloxy)propyl]-3,4-dihydro-2H-[1,4]thiazepino[2,3,4-hi]indole-6-carboxylic acid 1-oxide	
IPFNRXLLJYWAGI-BYPYZUCNSA-N	CO[P@](=O)(CC[C@@H](C(=O)O)N)O	(2S)-2-amino-4-[(S)-hydroxy(methoxy)phosphoryl]butanoic acid	
LPNBBFKOUUSUDB-UHFFFAOYSA-N	Cc1ccc(cc1)C(=O)O	4-METHYLBENZOIC ACID	P-METHYLBENZOIC ACID
SROHFTOYGFCJAF-UHFFFAOYSA-N	CS(=O)(=O)Nc1ccc(cc1)C(=O)O	4-[(METHYLSULFONYL)AMINO]BENZOIC ACID	
QLVPCZICLZOVOF-GQCXWPLSSA-N	[H]/N=C(\N)/NCCC[C@@H](C(=O)N[C@@H](CCc1ccccc1)C=CS(=O)(=O)c2ccccc2)NC(=O)N3CCN(CC3)C	(Z)-N-(5-GUANIDINO-1-OXO-1-(5-PHENYL-1-(PHENYLSULFONYL)PENT-1-EN-3-YLAMINO)PENTAN-2-YL)-4-METHYLPIPERAZINE-1-CARBOXAMIDE	4-METHYL-PIPERAZINE-1-CARBOXYLIC ACID [1-(3-BENZENESULFONYL-1-PHENETHYLALLYLCARBAMOYL)-4-GUANIDINO-BUTYL]-AMIDE
IPPUTOHDQOYDIL-UHFFFAOYSA-N	C[N@@](Cc1ccc(cc1)Cl)S(=O)(=O)c2ccc(cc2)S(=O)(=O)N	N-(4-chlorobenzyl)-N-methylbenzene-1,4-disulfonamide	
WEAXQUBYRSEBJD-UHFFFAOYSA-N	COC(=O)c1cccc2c1cc[nH]2	methyl 1H-indole-4-carboxylate	
WVDKJJLIGILVRJ-UHFFFAOYSA-N	Cc1c(n(c2c1cc(cc2)Nc3nccc(n3)n4cc(c(n4)C)CN5CC(C5)O)C)C	1-[(3-methyl-1-{2-[(1,2,3-trimethyl-1H-indol-5-yl)amino]pyrimidin-4-yl}-1H-pyrazol-4-yl)methyl]azetidin-3-ol	
CQFHCAGCNILQLR-QAQDUYKDSA-N	CCCCNc1ncc(c(n1)NC2CCC(CC2)O)C(=O)NCc3ccc(cc3)S(=O)(=O)N	2-(butylamino)-4-[(trans-4-hydroxycyclohexyl)amino]-N-(4-sulfamoylbenzyl)pyrimidine-5-carboxamide	
ONNNUKUOTDQQGL-YPAYRVMASA-N	Cc1cc2c3c(c1C)C(C[C@H](N3C4=C(N2C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)NC(=O)NC4=O)C(=O)Cc5ccccc5)(C)C	1-deoxy-5-O-phosphono-1-[(1S)-3,3,4,5-tetramethyl-9,11-dioxo-1-(phenylacetyl)-2,3,8,9,10,11-hexahydro-1H,7H-quinolino[1,8-fg]pteridin-7-yl]-D-ribitol	phenylpyruvate derived adduct to prenylated FMN cofactor
VERWOWGGCGHDQE-UHFFFAOYSA-N	Cc1cc(c(cc1C2CCNCC2)OC(C)C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl	5-chloro-N~2~-[5-methyl-4-(piperidin-4-yl)-2-(propan-2-yloxy)phenyl]-N~4~-[2-(propan-2-ylsulfonyl)phenyl]pyrimidine-2,4-diamine	
FIKLRROSHXQNFN-SSDOTTSWSA-N	C[C@@]1(C=CC(=O)O1)CC(=O)O	[(2S)-2-methyl-5-oxo-2,5-dihydrofuran-2-yl]acetic acid	4-methylmuconolactone
LIOVZIQCHLSVBO-ZETCQYMHSA-O	C[N+](C)(C)[C@@H](CCSC)C(=O)O	(1S)-1-carboxy-N,N,N-trimethyl-3-(methylsulfanyl)propan-1-aminium	
RZXMPPFPUUCRFN-UHFFFAOYSA-N	Cc1ccc(cc1)N	4-METHYLANILINE	
ZIKKVZAYJJZBGE-UHFFFAOYSA-N	[Mo+4]	MOLYBDENUM(IV) ION	
ZXNRTKGTQJPIJK-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)N2CCCC2=O	1-(4-METHOXYBENZOYL)-2-PYRROLIDINONE	ANIRACETAM, 1-P-ANISOYL-2-PYRROLIDINONE
BZBWHBGXCGIIRW-UHFFFAOYSA-N	CN1CCCN(CC1)c2c3ccccc3ncn2	4-(4-METHYL-1,4-DIAZEPAN-1-YL)QUINAZOLINE	
FMKQJGOROFNCGM-UHFFFAOYSA-N	c1ccc(cc1)Oc2ccc(cc2)C3(C(=O)NC(=O)NC3=O)N4CCN(CC4)c5ncccn5	5-(4-PHENOXYPHENYL)-5-(4-PYRIMIDIN-2-YLPIPERAZIN-1-YL)PYRIMIDINE-2,4,6(2H,3H)-TRIONE	
OOHPVZYDADHCHM-JOCHJYFZSA-N	CC(C)(C)[C@H]1C(=C(C(=O)N1Cc2ccc(c(c2)Cl)F)C3=NS(=O)(=O)c4c3cccc4CNS(=O)(=O)C)O	N-({3-[(5S)-5-tert-butyl-1-(3-chloro-4-fluorobenzyl)-4-hydroxy-2-oxo-2,5-dihydro-1H-pyrrol-3-yl]-1,1-dioxido-1,2-benzisothiazol-7-yl}methyl)methanesulfonamide	N-{3-[5-tert-Butyl-1-(3-chloro-4-fluoro-benzyl)-4-hydroxy-2-oxo-2,5-dihydro-1H-pyrrol-3-yl]-1,1-dioxo-1H-1lambda6-benzo[d]isothiazol-7-ylmethyl}-methanesulfonamide
LFGRKYYKQLXUDG-UHFFFAOYSA-N	c1cc(ccc1CCNC=S)O	N-[2-(4-hydroxyphenyl)ethyl]thioformamide	N-(4-hydroxyphenethyl)methanethioamide
HSHNITRMYYLLCV-UHFFFAOYSA-N	CC1=CC(=O)Oc2c1ccc(c2)O	7-hydroxy-4-methyl-2H-chromen-2-one	4-methylumbelliferone
FGKJLKRYENPLQH-UHFFFAOYSA-N	CC(C)CCC(=O)O	4-METHYL VALERIC ACID	
LKEGXJXRNBALBV-UIOOFZCWSA-N	Cc1c(sc-2c1C(=N[C@H](c3n2c(nn3)C)CC(=O)NCCCCNC(=O)COc4cccc5c4C(=O)N(C5=O)[C@H]6CCC(=O)NC6=O)c7ccc(cc7)Cl)C	2-[(6S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl]-N-(4-{[({2-[(3S)-2,6-dioxopiperidin-3-yl]-1,3-dioxo-2,3-dihydro-1H-isoindol-4-yl}oxy)acetyl]amino}butyl)acetamide	DB-2-190
SXFKFRRXJUJGSS-UHFFFAOYSA-N	CCCCCc1cc(cc(c1C(=O)O)O)O	2,4-bis(oxidanyl)-6-pentyl-benzoic acid	
MRVYFOANPDTYBY-UZAAGFTCSA-N	[C@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@H]1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)O	Myo inositol 3,4,5,6 tetrakisphosphate	
XLSZMDLNRCVEIJ-UHFFFAOYSA-N	Cc1c[nH]cn1	4-METHYLIMIDAZOLE	
WQZGKKKJIJFFOK-ZSNZIGRDSA-N	C([C@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O	beta-L-idopyranose	L-iodose
VMFCIDSTIJTUES-UHFFFAOYSA-N	CC(=O)c1cccc(c1)n2c(nnn2)S(=O)(=O)Cc3cccc(c3)Cl	1-(3-{5-[(3-chlorobenzyl)sulfonyl]-1H-tetrazol-1-yl}phenyl)ethanone	
NNUHMROEIBTAEX-UHFFFAOYSA-N	c1c(c(c2c(c1Cl)non2)[N+](=O)[O-])NCCO	2-[(7-chloro-4-nitro-2,1,3-benzoxadiazol-5-yl)amino]ethanol	
YHEHVRSGKUYDON-UHFFFAOYSA-N	c1cc(ccc1c2ccc3c(c2)ccc(c3Cl)O)O	1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL	
OTLNPYWUJOZPPA-UHFFFAOYSA-N	c1cc(ccc1C(=O)O)[N+](=O)[O-]	4-NITROBENZOIC ACID	PARA NITROBENZOIC ACID
XJNPNXSISMKQEX-UHFFFAOYSA-N	c1cc(c(cc1[N+](=O)[O-])O)O	4-NITROCATECHOL	
QLXOHIUDKNRVBZ-UHFFFAOYSA-N	c1ccc(cc1)N(c2ccccc2)C(=O)NNC(=N)N	N4-(N,N-DIPHENYLCARBAMOYL)-AMINOGUANIDINE	
BJQWBACJIAKDTJ-UHFFFAOYSA-N	CCCC[P+](CCCC)(CCCC)CCCC	tetrabutylphosphonium	
JMLSAESLDQZYBA-UHFFFAOYSA-N	c1cc(ccc1NC=S)[N+](=O)[O-]	N-(4-nitrophenyl)thioformamide	4-NITROPHENYL ISOTHIOCYANATE, bound form
CGWBGDOPBYWJKZ-HRFVKAFMSA-N	C1[C@@H](C(=O)N([C@H]1O)O)P(=O)(O)O	[(3S,5S)-1,5-dihydroxy-2-oxopyrrolidin-3-yl]phosphonic acid	
AANXPIMDONQTQF-HNNXBMFYSA-N	CC1([C@@H](N(CCS1)S(=O)(=O)c2ccc(cc2)OCC#CCN)C(=O)NO)C	4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE	
SUFKNMKUIYHURJ-UHFFFAOYSA-N	C(CC(=O)O)C[N+](=O)[O-]	4-nitrobutanoic acid	
SJHLSLUUWIBQNS-HBCRSHFUSA-P	C[N+](C)(C)[C@@H](Cc1c[nH]c(n1)S(=O)C[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+])C(=O)O	(1S)-1-carboxy-4-({(1R)-1-carboxy-2-[(S)-{4-[(2S)-2-carboxy-2-(trimethylammonio)ethyl]-1H-imidazol-2-yl}sulfinyl]ethyl}amino)-4-oxobutan-1-aminium	
PLIKAWJENQZMHA-UHFFFAOYSA-N	c1cc(ccc1N)O	4-AMINOPHENOL	
OTHKGVFNUSHUQO-UHFFFAOYSA-O	c1cc(ccc1CS)[N+](=O)O	4-NITROPHENYL METHANETHIOL	
COFUDTMBMJHQIZ-NKWVEPMBSA-N	CC(=O)NC1=C[C@@H]([C@H](OC1=O)CO)O	N-[(5S,6R)-5-hydroxy-6-(hydroxymethyl)-2-oxo-5,6-dihydro-2H-pyran-3-yl]acetamide	
PFWUFGANONPVGT-UHFFFAOYSA-N	c1cc(c(cc1[N+](=O)[O-])P(=O)(O)O)C(=O)O	4-nitro-2-phosphonobenzoic acid	
XZKIHKMTEMTJQX-UHFFFAOYSA-N	c1cc(ccc1[N+](=O)[O-])OP(=O)(O)O	4-NITROPHENYL PHOSPHATE	
SVEXZYXFUHRTHZ-UHFFFAOYSA-N	c1cc(ccc1c2cnc-3[nH]c(nc(c23)N)N)F	5-(4-fluorophenyl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine	
JBGHTSSFSSUKLR-UHFFFAOYSA-N	c1cc(ccc1[N+](=O)[O-])OS(=O)(=O)O	4-nitrophenyl sulfate	4-nitrophenyl hydrogen sulfate
KOJRGZHWAHYXMU-YBFXNURJSA-N	c1cc(ccc1Cn2cc(c3c2cc(cc3)Cl)/C=C(\C#N)/c4ccc(cc4)C(=O)O)F	4-{(Z)-2-[6-chloro-1-(4-fluorobenzyl)-1H-indol-3-yl]-1-cyanoethenyl}benzoic acid	
QWKKYJLAUWFPDB-UHFFFAOYSA-N	c1cc(ccc1[N+](=O)[O-])S(=O)(=O)N	4-nitrobenzenesulfonamide	
YFALJJNRFPFPRE-UHFFFAOYSA-N	Cc1c(c2ccc(c(c2n1CC(=O)N3CC4(CC4)c5c3cccc5)F)Cl)Sc6cccc(c6F)C(=O)O	3-({6-chloro-7-fluoro-2-methyl-1-[2-oxo-2-(spiro[cyclopropane-1,3'-indol]-1'(2'H)-yl)ethyl]-1H-indol-3-yl}sulfanyl)-2-fluorobenzoic acid	
JZNNJFBGWSQFIG-JTSKRJEESA-N	C[C@@H](C(=O)N1CCCN(CC1)C)N2CC[C@@H](C2=O)N(CC(=O)N)S(=O)(=O)c3ccc4cc(ccc4c3)Cl	N~2~-[(6-chloronaphthalen-2-yl)sulfonyl]-N~2~-{(3S)-1-[(2S)-1-(4-methyl-1,4-diazepan-1-yl)-1-oxopropan-2-yl]-2-oxopyrrolidin-3-yl}glycinamide	GTC000401
FARUMNUOOCOIFR-IBGZPJMESA-N	c1ccc2c(c1)c3c(n2Cc4ccc(cc4)F)CN5[C@@H](C3)C(=O)N(C5=O)CCC(=O)O	3-[(11aS)-6-(4-fluorobenzyl)-1,3-dioxo-5,6,11,11a-tetrahydro-1H-imidazo[1',5':1,6]pyrido[3,4-b]indol-2(3H)-yl]propanoic acid	
LRGAZQBFSHLAGN-KRWDZBQOSA-N	c1ccc2c(c1)c3c(n2Cc4ccc(cc4)F)CN5[C@@H](C3)C(=O)NC5=O	(11aS)-6-(4-fluorobenzyl)-5,6,11,11a-tetrahydro-1H-imidazo[1',5':1,6]pyrido[3,4-b]indole-1,3(2H)-dione	
MPHFQCQENHLINH-SBUREZEXSA-N	CCC(=O)CN([C@H]1C=CN(C1=O)[C@@H](C)C(=O)N2CCOCC2)S(=O)(=O)c3ccc4cc(ccc4c3)Cl	6-chloro-N-{(3S)-1-[(2S)-1-(morpholin-4-yl)-1-oxopropan-2-yl]-2-oxo-2,3-dihydro-1H-pyrrol-3-yl}-N-(2-oxobutyl)naphthalene-2-sulfonamide	
AJYGFYXIRNIYPA-KGXGESDWSA-N	CNC(=O)c1ccc(c(c1)F)N2C=C[C@@H](C2=O)NS(=O)(=O)/C=C/c3ccc(s3)Cl	4-[(3S)-3-({[(E)-2-(5-chlorothiophen-2-yl)ethenyl]sulfonyl}amino)-2-oxo-2,3-dihydro-1H-pyrrol-1-yl]-3-fluoro-N-methylbenzamide	
DNCVZNVETAOAJO-PPYZAHLJSA-N	C[C@@H](C(=O)N1CCOCC1)N2CC[C@@H](C2=O)NS(=O)(=O)/C=C/c3ccc(cc3)Cl	(E)-2-(4-chlorophenyl)-N-{(3S)-1-[(2S)-1-(morpholin-4-yl)-1-oxopropan-2-yl]-2-oxopyrrolidin-3-yl}ethenesulfonamide	GTC000406
FJJCTPAMIAOFJX-VWKRKTLRSA-N	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3-c6n2c7ccccc7c6[C@@H]8[C@H]5[C@H](NC8)O)NC)OC	(5S,6R,7R,9R,13cR,14R,16aS)-6-methoxy-5-methyl-7-(methylamino)-6,7,8,9,14,15,16,16a-octahydro-5H,13cH-5,9-epoxy-4b,9a,15-triazadibenzo[b,h]cyclonona[1,2,3,4-jkl]cyclopenta[e]-as-indacen-14-ol	staurosporine
ITCYRGAOHOZIOB-UHFFFAOYSA-N	c1cc(c(cc1Cl)OCC(=O)O)C(=O)NCc2c(cc(cc2F)Br)F	{2-[(4-bromo-2,6-difluorobenzyl)carbamoyl]-5-chlorophenoxy}acetic acid	
CVVNVYYIZYRUDK-UHFFFAOYSA-N	c1cc(c(cc1Cl)OCC(=O)O)C(=O)NCc2c(cc(cc2F)I)F	{5-chloro-2-[(2,6-difluoro-4-iodobenzyl)carbamoyl]phenoxy}acetic acid	
SMEROWZSTRWXGI-HVATVPOCSA-N	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C	(3beta,5beta,14beta,17alpha)-3-hydroxycholan-24-oic acid	Lithocholic acid
SFPWZRCGYUTPNJ-UHFFFAOYSA-N	c1ccc(cc1)/N=C(\c2cccc(c2)C(F)(F)F)/NO	N-hydroxy-N'-phenyl-3-(trifluoromethyl)benzenecarboximidamide	
HYMULNGSTZFRLI-UHFFFAOYSA-N	c1cc(cc(c1)Br)/N=C(\c2ccc(c(c2)C(F)(F)F)F)/NO	N'-(3-bromophenyl)-4-fluoro-N-hydroxy-3-(trifluoromethyl)benzenecarboximidamide	
MQERCRUBCCKCNG-UHFFFAOYSA-N	c1cc(ccc1c2c(cn[nH]2)c3ccc(c(c3)C(F)(F)F)F)F	5-(4-fluorophenyl)-4-[4-fluoro-3-(trifluoromethyl)phenyl]-1H-pyrazole	
GAUUPDQWKHTCAX-VIFPVBQESA-N	c1ccc2c(c1)c(cs2)C[C@@H](C(=O)O)N	3-(1-benzothiophen-3-yl)-L-alanine	
AJIPIJNNOJSSQC-NYLIRDPKSA-N	C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1[C@H]([C@H]([C@@H]2O)O)O)O	(14beta,15alpha,16alpha,17alpha)-estra-1,3,5(10)-triene-3,15,16,17-tetrol	Estra-1,3,5(10)-triene-3,15 alpha,16alpha,17beta-tetrol
HUJOGFUFUMBXPL-UHFFFAOYSA-N	Cc1ccccc1OP(=O)(O)O	(2-methylphenyl) dihydrogen phosphate	o-cresyl-phosphate
FYEWVKCORNQLFP-UHFFFAOYSA-N	c1cc(c(cc1c2cc3c4cc(ccc4[nH]c3c(c2)C(=O)N)C(=O)N5CCOCC5)Cl)Cl	3-(3,4-dichlorophenyl)-6-(morpholin-4-ylcarbonyl)-9H-carbazole-1-carboxamide	
KUWKQASGHNTJAT-UHFFFAOYSA-N	C1=CC(=O)N(C(=C1)C(=O)NCCCN(CCCCN(CCCNC(=O)C2=CC=CC(=O)N2O)C(=O)C3=CC=CC(=O)N3O)C(=O)C4=CC=CC(=O)N4O)O	N,N'-butane-1,4-diylbis[1-hydroxy-N-(3-{[(1-hydroxy-6-oxo-1,6-dihydropyridin-2-yl)carbonyl]amino}propyl)-6-oxo-1,6-dihydropyridine-2-carboxamide]	
MUNWAHDYFVYIKH-PHDIDXHHSA-O	C[N+]1(C[C@@H](C[C@@H]1C(=O)O)O)C	(2S,4S)-2-carboxy-4-hydroxy-1,1-dimethylpyrrolidinium	CIS-4OH-D-PROLINE BETAINE
NQBRFDSRSGHBBK-UHFFFAOYSA-N	CCN1c2ccc(cc2C(=Nc3c1ccc(c3)F)N4CCN(CC4)C)Cl	2-chloro-5-ethyl-8-fluoro-11-(4-methylpiperazin-1-yl)-dibenzodiazepine	
NIVBGOGCJSMNMG-KRWDZBQOSA-N	CCN1c2ccc(cc2C(=Nc3c1ccc(c3)F)N[C@H]4CCN(C4)C(=O)NC(C)(C)C)Cl	(S)-N-(tert-butyl)-3-((2-chloro-5-ethyl-8-fluoro-dibenzodiazepin-11-yl)amino)pyrrolidine-1-carboxamide	
HYBZWVLPALMACV-KRWDZBQOSA-N	Cc1nc(c(s1)c2ccccc2F)C(=O)N3CCC[C@H]3Cc4nnc(o4)c5ccccc5	[5-(2-fluorophenyl)-2-methyl-1,3-thiazol-4-yl]{(2S)-2-[(5-phenyl-1,3,4-oxadiazol-2-yl)methyl]pyrrolidin-1-yl}methanone	
XTQIBFVBYWIHIP-UHFFFAOYSA-N	C(CCC(=O)CCC(=O)O)CCC(=O)O	4-OXODECANEDIOIC ACID	4-OXOSEBACIC ACID
SHACLOMOOCNGDP-QMMMGPOBSA-N	COC(=O)[C@H](COC=O)NC(=O)c1cccc(c1O)O	methyl N-(2,3-dihydroxybenzoyl)-O-formyl-L-serinate	
SGNXVBOIDPPRJJ-PSASIEDQSA-N	CC(=O)C1=CCC[C@@H]2CC[C@H]1N2	1-[(1R,6R)-9-azabicyclo[4.2.1]non-2-en-2-yl]ethanone	
